COUNTY NUMBER,PRECINCT CODE,PRECINCT NAME,REGISTERED VOTERS TOTAL,BALLOTS CAST TOTAL,BALLOTS CAST BLANK,DEM David Brignac,REP Mike Gould,OVER VOTES,UNDER VOTES,Winning Candidate,Winning Party
COLL,194,PCT 194,31,17,0,2,14,0,1,REP Mike Gould,REP
COLL,195,PCT 195,916,541,0,116,401,0,24,REP Mike Gould,REP
COLL,196,PCT 196,1904,994,0,380,578,0,36,REP Mike Gould,REP
COLL,197,PCT 197,1283,681,0,372,281,0,28,DEM David Brignac,DEM
COLL,198,PCT 198,124,65,0,5,60,0,0,REP Mike Gould,REP
COLL,199,PCT 199,3269,1928,0,488,1394,0,46,REP Mike Gould,REP
COLL,200,PCT 200,1943,991,1,250,706,0,35,REP Mike Gould,REP
COLL,201,PCT 201,0,0,0,0,0,0,0,REP Mike Gould,REP
COLL,202,PCT 202,2,2,0,2,0,0,0,DEM David Brignac,DEM
COLL,203,PCT 203,3150,1853,0,611,1160,0,82,REP Mike Gould,REP
COLL,204,PCT 204,349,230,0,66,154,0,10,REP Mike Gould,REP
COLL,205,PCT 205,34,18,0,5,13,0,0,REP Mike Gould,REP
COLL,205,PCT 205,34,0,0,0,0,0,0,REP Mike Gould,REP
COLL,206,PCT 206,1781,996,0,361,585,0,50,REP Mike Gould,REP
COLL,207,PCT 207,3993,2125,1,746,1316,0,63,REP Mike Gould,REP
COLL,208,PCT 208,3375,2140,0,685,1375,0,80,REP Mike Gould,REP
COLL,209,PCT 209,1187,614,0,231,375,0,8,REP Mike Gould,REP
COLL,210,PCT 210,1661,914,1,459,415,0,40,DEM David Brignac,DEM
COLL,211,PCT 211,3302,1758,1,679,1021,0,58,REP Mike Gould,REP
COLL,212,PCT 212,5564,2799,1,1421,1262,0,116,DEM David Brignac,DEM
COLL,213,PCT 213,3612,1848,0,867,910,0,71,REP Mike Gould,REP
COLL,214,PCT 214,4427,2716,0,538,2099,0,79,REP Mike Gould,REP
COLL,215,PCT 215,2543,1056,0,308,703,0,45,REP Mike Gould,REP
COLL,216,PCT 216,6210,3332,0,986,2252,0,94,REP Mike Gould,REP
COLL,217,PCT 217,2919,1550,0,563,940,0,47,REP Mike Gould,REP
COLL,218,PCT 218,4110,2281,1,1053,1147,0,81,REP Mike Gould,REP
COLL,219,PCT 219,4072,2234,0,1029,1132,0,73,REP Mike Gould,REP
COLL,220,PCT 220,4641,2219,0,1140,1007,0,72,DEM David Brignac,DEM
COLL,221,PCT 221,5138,2874,0,916,1854,0,104,REP Mike Gould,REP
COLL,222,PCT 222,3575,1933,0,893,977,0,63,REP Mike Gould,REP
COLL,223,PCT 223,2154,1196,0,503,662,0,31,REP Mike Gould,REP
COLL,224,PCT 224,3036,1808,0,404,1345,0,59,REP Mike Gould,REP
COLL,225,PCT 225,3815,1819,0,918,854,0,47,DEM David Brignac,DEM
COLL,226,PCT 226,4365,2250,0,1075,1087,0,88,REP Mike Gould,REP
COLL,227,PCT 227,4310,2285,1,1005,1187,0,93,REP Mike Gould,REP
COLL,228,PCT 228,5265,2155,0,1029,1048,0,78,REP Mike Gould,REP
COLL,229,PCT 229,1738,866,0,405,433,0,28,REP Mike Gould,REP
COLL,230,PCT 230,4826,2039,0,1008,966,0,65,DEM David Brignac,DEM
COLL,231,PCT 231,3247,1754,0,693,1007,0,54,REP Mike Gould,REP
COLL,232,PCT 232,3600,1991,0,731,1170,0,90,REP Mike Gould,REP
COLL,233,PCT 233,1922,968,0,369,566,0,33,REP Mike Gould,REP
COLL,234,PCT 234,2546,1484,0,731,708,0,45,DEM David Brignac,DEM
COLL,235,PCT 235,1874,966,0,471,456,0,39,DEM David Brignac,DEM
COLL,236,PCT 236,2889,1678,0,523,1097,0,58,REP Mike Gould,REP
COLL,237,PCT 237,2253,1011,0,467,496,0,48,REP Mike Gould,REP
COLL,238,PCT 238,3923,1715,0,874,787,0,54,DEM David Brignac,DEM
COLL,239,PCT 239,4257,2284,0,601,1626,0,57,REP Mike Gould,REP
COLL,240,PCT 240,6041,3348,0,839,2408,0,101,REP Mike Gould,REP
COLL,241,PCT 241,1507,870,3,365,460,0,45,REP Mike Gould,REP
COLL,242,PCT 242,3356,1912,0,770,1074,0,68,REP Mike Gould,REP
COLL,243,PCT 243,1517,915,0,251,627,0,37,REP Mike Gould,REP
COLL,244,PCT 244,3107,1762,0,719,971,0,72,REP Mike Gould,REP
COLL,245,PCT 245,2774,1151,0,505,596,0,50,REP Mike Gould,REP
COLL,246,PCT 246,2832,1691,0,715,921,0,55,REP Mike Gould,REP
COLL,247,PCT 247,2148,1364,0,339,977,0,48,REP Mike Gould,REP
COLL,248,PCT 248,2116,1087,0,458,593,0,36,REP Mike Gould,REP
COLL,249,PCT LB 96,0,380,0,0,0,0,0,REP Mike Gould,REP
COLL,250,PCT LB 97,0,188,0,0,0,0,0,REP Mike Gould,REP
COLL,251,PCT LB 98,0,9,0,0,0,0,0,REP Mike Gould,REP
COLL,252,PCT LB 99,0,0,0,0,0,0,0,REP Mike Gould,REP
COLL,253,PCT LB 100,0,5,0,0,0,0,0,REP Mike Gould,REP
COLL,254,PCT LB 101,0,0,0,0,0,0,0,REP Mike Gould,REP
COLL,255,PCT LB 102,0,2,0,0,0,0,0,REP Mike Gould,REP
COLL,256,PCT LB 103,0,1,0,0,0,0,0,REP Mike Gould,REP
COLL,257,PCT LB 104,0,5,0,0,0,0,0,REP Mike Gould,REP
COLL,258,PCT LB 105,0,16,0,0,0,0,0,REP Mike Gould,REP
COLL,259,PCT LB 106,0,0,0,0,0,0,0,REP Mike Gould,REP
COLL,260,PCT LB 107,0,2,0,0,0,0,0,REP Mike Gould,REP
COLL,261,PCT LB 108,0,0,0,0,0,0,0,REP Mike Gould,REP
COLL,262,PCT LB 109,0,0,0,0,0,0,0,REP Mike Gould,REP
COLL,263,PCT LB 110,0,0,0,0,0,0,0,REP Mike Gould,REP
COLL,264,PCT LB 111,0,0,0,0,0,0,0,REP Mike Gould,REP
COLL,265,PCT LB 112,0,0,0,0,0,0,0,REP Mike Gould,REP
COLL,266,PCT LB 113,0,0,0,0,0,0,0,REP Mike Gould,REP
COLL,267,PCT LB 114,0,0,0,0,0,0,0,REP Mike Gould,REP
