COUNTY NUMBER,PRECINCT CODE,PRECINCT NAME,REGISTERED VOTERS TOTAL,BALLOTS CAST TOTAL,BALLOTS CAST BLANK,DEM Rochelle Mercedes Garza,LIB Mark Ash,REP Ken Paxton,OVER VOTES,UNDER VOTES,Winning Candidate,Winning Party
COLL,21,PCT 021,4296,2537,1,1256,99,1136,0,46,DEM Rochelle Mercedes Garza,DEM
COLL,22,PCT 022,4400,2410,0,460,87,1831,0,32,REP Ken Paxton,REP
COLL,23,PCT 023,3117,1022,1,706,30,262,0,24,DEM Rochelle Mercedes Garza,DEM
COLL,24,PCT 024,2375,927,5,587,35,290,0,15,DEM Rochelle Mercedes Garza,DEM
COLL,25,PCT 025,3943,2150,8,1041,111,951,0,47,DEM Rochelle Mercedes Garza,DEM
COLL,26,PCT 026,1314,568,0,274,28,256,0,10,DEM Rochelle Mercedes Garza,DEM
COLL,27,PCT 027,2741,1317,0,543,51,699,0,24,REP Ken Paxton,REP
COLL,28,PCT 028,3618,2032,0,1015,72,909,0,36,DEM Rochelle Mercedes Garza,DEM
COLL,29,PCT 029,3981,2236,0,668,52,1494,0,22,REP Ken Paxton,REP
COLL,30,PCT 030,4909,2597,0,1029,106,1414,0,48,REP Ken Paxton,REP
COLL,31,PCT 031,2058,1365,0,620,49,675,0,21,REP Ken Paxton,REP
COLL,32,PCT 032,2493,1546,0,683,63,773,0,27,REP Ken Paxton,REP
COLL,33,PCT 033,5001,2743,0,764,102,1834,0,43,REP Ken Paxton,REP
COLL,34,PCT 034,4438,2448,0,1340,77,969,0,62,DEM Rochelle Mercedes Garza,DEM
COLL,35,PCT 035,1733,887,0,157,22,687,0,21,REP Ken Paxton,REP
COLL,36,PCT 036,1985,1296,4,514,41,719,0,22,REP Ken Paxton,REP
COLL,37,PCT 037,2571,1392,1,193,54,1116,0,29,REP Ken Paxton,REP
COLL,38,PCT 038,3167,1369,0,728,44,574,0,23,DEM Rochelle Mercedes Garza,DEM
COLL,39,PCT 039,3081,1510,0,839,50,594,0,27,DEM Rochelle Mercedes Garza,DEM
COLL,40,PCT 040,3635,2040,1,748,96,1161,0,35,REP Ken Paxton,REP
COLL,41,PCT 041,4334,2545,0,835,83,1590,0,37,REP Ken Paxton,REP
COLL,42,PCT 042,1914,979,0,219,32,714,0,14,REP Ken Paxton,REP
COLL,43,PCT 043,3484,1467,0,743,78,619,0,27,DEM Rochelle Mercedes Garza,DEM
COLL,44,PCT 044,1722,664,0,310,31,307,0,16,DEM Rochelle Mercedes Garza,DEM
COLL,45,PCT 045,3462,1910,0,721,64,1080,0,45,REP Ken Paxton,REP
COLL,46,PCT 046,3160,1253,1,705,39,478,0,31,DEM Rochelle Mercedes Garza,DEM
COLL,47,PCT 047,2594,1391,0,724,53,596,0,18,DEM Rochelle Mercedes Garza,DEM
COLL,48,PCT 048,3780,2160,0,1163,84,891,0,22,DEM Rochelle Mercedes Garza,DEM
COLL,49,PCT 049,2367,1482,0,662,57,730,0,33,REP Ken Paxton,REP
COLL,50,PCT 050,3099,1174,0,690,29,430,0,25,DEM Rochelle Mercedes Garza,DEM
COLL,51,PCT 051,1727,645,0,370,24,237,0,14,DEM Rochelle Mercedes Garza,DEM
COLL,52,PCT 052,4417,1789,0,1050,43,662,0,34,DEM Rochelle Mercedes Garza,DEM
COLL,53,PCT 053,2230,1413,0,666,58,661,0,28,DEM Rochelle Mercedes Garza,DEM
COLL,54,PCT 054,3547,1585,1,927,48,579,0,31,DEM Rochelle Mercedes Garza,DEM
COLL,55,PCT 055,4130,2101,0,1347,77,615,0,62,DEM Rochelle Mercedes Garza,DEM
COLL,56,PCT 056,3326,1711,0,657,51,971,0,32,REP Ken Paxton,REP
COLL,57,PCT 057,5053,2489,0,1063,89,1297,0,40,REP Ken Paxton,REP
COLL,58,PCT 058,3704,1844,3,988,59,766,0,31,DEM Rochelle Mercedes Garza,DEM
COLL,59,PCT 059,4025,2078,0,837,83,1117,0,41,REP Ken Paxton,REP
COLL,60,PCT 060,2967,1792,0,625,67,1065,0,35,REP Ken Paxton,REP
COLL,61,PCT 061,1662,994,0,418,47,508,0,21,REP Ken Paxton,REP
COLL,62,PCT 062,2605,1419,1,775,70,551,0,23,DEM Rochelle Mercedes Garza,DEM
COLL,63,PCT 063,2039,1365,1,607,55,672,0,31,REP Ken Paxton,REP
COLL,64,PCT 064,2711,1446,0,753,56,607,0,30,DEM Rochelle Mercedes Garza,DEM
COLL,65,PCT 065,1265,721,0,354,23,333,0,11,DEM Rochelle Mercedes Garza,DEM
COLL,66,PCT 066,2193,1197,0,591,56,528,0,22,DEM Rochelle Mercedes Garza,DEM
COLL,67,PCT 067,2878,1486,0,742,54,659,0,31,DEM Rochelle Mercedes Garza,DEM
COLL,68,PCT 068,2014,930,1,451,40,416,0,23,DEM Rochelle Mercedes Garza,DEM
COLL,69,PCT 069,3793,2297,0,1076,89,1087,0,45,REP Ken Paxton,REP
COLL,70,PCT 070,1916,1156,0,506,45,579,0,26,REP Ken Paxton,REP
COLL,71,PCT 071,1815,1111,0,545,31,505,0,30,DEM Rochelle Mercedes Garza,DEM
COLL,72,PCT 072,1562,919,0,424,36,441,0,18,REP Ken Paxton,REP
COLL,73,PCT 073,1999,906,3,569,29,292,0,16,DEM Rochelle Mercedes Garza,DEM
COLL,74,PCT 074,1930,1069,3,510,36,503,0,20,DEM Rochelle Mercedes Garza,DEM
COLL,75,PCT 075,2308,1334,0,554,43,703,0,34,REP Ken Paxton,REP
COLL,76,PCT 076,3323,1952,1,862,58,992,0,40,REP Ken Paxton,REP
COLL,77,PCT 077,3740,1864,0,1038,62,734,0,30,DEM Rochelle Mercedes Garza,DEM
COLL,78,PCT 078,4724,2246,1,1302,73,834,0,37,DEM Rochelle Mercedes Garza,DEM
COLL,79,PCT 079,2787,1325,9,627,42,628,0,28,REP Ken Paxton,REP
COLL,80,PCT 080,3640,1854,0,887,63,880,0,24,DEM Rochelle Mercedes Garza,DEM
COLL,81,PCT 081,2865,1535,1,819,55,627,0,34,DEM Rochelle Mercedes Garza,DEM
COLL,82,PCT 082,2983,1390,0,689,47,636,0,18,DEM Rochelle Mercedes Garza,DEM
COLL,83,PCT 083,4036,2063,0,679,62,1283,0,39,REP Ken Paxton,REP
COLL,84,PCT 084,2439,1317,9,615,33,642,0,27,REP Ken Paxton,REP
COLL,85,PCT 085,3183,1666,0,939,49,648,0,30,DEM Rochelle Mercedes Garza,DEM
COLL,86,PCT 086,2972,1728,0,815,60,815,0,38,REP Ken Paxton,REP
COLL,87,PCT 087,3017,1462,0,878,22,534,0,28,DEM Rochelle Mercedes Garza,DEM
COLL,88,PCT 088,2051,697,7,495,23,171,0,8,DEM Rochelle Mercedes Garza,DEM
COLL,89,PCT 089,3232,1783,0,876,53,823,0,31,DEM Rochelle Mercedes Garza,DEM
COLL,90,PCT 090,3267,1934,0,767,67,1041,0,59,REP Ken Paxton,REP
COLL,91,PCT 091,2319,1384,0,719,39,600,0,26,DEM Rochelle Mercedes Garza,DEM
COLL,92,PCT 092,4113,1733,0,876,58,777,0,22,DEM Rochelle Mercedes Garza,DEM
COLL,93,PCT 093,287,157,0,26,4,125,0,2,REP Ken Paxton,REP
COLL,94,PCT 094,4227,2445,0,1335,64,996,0,50,DEM Rochelle Mercedes Garza,DEM
COLL,95,PCT 095,3101,1614,2,770,50,759,0,35,DEM Rochelle Mercedes Garza,DEM
COLL,96,PCT 096,1450,525,0,221,19,272,0,13,REP Ken Paxton,REP
COLL,97,PCT 097,1332,927,0,283,29,587,0,28,REP Ken Paxton,REP
COLL,98,PCT 098,1482,711,0,279,34,378,0,20,REP Ken Paxton,REP
COLL,99,PCT 099,291,126,0,79,6,40,0,1,DEM Rochelle Mercedes Garza,DEM
COLL,100,PCT 100,29,5,0,2,0,3,0,0,REP Ken Paxton,REP
COLL,101,PCT 101,4006,2022,0,960,66,964,0,32,REP Ken Paxton,REP
COLL,102,PCT 102,2552,1654,1,547,70,1004,0,33,REP Ken Paxton,REP
COLL,103,PCT 103,1401,570,0,294,25,242,0,9,DEM Rochelle Mercedes Garza,DEM
COLL,104,PCT 104,2569,847,4,561,25,251,0,10,DEM Rochelle Mercedes Garza,DEM
COLL,105,PCT 105,33,4,0,2,0,2,0,0,REP Ken Paxton,REP
COLL,106,PCT 106,1937,1003,0,484,51,450,0,18,DEM Rochelle Mercedes Garza,DEM
COLL,107,PCT 107,3385,1951,0,1015,71,815,0,50,DEM Rochelle Mercedes Garza,DEM
COLL,108,PCT 108,2970,1563,1,844,52,635,0,32,DEM Rochelle Mercedes Garza,DEM
COLL,109,PCT 109,4577,2453,0,1081,75,1245,0,52,REP Ken Paxton,REP
COLL,110,PCT 110,2844,1563,1,736,63,741,0,23,REP Ken Paxton,REP
COLL,111,PCT 111,3027,1631,0,524,51,1027,0,29,REP Ken Paxton,REP
COLL,112,PCT 112,3135,1872,0,922,61,859,0,30,DEM Rochelle Mercedes Garza,DEM
COLL,113,PCT 113,3416,1506,0,741,69,673,0,23,DEM Rochelle Mercedes Garza,DEM
COLL,114,PCT 114,2533,1396,0,477,49,843,0,27,REP Ken Paxton,REP
COLL,115,PCT 115,3012,1729,10,930,71,687,0,41,DEM Rochelle Mercedes Garza,DEM
COLL,116,PCT 116,4920,2748,0,1220,94,1371,0,63,REP Ken Paxton,REP
COLL,117,PCT 117,4367,2120,1,1040,63,982,0,35,DEM Rochelle Mercedes Garza,DEM
COLL,118,PCT 118,4315,2281,1,962,82,1198,0,39,REP Ken Paxton,REP
COLL,119,PCT 119,2374,1411,0,675,48,660,0,28,DEM Rochelle Mercedes Garza,DEM
COLL,120,PCT 120,3666,2126,0,872,70,1129,0,55,REP Ken Paxton,REP
COLL,121,PCT 121,2837,1545,0,927,36,549,0,33,DEM Rochelle Mercedes Garza,DEM
COLL,122,PCT 122,5090,3024,0,1023,120,1814,0,67,REP Ken Paxton,REP
COLL,123,PCT 123,2023,1141,0,480,45,593,0,23,REP Ken Paxton,REP
COLL,124,PCT 124,3253,1634,0,836,55,706,0,37,DEM Rochelle Mercedes Garza,DEM
COLL,125,PCT 125,5196,2674,1,1455,102,1072,0,45,DEM Rochelle Mercedes Garza,DEM
COLL,126,PCT 126,4804,2521,0,1187,97,1190,0,47,REP Ken Paxton,REP
COLL,127,PCT 127,3882,1912,0,927,64,887,0,34,DEM Rochelle Mercedes Garza,DEM
COLL,128,PCT 128,3071,1999,0,535,76,1345,0,43,REP Ken Paxton,REP
COLL,129,PCT 129,4501,2319,0,1028,82,1166,0,43,REP Ken Paxton,REP
COLL,130,PCT 130,3867,2138,0,1071,86,935,0,46,DEM Rochelle Mercedes Garza,DEM
COLL,131,PCT 131,3119,1647,0,594,60,950,0,43,REP Ken Paxton,REP
COLL,132,PCT 132,2834,1605,8,889,52,635,0,29,DEM Rochelle Mercedes Garza,DEM
COLL,133,PCT 133,2855,1177,0,493,52,599,0,33,REP Ken Paxton,REP
COLL,134,PCT 134,4014,1906,0,993,58,826,0,29,DEM Rochelle Mercedes Garza,DEM
COLL,135,PCT 135,4223,2152,2,1151,62,890,0,49,DEM Rochelle Mercedes Garza,DEM
COLL,136,PCT 136,2003,1232,1,561,42,601,0,28,REP Ken Paxton,REP
COLL,137,PCT 137,2003,1099,0,470,33,568,0,28,REP Ken Paxton,REP
COLL,138,PCT 138,2101,1361,1,667,41,613,0,40,DEM Rochelle Mercedes Garza,DEM
COLL,139,PCT 139,4196,2067,0,1150,66,812,0,39,DEM Rochelle Mercedes Garza,DEM
COLL,140,PCT 140,4861,2744,0,927,112,1654,0,51,REP Ken Paxton,REP
COLL,141,PCT 141,3457,2026,0,1019,80,885,0,42,DEM Rochelle Mercedes Garza,DEM
COLL,142,PCT 142,2873,1741,15,956,61,698,0,26,DEM Rochelle Mercedes Garza,DEM
COLL,143,PCT 143,2158,1288,0,564,63,633,0,28,REP Ken Paxton,REP
COLL,144,PCT 144,2874,1594,4,681,60,822,0,31,REP Ken Paxton,REP
COLL,145,PCT 145,1731,896,1,467,37,371,0,21,DEM Rochelle Mercedes Garza,DEM
COLL,146,PCT 146,4877,2371,1,1127,82,1123,0,39,DEM Rochelle Mercedes Garza,DEM
COLL,147,PCT 147,2253,980,0,481,20,468,0,11,DEM Rochelle Mercedes Garza,DEM
COLL,148,PCT 148,661,405,1,154,11,235,0,5,REP Ken Paxton,REP
COLL,149,PCT 149,4442,2460,0,995,81,1343,0,41,REP Ken Paxton,REP
COLL,150,PCT 150,2788,1902,0,633,78,1169,0,22,REP Ken Paxton,REP
COLL,151,PCT 151,1772,893,0,436,41,401,0,15,DEM Rochelle Mercedes Garza,DEM
COLL,152,PCT 152,187,92,0,65,3,24,0,0,DEM Rochelle Mercedes Garza,DEM
COLL,153,PCT 153,4939,2503,6,1052,94,1298,0,59,REP Ken Paxton,REP
COLL,154,PCT 154,1939,1158,0,229,21,893,0,15,REP Ken Paxton,REP
COLL,155,PCT 155,2911,1553,0,643,56,832,0,22,REP Ken Paxton,REP
COLL,156,PCT 156,3726,1870,0,822,76,938,0,34,REP Ken Paxton,REP
COLL,157,PCT 157,4029,2164,0,1067,69,997,0,31,DEM Rochelle Mercedes Garza,DEM
COLL,158,PCT 158,2781,1427,0,770,42,584,0,31,DEM Rochelle Mercedes Garza,DEM
COLL,159,PCT 159,3284,1445,1,692,49,658,0,46,DEM Rochelle Mercedes Garza,DEM
COLL,160,PCT 160,434,283,0,34,10,235,0,4,REP Ken Paxton,REP
COLL,161,PCT 161,292,152,0,44,4,103,0,1,REP Ken Paxton,REP
COLL,162,PCT 162,328,229,0,45,7,173,0,4,REP Ken Paxton,REP
COLL,163,PCT 163,2180,1028,0,420,33,557,0,18,REP Ken Paxton,REP
COLL,164,PCT 164,2052,1392,100,671,46,625,0,50,DEM Rochelle Mercedes Garza,DEM
COLL,165,PCT 165,934,557,0,191,23,334,0,9,REP Ken Paxton,REP
COLL,166,PCT 166,4174,2127,5,937,67,1071,0,52,REP Ken Paxton,REP
COLL,167,PCT 167,5051,2653,0,1488,83,1029,0,53,DEM Rochelle Mercedes Garza,DEM
COLL,168,PCT 168,1923,1113,1,323,51,701,0,38,REP Ken Paxton,REP
COLL,169,PCT 169,3342,1772,0,897,57,790,0,28,DEM Rochelle Mercedes Garza,DEM
COLL,170,PCT 170,1882,1007,3,378,47,558,0,24,REP Ken Paxton,REP
COLL,171,PCT 171,2490,1222,1,577,33,591,0,21,REP Ken Paxton,REP
COLL,172,PCT 172,6178,2987,0,980,129,1821,0,57,REP Ken Paxton,REP
COLL,173,PCT 173,650,389,0,117,16,254,0,2,REP Ken Paxton,REP
COLL,174,PCT 174,4497,2129,1,862,81,1150,0,36,REP Ken Paxton,REP
COLL,175,PCT 175,1978,1116,0,431,38,622,0,25,REP Ken Paxton,REP
COLL,176,PCT 176,4032,1467,0,827,49,572,0,19,DEM Rochelle Mercedes Garza,DEM
COLL,177,PCT 177,3203,1500,0,564,35,883,0,18,REP Ken Paxton,REP
COLL,178,PCT 178,3002,1556,0,392,52,1082,0,30,REP Ken Paxton,REP
COLL,179,PCT 179,4634,3237,0,909,118,2143,0,67,REP Ken Paxton,REP
COLL,180,PCT 180,3313,1580,0,752,54,744,0,30,DEM Rochelle Mercedes Garza,DEM
COLL,181,PCT 181,2563,1147,0,392,38,697,0,20,REP Ken Paxton,REP
COLL,182,PCT 182,3909,2004,0,924,72,974,0,34,REP Ken Paxton,REP
COLL,183,PCT 183,115,46,0,12,0,31,0,3,REP Ken Paxton,REP
COLL,184,PCT 184,3232,1307,1,678,45,563,0,21,DEM Rochelle Mercedes Garza,DEM
COLL,185,PCT 185,48,22,0,8,1,13,0,0,REP Ken Paxton,REP
COLL,186,PCT 186,146,68,0,13,1,53,0,1,REP Ken Paxton,REP
COLL,187,PCT 187,573,337,0,32,10,292,0,3,REP Ken Paxton,REP
COLL,188,PCT 188,64,41,0,7,2,31,0,1,REP Ken Paxton,REP
COLL,189,PCT 189,849,440,1,63,16,353,0,8,REP Ken Paxton,REP
COLL,190,PCT 190,82,42,0,6,3,33,0,0,REP Ken Paxton,REP
COLL,191,PCT 191,603,227,0,50,10,165,0,2,REP Ken Paxton,REP
COLL,192,PCT 192,3404,1841,1,410,61,1342,0,28,REP Ken Paxton,REP
COLL,193,PCT 193,1193,604,0,128,24,443,0,9,REP Ken Paxton,REP
COLL,194,PCT 194,31,17,0,2,0,15,0,0,REP Ken Paxton,REP
COLL,195,PCT 195,916,541,0,128,23,385,0,5,REP Ken Paxton,REP
COLL,196,PCT 196,1904,994,0,404,36,541,0,13,REP Ken Paxton,REP
COLL,197,PCT 197,1283,681,0,397,18,252,0,14,DEM Rochelle Mercedes Garza,DEM
COLL,198,PCT 198,124,65,0,5,2,57,0,1,REP Ken Paxton,REP
COLL,199,PCT 199,3269,1928,0,538,57,1315,0,18,REP Ken Paxton,REP
COLL,200,PCT 200,1943,991,1,256,39,676,0,20,REP Ken Paxton,REP
COLL,201,PCT 201,0,0,0,0,0,0,0,0,REP Ken Paxton,REP
COLL,202,PCT 202,2,2,0,2,0,0,0,0,DEM Rochelle Mercedes Garza,DEM
COLL,203,PCT 203,3150,1853,0,671,90,1051,0,41,REP Ken Paxton,REP
COLL,204,PCT 204,349,230,0,70,11,143,0,6,REP Ken Paxton,REP
COLL,205,PCT 205,34,18,0,5,0,13,0,0,REP Ken Paxton,REP
COLL,205,PCT 205,34,0,0,0,0,0,0,0,REP Ken Paxton,REP
COLL,206,PCT 206,1781,996,0,397,32,546,0,21,REP Ken Paxton,REP
COLL,207,PCT 207,3993,2125,1,787,74,1228,0,36,REP Ken Paxton,REP
COLL,208,PCT 208,3375,2140,0,752,87,1264,0,37,REP Ken Paxton,REP
COLL,209,PCT 209,1187,614,0,237,23,352,0,2,REP Ken Paxton,REP
COLL,210,PCT 210,1661,914,1,481,28,381,0,24,DEM Rochelle Mercedes Garza,DEM
COLL,211,PCT 211,3302,1758,1,737,75,917,0,29,REP Ken Paxton,REP
COLL,212,PCT 212,5564,2799,1,1498,72,1175,0,54,DEM Rochelle Mercedes Garza,DEM
COLL,213,PCT 213,3612,1848,0,908,41,871,0,28,DEM Rochelle Mercedes Garza,DEM
COLL,214,PCT 214,4427,2716,0,615,70,1992,0,39,REP Ken Paxton,REP
COLL,215,PCT 215,2543,1056,0,322,43,669,0,22,REP Ken Paxton,REP
COLL,216,PCT 216,6210,3332,0,1048,118,2111,0,55,REP Ken Paxton,REP
COLL,217,PCT 217,2919,1550,0,592,56,881,0,21,REP Ken Paxton,REP
COLL,218,PCT 218,4110,2281,1,1118,73,1053,0,37,DEM Rochelle Mercedes Garza,DEM
COLL,219,PCT 219,4072,2234,0,1109,52,1043,0,30,DEM Rochelle Mercedes Garza,DEM
COLL,220,PCT 220,4641,2219,0,1186,44,958,0,31,DEM Rochelle Mercedes Garza,DEM
COLL,221,PCT 221,5138,2874,0,1005,117,1700,0,52,REP Ken Paxton,REP
COLL,222,PCT 222,3575,1933,0,944,44,914,0,31,DEM Rochelle Mercedes Garza,DEM
COLL,223,PCT 223,2154,1196,0,559,37,587,0,13,REP Ken Paxton,REP
COLL,224,PCT 224,3036,1808,0,443,57,1282,0,26,REP Ken Paxton,REP
COLL,225,PCT 225,3815,1819,0,934,41,813,0,31,DEM Rochelle Mercedes Garza,DEM
COLL,226,PCT 226,4365,2250,0,1110,70,1035,0,35,DEM Rochelle Mercedes Garza,DEM
COLL,227,PCT 227,4310,2285,1,1067,96,1077,0,45,REP Ken Paxton,REP
COLL,228,PCT 228,5265,2155,0,1038,60,1022,0,35,DEM Rochelle Mercedes Garza,DEM
COLL,229,PCT 229,1738,866,0,401,26,424,0,15,REP Ken Paxton,REP
COLL,230,PCT 230,4826,2039,0,1044,63,903,0,29,DEM Rochelle Mercedes Garza,DEM
COLL,231,PCT 231,3247,1754,0,712,76,937,0,29,REP Ken Paxton,REP
COLL,232,PCT 232,3600,1991,0,780,67,1099,0,45,REP Ken Paxton,REP
COLL,233,PCT 233,1922,968,0,377,39,536,0,16,REP Ken Paxton,REP
COLL,234,PCT 234,2546,1484,0,787,35,645,0,17,DEM Rochelle Mercedes Garza,DEM
COLL,235,PCT 235,1874,966,0,495,21,427,0,23,DEM Rochelle Mercedes Garza,DEM
COLL,236,PCT 236,2889,1678,0,588,60,997,0,33,REP Ken Paxton,REP
COLL,237,PCT 237,2253,1011,0,476,31,474,0,30,DEM Rochelle Mercedes Garza,DEM
COLL,238,PCT 238,3923,1715,0,918,54,719,0,24,DEM Rochelle Mercedes Garza,DEM
COLL,239,PCT 239,4257,2284,0,658,59,1531,0,36,REP Ken Paxton,REP
COLL,240,PCT 240,6041,3348,0,926,76,2311,0,35,REP Ken Paxton,REP
COLL,241,PCT 241,1507,870,3,391,40,419,0,20,REP Ken Paxton,REP
COLL,242,PCT 242,3356,1912,0,823,65,989,0,35,REP Ken Paxton,REP
COLL,243,PCT 243,1517,915,0,264,36,596,0,19,REP Ken Paxton,REP
COLL,244,PCT 244,3107,1762,0,779,67,876,0,40,REP Ken Paxton,REP
COLL,245,PCT 245,2774,1151,0,540,38,557,0,16,REP Ken Paxton,REP
COLL,246,PCT 246,2832,1691,0,794,68,805,0,24,REP Ken Paxton,REP
COLL,247,PCT 247,2148,1364,0,374,51,913,0,26,REP Ken Paxton,REP
COLL,248,PCT 248,2116,1087,0,481,29,563,0,14,REP Ken Paxton,REP
COLL,249,PCT LB 96,0,380,0,218,14,143,0,5,DEM Rochelle Mercedes Garza,DEM
COLL,250,PCT LB 97,0,188,0,110,1,73,0,4,DEM Rochelle Mercedes Garza,DEM
COLL,251,PCT LB 98,0,9,0,3,1,5,0,0,REP Ken Paxton,REP
COLL,252,PCT LB 99,0,0,0,0,0,0,0,0,REP Ken Paxton,REP
COLL,253,PCT LB 100,0,5,0,2,0,3,0,0,REP Ken Paxton,REP
COLL,254,PCT LB 101,0,0,0,0,0,0,0,0,REP Ken Paxton,REP
COLL,255,PCT LB 102,0,2,0,2,0,0,0,0,DEM Rochelle Mercedes Garza,DEM
COLL,256,PCT LB 103,0,1,0,1,0,0,0,0,DEM Rochelle Mercedes Garza,DEM
COLL,257,PCT LB 104,0,5,0,3,0,2,0,0,DEM Rochelle Mercedes Garza,DEM
COLL,258,PCT LB 105,0,16,0,6,1,9,0,0,REP Ken Paxton,REP
COLL,259,PCT LB 106,0,0,0,0,0,0,0,0,REP Ken Paxton,REP
COLL,260,PCT LB 107,0,2,0,2,0,0,0,0,DEM Rochelle Mercedes Garza,DEM
COLL,261,PCT LB 108,0,0,0,0,0,0,0,0,REP Ken Paxton,REP
COLL,262,PCT LB 109,0,0,0,0,0,0,0,0,REP Ken Paxton,REP
COLL,263,PCT LB 110,0,0,0,0,0,0,0,0,REP Ken Paxton,REP
COLL,264,PCT LB 111,0,0,0,0,0,0,0,0,REP Ken Paxton,REP
COLL,265,PCT LB 112,0,0,0,0,0,0,0,0,REP Ken Paxton,REP
COLL,266,PCT LB 113,0,0,0,0,0,0,0,0,REP Ken Paxton,REP
COLL,267,PCT LB 114,0,0,0,0,0,0,0,0,REP Ken Paxton,REP
