COUNTY NUMBER,PRECINCT CODE,PRECINCT NAME,REGISTERED VOTERS TOTAL,BALLOTS CAST TOTAL,BALLOTS CAST BLANK,Staci L. Weaver,Tamara Thomas,OVER VOTES,UNDER VOTES,Winning Candidate,Winning Party
COLLI,156,PCT 156,3665,535,0,258,195,0,82,Staci L. Weaver,Staci
COLLI,157,PCT 157,4265,181,0,72,95,0,14,Tamara Thomas,Tamara
COLLI,158,PCT 158,2808,246,0,101,122,0,23,Tamara Thomas,Tamara
COLLI,159,PCT 159,3280,242,0,109,85,0,48,Staci L. Weaver,Staci
COLLI,16,PCT 016,5943,639,0,289,179,0,171,Staci L. Weaver,Staci
COLLI,160,PCT 160,546,53,0,25,14,0,14,Staci L. Weaver,Staci
COLLI,161,PCT 161,277,14,0,6,8,0,0,Tamara Thomas,Tamara
COLLI,162,PCT 162,904,43,0,23,14,0,6,Staci L. Weaver,Staci
COLLI,163,PCT 163,2103,205,0,96,70,0,39,Staci L. Weaver,Staci
COLLI,164,PCT 164,2290,328,0,133,116,0,79,Staci L. Weaver,Staci
COLLI,165,PCT 165,944,208,0,78,57,0,73,Staci L. Weaver,Staci
COLLI,166,PCT 166,4282,810,0,346,250,0,214,Staci L. Weaver,Staci
COLLI,167,PCT 167,5023,497,0,231,202,0,64,Staci L. Weaver,Staci
COLLI,168,PCT 168,1909,444,0,218,91,0,135,Staci L. Weaver,Staci
COLLI,169,PCT 169,3407,478,0,219,194,0,65,Staci L. Weaver,Staci
COLLI,17,PCT 017,6019,364,0,189,123,0,52,Staci L. Weaver,Staci
COLLI,170,PCT 170,1852,215,0,102,64,0,49,Staci L. Weaver,Staci
COLLI,171,PCT 171,2912,85,0,36,42,0,7,Tamara Thomas,Tamara
COLLI,172,PCT 172,3152,171,0,94,45,0,32,Staci L. Weaver,Staci
COLLI,173,PCT 173,613,197,0,111,40,0,46,Staci L. Weaver,Staci
COLLI,174,PCT 174,4506,259,0,155,63,0,41,Staci L. Weaver,Staci
COLLI,175,PCT 175,2045,246,0,123,69,0,54,Staci L. Weaver,Staci
COLLI,176,PCT 176,3706,122,0,47,60,0,15,Tamara Thomas,Tamara
COLLI,177,PCT 177,3447,229,0,130,49,0,50,Staci L. Weaver,Staci
COLLI,178,PCT 178,3314,294,0,143,61,0,90,Staci L. Weaver,Staci
COLLI,179,PCT 179,4574,1059,0,557,171,0,331,Staci L. Weaver,Staci
COLLI,18,PCT 018,991,32,0,17,7,0,8,Staci L. Weaver,Staci
COLLI,180,PCT 180,3435,336,0,140,138,0,58,Staci L. Weaver,Staci
COLLI,181,PCT 181,3214,152,0,91,32,0,29,Staci L. Weaver,Staci
COLLI,182,PCT 182,3888,157,0,70,73,0,14,Tamara Thomas,Tamara
COLLI,184,PCT 184,3132,123,0,54,56,0,13,Tamara Thomas,Tamara
COLLI,186,PCT 186,148,18,0,6,3,0,9,Staci L. Weaver,Staci
COLLI,187,PCT 187,605,86,0,44,19,0,23,Staci L. Weaver,Staci
COLLI,189,PCT 189,1438,19,0,17,2,0,0,Staci L. Weaver,Staci
COLLI,19,PCT 019,1567,235,0,114,86,0,35,Staci L. Weaver,Staci
COLLI,192,PCT 192,5216,92,0,39,29,0,24,Staci L. Weaver,Staci
COLLI,193,PCT 193,1311,44,0,23,11,0,10,Staci L. Weaver,Staci
COLLI,195,PCT 195,887,106,0,56,26,0,24,Staci L. Weaver,Staci
COLLI,196,PCT 196,1945,160,0,89,40,0,31,Staci L. Weaver,Staci
COLLI,197,PCT 197,1239,117,0,45,62,0,10,Tamara Thomas,Tamara
COLLI,199,PCT 199,4140,397,0,209,61,0,127,Staci L. Weaver,Staci
COLLI,2,PCT 002,4804,609,0,271,204,0,134,Staci L. Weaver,Staci
COLLI,20,PCT 020,2395,190,0,80,55,0,55,Staci L. Weaver,Staci
COLLI,200,PCT 200,2919,352,0,156,82,0,114,Staci L. Weaver,Staci
COLLI,203,PCT 203,3026,680,0,308,179,0,193,Staci L. Weaver,Staci
COLLI,204,PCT 204,344,95,0,57,14,0,24,Staci L. Weaver,Staci
COLLI,206,PCT 206,1921,314,0,147,99,0,68,Staci L. Weaver,Staci
COLLI,207,PCT 207,3918,535,0,245,170,0,120,Staci L. Weaver,Staci
COLLI,208,PCT 208,4399,523,0,288,119,0,116,Staci L. Weaver,Staci
COLLI,209,PCT 209,1150,124,0,45,57,0,22,Tamara Thomas,Tamara
COLLI,21,PCT 021,4259,606,0,280,254,0,72,Staci L. Weaver,Staci
COLLI,210,PCT 210,1722,485,0,158,180,0,147,Tamara Thomas,Tamara
COLLI,211,PCT 211,3321,492,0,242,141,0,109,Staci L. Weaver,Staci
COLLI,212,PCT 212,2580,492,0,259,150,0,83,Staci L. Weaver,Staci
COLLI,213,PCT 213,3574,420,0,172,174,0,74,Tamara Thomas,Tamara
COLLI,214,PCT 214,4743,471,0,255,84,0,132,Staci L. Weaver,Staci
COLLI,215,PCT 215,3591,22,0,8,14,0,0,Tamara Thomas,Tamara
COLLI,216,PCT 216,4794,794,0,411,144,0,239,Staci L. Weaver,Staci
COLLI,217,PCT 217,3075,197,0,107,52,0,38,Staci L. Weaver,Staci
COLLI,218,PCT 218,4195,142,0,61,68,0,13,Tamara Thomas,Tamara
COLLI,219,PCT 219,4482,193,0,86,101,0,6,Tamara Thomas,Tamara
COLLI,22,PCT 022,5098,885,0,434,162,0,289,Staci L. Weaver,Staci
COLLI,220,PCT 220,5634,865,0,353,363,0,149,Tamara Thomas,Tamara
COLLI,221,PCT 221,5077,962,0,514,227,0,221,Staci L. Weaver,Staci
COLLI,222,PCT 222,3875,209,0,107,81,0,21,Staci L. Weaver,Staci
COLLI,223,PCT 223,2490,121,0,61,55,0,5,Staci L. Weaver,Staci
COLLI,224,PCT 224,3284,289,0,164,44,0,81,Staci L. Weaver,Staci
COLLI,225,PCT 225,3829,651,0,275,264,0,112,Staci L. Weaver,Staci
COLLI,226,PCT 226,4259,482,0,201,211,0,70,Tamara Thomas,Tamara
COLLI,227,PCT 227,4356,223,0,100,97,0,26,Staci L. Weaver,Staci
COLLI,228,PCT 228,6027,30,0,14,16,0,0,Tamara Thomas,Tamara
COLLI,229,PCT 229,2313,202,0,107,53,0,42,Staci L. Weaver,Staci
COLLI,23,PCT 023,3381,146,0,32,89,0,25,Tamara Thomas,Tamara
COLLI,230,PCT 230,4713,387,0,148,170,0,69,Tamara Thomas,Tamara
COLLI,231,PCT 231,4150,621,0,297,221,0,103,Staci L. Weaver,Staci
COLLI,232,PCT 232,3810,198,0,87,79,0,32,Staci L. Weaver,Staci
COLLI,233,PCT 233,2065,96,0,45,34,0,17,Staci L. Weaver,Staci
COLLI,234,PCT 234,3403,620,0,278,200,0,142,Staci L. Weaver,Staci
COLLI,235,PCT 235,1903,202,0,79,84,0,39,Tamara Thomas,Tamara
COLLI,236,PCT 236,2898,632,0,309,168,0,155,Staci L. Weaver,Staci
COLLI,237,PCT 237,2314,165,0,58,64,0,43,Tamara Thomas,Tamara
COLLI,238,PCT 238,3858,328,0,133,143,0,52,Tamara Thomas,Tamara
COLLI,239,PCT 239,4102,371,0,178,61,0,132,Staci L. Weaver,Staci
COLLI,24,PCT 024,1955,108,0,39,50,0,19,Tamara Thomas,Tamara
COLLI,240,PCT 240,4435,430,0,201,103,0,126,Staci L. Weaver,Staci
COLLI,241,PCT 241,1502,324,0,136,107,0,81,Staci L. Weaver,Staci
COLLI,242,PCT 242,3455,471,0,200,167,0,104,Staci L. Weaver,Staci
COLLI,243,PCT 243,1642,232,0,105,35,0,92,Staci L. Weaver,Staci
COLLI,244,PCT 244,3131,497,0,223,163,0,111,Staci L. Weaver,Staci
COLLI,245,PCT 245,2585,173,0,68,67,0,38,Staci L. Weaver,Staci
COLLI,246,PCT 246,2768,449,0,240,149,0,60,Staci L. Weaver,Staci
COLLI,247,PCT 247,2408,495,0,266,67,0,162,Staci L. Weaver,Staci
COLLI,248,PCT 248,2261,194,0,76,70,0,48,Staci L. Weaver,Staci
COLLI,249,PCT 249,4715,350,0,161,104,0,85,Staci L. Weaver,Staci
COLLI,25,PCT 025,4058,904,0,341,340,0,223,Staci L. Weaver,Staci
COLLI,250,PCT 250,3969,1133,0,422,486,0,225,Tamara Thomas,Tamara
COLLI,251,PCT 251,2530,324,0,145,86,0,93,Staci L. Weaver,Staci
COLLI,252,PCT 252,3197,338,0,147,73,0,118,Staci L. Weaver,Staci
COLLI,254,PCT 903,4443,354,0,0,0,0,0,Tamara Thomas,Tamara
COLLI,26,PCT 026,1241,96,0,42,45,0,9,Tamara Thomas,Tamara
COLLI,27,PCT 027,2693,182,0,92,60,0,30,Staci L. Weaver,Staci
COLLI,28,PCT 028,3495,361,0,174,145,0,42,Staci L. Weaver,Staci
COLLI,29,PCT 029,5538,563,0,262,137,0,164,Staci L. Weaver,Staci
COLLI,3,PCT 003,2814,274,0,76,122,0,76,Tamara Thomas,Tamara
COLLI,30,PCT 030,4841,785,0,381,223,0,181,Staci L. Weaver,Staci
COLLI,31,PCT 031,2015,350,0,185,120,0,45,Staci L. Weaver,Staci
COLLI,32,PCT 032,2414,345,0,148,153,0,44,Tamara Thomas,Tamara
COLLI,33,PCT 033,7284,331,0,126,107,0,98,Staci L. Weaver,Staci
COLLI,34,PCT 034,4258,593,0,253,278,0,62,Tamara Thomas,Tamara
COLLI,35,PCT 035,1782,46,0,21,14,0,11,Staci L. Weaver,Staci
COLLI,36,PCT 036,1946,356,0,140,86,0,130,Staci L. Weaver,Staci
COLLI,37,PCT 037,2768,357,0,171,69,0,117,Staci L. Weaver,Staci
COLLI,38,PCT 038,3922,225,0,72,114,0,39,Tamara Thomas,Tamara
COLLI,39,PCT 039,2890,266,0,104,135,0,27,Tamara Thomas,Tamara
COLLI,4,PCT 004,3879,314,0,141,101,0,72,Staci L. Weaver,Staci
COLLI,40,PCT 040,3503,192,0,99,73,0,20,Staci L. Weaver,Staci
COLLI,41,PCT 041,5209,751,0,367,149,0,235,Staci L. Weaver,Staci
COLLI,43,PCT 043,3353,343,0,131,153,0,59,Tamara Thomas,Tamara
COLLI,44,PCT 044,1602,166,0,69,58,0,39,Staci L. Weaver,Staci
COLLI,45,PCT 045,3343,57,0,33,21,0,3,Staci L. Weaver,Staci
COLLI,46,PCT 046,3019,232,0,104,87,0,41,Staci L. Weaver,Staci
COLLI,47,PCT 047,2522,293,0,138,138,0,17,Tamara Thomas,Tamara
COLLI,48,PCT 048,3641,573,0,221,162,0,190,Staci L. Weaver,Staci
COLLI,49,PCT 049,2339,324,0,165,125,0,34,Staci L. Weaver,Staci
COLLI,5,PCT 005,1006,64,0,36,20,0,8,Staci L. Weaver,Staci
COLLI,50,PCT 050,3178,185,0,68,95,0,22,Tamara Thomas,Tamara
COLLI,51,PCT 051,1768,94,0,40,40,0,14,Tamara Thomas,Tamara
COLLI,52,PCT 052,4599,556,0,150,295,0,111,Tamara Thomas,Tamara
COLLI,53,PCT 053,2192,353,0,164,153,0,36,Staci L. Weaver,Staci
COLLI,54,PCT 054,3510,251,0,97,126,0,28,Tamara Thomas,Tamara
COLLI,55,PCT 055,3975,476,0,158,129,0,189,Staci L. Weaver,Staci
COLLI,56,PCT 056,3454,171,0,88,59,0,24,Staci L. Weaver,Staci
COLLI,57,PCT 057,5126,748,0,306,254,0,188,Staci L. Weaver,Staci
COLLI,58,PCT 058,3491,302,0,136,126,0,40,Staci L. Weaver,Staci
COLLI,59,PCT 059,3908,193,0,118,65,0,10,Staci L. Weaver,Staci
COLLI,6,PCT 006,1614,58,0,22,32,0,4,Tamara Thomas,Tamara
COLLI,60,PCT 060,3280,434,0,203,107,0,124,Staci L. Weaver,Staci
COLLI,61,PCT 061,1651,291,0,149,99,0,43,Staci L. Weaver,Staci
COLLI,62,PCT 062,2495,337,0,147,161,0,29,Tamara Thomas,Tamara
COLLI,63,PCT 063,2002,383,0,197,139,0,47,Staci L. Weaver,Staci
COLLI,64,PCT 064,2532,364,0,163,158,0,43,Staci L. Weaver,Staci
COLLI,65,PCT 065,1195,158,0,70,72,0,16,Tamara Thomas,Tamara
COLLI,66,PCT 066,2136,250,0,121,96,0,33,Staci L. Weaver,Staci
COLLI,67,PCT 067,2823,240,0,120,102,0,18,Staci L. Weaver,Staci
COLLI,68,PCT 068,1979,197,0,87,86,0,24,Staci L. Weaver,Staci
COLLI,69,PCT 069,3775,648,0,315,244,0,89,Staci L. Weaver,Staci
COLLI,7,PCT 007,1505,57,0,21,32,0,4,Tamara Thomas,Tamara
COLLI,70,PCT 070,1847,247,0,118,103,0,26,Staci L. Weaver,Staci
COLLI,71,PCT 071,1764,251,0,119,107,0,25,Staci L. Weaver,Staci
COLLI,72,PCT 072,1658,206,0,127,64,0,15,Staci L. Weaver,Staci
COLLI,73,PCT 073,1829,154,0,54,64,0,36,Tamara Thomas,Tamara
COLLI,74,PCT 074,1927,305,0,123,78,0,104,Staci L. Weaver,Staci
COLLI,75,PCT 075,2284,249,0,144,72,0,33,Staci L. Weaver,Staci
COLLI,76,PCT 076,3203,501,0,260,171,0,70,Staci L. Weaver,Staci
COLLI,77,PCT 077,3558,403,0,186,169,0,48,Staci L. Weaver,Staci
COLLI,78,PCT 078,4635,450,0,201,140,0,109,Staci L. Weaver,Staci
COLLI,79,PCT 079,2615,295,0,121,77,0,97,Staci L. Weaver,Staci
COLLI,8,PCT 008,6983,43,0,29,14,0,0,Staci L. Weaver,Staci
COLLI,80,PCT 080,3516,168,0,74,81,0,13,Tamara Thomas,Tamara
COLLI,81,PCT 081,2827,371,0,155,170,0,46,Tamara Thomas,Tamara
COLLI,82,PCT 082,2898,98,0,51,39,0,8,Staci L. Weaver,Staci
COLLI,83,PCT 083,4171,281,0,170,66,0,45,Staci L. Weaver,Staci
COLLI,84,PCT 084,2446,336,0,156,79,0,101,Staci L. Weaver,Staci
COLLI,85,PCT 085,3332,337,0,151,161,0,25,Tamara Thomas,Tamara
COLLI,86,PCT 086,2959,348,0,190,118,0,40,Staci L. Weaver,Staci
COLLI,87,PCT 087,3503,689,0,281,263,0,145,Staci L. Weaver,Staci
COLLI,88,PCT 088,1412,57,0,21,17,0,19,Staci L. Weaver,Staci
COLLI,89,PCT 089,3137,375,0,191,144,0,40,Staci L. Weaver,Staci
COLLI,9,PCT 009,5200,44,0,21,16,0,7,Staci L. Weaver,Staci
COLLI,90,PCT 090,3139,403,0,244,110,0,49,Staci L. Weaver,Staci
COLLI,91,PCT 091,2264,339,0,151,144,0,44,Staci L. Weaver,Staci
COLLI,92,PCT 092,4470,343,0,147,122,0,74,Staci L. Weaver,Staci
COLLI,93,PCT 093,288,19,0,8,2,0,9,Staci L. Weaver,Staci
COLLI,94,PCT 094,4147,720,0,280,225,0,215,Staci L. Weaver,Staci
COLLI,95,PCT 095,3031,137,0,58,57,0,22,Staci L. Weaver,Staci
COLLI,96,PCT 096,1390,100,0,48,33,0,19,Staci L. Weaver,Staci
COLLI,97,PCT 097,1301,484,0,233,89,0,162,Staci L. Weaver,Staci
COLLI,98,PCT 098,1569,154,0,65,48,0,41,Staci L. Weaver,Staci
COLLI,99,PCT 099,454,42,0,13,20,0,9,Tamara Thomas,Tamara
