COUNTY NUMBER,PRECINCT CODE,PRECINCT NAME,REGISTERED VOTERS TOTAL,BALLOTS CAST TOTAL,BALLOTS CAST BLANK,Write-in,DEM Jay Kleberg,"GRN Alfred Molison, Jr",REP Dawn Buckingham,OVER VOTES,UNDER VOTES,Winning Candidate,Winning Party
COLL,23,PCT 023,3117,1022,1,0,669,23,294,0,36,DEM Jay Kleberg,DEM
COLL,24,PCT 024,2375,927,5,0,556,22,328,0,21,DEM Jay Kleberg,DEM
COLL,25,PCT 025,3943,2150,8,2,976,36,1068,0,68,REP Dawn Buckingham,REP
COLL,26,PCT 026,1314,568,0,1,255,13,285,0,14,REP Dawn Buckingham,REP
COLL,27,PCT 027,2741,1317,0,0,518,24,740,0,35,REP Dawn Buckingham,REP
COLL,28,PCT 028,3618,2032,0,2,939,25,1010,0,56,REP Dawn Buckingham,REP
COLL,29,PCT 029,3981,2236,0,1,613,13,1566,0,43,REP Dawn Buckingham,REP
COLL,30,PCT 030,4909,2597,0,2,954,32,1538,0,71,REP Dawn Buckingham,REP
COLL,31,PCT 031,2058,1365,0,0,564,22,750,0,29,REP Dawn Buckingham,REP
COLL,32,PCT 032,2493,1546,0,0,631,20,852,0,43,REP Dawn Buckingham,REP
COLL,33,PCT 033,5001,2743,0,2,710,34,1928,0,69,REP Dawn Buckingham,REP
COLL,34,PCT 034,4438,2448,0,2,1264,26,1083,0,73,DEM Jay Kleberg,DEM
COLL,35,PCT 035,1733,887,0,1,139,7,718,0,22,REP Dawn Buckingham,REP
COLL,36,PCT 036,1985,1296,4,0,463,5,795,0,33,REP Dawn Buckingham,REP
COLL,37,PCT 037,2571,1392,1,0,175,13,1170,0,34,REP Dawn Buckingham,REP
COLL,38,PCT 038,3167,1369,0,0,687,26,623,0,33,DEM Jay Kleberg,DEM
COLL,39,PCT 039,3081,1510,0,1,808,22,628,0,51,DEM Jay Kleberg,DEM
COLL,40,PCT 040,3635,2040,1,2,703,31,1246,0,58,REP Dawn Buckingham,REP
COLL,41,PCT 041,4334,2545,0,1,776,21,1695,0,52,REP Dawn Buckingham,REP
COLL,42,PCT 042,1914,979,0,1,194,8,756,0,20,REP Dawn Buckingham,REP
COLL,43,PCT 043,3484,1467,0,2,736,23,665,0,41,DEM Jay Kleberg,DEM
COLL,44,PCT 044,1722,664,0,0,292,11,335,0,26,REP Dawn Buckingham,REP
COLL,45,PCT 045,3462,1910,0,1,673,16,1180,0,40,REP Dawn Buckingham,REP
COLL,46,PCT 046,3160,1253,1,2,665,31,511,0,44,DEM Jay Kleberg,DEM
COLL,47,PCT 047,2594,1391,0,1,680,21,654,0,35,DEM Jay Kleberg,DEM
COLL,48,PCT 048,3780,2160,0,0,1079,21,1010,0,50,DEM Jay Kleberg,DEM
COLL,49,PCT 049,2367,1482,0,0,622,15,804,0,41,REP Dawn Buckingham,REP
COLL,50,PCT 050,3099,1174,0,1,676,18,442,0,37,DEM Jay Kleberg,DEM
COLL,51,PCT 051,1727,645,0,1,357,12,257,0,18,DEM Jay Kleberg,DEM
COLL,52,PCT 052,4417,1789,0,1,999,31,698,0,60,DEM Jay Kleberg,DEM
COLL,53,PCT 053,2230,1413,0,0,605,25,740,0,43,REP Dawn Buckingham,REP
COLL,54,PCT 054,3547,1585,1,0,895,35,619,0,36,DEM Jay Kleberg,DEM
COLL,55,PCT 055,4130,2101,0,1,1248,48,716,0,88,DEM Jay Kleberg,DEM
COLL,56,PCT 056,3326,1711,0,0,604,27,1023,0,57,REP Dawn Buckingham,REP
COLL,57,PCT 057,5053,2489,0,2,1010,39,1368,0,70,REP Dawn Buckingham,REP
COLL,58,PCT 058,3704,1844,3,0,942,31,816,0,55,DEM Jay Kleberg,DEM
COLL,59,PCT 059,4025,2078,0,3,800,32,1195,0,48,REP Dawn Buckingham,REP
COLL,60,PCT 060,2967,1792,0,1,560,25,1154,0,52,REP Dawn Buckingham,REP
COLL,61,PCT 061,1662,994,0,0,401,9,555,0,29,REP Dawn Buckingham,REP
COLL,62,PCT 062,2605,1419,1,1,733,25,612,0,48,DEM Jay Kleberg,DEM
COLL,63,PCT 063,2039,1365,1,1,572,16,739,0,37,REP Dawn Buckingham,REP
COLL,64,PCT 064,2711,1446,0,1,711,23,670,0,41,DEM Jay Kleberg,DEM
COLL,65,PCT 065,1265,721,0,2,341,10,352,0,16,REP Dawn Buckingham,REP
COLL,66,PCT 066,2193,1197,0,0,569,24,569,0,35,REP Dawn Buckingham,REP
COLL,67,PCT 067,2878,1486,0,0,706,20,726,0,34,REP Dawn Buckingham,REP
COLL,68,PCT 068,2014,930,1,1,434,16,447,0,32,REP Dawn Buckingham,REP
COLL,69,PCT 069,3793,2297,0,1,997,31,1211,0,57,REP Dawn Buckingham,REP
COLL,70,PCT 070,1916,1156,0,0,475,17,631,0,33,REP Dawn Buckingham,REP
COLL,71,PCT 071,1815,1111,0,0,512,18,549,0,32,REP Dawn Buckingham,REP
COLL,72,PCT 072,1562,919,0,0,386,5,496,0,32,REP Dawn Buckingham,REP
COLL,73,PCT 073,1999,906,3,0,533,14,323,0,36,DEM Jay Kleberg,DEM
COLL,74,PCT 074,1930,1069,3,0,494,6,541,0,28,REP Dawn Buckingham,REP
COLL,75,PCT 075,2308,1334,0,0,509,12,779,0,34,REP Dawn Buckingham,REP
COLL,76,PCT 076,3323,1952,1,1,798,24,1063,0,66,REP Dawn Buckingham,REP
COLL,77,PCT 077,3740,1864,0,2,1009,31,785,0,37,DEM Jay Kleberg,DEM
COLL,78,PCT 078,4724,2246,1,1,1232,30,921,0,62,DEM Jay Kleberg,DEM
COLL,79,PCT 079,2787,1325,9,2,595,20,673,0,35,REP Dawn Buckingham,REP
COLL,80,PCT 080,3640,1854,0,2,841,23,945,0,43,REP Dawn Buckingham,REP
COLL,81,PCT 081,2865,1535,1,0,755,26,690,0,64,DEM Jay Kleberg,DEM
COLL,82,PCT 082,2983,1390,0,2,676,16,675,0,21,DEM Jay Kleberg,DEM
COLL,83,PCT 083,4036,2063,0,1,625,25,1344,0,68,REP Dawn Buckingham,REP
COLL,84,PCT 084,2439,1317,9,0,574,5,694,0,44,REP Dawn Buckingham,REP
COLL,85,PCT 085,3183,1666,0,0,897,27,696,0,46,DEM Jay Kleberg,DEM
COLL,86,PCT 086,2972,1728,0,1,778,17,891,0,41,REP Dawn Buckingham,REP
COLL,87,PCT 087,3017,1462,0,0,837,14,575,0,36,DEM Jay Kleberg,DEM
COLL,88,PCT 088,2051,697,7,3,468,18,189,0,19,DEM Jay Kleberg,DEM
COLL,89,PCT 089,3232,1783,0,1,821,17,904,0,40,REP Dawn Buckingham,REP
COLL,90,PCT 090,3267,1934,0,1,666,13,1205,0,49,REP Dawn Buckingham,REP
COLL,91,PCT 091,2319,1384,0,0,673,20,655,0,36,DEM Jay Kleberg,DEM
COLL,92,PCT 092,4113,1733,0,0,835,21,833,0,44,DEM Jay Kleberg,DEM
COLL,93,PCT 093,287,157,0,0,19,2,131,0,5,REP Dawn Buckingham,REP
COLL,94,PCT 094,4227,2445,0,3,1252,15,1112,0,63,DEM Jay Kleberg,DEM
COLL,95,PCT 095,3101,1614,2,0,738,17,816,0,43,REP Dawn Buckingham,REP
COLL,96,PCT 096,1450,525,0,0,209,10,290,0,16,REP Dawn Buckingham,REP
COLL,97,PCT 097,1332,927,0,1,246,7,646,0,27,REP Dawn Buckingham,REP
COLL,98,PCT 098,1482,711,0,0,258,11,417,0,25,REP Dawn Buckingham,REP
COLL,99,PCT 099,291,126,0,0,79,5,41,0,1,DEM Jay Kleberg,DEM
COLL,100,PCT 100,29,5,0,0,2,0,3,0,0,REP Dawn Buckingham,REP
COLL,101,PCT 101,4006,2022,0,2,896,25,1051,0,48,REP Dawn Buckingham,REP
COLL,102,PCT 102,2552,1654,1,1,496,18,1092,0,47,REP Dawn Buckingham,REP
COLL,103,PCT 103,1401,570,0,0,287,16,251,0,16,DEM Jay Kleberg,DEM
COLL,104,PCT 104,2569,847,4,0,531,20,283,0,13,DEM Jay Kleberg,DEM
COLL,105,PCT 105,33,4,0,0,2,0,2,0,0,REP Dawn Buckingham,REP
COLL,106,PCT 106,1937,1003,0,1,474,15,494,0,19,REP Dawn Buckingham,REP
COLL,107,PCT 107,3385,1951,0,3,951,19,928,0,50,DEM Jay Kleberg,DEM
COLL,108,PCT 108,2970,1563,1,0,807,11,691,0,54,DEM Jay Kleberg,DEM
COLL,109,PCT 109,4577,2453,0,0,983,18,1382,0,70,REP Dawn Buckingham,REP
COLL,110,PCT 110,2844,1563,1,1,696,18,813,0,35,REP Dawn Buckingham,REP
COLL,111,PCT 111,3027,1631,0,0,466,11,1124,0,30,REP Dawn Buckingham,REP
COLL,112,PCT 112,3135,1872,0,3,831,18,967,0,53,REP Dawn Buckingham,REP
COLL,113,PCT 113,3416,1506,0,0,684,38,740,0,44,REP Dawn Buckingham,REP
COLL,114,PCT 114,2533,1396,0,0,459,14,885,0,38,REP Dawn Buckingham,REP
COLL,115,PCT 115,3012,1729,10,1,870,14,786,0,58,DEM Jay Kleberg,DEM
COLL,116,PCT 116,4920,2748,0,3,1142,14,1508,0,81,REP Dawn Buckingham,REP
COLL,117,PCT 117,4367,2120,1,3,972,34,1054,0,57,REP Dawn Buckingham,REP
COLL,118,PCT 118,4315,2281,1,3,888,33,1293,0,64,REP Dawn Buckingham,REP
COLL,119,PCT 119,2374,1411,0,0,640,17,715,0,39,REP Dawn Buckingham,REP
COLL,120,PCT 120,3666,2126,0,1,811,23,1240,0,51,REP Dawn Buckingham,REP
COLL,121,PCT 121,2837,1545,0,0,866,20,614,0,45,DEM Jay Kleberg,DEM
COLL,122,PCT 122,5090,3024,0,1,912,19,1993,0,99,REP Dawn Buckingham,REP
COLL,123,PCT 123,2023,1141,0,0,441,5,663,0,32,REP Dawn Buckingham,REP
COLL,124,PCT 124,3253,1634,0,3,778,23,777,0,53,DEM Jay Kleberg,DEM
COLL,125,PCT 125,5196,2674,1,2,1372,49,1184,0,67,DEM Jay Kleberg,DEM
COLL,126,PCT 126,4804,2521,0,1,1115,32,1314,1,58,REP Dawn Buckingham,REP
COLL,127,PCT 127,3882,1912,0,3,865,25,966,0,53,REP Dawn Buckingham,REP
COLL,128,PCT 128,3071,1999,0,0,477,15,1455,0,52,REP Dawn Buckingham,REP
COLL,129,PCT 129,4501,2319,0,3,975,26,1258,0,57,REP Dawn Buckingham,REP
COLL,130,PCT 130,3867,2138,0,0,987,33,1055,0,63,REP Dawn Buckingham,REP
COLL,131,PCT 131,3119,1647,0,1,542,9,1049,0,46,REP Dawn Buckingham,REP
COLL,132,PCT 132,2834,1605,8,0,840,21,702,0,42,DEM Jay Kleberg,DEM
COLL,133,PCT 133,2855,1177,0,0,478,19,641,0,39,REP Dawn Buckingham,REP
COLL,134,PCT 134,4014,1906,0,0,975,20,877,0,34,DEM Jay Kleberg,DEM
COLL,135,PCT 135,4223,2152,2,1,1082,28,982,0,59,DEM Jay Kleberg,DEM
COLL,136,PCT 136,2003,1232,1,0,539,16,643,0,34,REP Dawn Buckingham,REP
COLL,137,PCT 137,2003,1099,0,1,422,8,628,0,40,REP Dawn Buckingham,REP
COLL,138,PCT 138,2101,1361,1,0,600,16,693,0,52,REP Dawn Buckingham,REP
COLL,139,PCT 139,4196,2067,0,1,1085,29,904,0,48,DEM Jay Kleberg,DEM
COLL,140,PCT 140,4861,2744,0,1,847,20,1802,0,74,REP Dawn Buckingham,REP
COLL,141,PCT 141,3457,2026,0,3,962,23,988,0,50,REP Dawn Buckingham,REP
COLL,142,PCT 142,2873,1741,15,1,888,20,787,0,45,DEM Jay Kleberg,DEM
COLL,143,PCT 143,2158,1288,0,0,534,9,719,0,26,REP Dawn Buckingham,REP
COLL,144,PCT 144,2874,1594,4,0,644,17,892,0,41,REP Dawn Buckingham,REP
COLL,145,PCT 145,1731,896,1,1,452,16,406,0,21,DEM Jay Kleberg,DEM
COLL,146,PCT 146,4877,2371,1,2,1089,35,1187,0,58,REP Dawn Buckingham,REP
COLL,147,PCT 147,2253,980,0,0,446,15,495,0,24,REP Dawn Buckingham,REP
COLL,148,PCT 148,661,405,1,0,155,5,233,0,12,REP Dawn Buckingham,REP
COLL,149,PCT 149,4442,2460,0,3,923,40,1436,0,58,REP Dawn Buckingham,REP
COLL,150,PCT 150,2788,1902,0,1,579,20,1259,0,43,REP Dawn Buckingham,REP
COLL,151,PCT 151,1772,893,0,0,434,14,421,0,24,DEM Jay Kleberg,DEM
COLL,152,PCT 152,187,92,0,0,62,0,30,0,0,DEM Jay Kleberg,DEM
COLL,153,PCT 153,4939,2503,6,2,1004,18,1404,0,75,REP Dawn Buckingham,REP
COLL,154,PCT 154,1939,1158,0,1,207,7,919,0,24,REP Dawn Buckingham,REP
COLL,155,PCT 155,2911,1553,0,0,609,18,898,0,28,REP Dawn Buckingham,REP
COLL,156,PCT 156,3726,1870,0,0,787,29,1004,0,50,REP Dawn Buckingham,REP
COLL,157,PCT 157,4029,2164,0,1,989,20,1104,0,50,REP Dawn Buckingham,REP
COLL,158,PCT 158,2781,1427,0,2,733,14,640,0,38,DEM Jay Kleberg,DEM
COLL,159,PCT 159,3284,1445,1,1,666,20,707,0,51,REP Dawn Buckingham,REP
COLL,160,PCT 160,434,283,0,0,28,1,248,0,6,REP Dawn Buckingham,REP
COLL,161,PCT 161,292,152,0,0,40,2,107,0,3,REP Dawn Buckingham,REP
COLL,162,PCT 162,328,229,0,1,37,3,181,0,7,REP Dawn Buckingham,REP
COLL,163,PCT 163,2180,1028,0,0,411,8,590,0,19,REP Dawn Buckingham,REP
COLL,164,PCT 164,2052,1392,100,0,612,10,724,0,46,REP Dawn Buckingham,REP
COLL,165,PCT 165,934,557,0,0,177,9,360,0,11,REP Dawn Buckingham,REP
COLL,166,PCT 166,4174,2127,5,1,891,24,1146,0,65,REP Dawn Buckingham,REP
COLL,167,PCT 167,5051,2653,0,1,1413,29,1122,0,88,DEM Jay Kleberg,DEM
COLL,168,PCT 168,1923,1113,1,3,286,14,765,0,45,REP Dawn Buckingham,REP
COLL,169,PCT 169,3342,1772,0,3,843,23,852,0,51,REP Dawn Buckingham,REP
COLL,170,PCT 170,1882,1007,3,1,351,17,602,0,36,REP Dawn Buckingham,REP
COLL,171,PCT 171,2490,1222,1,2,545,18,623,0,34,REP Dawn Buckingham,REP
COLL,172,PCT 172,6178,2987,0,5,932,38,1933,0,79,REP Dawn Buckingham,REP
COLL,173,PCT 173,650,389,0,0,108,2,270,0,9,REP Dawn Buckingham,REP
COLL,174,PCT 174,4497,2129,1,1,832,33,1208,0,55,REP Dawn Buckingham,REP
COLL,175,PCT 175,1978,1116,0,0,398,8,671,0,39,REP Dawn Buckingham,REP
COLL,176,PCT 176,4032,1467,0,1,795,23,615,0,33,DEM Jay Kleberg,DEM
COLL,177,PCT 177,3203,1500,0,1,527,10,940,0,22,REP Dawn Buckingham,REP
COLL,178,PCT 178,3002,1556,0,2,356,13,1150,0,35,REP Dawn Buckingham,REP
COLL,179,PCT 179,4634,3237,0,2,802,16,2324,0,93,REP Dawn Buckingham,REP
COLL,180,PCT 180,3313,1580,0,0,702,22,806,0,50,REP Dawn Buckingham,REP
COLL,181,PCT 181,2563,1147,0,1,375,16,724,0,31,REP Dawn Buckingham,REP
COLL,182,PCT 182,3909,2004,0,2,860,21,1076,0,45,REP Dawn Buckingham,REP
COLL,183,PCT 183,115,46,0,0,11,1,34,0,0,REP Dawn Buckingham,REP
COLL,184,PCT 184,3232,1307,1,0,659,23,599,0,26,DEM Jay Kleberg,DEM
COLL,185,PCT 185,48,22,0,0,8,0,14,0,0,REP Dawn Buckingham,REP
COLL,186,PCT 186,146,68,0,0,10,0,56,0,2,REP Dawn Buckingham,REP
COLL,187,PCT 187,573,337,0,0,35,1,298,0,3,REP Dawn Buckingham,REP
COLL,188,PCT 188,64,41,0,0,5,0,35,0,1,REP Dawn Buckingham,REP
COLL,189,PCT 189,849,440,1,0,60,2,370,0,8,REP Dawn Buckingham,REP
COLL,190,PCT 190,82,42,0,0,7,0,33,0,2,REP Dawn Buckingham,REP
COLL,191,PCT 191,603,227,0,0,50,2,173,0,2,REP Dawn Buckingham,REP
COLL,192,PCT 192,3404,1841,1,1,390,26,1373,0,51,REP Dawn Buckingham,REP
COLL,193,PCT 193,1193,604,0,0,128,6,455,0,15,REP Dawn Buckingham,REP
COLL,194,PCT 194,31,17,0,0,2,0,15,0,0,REP Dawn Buckingham,REP
COLL,195,PCT 195,916,541,0,0,118,6,403,0,14,REP Dawn Buckingham,REP
COLL,196,PCT 196,1904,994,0,1,381,17,574,0,21,REP Dawn Buckingham,REP
COLL,197,PCT 197,1283,681,0,0,368,8,283,0,22,DEM Jay Kleberg,DEM
COLL,198,PCT 198,124,65,0,0,5,0,60,0,0,REP Dawn Buckingham,REP
COLL,199,PCT 199,3269,1928,0,1,478,10,1409,0,30,REP Dawn Buckingham,REP
COLL,200,PCT 200,1943,991,1,0,253,12,698,0,28,REP Dawn Buckingham,REP
COLL,201,PCT 201,0,0,0,0,0,0,0,0,0,REP Dawn Buckingham,REP
COLL,202,PCT 202,2,2,0,0,1,1,0,0,0,DEM Jay Kleberg,DEM
COLL,203,PCT 203,3150,1853,0,0,607,16,1167,0,63,REP Dawn Buckingham,REP
COLL,204,PCT 204,349,230,0,0,65,4,151,0,10,REP Dawn Buckingham,REP
COLL,205,PCT 205,34,18,0,0,5,0,13,0,0,REP Dawn Buckingham,REP
COLL,205,PCT 205,34,0,0,0,0,0,0,0,0,REP Dawn Buckingham,REP
COLL,206,PCT 206,1781,996,0,0,358,4,594,0,40,REP Dawn Buckingham,REP
COLL,207,PCT 207,3993,2125,1,2,742,25,1296,0,60,REP Dawn Buckingham,REP
COLL,208,PCT 208,3375,2140,0,1,697,23,1364,0,55,REP Dawn Buckingham,REP
COLL,209,PCT 209,1187,614,0,0,226,10,375,0,3,REP Dawn Buckingham,REP
COLL,210,PCT 210,1661,914,1,0,467,10,405,0,32,DEM Jay Kleberg,DEM
COLL,211,PCT 211,3302,1758,1,0,672,18,1018,0,50,REP Dawn Buckingham,REP
COLL,212,PCT 212,5564,2799,1,0,1411,27,1282,0,79,DEM Jay Kleberg,DEM
COLL,213,PCT 213,3612,1848,0,0,869,23,918,0,38,REP Dawn Buckingham,REP
COLL,214,PCT 214,4427,2716,0,0,537,13,2115,0,51,REP Dawn Buckingham,REP
COLL,215,PCT 215,2543,1056,0,1,317,10,698,0,30,REP Dawn Buckingham,REP
COLL,216,PCT 216,6210,3332,0,1,974,26,2258,0,73,REP Dawn Buckingham,REP
COLL,217,PCT 217,2919,1550,0,0,549,20,939,0,42,REP Dawn Buckingham,REP
COLL,218,PCT 218,4110,2281,1,0,1037,22,1179,0,43,REP Dawn Buckingham,REP
COLL,219,PCT 219,4072,2234,0,1,1031,27,1115,0,60,REP Dawn Buckingham,REP
COLL,220,PCT 220,4641,2219,0,1,1132,27,1008,0,51,DEM Jay Kleberg,DEM
COLL,221,PCT 221,5138,2874,0,3,903,32,1854,0,82,REP Dawn Buckingham,REP
COLL,222,PCT 222,3575,1933,0,1,901,5,982,0,44,REP Dawn Buckingham,REP
COLL,223,PCT 223,2154,1196,0,0,515,7,658,0,16,REP Dawn Buckingham,REP
COLL,224,PCT 224,3036,1808,0,0,428,6,1342,0,32,REP Dawn Buckingham,REP
COLL,225,PCT 225,3815,1819,0,0,900,18,868,0,33,DEM Jay Kleberg,DEM
COLL,226,PCT 226,4365,2250,0,0,1064,38,1093,0,55,REP Dawn Buckingham,REP
COLL,227,PCT 227,4310,2285,1,1,996,36,1184,0,68,REP Dawn Buckingham,REP
COLL,228,PCT 228,5265,2155,0,0,1005,30,1066,0,54,REP Dawn Buckingham,REP
COLL,229,PCT 229,1738,866,0,0,397,7,436,0,26,REP Dawn Buckingham,REP
COLL,230,PCT 230,4826,2039,0,2,982,26,971,0,58,DEM Jay Kleberg,DEM
COLL,231,PCT 231,3247,1754,0,1,683,19,1012,0,39,REP Dawn Buckingham,REP
COLL,232,PCT 232,3600,1991,0,1,739,30,1164,0,57,REP Dawn Buckingham,REP
COLL,233,PCT 233,1922,968,0,0,362,12,569,0,25,REP Dawn Buckingham,REP
COLL,234,PCT 234,2546,1484,0,0,728,12,714,0,30,DEM Jay Kleberg,DEM
COLL,235,PCT 235,1874,966,0,0,478,5,451,0,32,DEM Jay Kleberg,DEM
COLL,236,PCT 236,2889,1678,0,2,532,14,1080,0,50,REP Dawn Buckingham,REP
COLL,237,PCT 237,2253,1011,0,2,468,9,492,0,40,REP Dawn Buckingham,REP
COLL,238,PCT 238,3923,1715,0,1,872,23,772,0,47,DEM Jay Kleberg,DEM
COLL,239,PCT 239,4257,2284,0,2,596,18,1621,0,47,REP Dawn Buckingham,REP
COLL,240,PCT 240,6041,3348,0,1,842,28,2413,0,64,REP Dawn Buckingham,REP
COLL,241,PCT 241,1507,870,3,0,365,10,467,0,28,REP Dawn Buckingham,REP
COLL,242,PCT 242,3356,1912,0,1,772,15,1074,0,50,REP Dawn Buckingham,REP
COLL,243,PCT 243,1517,915,0,1,261,4,633,0,16,REP Dawn Buckingham,REP
COLL,244,PCT 244,3107,1762,0,3,714,20,973,0,52,REP Dawn Buckingham,REP
COLL,245,PCT 245,2774,1151,0,0,507,9,603,0,32,REP Dawn Buckingham,REP
COLL,246,PCT 246,2832,1691,0,2,724,18,914,0,33,REP Dawn Buckingham,REP
COLL,247,PCT 247,2148,1364,0,1,343,9,974,0,37,REP Dawn Buckingham,REP
COLL,248,PCT 248,2116,1087,0,0,459,11,587,0,30,REP Dawn Buckingham,REP
COLL,249,PCT LB 96,0,380,0,1,199,11,158,0,11,DEM Jay Kleberg,DEM
COLL,250,PCT LB 97,0,188,0,0,109,2,74,0,3,DEM Jay Kleberg,DEM
COLL,251,PCT LB 98,0,9,0,0,1,1,6,0,1,REP Dawn Buckingham,REP
COLL,252,PCT LB 99,0,0,0,0,0,0,0,0,0,REP Dawn Buckingham,REP
COLL,253,PCT LB 100,0,5,0,0,2,0,3,0,0,REP Dawn Buckingham,REP
COLL,254,PCT LB 101,0,0,0,0,0,0,0,0,0,REP Dawn Buckingham,REP
COLL,255,PCT LB 102,0,2,0,0,2,0,0,0,0,DEM Jay Kleberg,DEM
COLL,256,PCT LB 103,0,1,0,0,1,0,0,0,0,DEM Jay Kleberg,DEM
COLL,257,PCT LB 104,0,5,0,0,3,0,2,0,0,DEM Jay Kleberg,DEM
COLL,258,PCT LB 105,0,16,0,0,7,0,9,0,0,REP Dawn Buckingham,REP
COLL,259,PCT LB 106,0,0,0,0,0,0,0,0,0,REP Dawn Buckingham,REP
COLL,260,PCT LB 107,0,2,0,0,2,0,0,0,0,DEM Jay Kleberg,DEM
COLL,261,PCT LB 108,0,0,0,0,0,0,0,0,0,REP Dawn Buckingham,REP
COLL,262,PCT LB 109,0,0,0,0,0,0,0,0,0,REP Dawn Buckingham,REP
COLL,263,PCT LB 110,0,0,0,0,0,0,0,0,0,REP Dawn Buckingham,REP
COLL,264,PCT LB 111,0,0,0,0,0,0,0,0,0,REP Dawn Buckingham,REP
COLL,265,PCT LB 112,0,0,0,0,0,0,0,0,0,REP Dawn Buckingham,REP
COLL,266,PCT LB 113,0,0,0,0,0,0,0,0,0,REP Dawn Buckingham,REP
COLL,267,PCT LB 114,0,0,0,0,0,0,0,0,0,REP Dawn Buckingham,REP
