COUNTY NUMBER,PRECINCT CODE,PRECINCT NAME,REGISTERED VOTERS TOTAL,BALLOTS CAST TOTAL,BALLOTS CAST BLANK,Cindy Cash,David K. Setzer,Eusebio (Joe) Trujillo III,OVER VOTES,UNDER VOTES,Winning Candidate,Winning Party
COLL,127,PCT 127,3882,1912,0,0,0,0,0,0,Eusebio (Joe) Trujillo III,Eusebio
COLL,128,PCT 128,3071,1999,0,0,0,0,0,0,Eusebio (Joe) Trujillo III,Eusebio
COLL,129,PCT 129,4501,2319,0,0,0,0,0,0,Eusebio (Joe) Trujillo III,Eusebio
COLL,130,PCT 130,3867,2138,0,0,0,0,0,0,Eusebio (Joe) Trujillo III,Eusebio
COLL,131,PCT 131,3119,1647,0,0,0,0,0,0,Eusebio (Joe) Trujillo III,Eusebio
COLL,132,PCT 132,2834,1605,8,0,0,0,0,0,Eusebio (Joe) Trujillo III,Eusebio
COLL,133,PCT 133,2855,1177,0,0,0,0,0,0,Eusebio (Joe) Trujillo III,Eusebio
COLL,134,PCT 134,4014,1906,0,0,0,0,0,0,Eusebio (Joe) Trujillo III,Eusebio
COLL,135,PCT 135,4223,2152,2,0,0,0,0,0,Eusebio (Joe) Trujillo III,Eusebio
COLL,136,PCT 136,2003,1232,1,0,0,0,0,0,Eusebio (Joe) Trujillo III,Eusebio
COLL,137,PCT 137,2003,1099,0,0,0,0,0,0,Eusebio (Joe) Trujillo III,Eusebio
COLL,138,PCT 138,2101,1361,1,0,0,0,0,0,Eusebio (Joe) Trujillo III,Eusebio
COLL,139,PCT 139,4196,2067,0,0,0,0,0,0,Eusebio (Joe) Trujillo III,Eusebio
COLL,140,PCT 140,4861,2744,0,0,0,0,0,0,Eusebio (Joe) Trujillo III,Eusebio
COLL,141,PCT 141,3457,2026,0,0,0,0,0,0,Eusebio (Joe) Trujillo III,Eusebio
COLL,142,PCT 142,2873,1741,15,0,0,0,0,0,Eusebio (Joe) Trujillo III,Eusebio
COLL,143,PCT 143,2158,1288,0,0,0,0,0,0,Eusebio (Joe) Trujillo III,Eusebio
COLL,144,PCT 144,2874,1594,4,0,0,0,0,0,Eusebio (Joe) Trujillo III,Eusebio
COLL,145,PCT 145,1731,896,1,0,0,0,0,0,Eusebio (Joe) Trujillo III,Eusebio
COLL,146,PCT 146,4877,2371,1,0,0,0,0,0,Eusebio (Joe) Trujillo III,Eusebio
COLL,147,PCT 147,2253,980,0,0,0,0,0,0,Eusebio (Joe) Trujillo III,Eusebio
COLL,148,PCT 148,661,405,1,0,0,0,0,0,Eusebio (Joe) Trujillo III,Eusebio
COLL,149,PCT 149,4442,2460,0,0,0,0,0,0,Eusebio (Joe) Trujillo III,Eusebio
COLL,150,PCT 150,2788,1902,0,0,0,0,0,0,Eusebio (Joe) Trujillo III,Eusebio
COLL,151,PCT 151,1772,893,0,0,0,0,0,0,Eusebio (Joe) Trujillo III,Eusebio
COLL,152,PCT 152,187,92,0,0,0,0,0,0,Eusebio (Joe) Trujillo III,Eusebio
COLL,153,PCT 153,4939,2503,6,0,0,0,0,0,Eusebio (Joe) Trujillo III,Eusebio
COLL,154,PCT 154,1939,1158,0,0,0,0,0,0,Eusebio (Joe) Trujillo III,Eusebio
COLL,155,PCT 155,2911,1553,0,0,0,0,0,0,Eusebio (Joe) Trujillo III,Eusebio
COLL,156,PCT 156,3726,1870,0,0,0,0,0,0,Eusebio (Joe) Trujillo III,Eusebio
COLL,157,PCT 157,4029,2164,0,0,0,0,0,0,Eusebio (Joe) Trujillo III,Eusebio
COLL,158,PCT 158,2781,1427,0,0,0,0,0,0,Eusebio (Joe) Trujillo III,Eusebio
COLL,159,PCT 159,3284,1445,1,0,0,0,0,0,Eusebio (Joe) Trujillo III,Eusebio
COLL,160,PCT 160,434,283,0,0,0,0,0,0,Eusebio (Joe) Trujillo III,Eusebio
COLL,161,PCT 161,292,152,0,0,0,0,0,0,Eusebio (Joe) Trujillo III,Eusebio
COLL,162,PCT 162,328,229,0,0,0,0,0,0,Eusebio (Joe) Trujillo III,Eusebio
COLL,163,PCT 163,2180,1028,0,0,0,0,0,0,Eusebio (Joe) Trujillo III,Eusebio
COLL,164,PCT 164,2052,1392,100,0,0,0,0,0,Eusebio (Joe) Trujillo III,Eusebio
COLL,165,PCT 165,934,557,0,0,0,0,0,0,Eusebio (Joe) Trujillo III,Eusebio
COLL,166,PCT 166,4174,2127,5,0,0,0,0,0,Eusebio (Joe) Trujillo III,Eusebio
COLL,167,PCT 167,5051,2653,0,0,0,0,0,0,Eusebio (Joe) Trujillo III,Eusebio
COLL,168,PCT 168,1923,1113,1,0,0,0,0,0,Eusebio (Joe) Trujillo III,Eusebio
COLL,169,PCT 169,3342,1772,0,0,0,0,0,0,Eusebio (Joe) Trujillo III,Eusebio
COLL,170,PCT 170,1882,1007,3,0,0,0,0,0,Eusebio (Joe) Trujillo III,Eusebio
COLL,171,PCT 171,2490,1222,1,0,0,0,0,0,Eusebio (Joe) Trujillo III,Eusebio
COLL,172,PCT 172,6178,2987,0,0,0,0,0,0,Eusebio (Joe) Trujillo III,Eusebio
COLL,173,PCT 173,650,389,0,0,0,0,0,0,Eusebio (Joe) Trujillo III,Eusebio
COLL,174,PCT 174,4497,2129,1,0,0,0,0,0,Eusebio (Joe) Trujillo III,Eusebio
COLL,175,PCT 175,1978,1116,0,0,0,0,0,0,Eusebio (Joe) Trujillo III,Eusebio
COLL,176,PCT 176,4032,1467,0,0,0,0,0,0,Eusebio (Joe) Trujillo III,Eusebio
COLL,177,PCT 177,3203,1500,0,0,0,0,0,0,Eusebio (Joe) Trujillo III,Eusebio
COLL,178,PCT 178,3002,1556,0,0,0,0,0,0,Eusebio (Joe) Trujillo III,Eusebio
COLL,179,PCT 179,4634,3237,0,0,0,0,0,0,Eusebio (Joe) Trujillo III,Eusebio
COLL,180,PCT 180,3313,1580,0,0,0,0,0,0,Eusebio (Joe) Trujillo III,Eusebio
COLL,181,PCT 181,2563,1147,0,0,0,0,0,0,Eusebio (Joe) Trujillo III,Eusebio
COLL,182,PCT 182,3909,2004,0,0,0,0,0,0,Eusebio (Joe) Trujillo III,Eusebio
COLL,183,PCT 183,115,46,0,0,0,0,0,0,Eusebio (Joe) Trujillo III,Eusebio
COLL,184,PCT 184,3232,1307,1,0,0,0,0,0,Eusebio (Joe) Trujillo III,Eusebio
COLL,185,PCT 185,48,22,0,0,0,0,0,0,Eusebio (Joe) Trujillo III,Eusebio
COLL,186,PCT 186,146,68,0,0,0,0,0,0,Eusebio (Joe) Trujillo III,Eusebio
COLL,187,PCT 187,573,337,0,0,0,0,0,0,Eusebio (Joe) Trujillo III,Eusebio
COLL,188,PCT 188,64,41,0,0,0,0,0,0,Eusebio (Joe) Trujillo III,Eusebio
COLL,189,PCT 189,849,440,1,0,0,0,0,0,Eusebio (Joe) Trujillo III,Eusebio
