COUNTY NUMBER,PRECINCT CODE,PRECINCT NAME,REGISTERED VOTERS TOTAL,BALLOTS CAST TOTAL,BALLOTS CAST BLANK,DEM Nancy Kennedy,REP Kristina Williams,OVER VOTES,UNDER VOTES,Winning Candidate,Winning Party
COLL,40,PCT 040,3635,2040,1,705,1244,0,91,REP Kristina Williams,REP
COLL,41,PCT 041,4334,2545,0,807,1667,0,71,REP Kristina Williams,REP
COLL,42,PCT 042,1914,979,0,206,745,0,28,REP Kristina Williams,REP
COLL,43,PCT 043,3484,1467,0,733,680,0,54,DEM Nancy Kennedy,DEM
COLL,44,PCT 044,1722,664,0,298,332,0,34,REP Kristina Williams,REP
COLL,45,PCT 045,3462,1910,0,687,1164,0,59,REP Kristina Williams,REP
COLL,46,PCT 046,3160,1253,1,685,503,0,65,DEM Nancy Kennedy,DEM
COLL,47,PCT 047,2594,1391,0,694,653,0,44,DEM Nancy Kennedy,DEM
COLL,48,PCT 048,3780,2160,0,1094,986,0,80,DEM Nancy Kennedy,DEM
COLL,49,PCT 049,2367,1482,0,610,795,0,77,REP Kristina Williams,REP
COLL,50,PCT 050,3099,1174,0,685,441,0,48,DEM Nancy Kennedy,DEM
COLL,51,PCT 051,1727,645,0,365,249,0,31,DEM Nancy Kennedy,DEM
COLL,52,PCT 052,4417,1789,0,1030,687,0,72,DEM Nancy Kennedy,DEM
COLL,53,PCT 053,2230,1413,0,629,713,0,71,REP Kristina Williams,REP
COLL,54,PCT 054,3547,1585,1,900,619,0,66,DEM Nancy Kennedy,DEM
COLL,55,PCT 055,4130,2101,0,1275,706,0,120,DEM Nancy Kennedy,DEM
COLL,56,PCT 056,3326,1711,0,609,1021,0,81,REP Kristina Williams,REP
COLL,57,PCT 057,5053,2489,0,1031,1361,0,97,REP Kristina Williams,REP
COLL,58,PCT 058,3704,1844,3,942,817,0,85,DEM Nancy Kennedy,DEM
COLL,59,PCT 059,4025,2078,0,832,1170,0,76,REP Kristina Williams,REP
COLL,60,PCT 060,2967,1792,0,590,1124,0,78,REP Kristina Williams,REP
COLL,61,PCT 061,1662,994,0,397,558,0,39,REP Kristina Williams,REP
COLL,62,PCT 062,2605,1419,1,745,600,0,74,DEM Nancy Kennedy,DEM
COLL,63,PCT 063,2039,1365,1,557,738,0,70,REP Kristina Williams,REP
COLL,64,PCT 064,2711,1446,0,721,659,0,66,DEM Nancy Kennedy,DEM
COLL,65,PCT 065,1265,721,0,339,351,0,31,REP Kristina Williams,REP
COLL,66,PCT 066,2193,1197,0,571,574,1,51,REP Kristina Williams,REP
COLL,67,PCT 067,2878,1486,0,703,720,0,63,REP Kristina Williams,REP
COLL,68,PCT 068,2014,930,1,445,439,0,46,DEM Nancy Kennedy,DEM
COLL,69,PCT 069,3793,2297,0,1017,1175,0,105,REP Kristina Williams,REP
COLL,70,PCT 070,1916,1156,0,480,634,0,42,REP Kristina Williams,REP
COLL,71,PCT 071,1815,1111,0,521,533,0,57,REP Kristina Williams,REP
COLL,72,PCT 072,1562,919,0,383,502,0,34,REP Kristina Williams,REP
COLL,73,PCT 073,1999,906,3,554,311,0,41,DEM Nancy Kennedy,DEM
COLL,74,PCT 074,1930,1069,3,494,534,0,41,REP Kristina Williams,REP
COLL,75,PCT 075,2308,1334,0,496,773,0,65,REP Kristina Williams,REP
COLL,76,PCT 076,3323,1952,1,790,1064,0,98,REP Kristina Williams,REP
COLL,77,PCT 077,3740,1864,0,991,806,0,67,DEM Nancy Kennedy,DEM
COLL,78,PCT 078,4724,2246,1,1255,903,0,88,DEM Nancy Kennedy,DEM
COLL,79,PCT 079,2787,1325,9,601,670,0,54,REP Kristina Williams,REP
COLL,80,PCT 080,3640,1854,0,857,937,0,60,REP Kristina Williams,REP
COLL,81,PCT 081,2865,1535,1,764,691,0,80,DEM Nancy Kennedy,DEM
COLL,82,PCT 082,2983,1390,0,682,666,0,42,DEM Nancy Kennedy,DEM
COLL,83,PCT 083,4036,2063,0,644,1332,0,87,REP Kristina Williams,REP
COLL,84,PCT 084,2439,1317,9,558,699,0,60,REP Kristina Williams,REP
COLL,85,PCT 085,3183,1666,0,916,681,0,69,DEM Nancy Kennedy,DEM
COLL,86,PCT 086,2972,1728,0,761,899,0,68,REP Kristina Williams,REP
COLL,87,PCT 087,3017,1462,0,875,544,0,43,DEM Nancy Kennedy,DEM
COLL,88,PCT 088,2051,697,7,480,191,0,26,DEM Nancy Kennedy,DEM
COLL,89,PCT 089,3232,1783,0,829,889,0,65,REP Kristina Williams,REP
COLL,90,PCT 090,3267,1934,0,643,1202,0,89,REP Kristina Williams,REP
COLL,91,PCT 091,2319,1384,0,679,649,0,56,DEM Nancy Kennedy,DEM
COLL,92,PCT 092,4113,1733,0,862,806,0,65,DEM Nancy Kennedy,DEM
COLL,93,PCT 093,287,157,0,24,123,0,10,REP Kristina Williams,REP
COLL,94,PCT 094,4227,2445,0,1260,1085,0,100,DEM Nancy Kennedy,DEM
COLL,95,PCT 095,3101,1614,2,747,802,0,65,REP Kristina Williams,REP
COLL,96,PCT 096,1450,525,0,222,283,0,20,REP Kristina Williams,REP
COLL,97,PCT 097,1332,927,0,243,641,0,43,REP Kristina Williams,REP
COLL,98,PCT 098,1482,711,0,257,413,0,41,REP Kristina Williams,REP
COLL,99,PCT 099,291,126,0,79,44,0,3,DEM Nancy Kennedy,DEM
COLL,100,PCT 100,29,5,0,2,3,0,0,REP Kristina Williams,REP
COLL,101,PCT 101,4006,2022,0,918,1033,0,71,REP Kristina Williams,REP
COLL,102,PCT 102,2552,1654,1,497,1086,0,71,REP Kristina Williams,REP
COLL,103,PCT 103,1401,570,0,298,246,0,26,DEM Nancy Kennedy,DEM
COLL,104,PCT 104,2569,847,4,543,273,0,31,DEM Nancy Kennedy,DEM
COLL,105,PCT 105,33,4,0,2,2,0,0,REP Kristina Williams,REP
COLL,106,PCT 106,1937,1003,0,482,492,0,29,REP Kristina Williams,REP
COLL,107,PCT 107,3385,1951,0,964,917,0,70,DEM Nancy Kennedy,DEM
COLL,108,PCT 108,2970,1563,1,822,670,0,71,DEM Nancy Kennedy,DEM
COLL,109,PCT 109,4577,2453,0,995,1343,0,115,REP Kristina Williams,REP
COLL,110,PCT 110,2844,1563,1,699,804,0,60,REP Kristina Williams,REP
COLL,111,PCT 111,3027,1631,0,476,1113,0,42,REP Kristina Williams,REP
COLL,112,PCT 112,3135,1872,0,831,968,0,73,REP Kristina Williams,REP
COLL,113,PCT 113,3416,1506,0,719,722,0,65,REP Kristina Williams,REP
COLL,114,PCT 114,2533,1396,0,468,871,0,57,REP Kristina Williams,REP
COLL,115,PCT 115,3012,1729,10,854,779,0,96,DEM Nancy Kennedy,DEM
COLL,116,PCT 116,4920,2748,0,1128,1499,0,121,REP Kristina Williams,REP
COLL,117,PCT 117,4367,2120,1,994,1051,0,75,REP Kristina Williams,REP
COLL,118,PCT 118,4315,2281,1,914,1280,0,87,REP Kristina Williams,REP
COLL,119,PCT 119,2374,1411,0,640,717,0,54,REP Kristina Williams,REP
COLL,120,PCT 120,3666,2126,0,807,1243,0,76,REP Kristina Williams,REP
COLL,121,PCT 121,2837,1545,0,890,602,0,53,DEM Nancy Kennedy,DEM
COLL,122,PCT 122,5090,3024,0,899,1985,0,140,REP Kristina Williams,REP
COLL,123,PCT 123,2023,1141,0,437,659,0,45,REP Kristina Williams,REP
COLL,124,PCT 124,3253,1634,0,784,771,0,79,DEM Nancy Kennedy,DEM
COLL,125,PCT 125,5196,2674,1,1426,1153,0,95,DEM Nancy Kennedy,DEM
COLL,126,PCT 126,4804,2521,0,1153,1297,0,71,REP Kristina Williams,REP
COLL,127,PCT 127,3882,1912,0,884,947,0,81,REP Kristina Williams,REP
COLL,128,PCT 128,3071,1999,0,469,1449,0,81,REP Kristina Williams,REP
COLL,129,PCT 129,4501,2319,0,994,1244,0,81,REP Kristina Williams,REP
COLL,130,PCT 130,3867,2138,0,1024,1027,0,87,REP Kristina Williams,REP
COLL,131,PCT 131,3119,1647,0,549,1039,0,59,REP Kristina Williams,REP
COLL,132,PCT 132,2834,1605,8,839,699,0,67,DEM Nancy Kennedy,DEM
COLL,133,PCT 133,2855,1177,0,480,647,0,50,REP Kristina Williams,REP
COLL,134,PCT 134,4014,1906,0,988,872,0,46,DEM Nancy Kennedy,DEM
COLL,135,PCT 135,4223,2152,2,1106,969,0,77,DEM Nancy Kennedy,DEM
COLL,136,PCT 136,2003,1232,1,530,656,0,46,REP Kristina Williams,REP
COLL,137,PCT 137,2003,1099,0,418,630,0,51,REP Kristina Williams,REP
COLL,138,PCT 138,2101,1361,1,592,703,0,66,REP Kristina Williams,REP
COLL,139,PCT 139,4196,2067,0,1108,888,0,71,DEM Nancy Kennedy,DEM
COLL,140,PCT 140,4861,2744,0,849,1798,0,97,REP Kristina Williams,REP
COLL,141,PCT 141,3457,2026,0,957,987,0,82,REP Kristina Williams,REP
COLL,142,PCT 142,2873,1741,15,882,780,0,79,DEM Nancy Kennedy,DEM
COLL,143,PCT 143,2158,1288,0,517,723,0,48,REP Kristina Williams,REP
COLL,144,PCT 144,2874,1594,4,645,882,0,67,REP Kristina Williams,REP
COLL,145,PCT 145,1731,896,1,468,399,0,29,DEM Nancy Kennedy,DEM
COLL,146,PCT 146,4877,2371,1,1115,1173,0,83,REP Kristina Williams,REP
COLL,147,PCT 147,2253,980,0,462,480,0,38,REP Kristina Williams,REP
COLL,148,PCT 148,661,405,1,145,233,0,27,REP Kristina Williams,REP
COLL,149,PCT 149,4442,2460,0,952,1415,0,93,REP Kristina Williams,REP
COLL,150,PCT 150,2788,1902,0,605,1238,0,59,REP Kristina Williams,REP
COLL,151,PCT 151,1772,893,0,440,429,0,24,DEM Nancy Kennedy,DEM
COLL,152,PCT 152,187,92,0,64,28,0,0,DEM Nancy Kennedy,DEM
COLL,153,PCT 153,4939,2503,6,1004,1394,0,105,REP Kristina Williams,REP
COLL,154,PCT 154,1939,1158,0,216,912,0,30,REP Kristina Williams,REP
COLL,155,PCT 155,2911,1553,0,614,891,0,48,REP Kristina Williams,REP
COLL,156,PCT 156,3726,1870,0,794,996,0,80,REP Kristina Williams,REP
COLL,157,PCT 157,4029,2164,0,1007,1081,0,76,REP Kristina Williams,REP
COLL,158,PCT 158,2781,1427,0,757,616,0,54,DEM Nancy Kennedy,DEM
COLL,159,PCT 159,3284,1445,1,683,705,0,57,REP Kristina Williams,REP
COLL,160,PCT 160,434,283,0,27,247,0,9,REP Kristina Williams,REP
COLL,161,PCT 161,292,152,0,42,106,0,4,REP Kristina Williams,REP
COLL,162,PCT 162,328,229,0,37,183,0,9,REP Kristina Williams,REP
COLL,163,PCT 163,2180,1028,0,416,586,0,26,REP Kristina Williams,REP
COLL,164,PCT 164,2052,1392,100,566,703,0,123,REP Kristina Williams,REP
COLL,165,PCT 165,934,557,0,178,357,0,22,REP Kristina Williams,REP
COLL,166,PCT 166,4174,2127,5,893,1144,0,90,REP Kristina Williams,REP
COLL,167,PCT 167,5051,2653,0,1430,1111,0,112,DEM Nancy Kennedy,DEM
COLL,168,PCT 168,1923,1113,1,291,760,0,62,REP Kristina Williams,REP
COLL,169,PCT 169,3342,1772,0,872,840,0,60,DEM Nancy Kennedy,DEM
COLL,170,PCT 170,1882,1007,3,347,600,0,60,REP Kristina Williams,REP
COLL,171,PCT 171,2490,1222,1,565,606,0,51,REP Kristina Williams,REP
COLL,172,PCT 172,6178,2987,0,984,1905,0,98,REP Kristina Williams,REP
COLL,173,PCT 173,650,389,0,109,269,0,11,REP Kristina Williams,REP
COLL,174,PCT 174,4497,2129,1,851,1190,0,88,REP Kristina Williams,REP
COLL,175,PCT 175,1978,1116,0,416,645,0,55,REP Kristina Williams,REP
COLL,176,PCT 176,4032,1467,0,815,611,0,41,DEM Nancy Kennedy,DEM
COLL,177,PCT 177,3203,1500,0,528,932,0,40,REP Kristina Williams,REP
COLL,178,PCT 178,3002,1556,0,370,1134,0,52,REP Kristina Williams,REP
COLL,179,PCT 179,4634,3237,0,775,2296,0,166,REP Kristina Williams,REP
COLL,180,PCT 180,3313,1580,0,733,781,0,66,REP Kristina Williams,REP
COLL,181,PCT 181,2563,1147,0,395,714,0,38,REP Kristina Williams,REP
COLL,182,PCT 182,3909,2004,0,866,1063,0,75,REP Kristina Williams,REP
COLL,183,PCT 183,115,46,0,9,34,0,3,REP Kristina Williams,REP
COLL,184,PCT 184,3232,1307,1,674,592,0,41,DEM Nancy Kennedy,DEM
COLL,185,PCT 185,48,22,0,8,14,0,0,REP Kristina Williams,REP
COLL,186,PCT 186,146,68,0,10,54,0,4,REP Kristina Williams,REP
COLL,187,PCT 187,573,337,0,37,294,0,6,REP Kristina Williams,REP
COLL,188,PCT 188,64,41,0,5,33,0,3,REP Kristina Williams,REP
COLL,189,PCT 189,849,440,1,59,367,0,14,REP Kristina Williams,REP
COLL,190,PCT 190,82,42,0,6,34,0,2,REP Kristina Williams,REP
COLL,191,PCT 191,603,227,0,54,167,0,6,REP Kristina Williams,REP
COLL,192,PCT 192,3404,1841,1,417,1360,0,64,REP Kristina Williams,REP
COLL,193,PCT 193,1193,604,0,124,458,0,22,REP Kristina Williams,REP
COLL,194,PCT 194,31,17,0,2,14,0,1,REP Kristina Williams,REP
COLL,195,PCT 195,916,541,0,114,407,0,20,REP Kristina Williams,REP
COLL,196,PCT 196,1904,994,0,389,569,0,36,REP Kristina Williams,REP
COLL,197,PCT 197,1283,681,0,371,281,0,29,DEM Nancy Kennedy,DEM
COLL,198,PCT 198,124,65,0,5,60,0,0,REP Kristina Williams,REP
COLL,199,PCT 199,3269,1928,0,507,1376,0,45,REP Kristina Williams,REP
COLL,200,PCT 200,1943,991,1,251,700,0,40,REP Kristina Williams,REP
COLL,201,PCT 201,0,0,0,0,0,0,0,REP Kristina Williams,REP
COLL,202,PCT 202,2,2,0,2,0,0,0,DEM Nancy Kennedy,DEM
COLL,203,PCT 203,3150,1853,0,626,1139,0,88,REP Kristina Williams,REP
COLL,204,PCT 204,349,230,0,65,152,0,13,REP Kristina Williams,REP
COLL,205,PCT 205,34,18,0,5,13,0,0,REP Kristina Williams,REP
COLL,205,PCT 205,34,0,0,0,0,0,0,REP Kristina Williams,REP
COLL,206,PCT 206,1781,996,0,367,578,0,51,REP Kristina Williams,REP
COLL,207,PCT 207,3993,2125,1,756,1296,0,73,REP Kristina Williams,REP
COLL,208,PCT 208,3375,2140,0,696,1361,0,83,REP Kristina Williams,REP
COLL,209,PCT 209,1187,614,0,238,368,0,8,REP Kristina Williams,REP
COLL,210,PCT 210,1661,914,1,470,407,0,37,DEM Nancy Kennedy,DEM
COLL,211,PCT 211,3302,1758,1,687,1005,0,66,REP Kristina Williams,REP
COLL,212,PCT 212,5564,2799,1,1473,1213,0,113,DEM Nancy Kennedy,DEM
COLL,213,PCT 213,3612,1848,0,892,884,0,72,DEM Nancy Kennedy,DEM
COLL,214,PCT 214,4427,2716,0,563,2075,0,78,REP Kristina Williams,REP
COLL,215,PCT 215,2543,1056,0,320,698,0,38,REP Kristina Williams,REP
COLL,216,PCT 216,6210,3332,0,1011,2221,0,100,REP Kristina Williams,REP
COLL,217,PCT 217,2919,1550,0,568,931,0,51,REP Kristina Williams,REP
COLL,218,PCT 218,4110,2281,1,1065,1139,0,77,REP Kristina Williams,REP
COLL,219,PCT 219,4072,2234,0,1039,1115,0,80,REP Kristina Williams,REP
COLL,220,PCT 220,4641,2219,0,1171,983,0,65,DEM Nancy Kennedy,DEM
COLL,221,PCT 221,5138,2874,0,932,1840,0,102,REP Kristina Williams,REP
COLL,222,PCT 222,3575,1933,0,912,959,0,62,REP Kristina Williams,REP
COLL,223,PCT 223,2154,1196,0,508,653,0,35,REP Kristina Williams,REP
COLL,224,PCT 224,3036,1808,0,412,1344,0,52,REP Kristina Williams,REP
COLL,225,PCT 225,3815,1819,0,929,846,0,44,DEM Nancy Kennedy,DEM
COLL,226,PCT 226,4365,2250,0,1088,1072,0,90,DEM Nancy Kennedy,DEM
COLL,227,PCT 227,4310,2285,1,1039,1158,0,88,REP Kristina Williams,REP
COLL,228,PCT 228,5265,2155,0,1038,1038,0,79,REP Kristina Williams,REP
COLL,229,PCT 229,1738,866,0,406,433,0,27,REP Kristina Williams,REP
COLL,230,PCT 230,4826,2039,0,1014,955,0,70,DEM Nancy Kennedy,DEM
COLL,231,PCT 231,3247,1754,0,700,997,0,57,REP Kristina Williams,REP
COLL,232,PCT 232,3600,1991,0,740,1160,0,91,REP Kristina Williams,REP
COLL,233,PCT 233,1922,968,0,372,566,0,30,REP Kristina Williams,REP
COLL,234,PCT 234,2546,1484,0,761,690,0,33,DEM Nancy Kennedy,DEM
COLL,235,PCT 235,1874,966,0,473,451,0,42,DEM Nancy Kennedy,DEM
COLL,236,PCT 236,2889,1678,0,539,1073,0,66,REP Kristina Williams,REP
COLL,237,PCT 237,2253,1011,0,475,488,0,48,REP Kristina Williams,REP
COLL,238,PCT 238,3923,1715,0,890,767,0,58,DEM Nancy Kennedy,DEM
COLL,239,PCT 239,4257,2284,0,623,1604,0,57,REP Kristina Williams,REP
COLL,240,PCT 240,6041,3348,0,859,2382,0,107,REP Kristina Williams,REP
COLL,241,PCT 241,1507,870,3,366,454,0,50,REP Kristina Williams,REP
COLL,242,PCT 242,3356,1912,0,783,1062,0,67,REP Kristina Williams,REP
COLL,243,PCT 243,1517,915,0,259,622,0,34,REP Kristina Williams,REP
COLL,244,PCT 244,3107,1762,0,734,952,0,76,REP Kristina Williams,REP
COLL,245,PCT 245,2774,1151,0,514,589,0,48,REP Kristina Williams,REP
COLL,246,PCT 246,2832,1691,0,741,902,0,48,REP Kristina Williams,REP
COLL,247,PCT 247,2148,1364,0,351,968,0,45,REP Kristina Williams,REP
COLL,248,PCT 248,2116,1087,0,468,582,0,37,REP Kristina Williams,REP
COLL,249,PCT LB 96,0,380,0,0,0,0,0,REP Kristina Williams,REP
COLL,250,PCT LB 97,0,188,0,112,72,0,4,DEM Nancy Kennedy,DEM
COLL,251,PCT LB 98,0,9,0,0,0,0,0,REP Kristina Williams,REP
COLL,252,PCT LB 99,0,0,0,0,0,0,0,REP Kristina Williams,REP
COLL,253,PCT LB 100,0,5,0,0,0,0,0,REP Kristina Williams,REP
COLL,254,PCT LB 101,0,0,0,0,0,0,0,REP Kristina Williams,REP
COLL,255,PCT LB 102,0,2,0,0,0,0,0,REP Kristina Williams,REP
COLL,256,PCT LB 103,0,1,0,0,0,0,0,REP Kristina Williams,REP
COLL,257,PCT LB 104,0,5,0,0,0,0,0,REP Kristina Williams,REP
COLL,258,PCT LB 105,0,16,0,0,0,0,0,REP Kristina Williams,REP
COLL,259,PCT LB 106,0,0,0,0,0,0,0,REP Kristina Williams,REP
COLL,260,PCT LB 107,0,2,0,0,0,0,0,REP Kristina Williams,REP
COLL,261,PCT LB 108,0,0,0,0,0,0,0,REP Kristina Williams,REP
COLL,262,PCT LB 109,0,0,0,0,0,0,0,REP Kristina Williams,REP
COLL,263,PCT LB 110,0,0,0,0,0,0,0,REP Kristina Williams,REP
COLL,264,PCT LB 111,0,0,0,0,0,0,0,REP Kristina Williams,REP
COLL,265,PCT LB 112,0,0,0,0,0,0,0,REP Kristina Williams,REP
COLL,266,PCT LB 113,0,0,0,0,0,0,0,REP Kristina Williams,REP
COLL,267,PCT LB 114,0,0,0,0,0,0,0,REP Kristina Williams,REP
