COUNTY NUMBER,PRECINCT CODE,PRECINCT NAME,REGISTERED VOTERS TOTAL,BALLOTS CAST TOTAL,BALLOTS CAST BLANK,DEM Julia Maldonado,REP Evan Young,OVER VOTES,UNDER VOTES,Winning Candidate,Winning Party
COLL,148,PCT 148,661,405,1,148,239,0,18,REP Evan Young,REP
COLL,149,PCT 149,4442,2460,0,958,1444,0,58,REP Evan Young,REP
COLL,150,PCT 150,2788,1902,0,599,1252,0,51,REP Evan Young,REP
COLL,151,PCT 151,1772,893,0,449,423,0,21,DEM Julia Maldonado,DEM
COLL,152,PCT 152,187,92,0,65,27,0,0,DEM Julia Maldonado,DEM
COLL,153,PCT 153,4939,2503,6,1011,1405,0,87,REP Evan Young,REP
COLL,154,PCT 154,1939,1158,0,221,910,0,27,REP Evan Young,REP
COLL,155,PCT 155,2911,1553,0,627,887,0,39,REP Evan Young,REP
COLL,156,PCT 156,3726,1870,0,803,1002,0,65,REP Evan Young,REP
COLL,157,PCT 157,4029,2164,0,1024,1081,0,59,REP Evan Young,REP
COLL,158,PCT 158,2781,1427,0,767,614,0,46,DEM Julia Maldonado,DEM
COLL,159,PCT 159,3284,1445,1,680,714,0,51,REP Evan Young,REP
COLL,160,PCT 160,434,283,0,27,249,0,7,REP Evan Young,REP
COLL,161,PCT 161,292,152,0,43,106,0,3,REP Evan Young,REP
COLL,162,PCT 162,328,229,0,37,185,0,7,REP Evan Young,REP
COLL,163,PCT 163,2180,1028,0,425,584,0,19,REP Evan Young,REP
COLL,164,PCT 164,2052,1392,100,553,770,0,69,REP Evan Young,REP
COLL,165,PCT 165,934,557,0,180,359,0,18,REP Evan Young,REP
COLL,166,PCT 166,4174,2127,5,915,1143,0,69,REP Evan Young,REP
COLL,167,PCT 167,5051,2653,0,1432,1121,0,100,DEM Julia Maldonado,DEM
COLL,168,PCT 168,1923,1113,1,302,761,0,50,REP Evan Young,REP
COLL,169,PCT 169,3342,1772,0,879,845,0,48,DEM Julia Maldonado,DEM
COLL,170,PCT 170,1882,1007,3,352,610,0,45,REP Evan Young,REP
COLL,171,PCT 171,2490,1222,1,571,602,0,49,REP Evan Young,REP
COLL,172,PCT 172,6178,2987,0,991,1906,0,90,REP Evan Young,REP
COLL,173,PCT 173,650,389,0,110,272,0,7,REP Evan Young,REP
COLL,174,PCT 174,4497,2129,1,850,1209,0,70,REP Evan Young,REP
COLL,175,PCT 175,1978,1116,0,422,650,0,44,REP Evan Young,REP
COLL,176,PCT 176,4032,1467,0,825,610,0,32,DEM Julia Maldonado,DEM
