precinct,dem_voters,canvassed_share,canvassed_voters,generated_on
137,594,0.9135,543,2026-07-05
138,800,0.4454,356,2026-07-05
139,1824,0.4646,847,2026-07-05
140,885,0.3817,338,2026-07-05
141,1346,0.4350,586,2026-07-05
142,1141,0.6000,685,2026-07-05
143,665,0.9231,614,2026-07-05
144,899,0.0068,6,2026-07-05
145,706,0.9858,696,2026-07-05
146,1669,0.8519,1422,2026-07-05
147,831,0.6807,566,2026-07-05
148,310,0.0000,0,2026-07-05
149,1184,0.4806,569,2026-07-05
150,983,0.9894,973,2026-07-05
151,768,0.9861,757,2026-07-05
152,131,0.0000,0,2026-07-05
153,1697,0.0000,0,2026-07-05
154,310,0.0000,0,2026-07-05
155,780,0.4279,334,2026-07-05
156,1097,0.7833,859,2026-07-05
157,1573,0.2299,362,2026-07-05
158,1243,0.3377,420,2026-07-05
159,1399,0.0000,0,2026-07-05
160,24,1.0000,24,2026-07-05
161,41,0.8000,33,2026-07-05
162,100,0.9796,98,2026-07-05
163,704,0.0000,0,2026-07-05
164,731,0.5652,413,2026-07-05
165,224,0.0000,0,2026-07-05
166,1499,0.0000,0,2026-07-05
167,2374,0.4488,1065,2026-07-05
168,282,0.9625,271,2026-07-05
169,1240,0.2493,309,2026-07-05
170,469,0.0000,0,2026-07-05
171,1044,0.5040,526,2026-07-05
172,546,0.5746,314,2026-07-05
173,114,0.3846,44,2026-07-05
174,1302,0.0000,0,2026-07-05
175,513,0.0058,3,2026-07-05
176,1647,0.9394,1547,2026-07-05
177,948,0.0294,28,2026-07-05
178,434,0.3712,161,2026-07-05
179,651,0.0000,0,2026-07-05
180,1255,0.3259,409,2026-07-05
181,735,0.4513,332,2026-07-05
182,1223,0.0045,6,2026-07-05
183,10,,,2026-07-05
184,1107,0.9355,1036,2026-07-05
185,9,,,2026-07-05
186,8,,,2026-07-05
187,17,1.0000,17,2026-07-05
188,6,,,2026-07-05
189,88,0.7500,66,2026-07-05
190,2,,,2026-07-05
191,162,0.0417,7,2026-07-05
192,654,0.0000,0,2026-07-05
193,136,,,2026-07-05
194,2,,,2026-07-05
195,101,,,2026-07-05
196,584,0.3729,218,2026-07-05
197,624,0.3718,232,2026-07-05
198,5,,,2026-07-05
199,586,0.5500,322,2026-07-05
200,424,0.4628,196,2026-07-05
201,0,,,2026-07-05
202,2,,,2026-07-05
203,76,0.7727,59,2026-07-05
204,9,,,2026-07-05
205,489,,,2026-07-05
206,1040,0.5504,572,2026-07-05
207,1064,0.8593,914,2026-07-05
208,340,0.0000,0,2026-07-05
209,751,0.6019,452,2026-07-05
210,962,0.0000,0,2026-07-05
211,979,0.4829,473,2026-07-05
212,1243,0.5546,689,2026-07-05
213,553,0.1803,100,2026-07-05
214,674,0.0167,11,2026-07-05
215,809,0.5929,480,2026-07-05
216,818,0.6068,496,2026-07-05
217,1489,0.0060,9,2026-07-05
218,1686,0.6682,1127,2026-07-05
219,2289,0.9771,2237,2026-07-05
220,1064,0.3635,387,2026-07-05
221,1435,0.0065,9,2026-07-05
222,788,0.5542,437,2026-07-05
223,436,0.4051,177,2026-07-05
224,1627,0.4194,682,2026-07-05
225,1539,0.3290,506,2026-07-05
226,1346,0.3174,427,2026-07-05
227,2198,0.9892,2174,2026-07-05
228,752,0.4084,307,2026-07-05
229,2038,0.9818,2001,2026-07-05
230,1092,0.6364,695,2026-07-05
231,1081,0.3609,390,2026-07-05
232,582,0.0000,0,2026-07-05
233,1289,0.0000,0,2026-07-05
234,776,0.2500,194,2026-07-05
235,594,0.4737,281,2026-07-05
236,900,0.4130,372,2026-07-05
237,1705,0.0023,4,2026-07-05
238,693,0.3437,238,2026-07-05
239,639,0.0081,5,2026-07-05
240,475,0.6885,327,2026-07-05
241,1054,0.0000,0,2026-07-05
242,283,0.8425,238,2026-07-05
243,861,0.5000,430,2026-07-05
244,784,0.7284,571,2026-07-05
245,929,0.0860,80,2026-07-05
246,346,0.2950,102,2026-07-05
247,699,0.0000,0,2026-07-05
248,998,0.0000,0,2026-07-05
249,1730,0.4627,800,2026-07-05
250,531,0.6718,357,2026-07-05
251,460,0.7647,352,2026-07-05
252,286,0.9817,281,2026-07-05
