precinct,year,dem_ballots,rep_ballots
86,2022,196,452
87,2026,244,181
87,2024,74,206
87,2022,75,71
88,2026,168,76
88,2024,74,76
88,2022,109,65
89,2026,416,429
89,2024,174,438
89,2022,181,340
90,2026,322,690
90,2024,135,688
90,2022,141,588
91,2026,406,311
91,2024,180,347
91,2022,198,306
92,2026,573,392
92,2024,194,412
92,2022,195,270
93,2026,10,70
93,2024,5,79
93,2022,2,50
94,2026,697,617
94,2024,427,573
94,2022,345,457
95,2026,443,386
95,2024,153,391
95,2022,168,328
96,2026,151,97
96,2024,77,134
96,2022,75,100
97,2026,115,421
97,2024,60,414
97,2022,58,373
98,2026,210,200
98,2024,110,204
98,2022,71,192
99,2026,69,44
99,2024,19,31
99,2022,17,15
100,2026,181,243
100,2024,0,1
100,2022,0,1
101,2026,508,479
101,2024,172,497
101,2022,190,380
102,2026,315,609
102,2024,130,624
102,2022,125,535
103,2026,201,112
103,2024,63,104
103,2022,92,108
104,2026,288,145
104,2024,104,118
104,2022,136,107
105,2026,42,5
105,2024,1,1
105,2022,3,1
106,2026,253,251
106,2024,99,263
106,2022,111,233
107,2026,553,471
107,2024,249,512
107,2022,290,476
108,2026,448,354
108,2024,190,356
108,2022,217,288
109,2026,580,691
109,2024,201,730
109,2022,236,539
110,2026,449,487
110,2024,247,458
110,2022,209,402
111,2026,268,507
111,2024,87,503
111,2022,92,349
112,2026,440,477
112,2024,216,516
112,2022,234,472
113,2026,450,372
113,2024,134,358
113,2022,157,288
114,2026,625,556
114,2024,126,503
114,2022,91,308
115,2026,511,414
115,2024,233,408
115,2022,276,367
116,2026,586,846
116,2024,235,832
116,2022,260,679
117,2026,571,444
117,2024,228,486
117,2022,234,376
118,2026,541,574
118,2024,176,640
118,2022,170,447
119,2026,337,372
119,2024,153,384
119,2022,164,314
120,2026,454,728
120,2024,177,709
120,2022,178,590
121,2026,376,264
121,2024,153,308
121,2022,214,205
122,2026,541,982
122,2024,221,1087
122,2022,241,920
123,2026,273,333
123,2024,108,350
123,2022,119,293
124,2026,480,379
124,2024,185,412
124,2022,217,334
125,2026,314,286
125,2024,514,612
125,2022,332,484
126,2026,795,602
126,2024,301,646
126,2022,307,537
127,2026,563,433
127,2024,192,433
127,2022,208,345
128,2026,259,775
128,2024,96,834
128,2022,100,657
129,2026,607,611
129,2024,213,650
129,2022,233,575
130,2026,623,493
130,2024,230,497
130,2022,261,380
131,2026,360,535
131,2024,115,545
131,2022,143,449
132,2026,542,320
132,2024,224,324
132,2022,258,316
133,2026,364,322
133,2024,127,275
133,2022,116,211
134,2026,506,379
134,2024,197,392
134,2022,188,285
135,2026,568,428
135,2024,246,397
135,2022,280,386
136,2026,311,375
136,2024,187,362
136,2022,178,346
137,2026,244,333
137,2024,80,326
137,2022,84,237
138,2026,415,362
138,2024,136,382
138,2022,161,352
139,2026,537,401
139,2024,243,390
139,2022,283,353
140,2026,518,974
140,2024,254,1015
140,2022,230,877
141,2026,608,603
141,2024,295,630
141,2022,280,528
142,2026,504,402
142,2024,265,403
142,2022,325,380
143,2026,265,341
143,2024,115,388
143,2022,107,333
144,2026,423,562
144,2024,176,517
144,2022,192,382
145,2026,263,196
145,2024,100,190
145,2022,127,136
146,2026,630,488
146,2024,266,491
146,2022,279,368
147,2026,261,221
147,2024,76,225
147,2022,92,173
148,2026,144,286
148,2024,78,203
148,2022,38,113
149,2026,603,741
149,2024,210,708
149,2022,209,576
150,2026,353,596
150,2024,243,906
150,2022,181,482
151,2026,257,189
151,2024,106,184
151,2022,105,167
152,2026,41,11
152,2024,21,11
152,2022,20,9
153,2026,151,156
153,2024,219,686
153,2022,273,442
154,2026,284,531
154,2024,48,421
154,2022,39,285
155,2026,370,408
155,2024,130,463
155,2022,155,376
156,2026,541,477
156,2024,197,520
156,2022,208,439
157,2026,585,550
157,2024,178,550
157,2022,203,411
158,2026,413,320
158,2024,180,311
158,2022,160,228
159,2026,432,339
159,2024,154,333
159,2022,165,258
160,2026,26,135
160,2024,15,133
160,2022,10,122
161,2026,23,45
161,2024,14,60
161,2022,13,57
162,2026,127,172
162,2024,18,115
162,2022,5,78
163,2026,249,226
163,2024,108,285
163,2022,95,238
164,2026,385,542
164,2024,230,475
164,2022,194,414
165,2026,108,246
165,2024,52,248
165,2022,59,177
166,2026,560,687
166,2024,213,613
166,2022,230,386
167,2026,261,190
167,2024,281,556
167,2022,356,381
168,2026,175,381
168,2024,73,400
168,2022,69,311
169,2026,484,371
169,2024,186,410
169,2022,179,320
170,2026,244,291
170,2024,98,270
170,2022,91,192
171,2026,388,322
171,2024,125,281
171,2022,117,213
172,2026,347,465
172,2024,84,386
172,2022,240,640
173,2026,78,172
173,2024,26,172
173,2022,29,140
174,2026,539,541
174,2024,170,531
174,2022,196,400
175,2026,236,389
175,2024,92,352
175,2022,106,268
176,2026,432,197
176,2024,113,225
176,2022,154,167
177,2026,308,403
177,2024,99,410
177,2022,85,321
178,2026,294,505
178,2024,77,416
178,2022,75,298
179,2026,502,1445
179,2024,246,1386
179,2022,229,1279
180,2026,447,320
180,2024,148,358
180,2022,177,273
181,2026,356,356
181,2024,95,306
181,2022,68,252
182,2026,516,582
182,2024,224,563
182,2022,186,435
183,2026,11,35
183,2024,2,22
183,2022,3,9
184,2026,360,211
184,2024,110,218
184,2022,118,195
185,2026,410,489
185,2024,5,10
185,2022,1,9
186,2026,33,175
186,2024,2,25
186,2022,2,31
187,2026,114,94
187,2024,13,137
187,2022,9,116
188,2026,62,85
188,2024,1,20
188,2022,2,17
189,2026,212,424
189,2024,19,192
189,2022,16,131
190,2026,112,173
190,2024,3,18
190,2022,2,13
191,2026,92,108
191,2024,23,88
191,2022,7,60
192,2026,426,665
192,2024,125,733
192,2022,101,432
193,2026,114,292
193,2024,41,231
193,2022,35,194
194,2026,475,619
194,2024,2,3
194,2022,3,5
195,2026,73,223
195,2024,26,198
195,2022,20,168
196,2026,276,269
196,2024,94,287
196,2022,89,209
197,2026,174,128
197,2024,76,151
197,2022,83,112
198,2026,542,493
198,2024,5,27
198,2022,0,24
199,2026,375,645
199,2024,95,576
199,2022,83,305
200,2026,296,454
200,2024,61,392
200,2022,37,262
201,2024,0,0
201,2022,0,0
202,2026,2,0
202,2024,0,0
202,2022,0,0
203,2026,410,636
203,2024,170,651
203,2022,161,564
204,2026,41,107
204,2024,15,101
204,2022,17,99
205,2026,505,556
205,2024,2,5
205,2022,3,3
206,2026,270,313
206,2024,97,311
206,2022,83,260
207,2026,489,601
207,2024,172,644
207,2022,215,483
208,2026,498,727
208,2024,164,696
208,2022,141,479
209,2026,19,43
209,2024,51,131
209,2022,50,133
210,2026,221,306
210,2024,103,304
210,2022,106,147
211,2026,403,522
211,2024,154,541
211,2022,158,406
212,2026,288,309
212,2024,102,296
212,2022,222,297
213,2026,490,347
213,2024,161,379
213,2022,199,299
214,2026,246,869
214,2024,96,889
214,2022,115,696
215,2026,357,374
215,2024,81,339
215,2022,53,272
216,2026,526,829
216,2024,154,734
216,2022,228,798
217,2026,407,446
217,2024,126,468
217,2022,141,337
218,2026,467,591
218,2024,190,565
218,2022,191,407
219,2026,631,553
219,2024,204,534
219,2022,222,484
220,2026,282,184
220,2024,206,394
220,2022,186,263
221,2026,198,432
221,2024,202,990
221,2022,203,811
222,2026,516,512
222,2024,198,546
222,2022,207,367
223,2026,336,359
223,2024,113,351
223,2022,106,265
224,2026,279,682
224,2024,99,593
224,2022,94,462
225,2026,508,351
225,2024,166,392
225,2022,184,262
226,2026,643,447
226,2024,274,518
226,2022,286,475
227,2026,590,534
227,2024,207,534
227,2022,234,423
228,2026,605,314
228,2024,194,434
228,2022,224,325
229,2026,268,176
229,2024,75,198
229,2022,85,115
230,2026,605,383
230,2024,212,416
230,2022,203,315
231,2026,680,617
231,2024,203,522
231,2022,169,413
232,2026,532,549
232,2024,198,516
232,2022,202,398
233,2026,275,324
233,2024,93,270
233,2022,92,190
234,2026,436,346
234,2024,165,374
234,2022,118,224
235,2026,210,186
235,2024,87,214
235,2022,106,160
236,2026,349,608
236,2024,135,573
236,2022,138,458
237,2026,303,259
237,2024,96,214
237,2022,99,161
238,2026,544,273
238,2024,169,305
238,2022,177,234
239,2026,352,677
239,2024,121,605
239,2022,146,435
240,2026,381,642
240,2024,86,602
240,2022,160,785
241,2026,209,298
241,2024,93,292
241,2022,107,167
242,2026,449,552
242,2024,206,569
242,2022,195,439
243,2026,147,362
243,2024,66,362
243,2022,49,262
244,2026,388,461
244,2024,170,479
244,2022,159,359
245,2026,273,250
245,2024,69,269
245,2022,92,142
246,2026,381,523
246,2024,188,528
246,2022,209,419
247,2026,227,566
247,2024,72,522
247,2022,73,378
248,2026,242,246
248,2024,79,232
248,2022,95,184
249,2026,504,486
249,2024,154,538
250,2026,370,242
250,2024,152,247
251,2026,272,322
251,2024,88,289
252,2026,293,460
252,2024,68,415
253,2026,413,249
254,2026,143,109
255,2026,437,483
256,2026,76,190
257,2026,199,142
258,2026,497,429
259,2026,471,524
260,2026,29,96
261,2026,378,475
262,2026,464,324
263,2026,264,238
264,2026,467,639
266,2026,5,3
267,2026,5,2
271,2026,143,89
273,2026,24,75
