precinct,dem_voters,canvassed_share,canvassed_voters,generated_on
56,969,0.0000,0,2026-07-05
57,392,0.7070,277,2026-07-05
58,1569,0.5889,924,2026-07-05
59,1074,0.9693,1041,2026-07-05
60,723,0.1203,87,2026-07-05
61,530,0.3472,184,2026-07-05
62,1017,0.6151,626,2026-07-05
63,603,0.8524,514,2026-07-05
64,1082,0.9713,1051,2026-07-05
65,456,0.0000,0,2026-07-05
66,799,0.6508,520,2026-07-05
67,1091,0.3043,332,2026-07-05
68,812,0.2266,184,2026-07-05
69,1372,0.4519,620,2026-07-05
70,562,0.5053,284,2026-07-05
71,632,0.8528,539,2026-07-05
72,538,0.3773,203,2026-07-05
73,1042,0.8493,885,2026-07-05
74,625,0.8032,502,2026-07-05
75,703,0.9431,663,2026-07-05
76,1098,0.3716,408,2026-07-05
77,1613,0.5311,857,2026-07-05
78,2301,0.0000,0,2026-07-05
79,1095,0.6201,679,2026-07-05
80,1199,0.7790,934,2026-07-05
81,1196,0.8002,957,2026-07-05
82,1124,0.9484,1066,2026-07-05
83,882,0.0000,0,2026-07-05
84,855,0.5415,463,2026-07-05
85,1436,0.7615,1094,2026-07-05
86,1091,0.1201,131,2026-07-05
87,1695,0.2466,418,2026-07-05
88,1275,0.5765,735,2026-07-05
89,1129,0.9663,1091,2026-07-05
90,747,0.0080,6,2026-07-05
91,841,0.4649,391,2026-07-05
92,1575,0.0051,8,2026-07-05
93,5,1.0000,5,2026-07-05
94,1819,0.9904,1802,2026-07-05
95,1139,0.9614,1095,2026-07-05
96,555,0.8180,454,2026-07-05
97,212,1.0000,212,2026-07-05
98,426,0.1901,81,2026-07-05
99,182,0.5000,91,2026-07-05
100,348,0.1747,61,2026-07-05
101,1339,0.3749,502,2026-07-05
102,496,0.9335,463,2026-07-05
103,618,0.3269,202,2026-07-05
104,1642,0.3971,652,2026-07-05
105,42,,,2026-07-05
106,641,0.9938,637,2026-07-05
107,1303,0.7396,964,2026-07-05
108,1250,0.0000,0,2026-07-05
109,1395,0.3986,556,2026-07-05
110,964,0.5114,493,2026-07-05
111,595,0.4588,273,2026-07-05
112,1074,0.0484,52,2026-07-05
113,1195,0.7289,871,2026-07-05
114,980,0.0000,0,2026-07-05
115,1151,0.7680,884,2026-07-05
116,1586,0.0000,0,2026-07-05
117,1563,0.4491,702,2026-07-05
118,1039,0.3118,324,2026-07-05
119,852,0.9906,844,2026-07-05
120,940,0.3702,348,2026-07-05
121,1452,0.4293,623,2026-07-05
122,915,0.4120,377,2026-07-05
123,641,0.9548,612,2026-07-05
124,1246,0.6148,766,2026-07-05
125,1536,0.0302,46,2026-07-05
126,1561,0.5464,853,2026-07-05
127,1270,0.6598,838,2026-07-05
128,371,0.0000,0,2026-07-05
129,1559,1.0000,1559,2026-07-05
130,1585,0.0290,46,2026-07-05
131,674,0.1602,108,2026-07-05
132,1330,0.5992,797,2026-07-05
133,964,0.0000,0,2026-07-05
134,1687,0.3533,596,2026-07-05
135,1802,0.9695,1747,2026-07-05
136,715,0.7552,540,2026-07-05
137,594,0.9141,543,2026-07-05
138,800,0.4450,356,2026-07-05
139,1824,0.4644,847,2026-07-05
140,885,0.3819,338,2026-07-05
141,1346,0.4354,586,2026-07-05
142,1141,0.6004,685,2026-07-05
143,665,0.9233,614,2026-07-05
144,899,0.0067,6,2026-07-05
145,706,0.9858,696,2026-07-05
146,1669,0.8520,1422,2026-07-05
147,831,0.6811,566,2026-07-05
148,310,0.0000,0,2026-07-05
149,1673,0.3401,569,2026-07-05
150,435,0.9901,431,2026-07-05
151,768,0.9857,757,2026-07-05
152,131,0.0000,0,2026-07-05
153,861,0.0000,0,2026-07-05
154,308,0.0000,0,2026-07-05
155,780,0.4282,334,2026-07-05
156,1097,0.7830,859,2026-07-05
157,1573,0.2301,362,2026-07-05
158,1243,0.3379,420,2026-07-05
159,1399,0.0000,0,2026-07-05
160,24,1.0000,24,2026-07-05
161,41,0.8049,33,2026-07-05
162,100,0.9800,98,2026-07-05
163,704,0.0000,0,2026-07-05
164,731,0.5650,413,2026-07-05
165,224,0.0000,0,2026-07-05
166,1499,0.0000,0,2026-07-05
167,1258,0.4484,564,2026-07-05
168,282,0.9610,271,2026-07-05
169,1240,0.2492,309,2026-07-05
170,469,0.0000,0,2026-07-05
171,1044,0.5038,526,2026-07-05
172,546,0.5751,314,2026-07-05
173,114,0.3860,44,2026-07-05
174,1302,0.0000,0,2026-07-05
175,513,0.0058,3,2026-07-05
176,1647,0.9393,1547,2026-07-05
177,948,0.0295,28,2026-07-05
178,434,0.3710,161,2026-07-05
179,651,0.0000,0,2026-07-05
180,1255,0.3259,409,2026-07-05
181,735,0.4517,332,2026-07-05
182,1223,0.0049,6,2026-07-05
183,19,,,2026-07-05
184,1107,0.9359,1036,2026-07-05
185,589,0.9713,572,2026-07-05
186,25,0.6800,17,2026-07-05
187,195,0.7109,139,2026-07-05
188,807,0.7088,572,2026-07-05
189,105,0.7048,74,2026-07-05
190,244,0.0163,4,2026-07-05
191,162,0.0432,7,2026-07-05
192,402,0.0000,0,2026-07-05
193,138,,,2026-07-05
194,362,0.0063,2,2026-07-05
195,101,,,2026-07-05
196,584,0.3733,218,2026-07-05
197,624,0.3718,232,2026-07-05
198,548,0.9896,542,2026-07-05
199,586,0.5495,322,2026-07-05
200,424,0.4623,196,2026-07-05
201,,,,2026-07-05
202,2,,,2026-07-05
203,76,0.7763,59,2026-07-05
204,9,,,2026-07-05
205,836,0.0000,0,2026-07-05
206,1040,0.5500,572,2026-07-05
207,1064,0.8590,914,2026-07-05
208,340,0.0000,0,2026-07-05
209,230,0.6020,138,2026-07-05
210,962,0.0000,0,2026-07-05
211,979,0.4831,473,2026-07-05
212,1243,0.5543,689,2026-07-05
213,553,0.1808,100,2026-07-05
214,430,0.0163,7,2026-07-05
215,809,0.5933,480,2026-07-05
216,818,0.6064,496,2026-07-05
217,1489,0.0060,9,2026-07-05
218,1686,0.6684,1127,2026-07-05
219,2289,0.9773,2237,2026-07-05
220,509,0.3640,185,2026-07-05
221,547,0.0063,3,2026-07-05
222,788,0.5546,437,2026-07-05
223,436,0.4060,177,2026-07-05
224,1627,0.4192,682,2026-07-05
225,1539,0.3288,506,2026-07-05
226,1346,0.3172,427,2026-07-05
227,2198,0.9891,2174,2026-07-05
228,418,0.4083,171,2026-07-05
229,2038,0.9818,2001,2026-07-05
230,1092,0.6364,695,2026-07-05
231,1081,0.3608,390,2026-07-05
232,582,0.0000,0,2026-07-05
233,1289,0.0000,0,2026-07-05
234,776,0.2500,194,2026-07-05
235,594,0.4731,281,2026-07-05
236,900,0.4133,372,2026-07-05
237,1705,0.0023,4,2026-07-05
238,693,0.3434,238,2026-07-05
239,639,0.0078,5,2026-07-05
240,475,0.6884,327,2026-07-05
241,1054,0.0000,0,2026-07-05
242,283,0.8410,238,2026-07-05
243,861,0.4994,430,2026-07-05
244,784,0.7283,571,2026-07-05
245,929,0.0861,80,2026-07-05
246,346,0.2948,102,2026-07-05
247,699,0.0000,0,2026-07-05
248,998,0.0000,0,2026-07-05
249,1730,0.4624,800,2026-07-05
250,531,0.6723,357,2026-07-05
251,460,0.7652,352,2026-07-05
252,286,0.9825,281,2026-07-05
253,555,0.3635,202,2026-07-05
254,334,0.4082,136,2026-07-05
255,612,0.5376,329,2026-07-05
256,252,0.0000,0,2026-07-05
257,471,0.4072,192,2026-07-05
258,880,0.0302,27,2026-07-05
259,1161,0.7070,821,2026-07-05
260,158,0.0261,4,2026-07-05
261,888,0.0063,6,2026-07-05
262,1116,0.4488,501,2026-07-05
263,590,0.3282,194,2026-07-05
264,621,0.3963,246,2026-07-05
265,42,0.6899,29,2026-07-05
266,37,0.6066,22,2026-07-05
267,10,0.7747,8,2026-07-05
268,9,0.9382,8,2026-07-05
269,65,0.4310,28,2026-07-05
270,2,0.0000,0,2026-07-05
271,511,0.6015,307,2026-07-05
272,10,0.6181,6,2026-07-05
273,383,0.0000,0,2026-07-05
