precinct,asian,black,hispanic,others,white,total,pct_asian,pct_black,pct_hispanic,pct_others,pct_white
harris:509,885,1728,4010,72,4649,11344,7.80%,15.23%,35.35%,0.63%,40.98%
harris:510,634,2878,2177,0,2427,8083,7.84%,35.61%,26.93%,0.00%,30.03%
harris:522,316,290,829,109,2691,4235,7.46%,6.85%,19.57%,2.57%,63.54%
harris:547,195,377,1319,74,2356,4321,4.51%,8.72%,30.53%,1.71%,54.52%
harris:558,1220,3715,3030,11,1606,9582,12.73%,38.77%,31.62%,0.11%,16.76%
harris:569,1832,1296,1762,100,3995,8985,20.39%,14.42%,19.61%,1.11%,44.46%
harris:572,672,1939,2128,0,2582,7319,9.18%,26.49%,29.08%,0.00%,35.28%
harris:577,532,114,1098,10,1614,3368,15.80%,3.38%,32.60%,0.30%,47.92%
harris:619,1042,378,1059,103,4485,7067,14.74%,5.35%,14.99%,1.46%,63.46%
harris:625,385,595,628,25,1393,3026,12.72%,19.66%,20.75%,0.83%,46.03%
harris:626,841,2311,2122,14,3365,8653,9.72%,26.71%,24.52%,0.16%,38.89%
harris:639,85,225,1246,83,2314,3953,2.15%,5.69%,31.52%,2.10%,58.54%
harris:644,2285,1015,2198,18,3683,9199,24.84%,11.03%,23.89%,0.20%,40.04%
harris:645,1982,4149,2994,38,3486,12649,15.67%,32.80%,23.67%,0.30%,27.56%
harris:647,4620,4996,3338,0,457,13289,34.77%,37.60%,25.12%,0.00%,3.44%
harris:649,1923,3047,5104,0,705,10702,17.97%,28.47%,47.69%,0.00%,6.59%
harris:707,170,100,445,8,631,1354,12.56%,7.39%,32.87%,0.59%,46.60%
harris:711,2570,2180,2241,52,3221,10264,25.04%,21.24%,21.83%,0.51%,31.38%
harris:720,771,1546,3227,62,4379,9985,7.72%,15.48%,32.32%,0.62%,43.86%
harris:727,338,3933,1765,0,1045,6933,4.88%,56.73%,25.46%,0.00%,15.07%
harris:730,360,258,712,11,2196,3537,10.18%,7.29%,20.13%,0.31%,62.09%
harris:751,1511,2766,6927,148,6559,17911,8.44%,15.44%,38.67%,0.83%,36.62%
harris:761,282,73,266,25,1616,2262,12.47%,3.23%,11.76%,1.11%,71.44%
harris:772,934,291,779,95,4100,6199,15.07%,4.69%,12.57%,1.53%,66.14%
harris:773,3050,2099,2764,0,416,8254,36.95%,25.43%,33.49%,0.00%,5.04%
harris:899,692,146,295,49,1062,2244,30.84%,6.51%,13.15%,2.18%,47.33%
harris:942,30,22,38,0,129,214,14.02%,10.28%,17.76%,0.00%,60.28%
harris:973,212,200,1706,3,1183,3304,6.42%,6.05%,51.63%,0.09%,35.81%
harris:984,35,387,744,50,47,1263,2.77%,30.64%,58.91%,3.96%,3.72%
harris:1003,0,0,0,0,0,0,0.00%,0.00%,0.00%,0.00%,0.00%
jackson:1,80,693,1217,5,1646,3641,2.20%,19.03%,33.42%,0.14%,45.21%
jackson:2,17,105,1408,60,2006,3596,0.47%,2.92%,39.15%,1.67%,55.78%
jackson:3,52,193,761,74,2033,3113,1.67%,6.20%,24.45%,2.38%,65.31%
jackson:4,6,7,116,19,377,525,1.14%,1.33%,22.10%,3.62%,71.81%
jackson:5,19,35,256,23,610,943,2.01%,3.71%,27.15%,2.44%,64.69%
jackson:6,26,122,667,14,556,1385,1.88%,8.81%,48.16%,1.01%,40.14%
jackson:7,3,2,26,0,130,158,1.90%,1.27%,16.46%,0.00%,82.28%
jackson:8,10,10,236,17,557,830,1.20%,1.20%,28.43%,2.05%,67.11%
jackson:9,15,19,142,26,595,797,1.88%,2.38%,17.82%,3.26%,74.65%
matagorda:2,6,17,92,15,639,769,0.78%,2.21%,11.96%,1.95%,83.09%
matagorda:4,5,40,713,40,1254,2052,0.24%,1.95%,34.75%,1.95%,61.11%
matagorda:5,21,320,872,44,1751,3008,0.70%,10.64%,28.99%,1.46%,58.21%
matagorda:6,18,214,130,56,1256,1674,1.08%,12.78%,7.77%,3.35%,75.03%
matagorda:7,14,5,74,0,242,335,4.18%,1.49%,22.09%,0.00%,72.24%
matagorda:8,3,83,427,37,680,1230,0.24%,6.75%,34.72%,3.01%,55.28%
matagorda:9,1,42,36,5,99,183,0.55%,22.95%,19.67%,2.73%,54.10%
matagorda:10,4,13,99,7,378,501,0.80%,2.59%,19.76%,1.40%,75.45%
matagorda:12,8,6,274,15,249,552,1.45%,1.09%,49.64%,2.72%,45.11%
matagorda:13,11,103,41,2,283,440,2.50%,23.41%,9.32%,0.45%,64.32%
matagorda:1A,62,181,1695,40,1891,3869,1.60%,4.68%,43.81%,1.03%,48.88%
matagorda:1B,86,870,2491,4,2568,6019,1.43%,14.45%,41.39%,0.07%,42.66%
matagorda:1C,17,890,388,0,294,1581,1.08%,56.29%,24.54%,0.00%,18.60%
matagorda:1D,24,376,2312,0,746,3453,0.70%,10.89%,66.96%,0.00%,21.60%
matagorda:1E,49,862,1468,0,965,3332,1.47%,25.87%,44.06%,0.00%,28.96%
matagorda:1F,26,115,1151,14,442,1748,1.49%,6.58%,65.85%,0.80%,25.29%
matagorda:3A,444,153,2642,0,1010,4248,10.45%,3.60%,62.19%,0.00%,23.78%
matagorda:3B,57,40,550,6,608,1261,4.52%,3.17%,43.62%,0.48%,48.22%
waller:311,14,141,659,41,564,1419,0.99%,9.94%,46.44%,2.89%,39.75%
waller:312,36,94,813,50,1397,2390,1.51%,3.93%,34.02%,2.09%,58.45%
waller:313,58,139,1239,9,547,1992,2.91%,6.98%,62.20%,0.45%,27.46%
waller:418,268,451,1313,61,2883,4976,5.39%,9.06%,26.39%,1.23%,57.94%
waller:419,118,150,257,13,806,1344,8.78%,11.16%,19.12%,0.97%,59.97%
waller:420,242,200,575,82,2004,3103,7.80%,6.45%,18.53%,2.64%,64.58%
wharton:101,30,805,1676,11,1511,4033,0.74%,19.96%,41.56%,0.27%,37.47%
wharton:102,23,469,1061,43,1921,3517,0.65%,13.34%,30.17%,1.22%,54.62%
wharton:103,23,249,1565,24,1544,3405,0.68%,7.31%,45.96%,0.70%,45.35%
wharton:201,20,137,779,28,2508,3472,0.58%,3.95%,22.44%,0.81%,72.24%
wharton:202,1,576,258,0,346,1178,0.08%,48.90%,21.90%,0.00%,29.37%
wharton:203,47,1913,1794,0,1338,5081,0.93%,37.65%,35.31%,0.00%,26.33%
wharton:301,13,112,1148,29,2351,3653,0.36%,3.07%,31.43%,0.79%,64.36%
wharton:302,35,325,2089,8,1843,4300,0.81%,7.56%,48.58%,0.19%,42.86%
wharton:303,13,135,833,44,1921,2946,0.44%,4.58%,28.28%,1.49%,65.21%
wharton:401,38,868,3333,0,1376,5605,0.68%,15.49%,59.46%,0.00%,24.55%
wharton:402,9,239,1792,4,990,3034,0.30%,7.88%,59.06%,0.13%,32.63%
wharton:403,12,210,639,4,481,1346,0.89%,15.60%,47.47%,0.30%,35.74%
