precinct,party,candidate,votes
3024,DEM,Jasmine Crockett,341
3024,IND,IND Zachariah Manning,3
3024,LIB,Phil Gray,4
3024,REP,James Rodgers,22
3025,,Under Votes,3
3025,,Write-in,1
3025,DEM,Jasmine Crockett,39
3025,REP,James Rodgers,3
3026,,Under Votes,3
3026,DEM,Jasmine Crockett,208
3026,IND,IND Zachariah Manning,5
3026,LIB,Phil Gray,2
3026,REP,James Rodgers,8
3027,,Under Votes,8
3027,,Write-in,2
3027,DEM,Jasmine Crockett,347
3027,IND,IND Zachariah Manning,7
3027,LIB,Phil Gray,1
3027,REP,James Rodgers,18
3028,,Under Votes,1
3028,,Write-in,1
3028,DEM,Jasmine Crockett,270
3028,IND,IND Zachariah Manning,7
3028,LIB,Phil Gray,4
3028,REP,James Rodgers,14
3029,,Under Votes,7
3029,,Write-in,2
3029,DEM,Jasmine Crockett,210
3029,IND,IND Zachariah Manning,1
3029,LIB,Phil Gray,4
3029,REP,James Rodgers,7
3030,DEM,Jasmine Crockett,3
3031,,Under Votes,3
3031,,Write-in,2
3031,DEM,Jasmine Crockett,153
3031,IND,IND Zachariah Manning,4
3031,LIB,Phil Gray,4
3031,REP,James Rodgers,65
3033,DEM,Jasmine Crockett,91
3033,LIB,Phil Gray,1
3033,REP,James Rodgers,6
3034,,Under Votes,8
3034,DEM,Jasmine Crockett,424
3034,IND,IND Zachariah Manning,11
3034,LIB,Phil Gray,4
3034,REP,James Rodgers,13
3035,,Under Votes,11
3035,,Write-in,5
3035,DEM,Jasmine Crockett,372
3035,IND,IND Zachariah Manning,3
3035,LIB,Phil Gray,4
3035,REP,James Rodgers,27
3036,DEM,Jasmine Crockett,1
3036,REP,James Rodgers,1
3037,,Write-in,1
3037,DEM,Jasmine Crockett,122
3037,IND,IND Zachariah Manning,3
3037,REP,James Rodgers,8
3038,,Under Votes,5
3038,,Write-in,2
3038,DEM,Jasmine Crockett,308
3038,IND,IND Zachariah Manning,2
3038,LIB,Phil Gray,3
3038,REP,James Rodgers,18
3039,,Under Votes,6
3039,,Write-in,2
3039,DEM,Jasmine Crockett,689
3039,IND,IND Zachariah Manning,14
3039,LIB,Phil Gray,4
3039,REP,James Rodgers,34
3040,,Under Votes,2
3040,,Write-in,1
3040,DEM,Jasmine Crockett,258
3040,IND,IND Zachariah Manning,8
3040,LIB,Phil Gray,1
3040,REP,James Rodgers,13
3042,,Under Votes,8
3042,,Write-in,5
3042,DEM,Jasmine Crockett,324
3042,IND,IND Zachariah Manning,6
3042,LIB,Phil Gray,3
3042,REP,James Rodgers,15
3043,,Under Votes,11
3043,,Write-in,7
3043,DEM,Jasmine Crockett,491
3043,IND,IND Zachariah Manning,12
3043,LIB,Phil Gray,2
3043,REP,James Rodgers,17
3044,,Under Votes,13
3044,,Write-in,8
3044,DEM,Jasmine Crockett,630
3044,IND,IND Zachariah Manning,11
3044,LIB,Phil Gray,4
3044,REP,James Rodgers,31
3045,,Write-in,2
3045,DEM,Jasmine Crockett,201
3045,IND,IND Zachariah Manning,3
3045,LIB,Phil Gray,1
3045,REP,James Rodgers,15
3046,,Under Votes,18
3046,,Write-in,3
3046,DEM,Jasmine Crockett,879
3046,IND,IND Zachariah Manning,29
3046,LIB,Phil Gray,8
3046,REP,James Rodgers,133
3047,,Under Votes,5
3047,,Write-in,2
3047,DEM,Jasmine Crockett,394
3047,IND,IND Zachariah Manning,10
3047,LIB,Phil Gray,5
3047,REP,James Rodgers,139
3048,,Under Votes,9
3048,DEM,Jasmine Crockett,733
3048,IND,IND Zachariah Manning,17
3048,LIB,Phil Gray,5
3048,REP,James Rodgers,37
3049,,Under Votes,12
3049,,Write-in,5
3049,DEM,Jasmine Crockett,572
3049,IND,IND Zachariah Manning,11
3049,LIB,Phil Gray,3
3049,REP,James Rodgers,27
3050,,Under Votes,3
3050,,Write-in,3
3050,DEM,Jasmine Crockett,458
3050,IND,IND Zachariah Manning,3
3050,LIB,Phil Gray,5
3050,REP,James Rodgers,33
3051,,Under Votes,2
3051,DEM,Jasmine Crockett,222
3051,IND,IND Zachariah Manning,5
3051,LIB,Phil Gray,2
3051,REP,James Rodgers,14
3052,,Under Votes,11
3052,,Write-in,3
3052,DEM,Jasmine Crockett,591
3052,IND,IND Zachariah Manning,12
3052,LIB,Phil Gray,5
3052,REP,James Rodgers,30
3053,,Under Votes,15
3053,,Write-in,3
3053,DEM,Jasmine Crockett,631
3053,IND,IND Zachariah Manning,18
3053,LIB,Phil Gray,7
3053,REP,James Rodgers,49
3054,,Under Votes,20
3054,,Write-in,13
3054,DEM,Jasmine Crockett,1178
3054,IND,IND Zachariah Manning,29
3054,LIB,Phil Gray,6
3054,REP,James Rodgers,52
3055,,Under Votes,15
3055,,Write-in,8
3055,DEM,Jasmine Crockett,1070
3055,IND,IND Zachariah Manning,30
3055,LIB,Phil Gray,8
3055,REP,James Rodgers,71
3056,,Under Votes,24
3056,,Write-in,13
3056,DEM,Jasmine Crockett,1047
3056,IND,IND Zachariah Manning,22
3056,LIB,Phil Gray,5
3056,REP,James Rodgers,65
3057,,Under Votes,15
3057,,Write-in,3
3057,DEM,Jasmine Crockett,871
3057,IND,IND Zachariah Manning,24
3057,LIB,Phil Gray,4
3057,REP,James Rodgers,95
3058,,Under Votes,13
3058,,Write-in,2
3058,DEM,Jasmine Crockett,771
3058,IND,IND Zachariah Manning,14
3058,REP,James Rodgers,37
3059,,Under Votes,9
3059,,Write-in,2
3059,DEM,Jasmine Crockett,464
3059,IND,IND Zachariah Manning,10
3059,LIB,Phil Gray,4
3059,REP,James Rodgers,11
3060,,Under Votes,6
3060,,Write-in,1
3060,DEM,Jasmine Crockett,516
3060,IND,IND Zachariah Manning,10
3060,LIB,Phil Gray,4
3060,REP,James Rodgers,18
3061,,Under Votes,6
3061,,Write-in,4
3061,DEM,Jasmine Crockett,392
3061,IND,IND Zachariah Manning,11
3061,LIB,Phil Gray,3
3061,REP,James Rodgers,13
3062,,Under Votes,5
3062,,Write-in,7
3062,DEM,Jasmine Crockett,646
3062,IND,IND Zachariah Manning,15
3062,LIB,Phil Gray,3
3062,REP,James Rodgers,39
3063,,Under Votes,14
3063,,Write-in,11
3063,DEM,Jasmine Crockett,1073
3063,IND,IND Zachariah Manning,28
3063,LIB,Phil Gray,8
3063,REP,James Rodgers,71
3064,,Under Votes,11
3064,,Write-in,7
3064,DEM,Jasmine Crockett,1000
3064,IND,IND Zachariah Manning,21
3064,LIB,Phil Gray,2
3064,REP,James Rodgers,39
3065,,Under Votes,9
3065,,Write-in,4
3065,DEM,Jasmine Crockett,722
3065,IND,IND Zachariah Manning,18
3065,LIB,Phil Gray,6
3065,REP,James Rodgers,30
3066,,Under Votes,11
3066,,Write-in,5
3066,DEM,Jasmine Crockett,565
3066,IND,IND Zachariah Manning,13
3066,LIB,Phil Gray,1
3066,REP,James Rodgers,34
3067,,Under Votes,5
3067,,Write-in,3
3067,DEM,Jasmine Crockett,526
3067,IND,IND Zachariah Manning,11
3067,LIB,Phil Gray,2
3067,REP,James Rodgers,25
3068,,Under Votes,22
3068,,Write-in,11
3068,DEM,Jasmine Crockett,1258
3068,IND,IND Zachariah Manning,49
3068,LIB,Phil Gray,4
3068,REP,James Rodgers,79
3069,,Under Votes,6
3069,,Write-in,1
3069,DEM,Jasmine Crockett,565
3069,IND,IND Zachariah Manning,15
3069,LIB,Phil Gray,6
3069,REP,James Rodgers,17
3070,,Under Votes,10
3070,,Write-in,8
3070,DEM,Jasmine Crockett,919
3070,IND,IND Zachariah Manning,22
3070,LIB,Phil Gray,6
3070,REP,James Rodgers,51
3071,,Under Votes,14
3071,,Write-in,3
3071,DEM,Jasmine Crockett,771
3071,IND,IND Zachariah Manning,23
3071,LIB,Phil Gray,4
3071,REP,James Rodgers,39
3072,DEM,Jasmine Crockett,13
3072,REP,James Rodgers,3
3073,DEM,Jasmine Crockett,68
3073,REP,James Rodgers,3
3074,,Under Votes,3
3074,DEM,Jasmine Crockett,157
3074,IND,IND Zachariah Manning,6
3074,LIB,Phil Gray,2
3074,REP,James Rodgers,51
3075,,Under Votes,3
3075,DEM,Jasmine Crockett,62
3075,LIB,Phil Gray,1
3075,REP,James Rodgers,11
3077,,Under Votes,23
3077,,Write-in,4
3077,DEM,Jasmine Crockett,1077
3077,IND,IND Zachariah Manning,25
3077,LIB,Phil Gray,11
3077,REP,James Rodgers,292
3078,,Under Votes,10
3078,,Write-in,2
3078,DEM,Jasmine Crockett,905
3078,IND,IND Zachariah Manning,22
3078,LIB,Phil Gray,10
3078,REP,James Rodgers,168
3079,,Under Votes,2
3079,,Write-in,1
3079,DEM,Jasmine Crockett,120
3079,IND,IND Zachariah Manning,4
3079,LIB,Phil Gray,3
3079,REP,James Rodgers,59
3080,,Under Votes,7
3080,,Write-in,2
3080,DEM,Jasmine Crockett,302
3080,IND,IND Zachariah Manning,7
3080,LIB,Phil Gray,5
3080,REP,James Rodgers,137
3081,,Under Votes,16
3081,DEM,Jasmine Crockett,528
3081,IND,IND Zachariah Manning,7
3081,LIB,Phil Gray,11
3081,REP,James Rodgers,371
3082,,Under Votes,12
3082,,Write-in,5
3082,DEM,Jasmine Crockett,691
3082,IND,IND Zachariah Manning,5
3082,LIB,Phil Gray,6
3082,REP,James Rodgers,55
3083,,Under Votes,2
3083,DEM,Jasmine Crockett,286
3083,IND,IND Zachariah Manning,7
3083,LIB,Phil Gray,2
3083,REP,James Rodgers,118
3084,,Under Votes,5
3084,,Write-in,3
3084,DEM,Jasmine Crockett,500
3084,IND,IND Zachariah Manning,6
3084,LIB,Phil Gray,11
3084,REP,James Rodgers,73
3085,,Under Votes,5
3085,,Write-in,1
3085,DEM,Jasmine Crockett,46
3085,IND,IND Zachariah Manning,1
3085,LIB,Phil Gray,5
3085,REP,James Rodgers,43
3086,,Under Votes,24
3086,DEM,Jasmine Crockett,1022
3086,IND,IND Zachariah Manning,19
3086,LIB,Phil Gray,34
3086,REP,James Rodgers,656
3089,,Under Votes,1
3089,DEM,Jasmine Crockett,15
3089,REP,James Rodgers,55
3090,,Under Votes,4
3090,DEM,Jasmine Crockett,488
3090,IND,IND Zachariah Manning,7
3090,LIB,Phil Gray,15
3090,REP,James Rodgers,97
3092,,Under Votes,13
3092,,Write-in,2
3092,DEM,Jasmine Crockett,427
3092,IND,IND Zachariah Manning,15
3092,LIB,Phil Gray,4
3092,REP,James Rodgers,38
3093,,Write-in,1
3093,DEM,Jasmine Crockett,1
3095,,Under Votes,11
3095,,Write-in,2
3095,DEM,Jasmine Crockett,801
3095,IND,IND Zachariah Manning,18
3095,LIB,Phil Gray,28
3095,REP,James Rodgers,327
3096,,Under Votes,19
3096,,Write-in,2
3096,DEM,Jasmine Crockett,912
3096,IND,IND Zachariah Manning,18
3096,LIB,Phil Gray,26
3096,REP,James Rodgers,269
3097,,Under Votes,2
3097,DEM,Jasmine Crockett,60
3097,IND,IND Zachariah Manning,1
3097,LIB,Phil Gray,2
3097,REP,James Rodgers,4
3098,,Under Votes,1
3098,DEM,Jasmine Crockett,74
3098,LIB,Phil Gray,1
3098,REP,James Rodgers,1
3099,,Under Votes,2
3099,DEM,Jasmine Crockett,99
3099,IND,IND Zachariah Manning,6
3099,LIB,Phil Gray,4
3099,REP,James Rodgers,3
30T4,DEM,Jasmine Crockett,1
30T4,REP,James Rodgers,1
3100,,Under Votes,9
3100,,Write-in,9
3100,DEM,Jasmine Crockett,831
3100,IND,IND Zachariah Manning,21
3100,LIB,Phil Gray,12
3100,REP,James Rodgers,297
3101,,Under Votes,13
3101,,Write-in,3
3101,DEM,Jasmine Crockett,378
3101,IND,IND Zachariah Manning,12
3101,LIB,Phil Gray,4
3101,REP,James Rodgers,134
3102,,Under Votes,25
3102,,Write-in,6
3102,DEM,Jasmine Crockett,896
3102,IND,IND Zachariah Manning,20
3102,LIB,Phil Gray,14
3102,REP,James Rodgers,189
3103,,Under Votes,15
3103,,Write-in,14
3103,DEM,Jasmine Crockett,1150
3103,IND,IND Zachariah Manning,53
3103,LIB,Phil Gray,8
3103,REP,James Rodgers,258
3104,,Under Votes,16
3104,,Write-in,6
3104,DEM,Jasmine Crockett,957
3104,IND,IND Zachariah Manning,50
3104,LIB,Phil Gray,9
3104,REP,James Rodgers,261
3105,,Under Votes,13
3105,,Write-in,6
3105,DEM,Jasmine Crockett,856
3105,IND,IND Zachariah Manning,28
3105,LIB,Phil Gray,9
3105,REP,James Rodgers,356
3106,,Under Votes,21
3106,,Write-in,9
3106,DEM,Jasmine Crockett,1241
3106,IND,IND Zachariah Manning,44
3106,LIB,Phil Gray,11
3106,REP,James Rodgers,296
3107,,Under Votes,12
3107,,Write-in,6
3107,DEM,Jasmine Crockett,1014
3107,IND,IND Zachariah Manning,39
3107,LIB,Phil Gray,5
3107,REP,James Rodgers,167
3108,,Under Votes,18
3108,,Write-in,8
3108,DEM,Jasmine Crockett,702
3108,IND,IND Zachariah Manning,20
3108,LIB,Phil Gray,9
3108,REP,James Rodgers,529
3109,,Under Votes,30
3109,,Write-in,5
3109,DEM,Jasmine Crockett,1188
3109,IND,IND Zachariah Manning,52
3109,LIB,Phil Gray,17
3109,REP,James Rodgers,878
3110,,Under Votes,15
3110,,Write-in,9
3110,DEM,Jasmine Crockett,1215
3110,IND,IND Zachariah Manning,31
3110,LIB,Phil Gray,4
3110,REP,James Rodgers,222
3111,REP,James Rodgers,5
3112,DEM,Jasmine Crockett,21
3112,IND,IND Zachariah Manning,2
3112,REP,James Rodgers,11
3114,DEM,Jasmine Crockett,2
3114,REP,James Rodgers,2
3115,,Under Votes,10
3115,,Write-in,2
3115,DEM,Jasmine Crockett,816
3115,IND,IND Zachariah Manning,19
3115,LIB,Phil Gray,10
3115,REP,James Rodgers,207
3117,DEM,Jasmine Crockett,7
3117,IND,IND Zachariah Manning,1
3117,REP,James Rodgers,2
3200,,Under Votes,27
3200,,Write-in,5
3200,DEM,Jasmine Crockett,732
3200,IND,IND Zachariah Manning,31
3200,LIB,Phil Gray,12
3200,REP,James Rodgers,545
3201,,Under Votes,13
3201,,Write-in,5
3201,DEM,Jasmine Crockett,476
3201,IND,IND Zachariah Manning,17
3201,LIB,Phil Gray,11
3201,REP,James Rodgers,343
3202,,Under Votes,18
3202,,Write-in,4
3202,DEM,Jasmine Crockett,766
3202,IND,IND Zachariah Manning,27
3202,LIB,Phil Gray,13
3202,REP,James Rodgers,258
3203,,Under Votes,17
3203,,Write-in,5
3203,DEM,Jasmine Crockett,614
3203,IND,IND Zachariah Manning,19
3203,LIB,Phil Gray,8
3203,REP,James Rodgers,305
3204,,Under Votes,21
3204,,Write-in,4
3204,DEM,Jasmine Crockett,631
3204,IND,IND Zachariah Manning,21
3204,LIB,Phil Gray,21
3204,REP,James Rodgers,381
3205,,Under Votes,9
3205,,Write-in,2
3205,DEM,Jasmine Crockett,645
3205,IND,IND Zachariah Manning,21
3205,LIB,Phil Gray,6
3205,REP,James Rodgers,102
3206,,Under Votes,18
3206,,Write-in,3
3206,DEM,Jasmine Crockett,693
3206,IND,IND Zachariah Manning,27
3206,LIB,Phil Gray,16
3206,REP,James Rodgers,570
3207,,Under Votes,26
3207,,Write-in,7
3207,DEM,Jasmine Crockett,660
3207,IND,IND Zachariah Manning,23
3207,LIB,Phil Gray,18
3207,REP,James Rodgers,458
3208,,Under Votes,13
3208,,Write-in,2
3208,DEM,Jasmine Crockett,469
3208,IND,IND Zachariah Manning,6
3208,LIB,Phil Gray,6
3208,REP,James Rodgers,216
3209,,Under Votes,3
3209,DEM,Jasmine Crockett,40
3209,IND,IND Zachariah Manning,1
3209,LIB,Phil Gray,2
3209,REP,James Rodgers,49
3210,,Under Votes,20
3210,,Write-in,5
3210,DEM,Jasmine Crockett,560
3210,IND,IND Zachariah Manning,16
3210,LIB,Phil Gray,16
3210,REP,James Rodgers,384
3211,,Under Votes,8
3211,,Write-in,2
3211,DEM,Jasmine Crockett,274
3211,IND,IND Zachariah Manning,11
3211,LIB,Phil Gray,12
3211,REP,James Rodgers,147
32T0,DEM,Jasmine Crockett,2
3600,,Under Votes,22
3600,,Write-in,7
3600,DEM,Jasmine Crockett,934
3600,IND,IND Zachariah Manning,45
3600,LIB,Phil Gray,3
3600,REP,James Rodgers,172
3601,,Under Votes,14
3601,,Write-in,9
3601,DEM,Jasmine Crockett,978
3601,IND,IND Zachariah Manning,46
3601,LIB,Phil Gray,8
3601,REP,James Rodgers,230
3602,,Under Votes,3
3602,,Write-in,2
3602,DEM,Jasmine Crockett,337
3602,IND,IND Zachariah Manning,20
3602,LIB,Phil Gray,2
3602,REP,James Rodgers,62
3603,,Under Votes,3
3603,,Write-in,2
3603,DEM,Jasmine Crockett,133
3603,IND,IND Zachariah Manning,3
3603,LIB,Phil Gray,2
3603,REP,James Rodgers,38
3604,,Under Votes,12
3604,,Write-in,5
3604,DEM,Jasmine Crockett,1028
3604,IND,IND Zachariah Manning,65
3604,LIB,Phil Gray,8
3604,REP,James Rodgers,262
3605,,Under Votes,15
3605,,Write-in,14
3605,DEM,Jasmine Crockett,751
3605,IND,IND Zachariah Manning,67
3605,LIB,Phil Gray,6
3605,REP,James Rodgers,148
3606,,Under Votes,19
3606,,Write-in,13
3606,DEM,Jasmine Crockett,947
3606,IND,IND Zachariah Manning,62
3606,LIB,Phil Gray,5
3606,REP,James Rodgers,90
3607,,Under Votes,20
3607,,Write-in,17
3607,DEM,Jasmine Crockett,1802
3607,IND,IND Zachariah Manning,125
3607,LIB,Phil Gray,15
3607,REP,James Rodgers,219
3608,,Under Votes,16
3608,,Write-in,20
3608,DEM,Jasmine Crockett,1530
3608,IND,IND Zachariah Manning,75
3608,LIB,Phil Gray,8
3608,REP,James Rodgers,112
3609,,Under Votes,13
3609,,Write-in,14
3609,DEM,Jasmine Crockett,1381
3609,IND,IND Zachariah Manning,96
3609,LIB,Phil Gray,10
3609,REP,James Rodgers,239
3610,,Under Votes,8
3610,,Write-in,3
3610,DEM,Jasmine Crockett,153
3610,IND,IND Zachariah Manning,12
3610,LIB,Phil Gray,3
3610,REP,James Rodgers,64
3611,,Under Votes,3
3611,,Write-in,5
3611,DEM,Jasmine Crockett,368
3611,IND,IND Zachariah Manning,28
3611,LIB,Phil Gray,5
3611,REP,James Rodgers,141
3612,,Under Votes,21
3612,,Write-in,14
3612,DEM,Jasmine Crockett,1243
3612,IND,IND Zachariah Manning,111
3612,LIB,Phil Gray,10
3612,REP,James Rodgers,206
3613,,Under Votes,8
3613,,Write-in,1
3613,DEM,Jasmine Crockett,181
3613,IND,IND Zachariah Manning,19
3613,REP,James Rodgers,71
3614,,Under Votes,6
3614,,Write-in,6
3614,DEM,Jasmine Crockett,317
3614,IND,IND Zachariah Manning,22
3614,LIB,Phil Gray,9
3614,REP,James Rodgers,44
3615,,Under Votes,9
3615,,Write-in,11
3615,DEM,Jasmine Crockett,1025
3615,IND,IND Zachariah Manning,73
3615,LIB,Phil Gray,7
3615,REP,James Rodgers,134
3616,,Under Votes,6
3616,,Write-in,5
3616,DEM,Jasmine Crockett,261
3616,IND,IND Zachariah Manning,9
3616,LIB,Phil Gray,1
3616,REP,James Rodgers,33
3617,,Under Votes,14
3617,,Write-in,13
3617,DEM,Jasmine Crockett,1055
