COUNTY NUMBER,PRECINCT CODE,PRECINCT NAME,REGISTERED VOTERS TOTAL,BALLOTS CAST TOTAL,BALLOTS CAST BLANK,Harper Weaver,Nancy C. Humphrey,OVER VOTES,UNDER VOTES,Winning Candidate,Winning Party
COLLI,41,PCT 041,1887,272,0,0,0,0,0,Harper Weaver,Harper
COLLI,42,PCT 042,0,0,0,0,0,0,0,Harper Weaver,Harper
COLLI,43,PCT 043,3353,343,0,0,0,0,0,Harper Weaver,Harper
COLLI,44,PCT 044,1602,166,0,0,0,0,0,Harper Weaver,Harper
COLLI,45,PCT 045,3343,57,0,0,0,0,0,Harper Weaver,Harper
COLLI,46,PCT 046,3019,232,0,67,122,0,43,Nancy C. Humphrey,Nancy
COLLI,47,PCT 047,2522,293,0,94,164,0,35,Nancy C. Humphrey,Nancy
COLLI,48,PCT 048,3641,573,0,114,296,0,163,Nancy C. Humphrey,Nancy
COLLI,49,PCT 049,2339,324,0,62,216,0,46,Nancy C. Humphrey,Nancy
COLLI,50,PCT 050,3178,185,0,49,100,0,36,Nancy C. Humphrey,Nancy
COLLI,51,PCT 051,1768,94,0,27,51,0,16,Nancy C. Humphrey,Nancy
COLLI,52,PCT 052,4599,556,0,130,340,0,86,Nancy C. Humphrey,Nancy
COLLI,53,PCT 053,2192,353,0,113,207,0,33,Nancy C. Humphrey,Nancy
COLLI,54,PCT 054,3510,251,0,60,156,0,35,Nancy C. Humphrey,Nancy
COLLI,55,PCT 055,3975,476,0,77,241,0,158,Nancy C. Humphrey,Nancy
COLLI,56,PCT 056,3454,171,0,0,0,0,0,Harper Weaver,Harper
COLLI,57,PCT 057,1535,224,0,0,0,0,0,Harper Weaver,Harper
COLLI,58,PCT 058,3491,302,0,72,173,0,57,Nancy C. Humphrey,Nancy
COLLI,59,PCT 059,3908,193,0,0,0,0,0,Harper Weaver,Harper
COLLI,60,PCT 060,3280,434,0,66,123,0,89,Nancy C. Humphrey,Nancy
COLLI,61,PCT 061,1651,291,0,96,154,0,41,Nancy C. Humphrey,Nancy
COLLI,62,PCT 062,2435,329,0,79,208,0,42,Nancy C. Humphrey,Nancy
COLLI,63,PCT 063,2002,383,0,100,225,0,58,Nancy C. Humphrey,Nancy
COLLI,64,PCT 064,2532,364,0,88,220,0,56,Nancy C. Humphrey,Nancy
COLLI,65,PCT 065,1195,158,0,44,88,0,26,Nancy C. Humphrey,Nancy
COLLI,66,PCT 066,2136,250,0,60,156,0,34,Nancy C. Humphrey,Nancy
COLLI,67,PCT 067,2823,240,0,57,137,0,46,Nancy C. Humphrey,Nancy
COLLI,68,PCT 068,1979,197,0,43,116,0,38,Nancy C. Humphrey,Nancy
COLLI,69,PCT 069,3775,648,0,180,365,0,103,Nancy C. Humphrey,Nancy
COLLI,70,PCT 070,1847,247,0,63,140,0,44,Nancy C. Humphrey,Nancy
COLLI,71,PCT 071,1764,251,0,49,159,0,43,Nancy C. Humphrey,Nancy
COLLI,72,PCT 072,1658,206,0,62,112,0,32,Nancy C. Humphrey,Nancy
COLLI,73,PCT 073,1829,154,0,46,62,0,46,Nancy C. Humphrey,Nancy
COLLI,74,PCT 074,1927,305,0,78,117,0,110,Nancy C. Humphrey,Nancy
COLLI,75,PCT 075,2284,249,0,52,147,0,50,Nancy C. Humphrey,Nancy
COLLI,76,PCT 076,3203,501,0,141,274,0,86,Nancy C. Humphrey,Nancy
COLLI,77,PCT 077,3516,398,0,110,221,0,67,Nancy C. Humphrey,Nancy
COLLI,78,PCT 078,4635,450,0,95,246,0,109,Nancy C. Humphrey,Nancy
COLLI,79,PCT 079,2615,295,0,73,120,0,102,Nancy C. Humphrey,Nancy
COLLI,80,PCT 080,3516,168,0,0,0,0,0,Harper Weaver,Harper
COLLI,81,PCT 081,2827,371,0,94,221,0,56,Nancy C. Humphrey,Nancy
COLLI,82,PCT 082,2898,98,0,0,0,0,0,Harper Weaver,Harper
COLLI,83,PCT 083,4171,281,0,0,0,0,0,Harper Weaver,Harper
COLLI,84,PCT 084,2446,336,0,84,159,0,93,Nancy C. Humphrey,Nancy
COLLI,85,PCT 085,3355,340,0,80,223,0,37,Nancy C. Humphrey,Nancy
COLLI,86,PCT 086,2959,348,0,80,212,0,56,Nancy C. Humphrey,Nancy
COLLI,87,PCT 087,3503,689,0,0,0,0,0,Harper Weaver,Harper
COLLI,88,PCT 088,1412,57,0,6,32,0,19,Nancy C. Humphrey,Nancy
COLLI,89,PCT 089,3137,375,0,98,203,0,74,Nancy C. Humphrey,Nancy
COLLI,90,PCT 090,3139,403,0,84,238,0,81,Nancy C. Humphrey,Nancy
COLLI,91,PCT 091,2264,339,0,78,221,0,40,Nancy C. Humphrey,Nancy
COLLI,92,PCT 092,4470,343,0,0,0,0,0,Harper Weaver,Harper
COLLI,93,PCT 093,288,19,0,0,0,0,0,Harper Weaver,Harper
COLLI,94,PCT 094,4147,720,0,90,469,0,161,Nancy C. Humphrey,Nancy
COLLI,95,PCT 095,3031,137,0,0,0,0,0,Harper Weaver,Harper
COLLI,96,PCT 096,1390,100,0,0,0,0,0,Harper Weaver,Harper
COLLI,97,PCT 097,1301,484,0,0,0,0,0,Harper Weaver,Harper
COLLI,98,PCT 098,1569,154,0,0,0,0,0,Harper Weaver,Harper
COLLI,99,PCT 099,454,42,0,0,0,0,0,Harper Weaver,Harper
COLLI,100,PCT 100,1732,11,0,0,0,0,0,Harper Weaver,Harper
COLLI,101,PCT 101,4122,431,0,0,0,0,0,Harper Weaver,Harper
COLLI,102,PCT 102,2457,715,0,0,0,0,0,Harper Weaver,Harper
COLLI,103,PCT 103,1365,98,0,16,69,0,13,Nancy C. Humphrey,Nancy
COLLI,104,PCT 104,2138,100,0,20,51,0,29,Nancy C. Humphrey,Nancy
COLLI,105,PCT 105,0,0,0,0,0,0,0,Harper Weaver,Harper
COLLI,106,PCT 106,1805,72,0,0,0,0,0,Harper Weaver,Harper
COLLI,107,PCT 107,3260,554,0,130,331,0,93,Nancy C. Humphrey,Nancy
COLLI,108,PCT 108,2927,309,0,63,195,0,51,Nancy C. Humphrey,Nancy
COLLI,109,PCT 109,4630,546,0,77,386,0,73,Nancy C. Humphrey,Nancy
COLLI,110,PCT 110,2732,484,0,77,277,0,130,Nancy C. Humphrey,Nancy
COLLI,111,PCT 111,2994,370,0,0,0,0,0,Harper Weaver,Harper
COLLI,112,PCT 112,3081,414,0,86,260,0,68,Nancy C. Humphrey,Nancy
COLLI,113,PCT 113,3212,102,0,0,0,0,0,Harper Weaver,Harper
COLLI,114,PCT 114,4571,35,0,0,0,0,0,Harper Weaver,Harper
COLLI,115,PCT 115,2892,392,0,89,176,0,127,Nancy C. Humphrey,Nancy
COLLI,116,PCT 116,4943,638,0,114,404,0,120,Nancy C. Humphrey,Nancy
COLLI,117,PCT 117,4154,452,0,0,0,0,0,Harper Weaver,Harper
COLLI,118,PCT 118,4124,581,0,0,0,0,0,Harper Weaver,Harper
COLLI,119,PCT 119,2297,331,0,81,198,0,52,Nancy C. Humphrey,Nancy
COLLI,120,PCT 120,3488,194,0,0,0,0,0,Harper Weaver,Harper
COLLI,121,PCT 121,2792,307,0,85,179,0,43,Nancy C. Humphrey,Nancy
COLLI,122,PCT 122,4786,1042,0,0,0,0,0,Harper Weaver,Harper
COLLI,123,PCT 123,2000,214,0,52,114,0,48,Nancy C. Humphrey,Nancy
COLLI,124,PCT 124,3092,301,0,60,187,0,54,Nancy C. Humphrey,Nancy
COLLI,125,PCT 125,2178,319,0,54,173,0,91,Nancy C. Humphrey,Nancy
COLLI,126,PCT 126,4824,717,0,0,0,0,0,Harper Weaver,Harper
COLLI,127,PCT 127,3831,455,0,0,0,0,0,Harper Weaver,Harper
COLLI,128,PCT 128,3073,868,0,0,0,0,0,Harper Weaver,Harper
COLLI,129,PCT 129,4378,667,0,0,0,0,0,Harper Weaver,Harper
COLLI,130,PCT 130,3851,225,0,39,112,0,11,Nancy C. Humphrey,Nancy
COLLI,131,PCT 131,2976,601,0,0,0,0,0,Harper Weaver,Harper
COLLI,132,PCT 132,2725,322,0,80,143,0,99,Nancy C. Humphrey,Nancy
COLLI,133,PCT 133,2867,140,0,0,0,0,0,Harper Weaver,Harper
COLLI,134,PCT 134,4030,439,0,0,0,0,0,Harper Weaver,Harper
COLLI,135,PCT 135,4083,390,0,0,0,0,0,Harper Weaver,Harper
COLLI,136,PCT 136,1901,304,0,61,145,0,98,Nancy C. Humphrey,Nancy
COLLI,137,PCT 137,1951,225,0,56,123,0,46,Nancy C. Humphrey,Nancy
COLLI,138,PCT 138,2381,275,0,55,184,0,36,Nancy C. Humphrey,Nancy
COLLI,139,PCT 139,3814,383,0,0,0,0,0,Harper Weaver,Harper
COLLI,140,PCT 140,4611,938,0,0,0,0,0,Harper Weaver,Harper
COLLI,141,PCT 141,3441,508,0,147,306,0,55,Nancy C. Humphrey,Nancy
COLLI,142,PCT 142,2675,444,0,101,209,0,134,Nancy C. Humphrey,Nancy
COLLI,143,PCT 143,2043,203,0,43,130,0,30,Nancy C. Humphrey,Nancy
COLLI,144,PCT 144,2846,499,0,134,150,0,42,Nancy C. Humphrey,Nancy
COLLI,145,PCT 145,1706,75,0,0,0,0,0,Harper Weaver,Harper
COLLI,146,PCT 146,4694,521,0,0,0,0,0,Harper Weaver,Harper
COLLI,147,PCT 147,2102,56,0,0,0,0,0,Harper Weaver,Harper
COLLI,148,PCT 148,1208,256,0,0,0,0,0,Harper Weaver,Harper
COLLI,149,PCT 149,4479,919,0,0,0,0,0,Harper Weaver,Harper
COLLI,150,PCT 150,2276,135,0,0,0,0,0,Harper Weaver,Harper
COLLI,151,PCT 151,1825,66,0,0,0,0,0,Harper Weaver,Harper
COLLI,152,PCT 152,270,23,0,2,20,0,1,Nancy C. Humphrey,Nancy
COLLI,153,PCT 153,1206,160,0,0,0,0,0,Harper Weaver,Harper
COLLI,154,PCT 154,2925,421,0,0,0,0,0,Harper Weaver,Harper
COLLI,155,PCT 155,2904,455,0,0,0,0,0,Harper Weaver,Harper
COLLI,156,PCT 156,3665,535,0,0,0,0,0,Harper Weaver,Harper
COLLI,157,PCT 157,4265,181,0,0,0,0,0,Harper Weaver,Harper
COLLI,158,PCT 158,2808,246,0,62,131,0,53,Nancy C. Humphrey,Nancy
COLLI,159,PCT 159,3280,242,0,0,0,0,0,Harper Weaver,Harper
COLLI,160,PCT 160,546,53,0,0,0,0,0,Harper Weaver,Harper
COLLI,161,PCT 161,277,14,0,0,0,0,0,Harper Weaver,Harper
COLLI,162,PCT 162,904,43,0,0,0,0,0,Harper Weaver,Harper
COLLI,163,PCT 163,2103,205,0,0,0,0,0,Harper Weaver,Harper
COLLI,164,PCT 164,2290,328,0,53,184,0,91,Nancy C. Humphrey,Nancy
COLLI,165,PCT 165,944,208,0,47,86,0,75,Nancy C. Humphrey,Nancy
COLLI,166,PCT 166,4282,810,0,0,0,0,0,Harper Weaver,Harper
COLLI,167,PCT 167,2105,208,0,28,68,0,22,Nancy C. Humphrey,Nancy
COLLI,168,PCT 168,1909,444,0,0,0,0,0,Harper Weaver,Harper
COLLI,169,PCT 169,3407,478,0,0,0,0,0,Harper Weaver,Harper
COLLI,170,PCT 170,1852,215,0,0,0,0,0,Harper Weaver,Harper
COLLI,171,PCT 171,2912,85,0,0,0,0,0,Harper Weaver,Harper
COLLI,172,PCT 172,3152,171,0,0,0,0,0,Harper Weaver,Harper
COLLI,173,PCT 173,613,197,0,0,0,0,0,Harper Weaver,Harper
COLLI,174,PCT 174,4506,259,0,0,0,0,0,Harper Weaver,Harper
COLLI,175,PCT 175,2045,246,0,18,58,0,38,Nancy C. Humphrey,Nancy
COLLI,176,PCT 176,3706,122,0,23,53,0,13,Nancy C. Humphrey,Nancy
COLLI,177,PCT 177,3447,229,0,0,0,0,0,Harper Weaver,Harper
COLLI,178,PCT 178,3314,294,0,0,0,0,0,Harper Weaver,Harper
COLLI,179,PCT 179,4574,1059,0,0,0,0,0,Harper Weaver,Harper
COLLI,180,PCT 180,3435,336,0,0,0,0,0,Harper Weaver,Harper
COLLI,181,PCT 181,3214,152,0,0,0,0,0,Harper Weaver,Harper
COLLI,182,PCT 182,3888,157,0,0,0,0,0,Harper Weaver,Harper
COLLI,183,PCT 183,0,0,0,0,0,0,0,Harper Weaver,Harper
COLLI,184,PCT 184,3132,123,0,0,0,0,0,Harper Weaver,Harper
COLLI,185,PCT 185,3395,365,0,0,0,0,0,Harper Weaver,Harper
COLLI,186,PCT 186,753,104,0,0,0,0,0,Harper Weaver,Harper
COLLI,187,PCT 187,1075,65,0,0,0,0,0,Harper Weaver,Harper
COLLI,188,PCT 188,753,46,0,0,0,0,0,Harper Weaver,Harper
COLLI,189,PCT 189,1592,21,0,0,0,0,0,Harper Weaver,Harper
COLLI,190,PCT 190,1023,102,0,0,0,0,0,Harper Weaver,Harper
COLLI,191,PCT 191,0,0,0,0,0,0,0,Harper Weaver,Harper
COLLI,192,PCT 192,4396,78,0,0,0,0,0,Harper Weaver,Harper
COLLI,193,PCT 193,1311,44,0,0,0,0,0,Harper Weaver,Harper
COLLI,194,PCT 194,3631,165,0,0,0,0,0,Harper Weaver,Harper
COLLI,195,PCT 195,887,106,0,0,0,0,0,Harper Weaver,Harper
COLLI,196,PCT 196,1945,160,0,1,3,0,2,Nancy C. Humphrey,Nancy
COLLI,197,PCT 197,1239,117,0,20,78,0,19,Nancy C. Humphrey,Nancy
COLLI,198,PCT 198,3266,194,0,0,0,0,0,Harper Weaver,Harper
COLLI,199,PCT 199,4140,397,0,0,0,0,0,Harper Weaver,Harper
COLLI,200,PCT 200,2919,352,0,0,0,0,0,Harper Weaver,Harper
COLLI,201,PCT 201,0,0,0,0,0,0,0,Harper Weaver,Harper
COLLI,202,PCT 202,0,0,0,0,0,0,0,Harper Weaver,Harper
COLLI,203,PCT 203,3026,680,0,0,0,0,0,Harper Weaver,Harper
COLLI,204,PCT 204,344,95,0,0,0,0,0,Harper Weaver,Harper
COLLI,205,PCT 205,4039,537,0,1,0,0,0,Harper Weaver,Harper
COLLI,206,PCT 206,1921,314,0,0,0,0,0,Harper Weaver,Harper
COLLI,207,PCT 207,3918,535,0,0,0,0,0,Harper Weaver,Harper
COLLI,208,PCT 208,4399,523,0,0,0,0,0,Harper Weaver,Harper
COLLI,209,PCT 209,164,18,0,0,0,0,0,Harper Weaver,Harper
COLLI,210,PCT 210,1722,485,0,94,258,0,133,Nancy C. Humphrey,Nancy
COLLI,211,PCT 211,3321,492,0,0,0,0,0,Harper Weaver,Harper
COLLI,212,PCT 212,2580,492,0,0,0,0,0,Harper Weaver,Harper
COLLI,213,PCT 213,3574,420,0,0,0,0,0,Harper Weaver,Harper
COLLI,214,PCT 214,3720,369,0,0,0,0,0,Harper Weaver,Harper
COLLI,215,PCT 215,3591,22,0,0,0,0,0,Harper Weaver,Harper
COLLI,216,PCT 216,4794,794,0,0,0,0,0,Harper Weaver,Harper
COLLI,217,PCT 217,3075,197,0,0,0,0,0,Harper Weaver,Harper
COLLI,218,PCT 218,4195,142,0,0,0,0,0,Harper Weaver,Harper
COLLI,219,PCT 219,4482,193,0,0,0,0,0,Harper Weaver,Harper
COLLI,220,PCT 220,2490,382,0,0,0,0,0,Harper Weaver,Harper
COLLI,221,PCT 221,1976,374,0,0,0,0,0,Harper Weaver,Harper
COLLI,222,PCT 222,3875,209,0,0,0,0,0,Harper Weaver,Harper
COLLI,223,PCT 223,2490,121,0,0,0,0,0,Harper Weaver,Harper
COLLI,224,PCT 224,3284,289,0,0,0,0,0,Harper Weaver,Harper
COLLI,225,PCT 225,3829,651,0,0,0,0,0,Harper Weaver,Harper
COLLI,226,PCT 226,4259,482,0,0,0,0,0,Harper Weaver,Harper
COLLI,227,PCT 227,4356,223,0,0,0,0,0,Harper Weaver,Harper
COLLI,228,PCT 228,4763,24,0,0,0,0,0,Harper Weaver,Harper
COLLI,229,PCT 229,2313,202,0,0,0,0,0,Harper Weaver,Harper
COLLI,230,PCT 230,4713,387,0,0,0,0,0,Harper Weaver,Harper
COLLI,231,PCT 231,4150,621,0,0,0,0,0,Harper Weaver,Harper
COLLI,232,PCT 232,3810,198,0,0,0,0,0,Harper Weaver,Harper
COLLI,233,PCT 233,2065,96,0,0,0,0,0,Harper Weaver,Harper
COLLI,234,PCT 234,3403,620,0,0,0,0,0,Harper Weaver,Harper
COLLI,235,PCT 235,1903,202,0,18,63,0,25,Nancy C. Humphrey,Nancy
COLLI,236,PCT 236,2898,632,0,0,0,0,0,Harper Weaver,Harper
COLLI,237,PCT 237,2314,165,0,0,0,0,0,Harper Weaver,Harper
COLLI,238,PCT 238,3858,328,0,0,0,0,0,Harper Weaver,Harper
COLLI,239,PCT 239,4102,371,0,0,0,0,0,Harper Weaver,Harper
COLLI,240,PCT 240,4435,430,0,0,0,0,0,Harper Weaver,Harper
COLLI,241,PCT 241,1502,324,0,78,163,0,83,Nancy C. Humphrey,Nancy
COLLI,242,PCT 242,3455,471,0,0,0,0,0,Harper Weaver,Harper
COLLI,243,PCT 243,1642,232,0,12,12,0,6,Harper Weaver,Harper
COLLI,244,PCT 244,3131,497,0,0,0,0,0,Harper Weaver,Harper
COLLI,245,PCT 245,2585,173,0,0,0,0,0,Harper Weaver,Harper
COLLI,246,PCT 246,2768,449,0,90,267,0,92,Nancy C. Humphrey,Nancy
COLLI,247,PCT 247,2408,495,0,0,0,0,0,Harper Weaver,Harper
COLLI,248,PCT 248,2261,194,0,0,0,0,0,Harper Weaver,Harper
COLLI,249,PCT 249,4715,350,0,0,0,0,0,Harper Weaver,Harper
COLLI,250,PCT 250,3969,1133,0,0,0,0,0,Harper Weaver,Harper
COLLI,251,PCT 251,2530,324,0,0,0,0,0,Harper Weaver,Harper
COLLI,252,PCT 252,3197,338,0,0,0,0,0,Harper Weaver,Harper
COLLI,253,PCT 253,3144,483,0,0,0,0,0,Harper Weaver,Harper
COLLI,254,PCT 254,1264,6,0,0,0,0,0,Harper Weaver,Harper
COLLI,255,PCT 255,3322,479,0,0,0,0,0,Harper Weaver,Harper
COLLI,256,PCT 256,820,14,0,0,0,0,0,Harper Weaver,Harper
COLLI,257,PCT 257,1423,12,0,0,0,0,0,Harper Weaver,Harper
COLLI,258,PCT 258,2948,431,0,74,234,0,124,Nancy C. Humphrey,Nancy
COLLI,259,PCT 259,3591,524,0,0,0,0,0,Harper Weaver,Harper
COLLI,260,PCT 260,447,78,0,0,0,0,0,Harper Weaver,Harper
COLLI,261,PCT 261,3101,588,0,0,0,0,0,Harper Weaver,Harper
COLLI,262,PCT 262,2918,289,0,40,95,0,30,Nancy C. Humphrey,Nancy
COLLI,263,PCT 263,2113,215,0,0,0,0,0,Harper Weaver,Harper
COLLI,264,PCT 264,3853,625,0,0,0,0,0,Harper Weaver,Harper
COLLI,265,PCT 265,0,0,0,0,0,0,0,Harper Weaver,Harper
COLLI,266,PCT 266,60,8,0,2,5,0,1,Nancy C. Humphrey,Nancy
COLLI,267,PCT 267,19,2,0,0,1,0,0,Nancy C. Humphrey,Nancy
COLLI,268,PCT 268,0,0,0,0,0,0,0,Harper Weaver,Harper
COLLI,269,PCT 269,0,0,0,0,0,0,0,Harper Weaver,Harper
COLLI,270,PCT 270,2,0,0,0,0,0,0,Harper Weaver,Harper
COLLI,271,PCT 271,985,106,0,0,0,0,0,Harper Weaver,Harper
COLLI,272,PCT 272,1,0,0,0,0,0,0,Harper Weaver,Harper
COLLI,273,PCT 273,271,17,0,0,0,0,0,Harper Weaver,Harper
