COUNTY NUMBER,PRECINCT CODE,PRECINCT NAME,REGISTERED VOTERS TOTAL,BALLOTS CAST TOTAL,BALLOTS CAST BLANK,DEM Jonathan Cocks,LIB Edward Kless,REP Angela Paxton,OVER VOTES,UNDER VOTES,Winning Candidate,Winning Party
COLL,90,PCT 090,3267,1934,0,707,48,1102,0,77,REP Angela Paxton,REP
COLL,91,PCT 091,2319,1384,0,715,29,604,0,36,DEM Jonathan Cocks,DEM
COLL,92,PCT 092,4113,1733,0,0,0,0,0,0,DEM Jonathan Cocks,DEM
COLL,93,PCT 093,287,157,0,23,3,122,0,9,REP Angela Paxton,REP
COLL,94,PCT 094,4227,2445,0,0,0,0,0,0,DEM Jonathan Cocks,DEM
COLL,95,PCT 095,3101,1614,2,752,51,755,0,56,REP Angela Paxton,REP
COLL,96,PCT 096,1450,525,0,217,22,273,0,13,REP Angela Paxton,REP
COLL,97,PCT 097,1332,927,0,273,32,586,0,36,REP Angela Paxton,REP
COLL,98,PCT 098,1482,711,0,268,24,385,0,34,REP Angela Paxton,REP
COLL,99,PCT 099,291,126,0,77,5,41,0,3,DEM Jonathan Cocks,DEM
COLL,100,PCT 100,897,412,0,114,10,272,0,15,REP Angela Paxton,REP
COLL,101,PCT 101,4006,2022,0,0,0,0,0,0,DEM Jonathan Cocks,DEM
COLL,102,PCT 102,2552,1654,1,532,49,1034,0,39,REP Angela Paxton,REP
COLL,103,PCT 103,1401,570,0,295,19,237,0,19,DEM Jonathan Cocks,DEM
COLL,104,PCT 104,2569,847,4,0,0,0,0,0,DEM Jonathan Cocks,DEM
COLL,105,PCT 105,33,4,0,2,0,2,0,0,DEM Jonathan Cocks,DEM
COLL,106,PCT 106,1937,1003,0,487,36,450,0,30,DEM Jonathan Cocks,DEM
COLL,107,PCT 107,3385,1951,0,979,68,850,0,54,DEM Jonathan Cocks,DEM
COLL,108,PCT 108,2970,1563,1,835,43,631,0,54,DEM Jonathan Cocks,DEM
COLL,109,PCT 109,4577,2453,0,1033,50,1282,0,88,REP Angela Paxton,REP
COLL,110,PCT 110,2844,1563,1,0,0,0,0,0,DEM Jonathan Cocks,DEM
COLL,111,PCT 111,3027,1631,0,0,0,0,0,0,DEM Jonathan Cocks,DEM
COLL,112,PCT 112,3135,1872,0,888,47,892,0,45,REP Angela Paxton,REP
COLL,113,PCT 113,3416,1506,0,715,52,685,0,54,DEM Jonathan Cocks,DEM
COLL,114,PCT 114,2533,1396,0,470,41,840,0,45,REP Angela Paxton,REP
COLL,115,PCT 115,3012,1729,10,0,0,0,0,0,DEM Jonathan Cocks,DEM
COLL,116,PCT 116,4920,2748,0,1185,67,1404,0,92,REP Angela Paxton,REP
COLL,117,PCT 117,4367,2120,1,0,0,0,0,0,DEM Jonathan Cocks,DEM
COLL,118,PCT 118,4315,2281,1,0,0,0,0,0,DEM Jonathan Cocks,DEM
COLL,119,PCT 119,2374,1411,0,674,31,664,0,42,DEM Jonathan Cocks,DEM
COLL,120,PCT 120,3666,2126,0,855,53,1161,0,57,REP Angela Paxton,REP
COLL,121,PCT 121,2837,1545,0,908,23,568,0,46,DEM Jonathan Cocks,DEM
COLL,122,PCT 122,5090,3024,0,962,104,1868,0,90,REP Angela Paxton,REP
COLL,123,PCT 123,2023,1141,0,453,39,613,0,36,REP Angela Paxton,REP
COLL,124,PCT 124,3253,1634,0,818,36,730,0,50,DEM Jonathan Cocks,DEM
COLL,125,PCT 125,2207,1136,0,0,0,0,0,0,DEM Jonathan Cocks,DEM
COLL,126,PCT 126,4804,2521,0,1158,76,1227,0,60,REP Angela Paxton,REP
COLL,127,PCT 127,3882,1912,0,0,0,0,0,0,DEM Jonathan Cocks,DEM
COLL,128,PCT 128,3071,1999,0,505,68,1358,0,68,REP Angela Paxton,REP
COLL,129,PCT 129,4501,2319,0,1001,76,1173,0,69,REP Angela Paxton,REP
COLL,130,PCT 130,3867,2138,0,1053,64,952,0,69,DEM Jonathan Cocks,DEM
COLL,131,PCT 131,3119,1647,0,566,57,971,0,53,REP Angela Paxton,REP
COLL,132,PCT 132,2834,1605,8,0,0,0,0,0,DEM Jonathan Cocks,DEM
COLL,133,PCT 133,2855,1177,0,484,35,618,0,40,REP Angela Paxton,REP
COLL,134,PCT 134,4014,1906,0,0,0,0,0,0,DEM Jonathan Cocks,DEM
COLL,135,PCT 135,4223,2152,2,1113,53,919,0,67,DEM Jonathan Cocks,DEM
COLL,136,PCT 136,2003,1232,1,0,0,0,0,0,DEM Jonathan Cocks,DEM
COLL,137,PCT 137,2003,1099,0,449,32,584,0,34,REP Angela Paxton,REP
COLL,138,PCT 138,2101,1361,1,631,45,630,0,55,DEM Jonathan Cocks,DEM
COLL,139,PCT 139,4196,2067,0,1119,53,847,0,48,DEM Jonathan Cocks,DEM
COLL,140,PCT 140,4861,2744,0,910,78,1674,0,82,REP Angela Paxton,REP
COLL,141,PCT 141,3457,2026,0,996,59,900,0,71,DEM Jonathan Cocks,DEM
COLL,142,PCT 142,2873,1741,15,0,0,0,0,0,DEM Jonathan Cocks,DEM
COLL,143,PCT 143,2158,1288,0,553,30,667,0,38,REP Angela Paxton,REP
COLL,144,PCT 144,2874,1594,4,648,46,851,0,49,REP Angela Paxton,REP
COLL,145,PCT 145,1731,896,1,468,29,374,0,25,DEM Jonathan Cocks,DEM
COLL,146,PCT 146,4877,2371,1,0,0,0,0,0,DEM Jonathan Cocks,DEM
COLL,147,PCT 147,2253,980,0,462,21,477,0,20,REP Angela Paxton,REP
COLL,148,PCT 148,661,405,1,159,6,219,0,21,REP Angela Paxton,REP
COLL,149,PCT 149,4476,2460,0,971,75,1344,0,70,REP Angela Paxton,REP
COLL,150,PCT 150,1145,781,0,248,23,494,0,16,REP Angela Paxton,REP
COLL,151,PCT 151,1772,893,0,443,26,402,0,22,DEM Jonathan Cocks,DEM
COLL,152,PCT 152,187,92,0,62,5,25,0,0,DEM Jonathan Cocks,DEM
COLL,153,PCT 153,1135,575,1,235,16,306,0,19,REP Angela Paxton,REP
COLL,154,PCT 154,1938,1157,0,229,24,883,0,21,REP Angela Paxton,REP
COLL,155,PCT 155,2911,1553,0,625,46,846,0,36,REP Angela Paxton,REP
COLL,156,PCT 156,3726,1870,0,810,60,948,0,52,REP Angela Paxton,REP
COLL,157,PCT 157,4029,2164,0,1045,52,1010,0,57,DEM Jonathan Cocks,DEM
COLL,158,PCT 158,2781,1427,0,742,41,601,0,43,DEM Jonathan Cocks,DEM
COLL,159,PCT 159,3284,1445,1,682,34,679,0,50,DEM Jonathan Cocks,DEM
COLL,160,PCT 160,434,283,0,31,7,240,0,5,REP Angela Paxton,REP
COLL,161,PCT 161,292,152,0,41,2,106,0,3,REP Angela Paxton,REP
COLL,162,PCT 162,328,229,0,42,4,176,0,7,REP Angela Paxton,REP
COLL,163,PCT 163,2180,1028,0,411,21,571,0,25,REP Angela Paxton,REP
COLL,164,PCT 164,2052,1392,100,0,0,0,0,0,DEM Jonathan Cocks,DEM
COLL,165,PCT 165,934,557,0,182,18,339,0,18,REP Angela Paxton,REP
COLL,166,PCT 166,4174,2127,5,928,44,1090,0,65,REP Angela Paxton,REP
COLL,167,PCT 167,2117,1112,0,612,26,438,0,35,DEM Jonathan Cocks,DEM
COLL,168,PCT 168,1923,1113,1,303,61,706,0,43,REP Angela Paxton,REP
COLL,169,PCT 169,3342,1772,0,880,37,819,0,36,DEM Jonathan Cocks,DEM
COLL,170,PCT 170,1882,1007,3,357,34,568,0,48,REP Angela Paxton,REP
COLL,171,PCT 171,2490,1222,1,570,27,587,0,38,REP Angela Paxton,REP
COLL,172,PCT 172,6178,2987,0,963,99,1830,1,94,REP Angela Paxton,REP
COLL,173,PCT 173,650,389,0,118,11,251,0,9,REP Angela Paxton,REP
