COUNTY NUMBER,PRECINCT CODE,PRECINCT NAME,REGISTERED VOTERS TOTAL,BALLOTS CAST TOTAL,BALLOTS CAST BLANK,Debby Gowen,Eusebio (Joe) Trujillo III,OVER VOTES,UNDER VOTES,Winning Candidate,Winning Party,pct_int
COLL,128,PCT 128,3137,2395,0,0,0,0,0,pct_int,pct_int,128
COLL,129,PCT 129,4643,3072,0,0,0,0,0,pct_int,pct_int,129
COLL,130,PCT 130,3972,2813,1,0,0,0,0,pct_int,pct_int,130
COLL,131,PCT 131,3151,2136,0,0,0,0,0,pct_int,pct_int,131
COLL,132,PCT 132,2874,2016,6,0,0,0,0,pct_int,pct_int,132
COLL,133,PCT 133,2939,1791,0,0,0,0,0,pct_int,pct_int,133
COLL,134,PCT 134,4149,2771,0,0,0,0,0,pct_int,pct_int,134
COLL,135,PCT 135,4286,2900,0,0,0,0,0,pct_int,pct_int,135
COLL,136,PCT 136,1978,1427,10,0,0,0,0,pct_int,pct_int,136
COLL,137,PCT 137,2004,1418,0,0,0,0,0,pct_int,pct_int,137
COLL,138,PCT 138,2349,1774,0,0,0,0,0,pct_int,pct_int,138
COLL,139,PCT 139,4130,2721,0,0,0,0,0,pct_int,pct_int,139
COLL,140,PCT 140,4848,3591,0,0,0,0,0,pct_int,pct_int,140
COLL,141,PCT 141,3514,2511,0,0,0,0,0,pct_int,pct_int,141
COLL,142,PCT 142,2797,2040,17,0,0,0,0,pct_int,pct_int,142
COLL,143,PCT 143,2165,1543,0,0,0,0,0,pct_int,pct_int,143
COLL,144,PCT 144,2956,2072,1,0,0,0,0,pct_int,pct_int,144
COLL,145,PCT 145,1780,1237,1,0,0,0,0,pct_int,pct_int,145
COLL,146,PCT 146,4860,3233,0,0,0,0,0,pct_int,pct_int,146
COLL,147,PCT 147,2281,1409,0,0,0,0,0,pct_int,pct_int,147
COLL,148,PCT 148,1133,851,0,0,0,0,0,pct_int,pct_int,148
COLL,149,PCT 149,4656,3337,0,0,0,0,0,pct_int,pct_int,354
COLL,150,PCT 150,2024,1621,0,0,0,0,0,pct_int,pct_int,62
COLL,151,PCT 151,1856,1296,0,0,0,0,0,pct_int,pct_int,151
COLL,152,PCT 152,231,119,0,0,0,0,0,pct_int,pct_int,152
COLL,153,PCT 153,1225,860,0,0,0,0,0,pct_int,pct_int,35
COLL,154,PCT 154,2771,2102,0,0,0,0,0,pct_int,pct_int,154
COLL,155,PCT 155,3016,2129,1,0,0,0,0,pct_int,pct_int,155
COLL,156,PCT 156,3797,2569,0,0,0,0,0,pct_int,pct_int,156
COLL,157,PCT 157,4358,3111,1,0,0,0,0,pct_int,pct_int,157
COLL,158,PCT 158,2851,1955,0,0,0,0,0,pct_int,pct_int,158
COLL,159,PCT 159,3385,2049,1,0,0,0,0,pct_int,pct_int,159
COLL,160,PCT 160,530,430,0,0,0,0,0,pct_int,pct_int,160
COLL,161,PCT 161,298,192,0,0,0,0,0,pct_int,pct_int,161
COLL,162,PCT 162,687,558,0,0,0,0,0,pct_int,pct_int,162
COLL,163,PCT 163,2188,1474,0,0,0,0,0,pct_int,pct_int,163
COLL,164,PCT 164,2330,1845,80,0,0,0,0,pct_int,pct_int,164
COLL,165,PCT 165,972,736,0,0,0,0,0,pct_int,pct_int,165
COLL,166,PCT 166,4384,3051,0,0,0,0,0,pct_int,pct_int,166
COLL,167,PCT 167,2192,1501,0,0,0,0,0,pct_int,pct_int,70
COLL,168,PCT 168,1966,1418,0,0,0,0,0,pct_int,pct_int,168
COLL,169,PCT 169,3534,2485,2,0,0,0,0,pct_int,pct_int,169
COLL,170,PCT 170,1921,1364,0,0,0,0,0,pct_int,pct_int,170
COLL,171,PCT 171,2980,1965,0,0,0,0,0,pct_int,pct_int,171
COLL,172,PCT 172,2941,2202,0,0,0,0,0,pct_int,pct_int,172
COLL,173,PCT 173,645,492,0,0,0,0,0,pct_int,pct_int,173
COLL,174,PCT 174,4648,2951,2,0,0,0,0,pct_int,pct_int,174
COLL,175,PCT 175,2083,1492,1,0,0,0,0,pct_int,pct_int,175
COLL,176,PCT 176,4064,2194,0,0,0,0,0,pct_int,pct_int,176
COLL,177,PCT 177,3532,2228,0,0,0,0,0,pct_int,pct_int,177
COLL,178,PCT 178,3375,2404,1,0,0,0,0,pct_int,pct_int,178
COLL,179,PCT 179,4704,3766,0,0,0,0,0,pct_int,pct_int,179
