COUNTY NUMBER,PRECINCT CODE,PRECINCT NAME,REGISTERED VOTERS TOTAL,BALLOTS CAST TOTAL,BALLOTS CAST BLANK,Rep Ben Smith,OVER VOTES,UNDER VOTES,Winning Candidate,Winning Party
COLL,53,PCT 053,2224,1662,0,930,0,732,Rep Ben Smith,Rep
COLL,54,PCT 054,3726,2254,1,1098,0,1156,Rep Ben Smith,Rep
COLL,55,PCT 055,4272,2791,0,1215,0,1576,Rep Ben Smith,Rep
COLL,56,PCT 056,3558,2429,2,1531,0,898,Rep Ben Smith,Rep
COLL,57,PCT 057,1581,1035,0,621,0,414,Rep Ben Smith,Rep
COLL,58,PCT 058,3671,2397,3,1217,0,1180,Rep Ben Smith,Rep
COLL,59,PCT 059,4034,2725,0,1622,0,1103,Rep Ben Smith,Rep
COLL,60,PCT 060,3282,2489,0,1620,0,869,Rep Ben Smith,Rep
COLL,61,PCT 061,1688,1214,0,726,0,488,Rep Ben Smith,Rep
COLL,62,PCT 062,2524,1721,1,847,0,874,Rep Ben Smith,Rep
COLL,63,PCT 063,2074,1604,0,961,0,643,Rep Ben Smith,Rep
COLL,64,PCT 064,2695,1840,0,973,0,867,Rep Ben Smith,Rep
COLL,65,PCT 065,1249,847,1,453,0,394,Rep Ben Smith,Rep
COLL,66,PCT 066,2197,1497,0,833,0,664,Rep Ben Smith,Rep
COLL,67,PCT 067,3003,1995,1,1067,0,928,Rep Ben Smith,Rep
COLL,68,PCT 068,2042,1285,1,654,0,631,Rep Ben Smith,Rep
COLL,69,PCT 069,3878,2831,0,1600,0,1231,Rep Ben Smith,Rep
COLL,70,PCT 070,1912,1416,0,820,0,596,Rep Ben Smith,Rep
COLL,71,PCT 071,1812,1314,0,739,0,575,Rep Ben Smith,Rep
COLL,72,PCT 072,1732,1249,2,741,0,508,Rep Ben Smith,Rep
COLL,73,PCT 073,1936,1122,6,536,0,586,Rep Ben Smith,Rep
COLL,74,PCT 074,1988,1373,9,787,0,586,Rep Ben Smith,Rep
COLL,75,PCT 075,2381,1701,0,1002,0,699,Rep Ben Smith,Rep
