COUNTY NUMBER,PRECINCT CODE,PRECINCT NAME,REGISTERED VOTERS TOTAL,BALLOTS CAST TOTAL,BALLOTS CAST BLANK,Rep Lindsey Wynne,OVER VOTES,UNDER VOTES,Winning Candidate,Winning Party
COLL,34,PCT 034,4401,3041,2,1549,0,1492,Rep Lindsey Wynne,Rep
COLL,35,PCT 035,1861,1293,0,1019,0,274,Rep Lindsey Wynne,Rep
COLL,36,PCT 036,1966,1503,14,976,0,527,Rep Lindsey Wynne,Rep
COLL,37,PCT 037,2779,1966,0,1606,0,360,Rep Lindsey Wynne,Rep
COLL,38,PCT 038,3899,2387,0,1292,0,1095,Rep Lindsey Wynne,Rep
COLL,39,PCT 039,3035,1905,1,928,0,977,Rep Lindsey Wynne,Rep
COLL,40,PCT 040,3639,2556,0,1656,0,900,Rep Lindsey Wynne,Rep
COLL,41,PCT 041,1869,1386,0,963,0,422,Rep Lindsey Wynne,Rep
COLL,42,PCT 042,2302,1548,0,1160,0,388,Rep Lindsey Wynne,Rep
COLL,43,PCT 043,3543,2121,0,1150,0,971,Rep Lindsey Wynne,Rep
COLL,44,PCT 044,1697,924,1,500,0,424,Rep Lindsey Wynne,Rep
COLL,45,PCT 045,3501,2475,0,1607,0,868,Rep Lindsey Wynne,Rep
COLL,46,PCT 046,3182,1797,1,847,0,950,Rep Lindsey Wynne,Rep
COLL,47,PCT 047,2634,1822,1,927,0,895,Rep Lindsey Wynne,Rep
COLL,48,PCT 048,3837,2712,0,1427,0,1285,Rep Lindsey Wynne,Rep
COLL,49,PCT 049,2425,1806,0,1024,0,782,Rep Lindsey Wynne,Rep
COLL,50,PCT 050,3289,1773,1,788,0,985,Rep Lindsey Wynne,Rep
COLL,51,PCT 051,1854,1006,0,479,0,527,Rep Lindsey Wynne,Rep
COLL,52,PCT 052,4768,2909,2,1347,0,1562,Rep Lindsey Wynne,Rep
COLL,53,PCT 053,2224,1662,0,932,0,730,Rep Lindsey Wynne,Rep
COLL,54,PCT 054,3726,2254,1,1096,0,1158,Rep Lindsey Wynne,Rep
COLL,55,PCT 055,4272,2791,0,1207,0,1584,Rep Lindsey Wynne,Rep
COLL,56,PCT 056,3558,2429,2,1536,0,893,Rep Lindsey Wynne,Rep
COLL,57,PCT 057,1581,1035,0,614,0,421,Rep Lindsey Wynne,Rep
COLL,58,PCT 058,3671,2397,3,1208,0,1189,Rep Lindsey Wynne,Rep
COLL,59,PCT 059,4034,2725,0,1613,0,1112,Rep Lindsey Wynne,Rep
COLL,60,PCT 060,3282,2489,0,1636,0,853,Rep Lindsey Wynne,Rep
COLL,61,PCT 061,1688,1214,0,725,0,489,Rep Lindsey Wynne,Rep
COLL,62,PCT 062,2524,1721,1,851,0,870,Rep Lindsey Wynne,Rep
COLL,63,PCT 063,2074,1604,0,961,0,643,Rep Lindsey Wynne,Rep
COLL,64,PCT 064,2695,1840,0,984,0,856,Rep Lindsey Wynne,Rep
COLL,65,PCT 065,1249,847,1,447,0,400,Rep Lindsey Wynne,Rep
COLL,66,PCT 066,2197,1497,0,831,0,666,Rep Lindsey Wynne,Rep
COLL,67,PCT 067,3003,1995,1,1069,0,926,Rep Lindsey Wynne,Rep
COLL,68,PCT 068,2042,1285,1,644,0,641,Rep Lindsey Wynne,Rep
COLL,69,PCT 069,3878,2831,0,1594,0,1237,Rep Lindsey Wynne,Rep
COLL,70,PCT 070,1912,1416,0,838,0,578,Rep Lindsey Wynne,Rep
COLL,71,PCT 071,1812,1314,0,738,0,576,Rep Lindsey Wynne,Rep
COLL,72,PCT 072,1732,1249,2,733,0,516,Rep Lindsey Wynne,Rep
COLL,73,PCT 073,1936,1122,6,541,0,581,Rep Lindsey Wynne,Rep
COLL,74,PCT 074,1988,1373,9,784,0,589,Rep Lindsey Wynne,Rep
COLL,75,PCT 075,2381,1701,0,1011,0,690,Rep Lindsey Wynne,Rep
COLL,76,PCT 076,3331,2363,4,1372,0,991,Rep Lindsey Wynne,Rep
COLL,77,PCT 077,3677,2432,0,1222,0,1210,Rep Lindsey Wynne,Rep
COLL,78,PCT 078,4899,3053,2,1483,0,1570,Rep Lindsey Wynne,Rep
COLL,79,PCT 079,2773,1660,17,922,0,738,Rep Lindsey Wynne,Rep
COLL,80,PCT 080,3657,2509,0,1384,0,1125,Rep Lindsey Wynne,Rep
COLL,81,PCT 081,2973,2031,1,1048,0,983,Rep Lindsey Wynne,Rep
COLL,82,PCT 082,3005,1870,0,1009,0,861,Rep Lindsey Wynne,Rep
COLL,83,PCT 083,4265,2914,1,1920,0,994,Rep Lindsey Wynne,Rep
COLL,84,PCT 084,2541,1705,11,974,0,731,Rep Lindsey Wynne,Rep
COLL,85,PCT 085,3423,2301,1,1131,0,1170,Rep Lindsey Wynne,Rep
COLL,86,PCT 086,3050,2194,0,1243,0,951,Rep Lindsey Wynne,Rep
COLL,87,PCT 087,3486,2531,0,1429,0,1102,Rep Lindsey Wynne,Rep
COLL,88,PCT 088,1661,726,7,317,0,409,Rep Lindsey Wynne,Rep
COLL,89,PCT 089,3267,2264,0,1233,0,1031,Rep Lindsey Wynne,Rep
COLL,90,PCT 090,3268,2400,0,1553,0,847,Rep Lindsey Wynne,Rep
COLL,91,PCT 091,2325,1659,1,866,0,793,Rep Lindsey Wynne,Rep
COLL,92,PCT 092,4619,2877,0,1555,0,1322,Rep Lindsey Wynne,Rep
COLL,93,PCT 093,297,222,1,187,0,35,Rep Lindsey Wynne,Rep
COLL,94,PCT 094,4318,3088,0,1615,0,1473,Rep Lindsey Wynne,Rep
COLL,95,PCT 095,3171,2237,0,1221,0,1016,Rep Lindsey Wynne,Rep
COLL,96,PCT 096,1509,782,0,448,0,334,Rep Lindsey Wynne,Rep
COLL,97,PCT 097,1344,1070,0,756,0,314,Rep Lindsey Wynne,Rep
COLL,98,PCT 098,1618,1019,0,595,0,424,Rep Lindsey Wynne,Rep
COLL,99,PCT 099,403,257,0,128,0,129,Rep Lindsey Wynne,Rep
COLL,100,PCT 100,1545,1024,0,663,0,362,Rep Lindsey Wynne,Rep
COLL,101,PCT 101,4300,2865,0,1680,0,1185,Rep Lindsey Wynne,Rep
COLL,102,PCT 102,2555,1957,0,1322,0,635,Rep Lindsey Wynne,Rep
COLL,103,PCT 103,1419,810,0,407,0,403,Rep Lindsey Wynne,Rep
COLL,104,PCT 104,2426,1167,4,507,0,660,Rep Lindsey Wynne,Rep
COLL,105,PCT 105,173,115,0,53,0,62,Rep Lindsey Wynne,Rep
COLL,106,PCT 106,1869,1255,1,699,0,556,Rep Lindsey Wynne,Rep
COLL,107,PCT 107,3373,2417,0,1280,0,1137,Rep Lindsey Wynne,Rep
COLL,108,PCT 108,2997,2047,1,1039,0,1008,Rep Lindsey Wynne,Rep
COLL,109,PCT 109,4859,3312,0,2027,0,1285,Rep Lindsey Wynne,Rep
COLL,110,PCT 110,2816,1947,1,1093,0,854,Rep Lindsey Wynne,Rep
COLL,111,PCT 111,3096,2183,0,1506,0,677,Rep Lindsey Wynne,Rep
COLL,112,PCT 112,3166,2322,0,1315,0,1007,Rep Lindsey Wynne,Rep
COLL,113,PCT 113,3351,2087,0,1183,0,904,Rep Lindsey Wynne,Rep
COLL,114,PCT 114,4252,3062,0,1931,0,1131,Rep Lindsey Wynne,Rep
COLL,115,PCT 115,2995,2123,15,1116,0,1007,Rep Lindsey Wynne,Rep
COLL,116,PCT 116,5006,3553,1,2136,0,1417,Rep Lindsey Wynne,Rep
COLL,117,PCT 117,4426,2934,2,1645,0,1289,Rep Lindsey Wynne,Rep
COLL,118,PCT 118,4297,2996,0,1772,0,1224,Rep Lindsey Wynne,Rep
COLL,119,PCT 119,2398,1696,2,960,0,736,Rep Lindsey Wynne,Rep
COLL,120,PCT 120,3653,2693,0,1669,0,1024,Rep Lindsey Wynne,Rep
COLL,121,PCT 121,2892,1952,1,993,0,959,Rep Lindsey Wynne,Rep
COLL,122,PCT 122,4972,3708,1,2475,0,1233,Rep Lindsey Wynne,Rep
COLL,123,PCT 123,2078,1458,0,862,0,596,Rep Lindsey Wynne,Rep
COLL,124,PCT 124,3288,2171,1,1142,0,1029,Rep Lindsey Wynne,Rep
COLL,125,PCT 125,2250,1532,0,759,0,772,Rep Lindsey Wynne,Rep
COLL,126,PCT 126,4969,3443,0,1998,0,1445,Rep Lindsey Wynne,Rep
COLL,127,PCT 127,3929,2671,1,1467,0,1204,Rep Lindsey Wynne,Rep
COLL,128,PCT 128,3137,2395,0,1787,0,608,Rep Lindsey Wynne,Rep
COLL,129,PCT 129,4643,3072,0,1801,0,1271,Rep Lindsey Wynne,Rep
COLL,130,PCT 130,3972,2813,1,1501,0,1312,Rep Lindsey Wynne,Rep
COLL,131,PCT 131,3151,2136,0,1366,0,770,Rep Lindsey Wynne,Rep
COLL,132,PCT 132,2874,2016,6,992,0,1024,Rep Lindsey Wynne,Rep
COLL,133,PCT 133,2939,1791,0,1061,0,730,Rep Lindsey Wynne,Rep
COLL,134,PCT 134,4149,2771,0,1527,0,1244,Rep Lindsey Wynne,Rep
COLL,135,PCT 135,4286,2900,0,1538,0,1362,Rep Lindsey Wynne,Rep
COLL,136,PCT 136,1978,1427,10,828,0,599,Rep Lindsey Wynne,Rep
COLL,137,PCT 137,2004,1418,0,894,0,524,Rep Lindsey Wynne,Rep
COLL,138,PCT 138,2349,1774,0,953,0,821,Rep Lindsey Wynne,Rep
COLL,139,PCT 139,4130,2721,0,1423,0,1298,Rep Lindsey Wynne,Rep
COLL,140,PCT 140,4848,3591,0,2407,0,1184,Rep Lindsey Wynne,Rep
COLL,141,PCT 141,3514,2511,0,1399,0,1112,Rep Lindsey Wynne,Rep
COLL,142,PCT 142,2797,2040,17,1094,0,946,Rep Lindsey Wynne,Rep
COLL,143,PCT 143,2165,1543,0,936,0,607,Rep Lindsey Wynne,Rep
COLL,144,PCT 144,2956,2072,1,1198,0,874,Rep Lindsey Wynne,Rep
COLL,145,PCT 145,1780,1237,1,670,0,567,Rep Lindsey Wynne,Rep
COLL,146,PCT 146,4860,3233,0,1788,0,1445,Rep Lindsey Wynne,Rep
COLL,147,PCT 147,2281,1409,0,777,0,632,Rep Lindsey Wynne,Rep
COLL,148,PCT 148,1133,851,0,478,0,373,Rep Lindsey Wynne,Rep
COLL,149,PCT 149,4656,3337,0,2074,0,1263,Rep Lindsey Wynne,Rep
COLL,150,PCT 150,2024,1621,0,1072,0,549,Rep Lindsey Wynne,Rep
COLL,151,PCT 151,1856,1296,0,711,0,585,Rep Lindsey Wynne,Rep
COLL,152,PCT 152,231,119,0,55,0,64,Rep Lindsey Wynne,Rep
COLL,153,PCT 153,1225,860,0,507,0,352,Rep Lindsey Wynne,Rep
COLL,154,PCT 154,2771,2102,0,1630,0,472,Rep Lindsey Wynne,Rep
COLL,155,PCT 155,3016,2129,1,1362,0,767,Rep Lindsey Wynne,Rep
COLL,156,PCT 156,3797,2569,0,1487,0,1082,Rep Lindsey Wynne,Rep
COLL,157,PCT 157,4358,3111,1,1767,0,1344,Rep Lindsey Wynne,Rep
COLL,158,PCT 158,2851,1955,0,1048,0,907,Rep Lindsey Wynne,Rep
COLL,159,PCT 159,3385,2049,1,1104,0,945,Rep Lindsey Wynne,Rep
COLL,160,PCT 160,530,430,0,363,0,67,Rep Lindsey Wynne,Rep
COLL,161,PCT 161,298,192,0,130,0,62,Rep Lindsey Wynne,Rep
COLL,162,PCT 162,687,558,0,405,0,153,Rep Lindsey Wynne,Rep
COLL,163,PCT 163,2188,1474,0,918,0,556,Rep Lindsey Wynne,Rep
COLL,164,PCT 164,2330,1845,80,1032,0,813,Rep Lindsey Wynne,Rep
COLL,165,PCT 165,972,736,0,497,0,239,Rep Lindsey Wynne,Rep
COLL,166,PCT 166,4384,3051,0,1748,0,1303,Rep Lindsey Wynne,Rep
COLL,167,PCT 167,2192,1501,0,767,0,735,Rep Lindsey Wynne,Rep
COLL,168,PCT 168,1966,1418,0,992,0,426,Rep Lindsey Wynne,Rep
COLL,169,PCT 169,3534,2485,2,1387,0,1098,Rep Lindsey Wynne,Rep
COLL,170,PCT 170,1921,1364,0,880,0,484,Rep Lindsey Wynne,Rep
COLL,171,PCT 171,2980,1965,0,1079,0,886,Rep Lindsey Wynne,Rep
COLL,172,PCT 172,2941,2202,0,1559,0,643,Rep Lindsey Wynne,Rep
COLL,173,PCT 173,645,492,0,340,0,152,Rep Lindsey Wynne,Rep
COLL,174,PCT 174,4648,2951,2,1813,0,1138,Rep Lindsey Wynne,Rep
COLL,175,PCT 175,2083,1492,1,951,0,541,Rep Lindsey Wynne,Rep
COLL,176,PCT 176,4064,2194,0,1121,0,1073,Rep Lindsey Wynne,Rep
COLL,177,PCT 177,3532,2228,0,1441,0,787,Rep Lindsey Wynne,Rep
COLL,178,PCT 178,3375,2404,1,1756,0,648,Rep Lindsey Wynne,Rep
COLL,179,PCT 179,4704,3766,0,2697,0,1069,Rep Lindsey Wynne,Rep
COLL,180,PCT 180,3492,2359,1,1390,0,969,Rep Lindsey Wynne,Rep
COLL,181,PCT 181,3166,2049,0,1354,0,695,Rep Lindsey Wynne,Rep
COLL,182,PCT 182,4037,2765,1,1576,0,1189,Rep Lindsey Wynne,Rep
COLL,183,PCT 183,171,120,0,85,0,35,Rep Lindsey Wynne,Rep
COLL,184,PCT 184,3360,1910,0,1047,0,863,Rep Lindsey Wynne,Rep
COLL,185,PCT 185,3352,2450,1,1674,0,777,Rep Lindsey Wynne,Rep
COLL,186,PCT 186,764,536,0,440,0,96,Rep Lindsey Wynne,Rep
COLL,187,PCT 187,1044,697,0,461,0,236,Rep Lindsey Wynne,Rep
COLL,188,PCT 188,731,488,0,323,0,165,Rep Lindsey Wynne,Rep
COLL,189,PCT 189,1473,1016,0,793,0,224,Rep Lindsey Wynne,Rep
COLL,190,PCT 190,1038,802,0,613,0,190,Rep Lindsey Wynne,Rep
COLL,191,PCT 191,967,582,1,383,0,199,Rep Lindsey Wynne,Rep
COLL,192,PCT 192,4114,2896,0,2167,0,729,Rep Lindsey Wynne,Rep
COLL,193,PCT 193,1341,896,0,679,0,217,Rep Lindsey Wynne,Rep
COLL,194,PCT 194,3375,2400,0,1650,0,749,Rep Lindsey Wynne,Rep
COLL,195,PCT 195,935,674,0,510,0,164,Rep Lindsey Wynne,Rep
COLL,196,PCT 196,2001,1352,0,829,0,523,Rep Lindsey Wynne,Rep
COLL,197,PCT 197,1270,858,0,455,0,403,Rep Lindsey Wynne,Rep
COLL,198,PCT 198,2904,2327,0,1539,0,788,Rep Lindsey Wynne,Rep
COLL,199,PCT 199,4135,3196,0,2348,0,848,Rep Lindsey Wynne,Rep
COLL,200,PCT 200,2726,1894,0,1341,0,553,Rep Lindsey Wynne,Rep
COLL,201,PCT 201,0,0,0,0,0,0,Rep Lindsey Wynne,Rep
COLL,202,PCT 202,2,2,0,0,0,2,Rep Lindsey Wynne,Rep
COLL,203,PCT 203,3182,2344,0,1517,0,827,Rep Lindsey Wynne,Rep
COLL,204,PCT 204,354,282,0,196,0,86,Rep Lindsey Wynne,Rep
COLL,205,PCT 205,4103,2879,2,1700,0,1180,Rep Lindsey Wynne,Rep
COLL,206,PCT 206,2002,1431,0,928,0,503,Rep Lindsey Wynne,Rep
COLL,207,PCT 207,4081,2925,1,1874,0,1051,Rep Lindsey Wynne,Rep
COLL,208,PCT 208,4359,3323,0,2202,0,1121,Rep Lindsey Wynne,Rep
COLL,209,PCT 209,172,125,0,82,0,43,Rep Lindsey Wynne,Rep
COLL,210,PCT 210,1746,1290,0,654,0,636,Rep Lindsey Wynne,Rep
COLL,211,PCT 211,3433,2455,0,1497,0,958,Rep Lindsey Wynne,Rep
COLL,212,PCT 212,2600,1945,0,1134,0,811,Rep Lindsey Wynne,Rep
COLL,213,PCT 213,3697,2611,0,1526,0,1085,Rep Lindsey Wynne,Rep
COLL,214,PCT 214,3776,2920,0,2230,0,689,Rep Lindsey Wynne,Rep
COLL,215,PCT 215,3503,2092,1,1345,0,747,Rep Lindsey Wynne,Rep
COLL,216,PCT 216,4771,3565,0,2563,0,1002,Rep Lindsey Wynne,Rep
COLL,217,PCT 217,3140,2190,1,1424,0,766,Rep Lindsey Wynne,Rep
COLL,218,PCT 218,4297,3093,1,1815,0,1278,Rep Lindsey Wynne,Rep
COLL,219,PCT 219,4559,3137,1,1757,0,1380,Rep Lindsey Wynne,Rep
COLL,220,PCT 220,2465,1745,0,997,0,748,Rep Lindsey Wynne,Rep
COLL,221,PCT 221,2053,1470,0,967,0,503,Rep Lindsey Wynne,Rep
COLL,222,PCT 222,3965,2870,1,1624,0,1246,Rep Lindsey Wynne,Rep
COLL,223,PCT 223,2501,1839,0,1084,0,755,Rep Lindsey Wynne,Rep
COLL,224,PCT 224,3351,2568,1,1948,0,620,Rep Lindsey Wynne,Rep
COLL,225,PCT 225,3945,2807,2,1579,0,1228,Rep Lindsey Wynne,Rep
COLL,226,PCT 226,4404,2945,0,1593,0,1352,Rep Lindsey Wynne,Rep
COLL,227,PCT 227,4468,3160,0,1869,0,1291,Rep Lindsey Wynne,Rep
COLL,228,PCT 228,4845,3037,1,1750,0,1287,Rep Lindsey Wynne,Rep
COLL,229,PCT 229,2259,1494,0,830,0,664,Rep Lindsey Wynne,Rep
COLL,230,PCT 230,4953,3021,0,1634,0,1387,Rep Lindsey Wynne,Rep
COLL,231,PCT 231,3938,2850,0,1749,0,1101,Rep Lindsey Wynne,Rep
COLL,232,PCT 232,3850,2755,0,1726,0,1029,Rep Lindsey Wynne,Rep
COLL,233,PCT 233,2089,1443,0,913,0,530,Rep Lindsey Wynne,Rep
COLL,234,PCT 234,3351,2585,0,1467,0,1118,Rep Lindsey Wynne,Rep
COLL,235,PCT 235,1916,1332,3,719,0,613,Rep Lindsey Wynne,Rep
COLL,236,PCT 236,3015,2217,1,1428,0,789,Rep Lindsey Wynne,Rep
COLL,237,PCT 237,2345,1522,3,866,0,656,Rep Lindsey Wynne,Rep
COLL,238,PCT 238,4043,2583,0,1377,0,1206,Rep Lindsey Wynne,Rep
COLL,239,PCT 239,4293,3051,0,2220,0,831,Rep Lindsey Wynne,Rep
COLL,240,PCT 240,4358,3212,0,2342,0,870,Rep Lindsey Wynne,Rep
COLL,241,PCT 241,1549,1115,0,632,0,483,Rep Lindsey Wynne,Rep
COLL,242,PCT 242,3578,2604,0,1540,0,1064,Rep Lindsey Wynne,Rep
COLL,243,PCT 243,1684,1272,0,918,0,354,Rep Lindsey Wynne,Rep
COLL,244,PCT 244,3235,2337,0,1409,0,928,Rep Lindsey Wynne,Rep
COLL,245,PCT 245,2764,1651,0,952,0,699,Rep Lindsey Wynne,Rep
COLL,246,PCT 246,2859,2137,1,1246,0,891,Rep Lindsey Wynne,Rep
COLL,247,PCT 247,2436,1876,0,1351,0,525,Rep Lindsey Wynne,Rep
COLL,248,PCT 248,2328,1645,0,991,0,654,Rep Lindsey Wynne,Rep
COLL,249,PCT 249,4743,3053,0,2028,0,1025,Rep Lindsey Wynne,Rep
COLL,250,PCT 250,3886,3025,0,1759,0,1266,Rep Lindsey Wynne,Rep
COLL,251,PCT 251,2568,1852,0,1295,0,557,Rep Lindsey Wynne,Rep
COLL,252,PCT 252,3149,2338,0,1696,0,642,Rep Lindsey Wynne,Rep
COLL,253,PCT 253,3111,2203,1,1259,0,944,Rep Lindsey Wynne,Rep
COLL,254,PCT 254,1286,806,0,464,0,342,Rep Lindsey Wynne,Rep
COLL,255,PCT 255,3292,2440,1,1697,0,744,Rep Lindsey Wynne,Rep
COLL,256,PCT 256,767,540,0,404,0,136,Rep Lindsey Wynne,Rep
COLL,257,PCT 257,1342,890,1,556,0,334,Rep Lindsey Wynne,Rep
COLL,258,PCT 258,3045,2073,1,1028,0,1046,Rep Lindsey Wynne,Rep
COLL,259,PCT 259,3698,2420,0,1437,0,983,Rep Lindsey Wynne,Rep
COLL,260,PCT 260,438,319,0,245,0,73,Rep Lindsey Wynne,Rep
COLL,261,PCT 261,3221,2306,0,1517,0,789,Rep Lindsey Wynne,Rep
COLL,262,PCT 262,3038,2081,0,1062,0,1018,Rep Lindsey Wynne,Rep
COLL,263,PCT 263,2055,1544,1,1093,0,452,Rep Lindsey Wynne,Rep
COLL,264,PCT 264,3994,2746,0,1688,0,1058,Rep Lindsey Wynne,Rep
COLL,265,PCT 265,0,0,0,0,0,0,Rep Lindsey Wynne,Rep
COLL,266,PCT 266,62,42,0,21,0,21,Rep Lindsey Wynne,Rep
COLL,267,PCT 267,19,13,0,6,0,7,Rep Lindsey Wynne,Rep
COLL,268,PCT 268,0,0,0,0,0,0,Rep Lindsey Wynne,Rep
COLL,269,PCT 269,0,0,0,0,0,0,Rep Lindsey Wynne,Rep
COLL,270,PCT 270,2,1,0,1,0,0,Rep Lindsey Wynne,Rep
COLL,271,PCT 271,1035,750,0,491,0,260,Rep Lindsey Wynne,Rep
COLL,272,PCT 272,1,1,0,1,0,0,Rep Lindsey Wynne,Rep
COLL,273,PCT 273,260,202,0,149,0,53,Rep Lindsey Wynne,Rep
