COUNTY NUMBER,PRECINCT CODE,PRECINCT NAME,REGISTERED VOTERS TOTAL,BALLOTS CAST TOTAL,BALLOTS CAST BLANK,Dem Holly Taylor,Rep David J. Schenck,OVER VOTES,UNDER VOTES,Winning Candidate,Winning Party,pct_int
COLL,104,PCT 104,2426,1167,4,723,389,0,55,Dem Holly Taylor,Dem,104
COLL,105,PCT 105,173,115,0,66,44,0,5,pct_int,pct_int,105
COLL,106,PCT 106,1869,1255,1,584,616,0,55,Rep David J. Schenck,Rep,106
COLL,107,PCT 107,3373,2417,0,1134,1144,0,139,Rep David J. Schenck,Rep,107
COLL,108,PCT 108,2997,2047,1,1001,918,0,128,Dem Holly Taylor,Dem,108
COLL,109,PCT 109,4859,3312,0,1269,1873,0,170,Rep David J. Schenck,Rep,109
COLL,110,PCT 110,2816,1947,1,854,985,0,108,Rep David J. Schenck,Rep,110
COLL,111,PCT 111,3096,2183,0,650,1434,0,99,Rep David J. Schenck,Rep,111
COLL,112,PCT 112,3166,2322,0,982,1198,0,142,Rep David J. Schenck,Rep,112
COLL,113,PCT 113,3351,2087,0,956,1009,0,122,Rep David J. Schenck,Rep,113
COLL,114,PCT 114,4252,3062,0,1134,1749,0,179,Rep David J. Schenck,Rep,114
COLL,115,PCT 115,2995,2123,15,1006,987,0,130,Dem Holly Taylor,Dem,115
COLL,116,PCT 116,5006,3553,1,1445,1912,0,196,Rep David J. Schenck,Rep,116
COLL,117,PCT 117,4426,2934,2,1285,1455,0,194,Rep David J. Schenck,Rep,117
COLL,118,PCT 118,4297,2996,0,1127,1671,0,198,Rep David J. Schenck,Rep,118
COLL,119,PCT 119,2398,1696,2,736,877,0,83,Rep David J. Schenck,Rep,119
COLL,120,PCT 120,3653,2693,0,1003,1547,0,143,Rep David J. Schenck,Rep,120
COLL,121,PCT 121,2892,1952,1,1037,807,0,108,Dem Holly Taylor,Dem,121
COLL,122,PCT 122,4972,3708,1,1101,2403,0,204,Rep David J. Schenck,Rep,122
COLL,123,PCT 123,2078,1458,0,590,805,0,63,Rep David J. Schenck,Rep,123
COLL,124,PCT 124,3288,2171,1,998,1049,0,124,Rep David J. Schenck,Rep,124
COLL,125,PCT 125,2250,1532,0,757,652,0,123,Dem Holly Taylor,Dem,53
COLL,126,PCT 126,4969,3443,0,1489,1760,0,194,Rep David J. Schenck,Rep,126
COLL,127,PCT 127,3929,2671,1,1195,1291,0,185,Rep David J. Schenck,Rep,127
COLL,128,PCT 128,3137,2395,0,524,1754,0,117,Rep David J. Schenck,Rep,128
COLL,129,PCT 129,4643,3072,0,1257,1639,0,176,Rep David J. Schenck,Rep,129
COLL,130,PCT 130,3972,2813,1,1269,1370,0,174,Rep David J. Schenck,Rep,130
COLL,131,PCT 131,3151,2136,0,727,1271,0,138,Rep David J. Schenck,Rep,131
COLL,132,PCT 132,2874,2016,6,1031,894,0,91,Dem Holly Taylor,Dem,132
COLL,133,PCT 133,2939,1791,0,724,959,0,108,Rep David J. Schenck,Rep,133
COLL,134,PCT 134,4149,2771,0,1303,1292,0,176,Dem Holly Taylor,Dem,134
COLL,135,PCT 135,4286,2900,0,1410,1289,0,201,Dem Holly Taylor,Dem,135
COLL,136,PCT 136,1978,1427,10,604,763,0,60,Rep David J. Schenck,Rep,136
COLL,137,PCT 137,2004,1418,0,531,831,0,56,Rep David J. Schenck,Rep,137
COLL,138,PCT 138,2349,1774,0,824,854,0,96,Rep David J. Schenck,Rep,138
COLL,139,PCT 139,4130,2721,0,1332,1223,0,166,Dem Holly Taylor,Dem,139
COLL,140,PCT 140,4848,3591,0,1143,2285,0,163,Rep David J. Schenck,Rep,140
COLL,141,PCT 141,3514,2511,0,1157,1223,0,131,Rep David J. Schenck,Rep,141
COLL,142,PCT 142,2797,2040,17,959,965,0,116,Rep David J. Schenck,Rep,142
COLL,143,PCT 143,2165,1543,0,620,864,0,59,Rep David J. Schenck,Rep,143
COLL,144,PCT 144,2956,2072,1,820,1116,0,136,Rep David J. Schenck,Rep,144
COLL,145,PCT 145,1780,1237,1,579,580,0,78,Rep David J. Schenck,Rep,145
COLL,146,PCT 146,4860,3233,0,1431,1587,0,215,Rep David J. Schenck,Rep,146
COLL,147,PCT 147,2281,1409,0,652,667,0,90,Rep David J. Schenck,Rep,147
COLL,148,PCT 148,1133,851,0,311,433,0,107,Rep David J. Schenck,Rep,148
COLL,149,PCT 149,4656,3337,0,1231,1934,0,172,Rep David J. Schenck,Rep,354
COLL,150,PCT 150,2024,1621,0,573,978,0,70,Rep David J. Schenck,Rep,62
COLL,151,PCT 151,1856,1296,0,613,597,0,86,Dem Holly Taylor,Dem,151
COLL,152,PCT 152,231,119,0,75,37,0,7,pct_int,pct_int,152
COLL,153,PCT 153,1225,860,0,340,462,0,57,Rep David J. Schenck,Rep,35
COLL,154,PCT 154,2771,2102,0,425,1584,0,93,Rep David J. Schenck,Rep,154
COLL,155,PCT 155,3016,2129,1,788,1236,0,105,Rep David J. Schenck,Rep,155
COLL,156,PCT 156,3797,2569,0,1060,1346,0,163,Rep David J. Schenck,Rep,156
COLL,157,PCT 157,4358,3111,1,1398,1537,0,176,Rep David J. Schenck,Rep,157
COLL,158,PCT 158,2851,1955,0,936,879,0,140,Dem Holly Taylor,Dem,158
COLL,159,PCT 159,3385,2049,1,907,989,0,153,Rep David J. Schenck,Rep,159
COLL,160,PCT 160,530,430,0,64,357,0,9,Rep David J. Schenck,Rep,160
COLL,161,PCT 161,298,192,0,54,126,0,12,pct_int,pct_int,161
COLL,162,PCT 162,687,558,0,154,379,0,25,Rep David J. Schenck,Rep,162
COLL,163,PCT 163,2188,1474,0,583,795,0,96,Rep David J. Schenck,Rep,163
COLL,164,PCT 164,2330,1845,80,675,1012,0,158,Rep David J. Schenck,Rep,164
COLL,165,PCT 165,972,736,0,228,461,0,47,Rep David J. Schenck,Rep,165
COLL,166,PCT 166,4384,3051,0,1242,1566,0,243,Rep David J. Schenck,Rep,166
COLL,167,PCT 167,2192,1501,0,757,655,0,89,Dem Holly Taylor,Dem,70
COLL,168,PCT 168,1966,1418,0,384,958,0,76,Rep David J. Schenck,Rep,168
COLL,169,PCT 169,3534,2485,2,1120,1213,0,152,Rep David J. Schenck,Rep,169
COLL,170,PCT 170,1921,1364,0,467,814,0,83,Rep David J. Schenck,Rep,170
COLL,171,PCT 171,2980,1965,0,861,938,0,166,Rep David J. Schenck,Rep,171
COLL,172,PCT 172,2941,2202,0,666,1452,0,84,Rep David J. Schenck,Rep,172
COLL,173,PCT 173,645,492,0,140,325,0,27,Rep David J. Schenck,Rep,173
COLL,174,PCT 174,4648,2951,2,1126,1657,0,168,Rep David J. Schenck,Rep,174
COLL,175,PCT 175,2083,1492,1,511,898,0,83,Rep David J. Schenck,Rep,175
COLL,176,PCT 176,4064,2194,0,1113,955,0,126,Dem Holly Taylor,Dem,176
COLL,177,PCT 177,3532,2228,0,806,1307,0,115,Rep David J. Schenck,Rep,177
COLL,178,PCT 178,3375,2404,1,630,1671,0,103,Rep David J. Schenck,Rep,178
COLL,179,PCT 179,4704,3766,0,959,2625,0,182,Rep David J. Schenck,Rep,179
COLL,180,PCT 180,3492,2359,1,992,1227,0,140,Rep David J. Schenck,Rep,180
COLL,181,PCT 181,3166,2049,0,715,1224,0,110,Rep David J. Schenck,Rep,181
COLL,182,PCT 182,4037,2765,1,1181,1407,0,177,Rep David J. Schenck,Rep,182
COLL,183,PCT 183,171,120,0,27,83,0,10,pct_int,pct_int,368
COLL,184,PCT 184,3360,1910,0,932,871,0,107,Dem Holly Taylor,Dem,184
COLL,185,PCT 185,3352,2450,1,771,1555,0,125,Rep David J. Schenck,Rep,9
COLL,186,PCT 186,764,536,0,58,446,0,32,Rep David J. Schenck,Rep,373
COLL,187,PCT 187,1044,697,0,245,419,0,33,Rep David J. Schenck,Rep,3
COLL,188,PCT 188,731,488,0,171,293,0,23,Rep David J. Schenck,Rep,2
COLL,189,PCT 189,1473,1016,0,189,776,0,51,Rep David J. Schenck,Rep,379
COLL,190,PCT 190,1038,802,0,174,597,0,31,Rep David J. Schenck,Rep,46
COLL,191,PCT 191,967,582,1,193,353,0,36,Rep David J. Schenck,Rep,191
COLL,192,PCT 192,4114,2896,0,684,2052,0,159,Rep David J. Schenck,Rep,162
COLL,193,PCT 193,1341,896,0,189,658,0,49,Rep David J. Schenck,Rep,387
COLL,194,PCT 194,3375,2400,0,739,1530,0,130,Rep David J. Schenck,Rep,16
COLL,195,PCT 195,935,674,0,143,490,0,41,Rep David J. Schenck,Rep,195
COLL,196,PCT 196,2001,1352,0,518,755,0,79,Rep David J. Schenck,Rep,196
COLL,197,PCT 197,1270,858,0,429,377,0,52,Dem Holly Taylor,Dem,197
COLL,198,PCT 198,2904,2327,0,823,1403,0,101,Rep David J. Schenck,Rep,88
COLL,199,PCT 199,4135,3196,0,842,2215,0,139,Rep David J. Schenck,Rep,199
COLL,200,PCT 200,2726,1894,0,536,1255,0,103,Rep David J. Schenck,Rep,200
COLL,201,PCT 201,0,0,0,0,0,0,0,pct_int,pct_int,201
COLL,202,PCT 202,2,2,0,2,0,0,0,pct_int,pct_int,202
COLL,203,PCT 203,3182,2344,0,749,1479,0,116,Rep David J. Schenck,Rep,203
COLL,204,PCT 204,354,282,0,99,170,0,13,pct_int,pct_int,204
COLL,205,PCT 205,4103,2879,2,1140,1547,0,193,Rep David J. Schenck,Rep,118
COLL,206,PCT 206,2002,1431,0,487,876,0,68,Rep David J. Schenck,Rep,206
COLL,207,PCT 207,4081,2925,1,1047,1724,0,154,Rep David J. Schenck,Rep,207
COLL,208,PCT 208,4359,3323,0,1115,2023,0,185,Rep David J. Schenck,Rep,208
COLL,209,PCT 209,172,125,0,47,72,0,6,Rep David J. Schenck,Rep,30
COLL,210,PCT 210,1746,1290,0,603,579,0,108,Dem Holly Taylor,Dem,210
COLL,211,PCT 211,3433,2455,0,926,1368,0,161,Rep David J. Schenck,Rep,211
COLL,212,PCT 212,2600,1945,0,843,975,0,127,Rep David J. Schenck,Rep,212
COLL,213,PCT 213,3697,2611,0,1144,1307,0,160,Rep David J. Schenck,Rep,213
COLL,214,PCT 214,3776,2920,0,633,2174,0,113,Rep David J. Schenck,Rep,168
COLL,215,PCT 215,3503,2092,1,729,1229,0,134,Rep David J. Schenck,Rep,215
COLL,216,PCT 216,4771,3565,0,992,2410,0,163,Rep David J. Schenck,Rep,216
COLL,217,PCT 217,3140,2190,1,797,1273,0,120,Rep David J. Schenck,Rep,217
COLL,218,PCT 218,4297,3093,1,1344,1595,0,154,Rep David J. Schenck,Rep,218
COLL,219,PCT 219,4559,3137,1,1432,1528,0,177,Rep David J. Schenck,Rep,219
COLL,220,PCT 220,2465,1745,0,818,817,0,110,Dem Holly Taylor,Dem,97
COLL,221,PCT 221,2053,1470,0,475,912,0,83,Rep David J. Schenck,Rep,86
COLL,222,PCT 222,3965,2870,1,1282,1438,0,150,Rep David J. Schenck,Rep,222
COLL,223,PCT 223,2501,1839,0,787,976,0,76,Rep David J. Schenck,Rep,223
COLL,224,PCT 224,3351,2568,1,593,1869,0,106,Rep David J. Schenck,Rep,224
COLL,225,PCT 225,3945,2807,2,1310,1305,0,192,Dem Holly Taylor,Dem,225
COLL,226,PCT 226,4404,2945,0,1350,1423,0,172,Rep David J. Schenck,Rep,226
COLL,227,PCT 227,4468,3160,0,1279,1701,0,180,Rep David J. Schenck,Rep,227
COLL,228,PCT 228,4845,3037,1,1325,1517,0,194,Rep David J. Schenck,Rep,180
COLL,229,PCT 229,2259,1494,0,701,711,0,82,Rep David J. Schenck,Rep,229
COLL,230,PCT 230,4953,3021,0,1406,1425,0,190,Rep David J. Schenck,Rep,230
COLL,231,PCT 231,3938,2850,0,1159,1547,0,144,Rep David J. Schenck,Rep,231
COLL,232,PCT 232,3850,2755,0,1053,1559,0,143,Rep David J. Schenck,Rep,232
COLL,233,PCT 233,2089,1443,0,529,830,0,84,Rep David J. Schenck,Rep,233
COLL,234,PCT 234,3351,2585,0,1255,1201,0,129,Dem Holly Taylor,Dem,234
COLL,235,PCT 235,1916,1332,3,644,611,0,77,Dem Holly Taylor,Dem,235
COLL,236,PCT 236,3015,2217,1,751,1345,0,121,Rep David J. Schenck,Rep,236
COLL,237,PCT 237,2345,1522,3,636,775,0,111,Rep David J. Schenck,Rep,237
COLL,238,PCT 238,4043,2583,0,1270,1157,0,156,Dem Holly Taylor,Dem,238
COLL,239,PCT 239,4293,3051,0,824,2091,0,136,Rep David J. Schenck,Rep,239
COLL,240,PCT 240,4358,3212,0,853,2206,0,153,Rep David J. Schenck,Rep,240
COLL,241,PCT 241,1549,1115,0,461,570,0,84,Rep David J. Schenck,Rep,241
COLL,242,PCT 242,3578,2604,0,1046,1408,0,150,Rep David J. Schenck,Rep,242
COLL,243,PCT 243,1684,1272,0,350,864,0,58,Rep David J. Schenck,Rep,243
COLL,244,PCT 244,3235,2337,0,896,1298,0,143,Rep David J. Schenck,Rep,244
COLL,245,PCT 245,2764,1651,0,693,853,0,105,Rep David J. Schenck,Rep,245
COLL,246,PCT 246,2859,2137,1,894,1131,0,112,Rep David J. Schenck,Rep,246
COLL,247,PCT 247,2436,1876,0,488,1308,0,80,Rep David J. Schenck,Rep,247
COLL,248,PCT 248,2328,1645,0,685,857,0,103,Rep David J. Schenck,Rep,248
COLL,249,PCT 249,4743,3053,0,1045,1859,0,149,Rep David J. Schenck,Rep,249
COLL,250,PCT 250,3886,3025,0,1374,1433,0,218,Rep David J. Schenck,Rep,250
COLL,251,PCT 251,2568,1852,0,562,1203,0,87,Rep David J. Schenck,Rep,251
COLL,252,PCT 252,3149,2338,0,624,1597,0,117,Rep David J. Schenck,Rep,252
COLL,253,PCT 253,3111,2203,1,1033,1032,0,138,Dem Holly Taylor,Dem,123
COLL,254,PCT 254,1286,806,0,352,403,0,52,Rep David J. Schenck,Rep,48
COLL,255,PCT 255,3292,2440,1,767,1570,0,103,Rep David J. Schenck,Rep,26
COLL,256,PCT 256,767,540,0,128,383,0,30,Rep David J. Schenck,Rep,30
COLL,257,PCT 257,1342,890,1,347,492,0,51,Rep David J. Schenck,Rep,2
COLL,258,PCT 258,3045,2073,1,1025,882,0,166,Dem Holly Taylor,Dem,72
COLL,259,PCT 259,3698,2420,0,981,1288,0,151,Rep David J. Schenck,Rep,40
COLL,260,PCT 260,438,319,0,60,243,0,16,Rep David J. Schenck,Rep,2
COLL,261,PCT 261,3221,2306,0,745,1431,0,130,Rep David J. Schenck,Rep,135
COLL,262,PCT 262,3038,2081,0,1050,908,0,123,Dem Holly Taylor,Dem,97
COLL,263,PCT 263,2055,1544,1,447,1022,0,74,Rep David J. Schenck,Rep,11
COLL,264,PCT 264,3994,2746,0,1051,1551,0,144,Rep David J. Schenck,Rep,24
COLL,265,PCT 265,0,0,0,0,0,0,0,Dem Holly Taylor,Dem,0
COLL,266,PCT 266,62,42,0,21,19,0,3,Dem Holly Taylor,Dem,1
COLL,267,PCT 267,19,13,0,7,5,0,1,Dem Holly Taylor,Dem,0
COLL,268,PCT 268,0,0,0,0,0,0,0,Dem Holly Taylor,Dem,0
COLL,269,PCT 269,0,0,0,0,0,0,0,Dem Holly Taylor,Dem,0
COLL,270,PCT 270,2,1,0,0,1,0,0,Rep David J. Schenck,Rep,0
COLL,271,PCT 271,1035,750,0,282,430,0,39,Rep David J. Schenck,Rep,179
COLL,272,PCT 272,1,1,0,0,0,0,0,Dem Holly Taylor,Dem,0
COLL,273,PCT 273,260,202,0,55,141,0,6,Rep David J. Schenck,Rep,1
