COUNTY NUMBER,PRECINCT CODE,PRECINCT NAME,REGISTERED VOTERS TOTAL,BALLOTS CAST TOTAL,BALLOTS CAST BLANK,Write-in,Dem Kamala D. Harris/Tim Walz,Grn Jill Stein/Rudolph Ware,Lib Chase Oliver/Mike ter Maat,Rep Donald J. Trump/JD Vance,OVER VOTES,UNDER VOTES,Winning Candidate,Winning Party,pct_int
COLL,106,PCT 106,1869,1255,1,6,624,9,14,592,0,10,Dem Kamala D. Harris/Tim Walz,Dem,106
COLL,107,PCT 107,3373,2417,0,16,1263,51,18,1048,0,21,Dem Kamala D. Harris/Tim Walz,Dem,107
COLL,108,PCT 108,2997,2047,1,8,1088,40,24,880,0,7,Dem Kamala D. Harris/Tim Walz,Dem,108
COLL,109,PCT 109,4859,3312,0,15,1459,33,26,1754,0,25,Rep Donald J. Trump/JD Vance,Rep,109
COLL,110,PCT 110,2816,1947,1,11,929,30,9,958,0,10,Rep Donald J. Trump/JD Vance,Rep,110
COLL,111,PCT 111,3096,2183,0,13,730,29,10,1390,0,11,Rep Donald J. Trump/JD Vance,Rep,111
COLL,112,PCT 112,3166,2322,0,15,1113,45,12,1120,0,17,Rep Donald J. Trump/JD Vance,Rep,112
COLL,113,PCT 113,3351,2087,0,13,1027,40,16,987,0,4,Dem Kamala D. Harris/Tim Walz,Dem,113
COLL,114,PCT 114,4252,3062,0,12,1207,30,18,1785,0,10,Rep Donald J. Trump/JD Vance,Rep,114
COLL,115,PCT 115,2995,2123,15,16,1126,27,5,937,0,12,Dem Kamala D. Harris/Tim Walz,Dem,115
COLL,116,PCT 116,5006,3553,1,29,1571,77,19,1827,0,30,Rep Donald J. Trump/JD Vance,Rep,116
COLL,117,PCT 117,4426,2934,2,12,1366,50,16,1475,0,15,Rep Donald J. Trump/JD Vance,Rep,117
COLL,118,PCT 118,4297,2996,0,12,1291,29,16,1626,0,22,Rep Donald J. Trump/JD Vance,Rep,118
COLL,119,PCT 119,2398,1696,2,10,817,46,14,793,0,16,Dem Kamala D. Harris/Tim Walz,Dem,119
COLL,120,PCT 120,3653,2693,0,19,1126,37,27,1470,0,14,Rep Donald J. Trump/JD Vance,Rep,120
COLL,121,PCT 121,2892,1952,1,11,1045,92,17,770,0,17,Dem Kamala D. Harris/Tim Walz,Dem,121
COLL,122,PCT 122,4972,3708,1,18,1313,25,25,2305,0,22,Rep Donald J. Trump/JD Vance,Rep,122
COLL,123,PCT 123,2078,1458,0,8,665,10,11,757,0,7,Rep Donald J. Trump/JD Vance,Rep,123
COLL,124,PCT 124,3288,2171,1,14,1121,31,10,980,0,15,Dem Kamala D. Harris/Tim Walz,Dem,124
COLL,125,PCT 125,2250,1532,0,5,746,136,15,619,0,10,Dem Kamala D. Harris/Tim Walz,Dem,53
COLL,126,PCT 126,4969,3443,0,16,1594,72,24,1718,1,18,Rep Donald J. Trump/JD Vance,Rep,126
COLL,127,PCT 127,3929,2671,1,10,1287,42,14,1305,0,13,Rep Donald J. Trump/JD Vance,Rep,127
COLL,128,PCT 128,3137,2395,0,13,631,6,18,1711,0,16,Rep Donald J. Trump/JD Vance,Rep,128
