COUNTY NUMBER,PRECINCT CODE,PRECINCT NAME,REGISTERED VOTERS TOTAL,BALLOTS CAST TOTAL,BALLOTS CAST BLANK,Dem Simon Cardell,Rep Pat Fallon,OVER VOTES,UNDER VOTES,Winning Candidate,Winning Party
COLL,135,PCT 135,4286,2900,0,1415,1296,0,189,Dem Simon Cardell,Dem
COLL,136,PCT 136,1978,1427,10,618,756,0,53,Rep Pat Fallon,Rep
COLL,137,PCT 137,2004,1418,0,0,0,0,0,Dem Simon Cardell,Dem
COLL,138,PCT 138,2349,1774,0,847,837,0,90,Dem Simon Cardell,Dem
COLL,139,PCT 139,4130,2721,0,1357,1224,0,140,Dem Simon Cardell,Dem
COLL,140,PCT 140,4848,3591,0,0,0,0,0,Dem Simon Cardell,Dem
COLL,141,PCT 141,3514,2511,0,0,0,0,0,Dem Simon Cardell,Dem
COLL,142,PCT 142,2797,2040,17,970,962,0,108,Dem Simon Cardell,Dem
COLL,143,PCT 143,2165,1543,0,633,851,0,59,Rep Pat Fallon,Rep
COLL,144,PCT 144,2956,2072,1,0,0,0,0,Dem Simon Cardell,Dem
COLL,145,PCT 145,1780,1237,1,0,0,0,0,Dem Simon Cardell,Dem
COLL,146,PCT 146,4860,3233,0,0,0,0,0,Dem Simon Cardell,Dem
COLL,147,PCT 147,2281,1409,0,0,0,0,0,Dem Simon Cardell,Dem
COLL,148,PCT 148,1133,851,0,0,0,0,0,Dem Simon Cardell,Dem
COLL,149,PCT 149,4656,3337,0,0,0,0,0,Dem Simon Cardell,Dem
COLL,150,PCT 150,2024,1621,0,0,0,0,0,Dem Simon Cardell,Dem
COLL,151,PCT 151,1856,1296,0,0,0,0,0,Dem Simon Cardell,Dem
COLL,152,PCT 152,231,119,0,0,0,0,0,Dem Simon Cardell,Dem
COLL,153,PCT 153,1225,860,0,0,0,0,0,Dem Simon Cardell,Dem
COLL,154,PCT 154,2771,2102,0,412,1610,0,80,Rep Pat Fallon,Rep
COLL,155,PCT 155,3016,2129,1,0,0,0,0,Dem Simon Cardell,Dem
COLL,156,PCT 156,3797,2569,0,0,0,0,0,Dem Simon Cardell,Dem
COLL,157,PCT 157,4358,3111,1,0,0,0,0,Dem Simon Cardell,Dem
COLL,158,PCT 158,2851,1955,0,940,893,0,122,Dem Simon Cardell,Dem
COLL,159,PCT 159,3385,2049,1,0,0,0,0,Dem Simon Cardell,Dem
COLL,160,PCT 160,530,430,0,0,0,0,0,Dem Simon Cardell,Dem
COLL,161,PCT 161,298,192,0,0,0,0,0,Dem Simon Cardell,Dem
COLL,162,PCT 162,687,558,0,0,0,0,0,Dem Simon Cardell,Dem
COLL,163,PCT 163,2188,1474,0,574,804,0,96,Rep Pat Fallon,Rep
COLL,164,PCT 164,2330,1845,80,715,1011,0,119,Rep Pat Fallon,Rep
COLL,165,PCT 165,972,736,0,0,0,0,0,Dem Simon Cardell,Dem
COLL,166,PCT 166,4384,3051,0,0,0,0,0,Dem Simon Cardell,Dem
COLL,167,PCT 167,2192,1501,0,769,651,0,81,Dem Simon Cardell,Dem
COLL,168,PCT 168,1966,1418,0,0,0,0,0,Dem Simon Cardell,Dem
COLL,169,PCT 169,3534,2485,2,0,0,0,0,Dem Simon Cardell,Dem
COLL,170,PCT 170,1921,1364,0,0,0,0,0,Dem Simon Cardell,Dem
COLL,171,PCT 171,2980,1965,0,0,0,0,0,Dem Simon Cardell,Dem
COLL,172,PCT 172,2941,2202,0,0,0,0,0,Dem Simon Cardell,Dem
COLL,173,PCT 173,645,492,0,0,0,0,0,Dem Simon Cardell,Dem
COLL,174,PCT 174,4648,2951,2,0,0,0,0,Dem Simon Cardell,Dem
COLL,175,PCT 175,2083,1492,1,0,0,0,0,Dem Simon Cardell,Dem
COLL,176,PCT 176,4064,2194,0,1141,949,0,104,Dem Simon Cardell,Dem
