COUNTY NUMBER,PRECINCT CODE,PRECINCT NAME,REGISTERED VOTERS TOTAL,BALLOTS CAST TOTAL,BALLOTS CAST BLANK,DEM Graeson Lynskey,REP Justin Holland,OVER VOTES,UNDER VOTES,Winning Candidate,Winning Party,pct_int
COLL,230,PCT 230,4826,2039,0,0,0,0,0,pct_int,pct_int,230
COLL,231,PCT 231,3247,1754,0,0,0,0,0,pct_int,pct_int,231
COLL,232,PCT 232,3600,1991,0,748,1164,0,79,REP Justin Holland,REP,232
COLL,233,PCT 233,1922,968,0,0,0,0,0,pct_int,pct_int,233
COLL,234,PCT 234,2546,1484,0,0,0,0,0,pct_int,pct_int,234
COLL,235,PCT 235,1874,966,0,0,0,0,0,pct_int,pct_int,235
COLL,236,PCT 236,2889,1678,0,0,0,0,0,pct_int,pct_int,236
COLL,237,PCT 237,2253,1011,0,0,0,0,0,pct_int,pct_int,237
COLL,238,PCT 238,3923,1715,0,0,0,0,0,pct_int,pct_int,238
COLL,239,PCT 239,4257,2284,0,0,0,0,0,pct_int,pct_int,239
COLL,240,PCT 240,6041,3348,0,0,0,0,0,pct_int,pct_int,240
COLL,241,PCT 241,1507,870,3,0,0,0,0,pct_int,pct_int,241
COLL,242,PCT 242,3356,1912,0,0,0,0,0,pct_int,pct_int,242
COLL,243,PCT 243,1517,915,0,0,0,0,0,pct_int,pct_int,243
COLL,244,PCT 244,3107,1762,0,0,0,0,0,pct_int,pct_int,244
COLL,245,PCT 245,2774,1151,0,0,0,0,0,pct_int,pct_int,245
COLL,246,PCT 246,2832,1691,0,0,0,0,0,pct_int,pct_int,246
COLL,247,PCT 247,2148,1364,0,0,0,0,0,pct_int,pct_int,247
COLL,248,PCT 248,2116,1087,0,0,0,0,0,pct_int,pct_int,248
COLL,249,PCT LB 96,0,380,0,0,0,0,0,pct_int,pct_int,249
COLL,250,PCT LB 97,0,188,0,0,0,0,0,pct_int,pct_int,250
COLL,251,PCT LB 98,0,9,0,0,0,0,0,pct_int,pct_int,251
COLL,252,PCT LB 99,0,0,0,0,0,0,0,pct_int,pct_int,252
COLL,253,PCT 253,2590,1238,0,0,0,0,0,pct_int,pct_int,123
COLL,254,PCT 254,1104,452,0,0,0,0,0,pct_int,pct_int,48
COLL,255,PCT 255,2764,1623,0,0,0,0,0,pct_int,pct_int,26
COLL,256,PCT 256,535,289,0,0,0,0,0,pct_int,pct_int,30
COLL,257,PCT 257,924,441,0,0,0,0,0,pct_int,pct_int,2
COLL,258,PCT 258,2989,1538,1,805,682,0,51,DEM Graeson Lynskey,DEM,72
COLL,259,PCT 259,3539,1743,0,0,0,0,0,pct_int,pct_int,40
COLL,260,PCT 260,386,211,0,0,0,0,0,pct_int,pct_int,2
COLL,261,PCT 261,3138,1755,0,0,0,0,0,pct_int,pct_int,135
COLL,262,PCT 262,2934,1541,0,0,0,0,0,pct_int,pct_int,97
COLL,263,PCT 263,1519,853,0,0,0,0,0,pct_int,pct_int,11
COLL,264,PCT 264,3907,2067,0,0,0,0,0,pct_int,pct_int,24
COLL,265,PCT 265,0,0,0,0,0,0,0,DEM Graeson Lynskey,DEM,0
COLL,266,PCT 266,62,34,0,0,0,0,0,pct_int,pct_int,1
COLL,267,PCT 267,18,9,0,0,0,0,0,DEM Graeson Lynskey,DEM,0
COLL,268,PCT 268,0,0,0,0,0,0,0,DEM Graeson Lynskey,DEM,0
COLL,269,PCT 269,0,0,0,0,0,0,0,DEM Graeson Lynskey,DEM,0
COLL,270,PCT 270,1,1,0,0,0,0,0,DEM Graeson Lynskey,DEM,0
COLL,271,PCT 271,1017,526,0,0,0,0,0,pct_int,pct_int,179
COLL,272,PCT 272,1,1,0,0,0,0,0,DEM Graeson Lynskey,DEM,0
COLL,273,PCT 273,176,109,0,0,0,0,0,pct_int,pct_int,1
