COUNTY NUMBER,PRECINCT CODE,PRECINCT NAME,REGISTERED VOTERS TOTAL,BALLOTS CAST TOTAL,BALLOTS CAST BLANK,Allison Inesta,Nathan Bryan,OVER VOTES,UNDER VOTES,Winning Candidate,Winning Party
COLLI,256,PCT 256,0,0,0,0,0,0,0,Allison Inesta,Allison
COLLI,257,PCT 257,1628,40,0,15,25,0,0,Nathan Bryan,Nathan
COLLI,258,PCT 258,0,0,0,0,0,0,0,Allison Inesta,Allison
COLLI,259,PCT 259,240,74,0,0,0,0,0,Allison Inesta,Allison
COLLI,260,PCT 260,139,12,0,0,0,0,0,Allison Inesta,Allison
COLLI,261,PCT 261,0,0,0,0,0,0,0,Allison Inesta,Allison
COLLI,262,PCT 262,0,0,0,0,0,0,0,Allison Inesta,Allison
COLLI,263,PCT 263,1575,150,0,0,0,0,0,Allison Inesta,Allison
COLLI,264,PCT 264,3825,1054,0,0,0,0,0,Allison Inesta,Allison
COLLI,265,PCT 265,0,0,0,0,0,0,0,Allison Inesta,Allison
COLLI,266,PCT 266,28,2,0,0,0,0,0,Allison Inesta,Allison
COLLI,267,PCT 267,0,0,0,0,0,0,0,Allison Inesta,Allison
COLLI,268,PCT 268,0,0,0,0,0,0,0,Allison Inesta,Allison
COLLI,269,PCT 269,0,0,0,0,0,0,0,Allison Inesta,Allison
COLLI,270,PCT 270,0,0,0,0,0,0,0,Allison Inesta,Allison
COLLI,271,PCT 271,0,0,0,0,0,0,0,Allison Inesta,Allison
COLLI,272,PCT 272,0,0,0,0,0,0,0,Allison Inesta,Allison
COLLI,273,PCT 273,323,20,0,0,0,0,0,Allison Inesta,Allison
