COUNTY NUMBER,PRECINCT CODE,PRECINCT NAME,REGISTERED VOTERS TOTAL,BALLOTS CAST TOTAL,BALLOTS CAST BLANK,Ernest Lynch,Jim Garrison,OVER VOTES,UNDER VOTES,Winning Candidate,Winning Party
COLLI,23,PCT 099,472,48,0,23,9,0,16,Ernest Lynch,Ernest
COLLI,24,PCT 024,0,0,0,0,0,0,0,Ernest Lynch,Ernest
COLLI,25,PCT 101,4147,290,0,0,0,0,0,Ernest Lynch,Ernest
COLLI,26,PCT 102,2459,740,0,401,282,0,57,Ernest Lynch,Ernest
COLLI,27,PCT 111,3005,299,0,0,0,0,0,Ernest Lynch,Ernest
COLLI,28,PCT 117,4157,308,0,0,0,0,0,Ernest Lynch,Ernest
COLLI,29,PCT 118,2553,242,0,0,0,0,0,Ernest Lynch,Ernest
COLLI,30,PCT 122,981,270,0,148,89,0,33,Ernest Lynch,Ernest
COLLI,31,PCT 031,0,0,0,0,0,0,0,Ernest Lynch,Ernest
COLLI,32,PCT 126,4832,862,0,519,247,0,96,Ernest Lynch,Ernest
COLLI,33,PCT 127,1929,141,0,0,0,0,0,Ernest Lynch,Ernest
COLLI,34,PCT 129,4412,777,0,440,266,0,71,Ernest Lynch,Ernest
COLLI,35,PCT 131,2996,707,0,404,219,0,84,Ernest Lynch,Ernest
COLLI,36,PCT 134,4049,286,0,0,0,0,0,Ernest Lynch,Ernest
COLLI,37,PCT 140,4627,1232,0,638,412,0,182,Ernest Lynch,Ernest
COLLI,38,PCT 146,4685,352,0,0,0,0,0,Ernest Lynch,Ernest
COLLI,39,PCT 149,4502,1021,0,534,355,0,132,Ernest Lynch,Ernest
COLLI,40,PCT 040,0,0,0,0,0,0,0,Ernest Lynch,Ernest
COLLI,41,PCT 155,1056,210,0,106,67,0,37,Ernest Lynch,Ernest
COLLI,42,PCT 156,3678,609,0,352,202,0,55,Ernest Lynch,Ernest
COLLI,43,PCT 043,0,0,0,0,0,0,0,Ernest Lynch,Ernest
COLLI,44,PCT 162,752,15,0,0,0,0,0,Ernest Lynch,Ernest
COLLI,45,PCT 163,2018,184,0,97,67,0,20,Ernest Lynch,Ernest
COLLI,46,PCT 169,3425,509,0,304,133,0,72,Ernest Lynch,Ernest
COLLI,47,PCT 172,2881,93,0,0,0,0,0,Ernest Lynch,Ernest
COLLI,48,PCT 173,611,235,0,138,65,0,32,Ernest Lynch,Ernest
COLLI,49,PCT 177,3461,150,0,0,0,0,0,Ernest Lynch,Ernest
COLLI,50,PCT 050,0,0,0,0,0,0,0,Ernest Lynch,Ernest
COLLI,51,PCT 180,3377,336,0,165,117,0,54,Ernest Lynch,Ernest
COLLI,52,PCT 181,2643,66,0,0,0,0,0,Ernest Lynch,Ernest
COLLI,53,PCT 053,0,0,0,0,0,0,0,Ernest Lynch,Ernest
COLLI,54,PCT 184,3139,82,0,0,0,0,0,Ernest Lynch,Ernest
COLLI,55,PCT 055,0,0,0,0,0,0,0,Ernest Lynch,Ernest
COLLI,56,PCT 203,3032,818,0,480,249,0,89,Ernest Lynch,Ernest
COLLI,57,PCT 204,103,32,0,16,13,0,2,Ernest Lynch,Ernest
COLLI,58,PCT 058,0,0,0,0,0,0,0,Ernest Lynch,Ernest
COLLI,59,PCT 206,1925,379,0,205,114,0,60,Ernest Lynch,Ernest
COLLI,60,PCT 207,3922,555,0,288,186,0,81,Ernest Lynch,Ernest
COLLI,61,PCT 208,2795,580,0,283,198,0,99,Ernest Lynch,Ernest
COLLI,62,PCT 209,1124,82,0,35,22,0,10,Ernest Lynch,Ernest
COLLI,63,PCT 211,3349,572,0,343,172,0,57,Ernest Lynch,Ernest
COLLI,64,PCT 212,2598,399,0,0,0,0,0,Ernest Lynch,Ernest
COLLI,65,PCT 213,3593,361,0,169,114,0,78,Ernest Lynch,Ernest
COLLI,66,PCT 220,5706,707,0,0,0,0,0,Ernest Lynch,Ernest
COLLI,67,PCT 221,5091,1256,0,601,429,0,226,Ernest Lynch,Ernest
COLLI,68,PCT 225,3841,509,0,0,0,0,0,Ernest Lynch,Ernest
COLLI,69,PCT 226,4251,472,0,258,154,0,60,Ernest Lynch,Ernest
COLLI,70,PCT 229,2351,157,0,0,0,0,0,Ernest Lynch,Ernest
COLLI,71,PCT 230,4736,411,0,270,102,0,39,Ernest Lynch,Ernest
COLLI,72,PCT 231,4159,646,0,296,239,0,111,Ernest Lynch,Ernest
COLLI,73,PCT 234,3422,397,0,0,0,0,0,Ernest Lynch,Ernest
COLLI,74,PCT 236,2910,665,0,379,225,0,61,Ernest Lynch,Ernest
COLLI,75,PCT 238,3876,325,0,177,108,0,40,Ernest Lynch,Ernest
COLLI,76,PCT 242,3479,474,0,259,150,0,65,Ernest Lynch,Ernest
COLLI,77,PCT 244,3101,279,0,0,0,0,0,Ernest Lynch,Ernest
COLLI,78,PCT 245,2599,115,0,0,0,0,0,Ernest Lynch,Ernest
COLLI,79,PCT 248,2274,121,0,0,0,0,0,Ernest Lynch,Ernest
COLLI,80,PCT 249,4441,173,0,0,0,0,0,Ernest Lynch,Ernest
COLLI,81,PCT 250,4017,640,0,0,0,0,0,Ernest Lynch,Ernest
COLLI,82,PCT 082,0,0,0,0,0,0,0,Ernest Lynch,Ernest
COLLI,83,LB 01,0,0,0,0,0,0,0,Ernest Lynch,Ernest
COLLI,84,LB 02,0,0,0,0,0,0,0,Ernest Lynch,Ernest
COLLI,85,PCT 085,37,3,0,0,0,0,0,Ernest Lynch,Ernest
COLLI,86,PCT 086,0,0,0,0,0,0,0,Ernest Lynch,Ernest
COLLI,87,PCT 087,0,0,0,0,0,0,0,Ernest Lynch,Ernest
COLLI,88,PCT 088,0,0,0,0,0,0,0,Ernest Lynch,Ernest
COLLI,89,PCT 089,0,0,0,0,0,0,0,Ernest Lynch,Ernest
COLLI,90,PCT 090,0,0,0,0,0,0,0,Ernest Lynch,Ernest
COLLI,91,PCT 091,0,0,0,0,0,0,0,Ernest Lynch,Ernest
COLLI,92,PCT 092,0,0,0,0,0,0,0,Ernest Lynch,Ernest
COLLI,93,PCT 093,0,0,0,0,0,0,0,Ernest Lynch,Ernest
COLLI,94,PCT 094,0,0,0,0,0,0,0,Ernest Lynch,Ernest
COLLI,95,PCT 095,0,0,0,0,0,0,0,Ernest Lynch,Ernest
COLLI,96,PCT 096,0,0,0,0,0,0,0,Ernest Lynch,Ernest
COLLI,97,PCT 097,0,0,0,0,0,0,0,Ernest Lynch,Ernest
COLLI,98,PCT 098,0,0,0,0,0,0,0,Ernest Lynch,Ernest
COLLI,99,PCT 099,0,0,0,0,0,0,0,Ernest Lynch,Ernest
COLLI,100,PCT 100,0,0,0,0,0,0,0,Ernest Lynch,Ernest
COLLI,101,PCT 101,0,0,0,0,0,0,0,Ernest Lynch,Ernest
COLLI,102,PCT 102,0,0,0,0,0,0,0,Ernest Lynch,Ernest
COLLI,103,PCT 103,0,0,0,0,0,0,0,Ernest Lynch,Ernest
COLLI,104,PCT 104,0,0,0,0,0,0,0,Ernest Lynch,Ernest
COLLI,105,PCT 105,0,0,0,0,0,0,0,Ernest Lynch,Ernest
COLLI,106,PCT 106,0,0,0,0,0,0,0,Ernest Lynch,Ernest
COLLI,107,PCT 107,0,0,0,0,0,0,0,Ernest Lynch,Ernest
COLLI,108,PCT 108,0,0,0,0,0,0,0,Ernest Lynch,Ernest
COLLI,109,PCT 109,0,0,0,0,0,0,0,Ernest Lynch,Ernest
COLLI,110,PCT 110,0,0,0,0,0,0,0,Ernest Lynch,Ernest
COLLI,111,PCT 111,0,0,0,0,0,0,0,Ernest Lynch,Ernest
COLLI,112,PCT 112,0,0,0,0,0,0,0,Ernest Lynch,Ernest
COLLI,113,PCT 113,0,0,0,0,0,0,0,Ernest Lynch,Ernest
COLLI,114,PCT 114,0,0,0,0,0,0,0,Ernest Lynch,Ernest
COLLI,115,PCT 115,0,0,0,0,0,0,0,Ernest Lynch,Ernest
COLLI,116,PCT 116,0,0,0,0,0,0,0,Ernest Lynch,Ernest
COLLI,117,PCT 117,0,0,0,0,0,0,0,Ernest Lynch,Ernest
COLLI,118,PCT 118,0,0,0,0,0,0,0,Ernest Lynch,Ernest
COLLI,119,PCT 119,0,0,0,0,0,0,0,Ernest Lynch,Ernest
COLLI,120,PCT 120,0,0,0,0,0,0,0,Ernest Lynch,Ernest
COLLI,121,PCT 121,0,0,0,0,0,0,0,Ernest Lynch,Ernest
COLLI,122,PCT 122,0,0,0,0,0,0,0,Ernest Lynch,Ernest
COLLI,123,PCT 123,0,0,0,0,0,0,0,Ernest Lynch,Ernest
COLLI,124,PCT 124,0,0,0,0,0,0,0,Ernest Lynch,Ernest
COLLI,125,PCT 125,0,0,0,0,0,0,0,Ernest Lynch,Ernest
COLLI,126,PCT 126,0,0,0,0,0,0,0,Ernest Lynch,Ernest
COLLI,127,PCT 127,0,0,0,0,0,0,0,Ernest Lynch,Ernest
COLLI,128,PCT 128,0,0,0,0,0,0,0,Ernest Lynch,Ernest
COLLI,129,PCT 129,0,0,0,0,0,0,0,Ernest Lynch,Ernest
COLLI,130,PCT 130,0,0,0,0,0,0,0,Ernest Lynch,Ernest
COLLI,131,PCT 131,0,0,0,0,0,0,0,Ernest Lynch,Ernest
COLLI,132,PCT 132,0,0,0,0,0,0,0,Ernest Lynch,Ernest
COLLI,133,PCT 133,0,0,0,0,0,0,0,Ernest Lynch,Ernest
COLLI,134,PCT 134,0,0,0,0,0,0,0,Ernest Lynch,Ernest
COLLI,135,PCT 135,0,0,0,0,0,0,0,Ernest Lynch,Ernest
COLLI,136,PCT 136,0,0,0,0,0,0,0,Ernest Lynch,Ernest
COLLI,137,PCT 137,0,0,0,0,0,0,0,Ernest Lynch,Ernest
COLLI,138,PCT 138,0,0,0,0,0,0,0,Ernest Lynch,Ernest
COLLI,139,PCT 139,0,0,0,0,0,0,0,Ernest Lynch,Ernest
COLLI,140,PCT 140,0,0,0,0,0,0,0,Ernest Lynch,Ernest
COLLI,141,PCT 141,0,0,0,0,0,0,0,Ernest Lynch,Ernest
COLLI,142,PCT 142,0,0,0,0,0,0,0,Ernest Lynch,Ernest
COLLI,143,PCT 143,0,0,0,0,0,0,0,Ernest Lynch,Ernest
COLLI,144,PCT 144,0,0,0,0,0,0,0,Ernest Lynch,Ernest
COLLI,145,PCT 145,0,0,0,0,0,0,0,Ernest Lynch,Ernest
COLLI,146,PCT 146,0,0,0,0,0,0,0,Ernest Lynch,Ernest
COLLI,147,PCT 147,0,0,0,0,0,0,0,Ernest Lynch,Ernest
COLLI,148,PCT 148,0,0,0,0,0,0,0,Ernest Lynch,Ernest
COLLI,149,PCT 149,0,0,0,0,0,0,0,Ernest Lynch,Ernest
COLLI,150,PCT 150,0,0,0,0,0,0,0,Ernest Lynch,Ernest
COLLI,151,PCT 151,0,0,0,0,0,0,0,Ernest Lynch,Ernest
COLLI,152,PCT 152,0,0,0,0,0,0,0,Ernest Lynch,Ernest
COLLI,153,PCT 153,0,0,0,0,0,0,0,Ernest Lynch,Ernest
COLLI,154,PCT 154,0,0,0,0,0,0,0,Ernest Lynch,Ernest
COLLI,155,PCT 155,0,0,0,0,0,0,0,Ernest Lynch,Ernest
COLLI,156,PCT 156,0,0,0,0,0,0,0,Ernest Lynch,Ernest
COLLI,157,PCT 157,0,0,0,0,0,0,0,Ernest Lynch,Ernest
COLLI,158,PCT 158,0,0,0,0,0,0,0,Ernest Lynch,Ernest
COLLI,159,PCT 159,0,0,0,0,0,0,0,Ernest Lynch,Ernest
COLLI,160,PCT 160,0,0,0,0,0,0,0,Ernest Lynch,Ernest
COLLI,161,PCT 161,0,0,0,0,0,0,0,Ernest Lynch,Ernest
COLLI,162,PCT 162,0,0,0,0,0,0,0,Ernest Lynch,Ernest
COLLI,163,PCT 163,0,0,0,0,0,0,0,Ernest Lynch,Ernest
COLLI,164,PCT 164,0,0,0,0,0,0,0,Ernest Lynch,Ernest
COLLI,165,PCT 165,0,0,0,0,0,0,0,Ernest Lynch,Ernest
COLLI,166,PCT 166,0,0,0,0,0,0,0,Ernest Lynch,Ernest
COLLI,167,PCT 167,0,0,0,0,0,0,0,Ernest Lynch,Ernest
COLLI,168,PCT 168,0,0,0,0,0,0,0,Ernest Lynch,Ernest
COLLI,169,PCT 169,0,0,0,0,0,0,0,Ernest Lynch,Ernest
COLLI,170,PCT 170,0,0,0,0,0,0,0,Ernest Lynch,Ernest
COLLI,171,PCT 171,0,0,0,0,0,0,0,Ernest Lynch,Ernest
COLLI,172,PCT 172,0,0,0,0,0,0,0,Ernest Lynch,Ernest
COLLI,173,PCT 173,0,0,0,0,0,0,0,Ernest Lynch,Ernest
COLLI,174,PCT 174,0,0,0,0,0,0,0,Ernest Lynch,Ernest
COLLI,175,PCT 175,0,0,0,0,0,0,0,Ernest Lynch,Ernest
COLLI,176,PCT 176,0,0,0,0,0,0,0,Ernest Lynch,Ernest
COLLI,177,PCT 177,0,0,0,0,0,0,0,Ernest Lynch,Ernest
COLLI,178,PCT 178,0,0,0,0,0,0,0,Ernest Lynch,Ernest
COLLI,179,PCT 179,0,0,0,0,0,0,0,Ernest Lynch,Ernest
COLLI,180,PCT 180,0,0,0,0,0,0,0,Ernest Lynch,Ernest
COLLI,181,PCT 181,0,0,0,0,0,0,0,Ernest Lynch,Ernest
COLLI,182,PCT 182,0,0,0,0,0,0,0,Ernest Lynch,Ernest
COLLI,183,PCT 183,0,0,0,0,0,0,0,Ernest Lynch,Ernest
COLLI,184,PCT 184,0,0,0,0,0,0,0,Ernest Lynch,Ernest
COLLI,185,PCT 185,2951,450,0,260,144,0,46,Ernest Lynch,Ernest
COLLI,186,PCT 186,0,0,0,0,0,0,0,Ernest Lynch,Ernest
COLLI,187,PCT 187,631,98,0,0,0,0,0,Ernest Lynch,Ernest
COLLI,188,PCT 188,442,68,0,0,0,0,0,Ernest Lynch,Ernest
COLLI,189,PCT 189,39,3,0,2,1,0,0,Ernest Lynch,Ernest
COLLI,190,PCT 190,0,0,0,0,0,0,0,Ernest Lynch,Ernest
COLLI,191,PCT 191,0,0,0,0,0,0,0,Ernest Lynch,Ernest
COLLI,192,PCT 192,0,0,0,0,0,0,0,Ernest Lynch,Ernest
COLLI,193,PCT 193,0,0,0,0,0,0,0,Ernest Lynch,Ernest
COLLI,194,PCT 194,1917,140,0,0,0,0,0,Ernest Lynch,Ernest
COLLI,195,PCT 195,0,0,0,0,0,0,0,Ernest Lynch,Ernest
COLLI,196,PCT 196,0,0,0,0,0,0,0,Ernest Lynch,Ernest
COLLI,197,PCT 197,0,0,0,0,0,0,0,Ernest Lynch,Ernest
COLLI,198,PCT 198,0,0,0,0,0,0,0,Ernest Lynch,Ernest
COLLI,199,PCT 199,0,0,0,0,0,0,0,Ernest Lynch,Ernest
COLLI,200,PCT 200,0,0,0,0,0,0,0,Ernest Lynch,Ernest
COLLI,201,PCT 201,0,0,0,0,0,0,0,Ernest Lynch,Ernest
COLLI,202,PCT 202,0,0,0,0,0,0,0,Ernest Lynch,Ernest
COLLI,203,PCT 203,0,0,0,0,0,0,0,Ernest Lynch,Ernest
COLLI,204,PCT 204,0,0,0,0,0,0,0,Ernest Lynch,Ernest
COLLI,205,PCT 205,0,0,0,0,0,0,0,Ernest Lynch,Ernest
COLLI,206,PCT 206,0,0,0,0,0,0,0,Ernest Lynch,Ernest
COLLI,207,PCT 207,0,0,0,0,0,0,0,Ernest Lynch,Ernest
COLLI,208,PCT 208,0,0,0,0,0,0,0,Ernest Lynch,Ernest
COLLI,209,PCT 209,0,0,0,0,0,0,0,Ernest Lynch,Ernest
COLLI,210,PCT 210,0,0,0,0,0,0,0,Ernest Lynch,Ernest
COLLI,211,PCT 211,0,0,0,0,0,0,0,Ernest Lynch,Ernest
COLLI,212,PCT 212,0,0,0,0,0,0,0,Ernest Lynch,Ernest
COLLI,213,PCT 213,0,0,0,0,0,0,0,Ernest Lynch,Ernest
COLLI,214,PCT 214,0,0,0,0,0,0,0,Ernest Lynch,Ernest
COLLI,215,PCT 215,0,0,0,0,0,0,0,Ernest Lynch,Ernest
COLLI,216,PCT 216,0,0,0,0,0,0,0,Ernest Lynch,Ernest
COLLI,217,PCT 217,0,0,0,0,0,0,0,Ernest Lynch,Ernest
COLLI,218,PCT 218,0,0,0,0,0,0,0,Ernest Lynch,Ernest
COLLI,219,PCT 219,0,0,0,0,0,0,0,Ernest Lynch,Ernest
COLLI,220,PCT 220,0,0,0,0,0,0,0,Ernest Lynch,Ernest
COLLI,221,PCT 221,0,0,0,0,0,0,0,Ernest Lynch,Ernest
COLLI,222,PCT 222,0,0,0,0,0,0,0,Ernest Lynch,Ernest
COLLI,223,PCT 223,0,0,0,0,0,0,0,Ernest Lynch,Ernest
COLLI,224,PCT 224,0,0,0,0,0,0,0,Ernest Lynch,Ernest
COLLI,225,PCT 225,0,0,0,0,0,0,0,Ernest Lynch,Ernest
COLLI,226,PCT 226,0,0,0,0,0,0,0,Ernest Lynch,Ernest
COLLI,227,PCT 227,0,0,0,0,0,0,0,Ernest Lynch,Ernest
COLLI,228,PCT 228,0,0,0,0,0,0,0,Ernest Lynch,Ernest
COLLI,229,PCT 229,0,0,0,0,0,0,0,Ernest Lynch,Ernest
COLLI,230,PCT 230,0,0,0,0,0,0,0,Ernest Lynch,Ernest
COLLI,231,PCT 231,0,0,0,0,0,0,0,Ernest Lynch,Ernest
COLLI,232,PCT 232,0,0,0,0,0,0,0,Ernest Lynch,Ernest
COLLI,233,PCT 233,0,0,0,0,0,0,0,Ernest Lynch,Ernest
COLLI,234,PCT 234,0,0,0,0,0,0,0,Ernest Lynch,Ernest
COLLI,235,PCT 235,0,0,0,0,0,0,0,Ernest Lynch,Ernest
COLLI,236,PCT 236,0,0,0,0,0,0,0,Ernest Lynch,Ernest
COLLI,237,PCT 237,0,0,0,0,0,0,0,Ernest Lynch,Ernest
COLLI,238,PCT 238,0,0,0,0,0,0,0,Ernest Lynch,Ernest
COLLI,239,PCT 239,0,0,0,0,0,0,0,Ernest Lynch,Ernest
COLLI,240,PCT 240,0,0,0,0,0,0,0,Ernest Lynch,Ernest
COLLI,241,PCT 241,0,0,0,0,0,0,0,Ernest Lynch,Ernest
COLLI,242,PCT 242,0,0,0,0,0,0,0,Ernest Lynch,Ernest
COLLI,243,PCT 243,0,0,0,0,0,0,0,Ernest Lynch,Ernest
COLLI,244,PCT 244,0,0,0,0,0,0,0,Ernest Lynch,Ernest
COLLI,245,PCT 245,0,0,0,0,0,0,0,Ernest Lynch,Ernest
COLLI,246,PCT 246,0,0,0,0,0,0,0,Ernest Lynch,Ernest
COLLI,247,PCT 247,0,0,0,0,0,0,0,Ernest Lynch,Ernest
COLLI,248,PCT 248,0,0,0,0,0,0,0,Ernest Lynch,Ernest
COLLI,249,PCT 249,0,0,0,0,0,0,0,Ernest Lynch,Ernest
COLLI,250,PCT 250,0,0,0,0,0,0,0,Ernest Lynch,Ernest
COLLI,251,PCT 251,0,0,0,0,0,0,0,Ernest Lynch,Ernest
COLLI,252,PCT 252,0,0,0,0,0,0,0,Ernest Lynch,Ernest
COLLI,253,PCT 253,0,0,0,0,0,0,0,Ernest Lynch,Ernest
COLLI,254,PCT 254,0,0,0,0,0,0,0,Ernest Lynch,Ernest
COLLI,255,PCT 255,1860,371,0,187,119,0,65,Ernest Lynch,Ernest
COLLI,256,PCT 256,0,0,0,0,0,0,0,Ernest Lynch,Ernest
COLLI,257,PCT 257,1628,40,0,0,0,0,0,Ernest Lynch,Ernest
COLLI,258,PCT 258,0,0,0,0,0,0,0,Ernest Lynch,Ernest
COLLI,259,PCT 259,240,74,0,39,31,0,5,Ernest Lynch,Ernest
COLLI,260,PCT 260,139,12,0,6,5,0,2,Ernest Lynch,Ernest
COLLI,261,PCT 261,0,0,0,0,0,0,0,Ernest Lynch,Ernest
COLLI,262,PCT 262,0,0,0,0,0,0,0,Ernest Lynch,Ernest
COLLI,263,PCT 263,1575,150,0,0,0,0,0,Ernest Lynch,Ernest
COLLI,264,PCT 264,3825,1054,0,579,345,0,130,Ernest Lynch,Ernest
COLLI,265,PCT 265,0,0,0,0,0,0,0,Ernest Lynch,Ernest
COLLI,266,PCT 266,28,2,0,1,1,0,0,Ernest Lynch,Ernest
COLLI,267,PCT 267,0,0,0,0,0,0,0,Ernest Lynch,Ernest
COLLI,268,PCT 268,0,0,0,0,0,0,0,Ernest Lynch,Ernest
COLLI,269,PCT 269,0,0,0,0,0,0,0,Ernest Lynch,Ernest
COLLI,270,PCT 270,0,0,0,0,0,0,0,Ernest Lynch,Ernest
COLLI,271,PCT 271,0,0,0,0,0,0,0,Ernest Lynch,Ernest
COLLI,272,PCT 272,0,0,0,0,0,0,0,Ernest Lynch,Ernest
COLLI,273,PCT 273,323,20,0,12,6,0,3,Ernest Lynch,Ernest
