COUNTY NUMBER,PRECINCT CODE,PRECINCT NAME,REGISTERED VOTERS TOTAL,BALLOTS CAST TOTAL,BALLOTS CAST BLANK,Dem DaSean Jones,Rep Jimmy Blacklock,OVER VOTES,UNDER VOTES,Winning Candidate,Winning Party
COLL,99,PCT 099,403,257,0,138,104,0,15,Dem DaSean Jones,Dem
COLL,100,PCT 100,1545,1024,0,343,619,0,63,Rep Jimmy Blacklock,Rep
COLL,101,PCT 101,4300,2865,0,1244,1486,0,135,Rep Jimmy Blacklock,Rep
COLL,102,PCT 102,2555,1957,0,618,1267,0,72,Rep Jimmy Blacklock,Rep
COLL,103,PCT 103,1419,810,0,401,353,0,56,Dem DaSean Jones,Dem
COLL,104,PCT 104,2426,1167,4,732,381,0,54,Dem DaSean Jones,Dem
COLL,105,PCT 105,173,115,0,66,44,0,5,Dem DaSean Jones,Dem
COLL,106,PCT 106,1869,1255,1,557,639,0,59,Rep Jimmy Blacklock,Rep
COLL,107,PCT 107,3373,2417,0,1148,1144,0,125,Dem DaSean Jones,Dem
COLL,108,PCT 108,2997,2047,1,994,931,0,122,Dem DaSean Jones,Dem
COLL,109,PCT 109,4859,3312,0,1294,1864,0,154,Rep Jimmy Blacklock,Rep
COLL,110,PCT 110,2816,1947,1,843,1006,0,98,Rep Jimmy Blacklock,Rep
COLL,111,PCT 111,3096,2183,0,655,1422,0,106,Rep Jimmy Blacklock,Rep
COLL,112,PCT 112,3166,2322,0,994,1203,0,125,Rep Jimmy Blacklock,Rep
COLL,113,PCT 113,3351,2087,0,949,1018,0,120,Rep Jimmy Blacklock,Rep
COLL,114,PCT 114,4252,3062,0,1149,1749,0,164,Rep Jimmy Blacklock,Rep
COLL,115,PCT 115,2995,2123,15,993,1002,0,128,Rep Jimmy Blacklock,Rep
COLL,116,PCT 116,5006,3553,1,1440,1921,0,192,Rep Jimmy Blacklock,Rep
COLL,117,PCT 117,4426,2934,2,1285,1461,1,187,Rep Jimmy Blacklock,Rep
COLL,118,PCT 118,4297,2996,0,1132,1694,0,170,Rep Jimmy Blacklock,Rep
COLL,119,PCT 119,2398,1696,2,740,877,0,79,Rep Jimmy Blacklock,Rep
COLL,120,PCT 120,3653,2693,0,1005,1561,0,127,Rep Jimmy Blacklock,Rep
COLL,121,PCT 121,2892,1952,1,1026,815,0,111,Dem DaSean Jones,Dem
COLL,122,PCT 122,4972,3708,1,1101,2419,0,188,Rep Jimmy Blacklock,Rep
COLL,123,PCT 123,2078,1458,0,594,804,0,60,Rep Jimmy Blacklock,Rep
COLL,124,PCT 124,3288,2171,1,1011,1039,0,121,Rep Jimmy Blacklock,Rep
COLL,125,PCT 125,2250,1532,0,767,638,0,127,Dem DaSean Jones,Dem
COLL,126,PCT 126,4969,3443,0,1490,1771,0,182,Rep Jimmy Blacklock,Rep
COLL,127,PCT 127,3929,2671,1,1181,1316,0,174,Rep Jimmy Blacklock,Rep
COLL,128,PCT 128,3137,2395,0,522,1764,0,109,Rep Jimmy Blacklock,Rep
COLL,129,PCT 129,4643,3072,0,1266,1635,0,171,Rep Jimmy Blacklock,Rep
COLL,130,PCT 130,3972,2813,1,1279,1364,0,170,Rep Jimmy Blacklock,Rep
COLL,131,PCT 131,3151,2136,0,727,1287,0,122,Rep Jimmy Blacklock,Rep
COLL,132,PCT 132,2874,2016,6,1044,885,0,87,Dem DaSean Jones,Dem
COLL,133,PCT 133,2939,1791,0,733,959,0,99,Rep Jimmy Blacklock,Rep
COLL,134,PCT 134,4149,2771,0,1291,1311,0,169,Rep Jimmy Blacklock,Rep
COLL,135,PCT 135,4286,2900,0,1386,1316,0,198,Dem DaSean Jones,Dem
COLL,136,PCT 136,1978,1427,10,607,762,0,58,Rep Jimmy Blacklock,Rep
COLL,137,PCT 137,2004,1418,0,538,829,0,51,Rep Jimmy Blacklock,Rep
COLL,138,PCT 138,2349,1774,0,822,867,0,85,Rep Jimmy Blacklock,Rep
COLL,139,PCT 139,4130,2721,0,1341,1221,0,159,Dem DaSean Jones,Dem
COLL,140,PCT 140,4848,3591,0,1152,2287,0,152,Rep Jimmy Blacklock,Rep
COLL,141,PCT 141,3514,2511,0,1159,1227,0,125,Rep Jimmy Blacklock,Rep
COLL,142,PCT 142,2797,2040,17,953,976,0,111,Rep Jimmy Blacklock,Rep
COLL,143,PCT 143,2165,1543,0,617,869,0,57,Rep Jimmy Blacklock,Rep
COLL,144,PCT 144,2956,2072,1,803,1138,0,131,Rep Jimmy Blacklock,Rep
COLL,145,PCT 145,1780,1237,1,578,584,0,75,Rep Jimmy Blacklock,Rep
COLL,146,PCT 146,4860,3233,0,1434,1605,0,194,Rep Jimmy Blacklock,Rep
COLL,147,PCT 147,2281,1409,0,659,663,0,87,Rep Jimmy Blacklock,Rep
COLL,148,PCT 148,1133,851,0,304,447,0,100,Rep Jimmy Blacklock,Rep
COLL,149,PCT 149,4656,3337,0,1210,1955,0,172,Rep Jimmy Blacklock,Rep
COLL,150,PCT 150,2024,1621,0,567,987,0,67,Rep Jimmy Blacklock,Rep
COLL,151,PCT 151,1856,1296,0,609,606,0,81,Dem DaSean Jones,Dem
COLL,152,PCT 152,231,119,0,75,37,0,7,Dem DaSean Jones,Dem
COLL,153,PCT 153,1225,860,0,344,462,0,54,Rep Jimmy Blacklock,Rep
COLL,154,PCT 154,2771,2102,0,429,1584,0,89,Rep Jimmy Blacklock,Rep
COLL,155,PCT 155,3016,2129,1,788,1233,0,108,Rep Jimmy Blacklock,Rep
COLL,156,PCT 156,3797,2569,0,1057,1346,0,166,Rep Jimmy Blacklock,Rep
COLL,157,PCT 157,4358,3111,1,1406,1543,0,162,Rep Jimmy Blacklock,Rep
COLL,158,PCT 158,2851,1955,0,916,897,0,142,Dem DaSean Jones,Dem
COLL,159,PCT 159,3385,2049,1,909,991,0,149,Rep Jimmy Blacklock,Rep
COLL,160,PCT 160,530,430,0,64,355,0,11,Rep Jimmy Blacklock,Rep
COLL,161,PCT 161,298,192,0,51,133,0,8,Rep Jimmy Blacklock,Rep
COLL,162,PCT 162,687,558,0,155,382,0,21,Rep Jimmy Blacklock,Rep
COLL,163,PCT 163,2188,1474,0,574,804,0,96,Rep Jimmy Blacklock,Rep
COLL,164,PCT 164,2330,1845,80,684,1021,0,140,Rep Jimmy Blacklock,Rep
COLL,165,PCT 165,972,736,0,219,476,0,41,Rep Jimmy Blacklock,Rep
COLL,166,PCT 166,4384,3051,0,1231,1586,0,234,Rep Jimmy Blacklock,Rep
COLL,167,PCT 167,2192,1501,0,757,658,0,86,Dem DaSean Jones,Dem
COLL,168,PCT 168,1966,1418,0,386,967,0,65,Rep Jimmy Blacklock,Rep
COLL,169,PCT 169,3534,2485,2,1119,1220,0,146,Rep Jimmy Blacklock,Rep
COLL,170,PCT 170,1921,1364,0,472,818,0,74,Rep Jimmy Blacklock,Rep
COLL,171,PCT 171,2980,1965,0,855,949,0,161,Rep Jimmy Blacklock,Rep
COLL,172,PCT 172,2941,2202,0,657,1462,0,83,Rep Jimmy Blacklock,Rep
COLL,173,PCT 173,645,492,0,130,339,0,23,Rep Jimmy Blacklock,Rep
COLL,174,PCT 174,4648,2951,2,1142,1648,0,161,Rep Jimmy Blacklock,Rep
COLL,175,PCT 175,2083,1492,1,521,893,0,78,Rep Jimmy Blacklock,Rep
COLL,176,PCT 176,4064,2194,0,1134,943,0,117,Dem DaSean Jones,Dem
COLL,177,PCT 177,3532,2228,0,803,1315,0,110,Rep Jimmy Blacklock,Rep
COLL,178,PCT 178,3375,2404,1,626,1683,0,95,Rep Jimmy Blacklock,Rep
COLL,179,PCT 179,4704,3766,0,928,2677,0,161,Rep Jimmy Blacklock,Rep
COLL,180,PCT 180,3492,2359,1,984,1234,0,141,Rep Jimmy Blacklock,Rep
COLL,181,PCT 181,3166,2049,0,705,1238,0,106,Rep Jimmy Blacklock,Rep
COLL,182,PCT 182,4037,2765,1,1188,1416,0,161,Rep Jimmy Blacklock,Rep
COLL,183,PCT 183,171,120,0,27,84,0,9,Rep Jimmy Blacklock,Rep
COLL,184,PCT 184,3360,1910,0,933,873,0,104,Dem DaSean Jones,Dem
COLL,185,PCT 185,3352,2450,1,772,1557,0,122,Rep Jimmy Blacklock,Rep
COLL,186,PCT 186,764,536,0,58,453,0,25,Rep Jimmy Blacklock,Rep
COLL,187,PCT 187,1044,697,0,244,419,0,34,Rep Jimmy Blacklock,Rep
COLL,188,PCT 188,731,488,0,171,294,0,24,Rep Jimmy Blacklock,Rep
COLL,189,PCT 189,1473,1016,0,185,784,0,48,Rep Jimmy Blacklock,Rep
COLL,190,PCT 190,1038,802,0,175,596,0,32,Rep Jimmy Blacklock,Rep
COLL,191,PCT 191,967,582,1,201,348,0,33,Rep Jimmy Blacklock,Rep
COLL,192,PCT 192,4114,2896,0,673,2066,0,157,Rep Jimmy Blacklock,Rep
COLL,193,PCT 193,1341,896,0,187,663,0,46,Rep Jimmy Blacklock,Rep
COLL,194,PCT 194,3375,2400,0,734,1540,0,125,Rep Jimmy Blacklock,Rep
COLL,195,PCT 195,935,674,0,142,499,0,33,Rep Jimmy Blacklock,Rep
COLL,196,PCT 196,2001,1352,0,525,753,0,74,Rep Jimmy Blacklock,Rep
COLL,197,PCT 197,1270,858,0,425,382,0,51,Dem DaSean Jones,Dem
COLL,198,PCT 198,2904,2327,0,813,1417,0,97,Rep Jimmy Blacklock,Rep
COLL,199,PCT 199,4135,3196,0,871,2206,0,119,Rep Jimmy Blacklock,Rep
COLL,200,PCT 200,2726,1894,0,536,1255,0,103,Rep Jimmy Blacklock,Rep
COLL,201,PCT 201,0,0,0,0,0,0,0,Dem DaSean Jones,Dem
COLL,202,PCT 202,2,2,0,2,0,0,0,Dem DaSean Jones,Dem
COLL,203,PCT 203,3182,2344,0,740,1489,0,115,Rep Jimmy Blacklock,Rep
COLL,204,PCT 204,354,282,0,93,174,0,15,Rep Jimmy Blacklock,Rep
COLL,205,PCT 205,4103,2879,2,1151,1546,0,182,Rep Jimmy Blacklock,Rep
COLL,206,PCT 206,2002,1431,0,490,881,0,60,Rep Jimmy Blacklock,Rep
COLL,207,PCT 207,4081,2925,1,1046,1748,0,131,Rep Jimmy Blacklock,Rep
COLL,208,PCT 208,4359,3323,0,1104,2049,0,170,Rep Jimmy Blacklock,Rep
COLL,209,PCT 209,172,125,0,46,73,0,6,Rep Jimmy Blacklock,Rep
COLL,210,PCT 210,1746,1290,0,590,591,0,109,Rep Jimmy Blacklock,Rep
COLL,211,PCT 211,3433,2455,0,954,1357,0,144,Rep Jimmy Blacklock,Rep
COLL,212,PCT 212,2600,1945,0,851,965,0,129,Rep Jimmy Blacklock,Rep
COLL,213,PCT 213,3697,2611,0,1149,1305,0,157,Rep Jimmy Blacklock,Rep
COLL,214,PCT 214,3776,2920,0,637,2167,0,115,Rep Jimmy Blacklock,Rep
COLL,215,PCT 215,3503,2092,1,724,1232,0,136,Rep Jimmy Blacklock,Rep
COLL,216,PCT 216,4771,3565,0,1006,2401,0,158,Rep Jimmy Blacklock,Rep
COLL,217,PCT 217,3140,2190,1,797,1281,0,112,Rep Jimmy Blacklock,Rep
COLL,218,PCT 218,4297,3093,1,1336,1591,0,166,Rep Jimmy Blacklock,Rep
COLL,219,PCT 219,4559,3137,1,1416,1547,0,174,Rep Jimmy Blacklock,Rep
COLL,220,PCT 220,2465,1745,0,810,834,0,101,Rep Jimmy Blacklock,Rep
COLL,221,PCT 221,2053,1470,0,475,917,0,78,Rep Jimmy Blacklock,Rep
COLL,222,PCT 222,3965,2870,1,1273,1442,0,155,Rep Jimmy Blacklock,Rep
COLL,223,PCT 223,2501,1839,0,811,957,0,71,Rep Jimmy Blacklock,Rep
COLL,224,PCT 224,3351,2568,1,605,1873,0,90,Rep Jimmy Blacklock,Rep
COLL,225,PCT 225,3945,2807,2,1310,1325,0,172,Rep Jimmy Blacklock,Rep
COLL,226,PCT 226,4404,2945,0,1353,1434,0,158,Rep Jimmy Blacklock,Rep
COLL,227,PCT 227,4468,3160,0,1263,1709,0,188,Rep Jimmy Blacklock,Rep
COLL,228,PCT 228,4845,3037,1,1332,1524,0,181,Rep Jimmy Blacklock,Rep
COLL,229,PCT 229,2259,1494,0,704,715,0,75,Rep Jimmy Blacklock,Rep
COLL,230,PCT 230,4953,3021,0,1412,1425,0,184,Rep Jimmy Blacklock,Rep
COLL,231,PCT 231,3938,2850,0,1169,1546,0,135,Rep Jimmy Blacklock,Rep
COLL,232,PCT 232,3850,2755,0,1051,1564,0,140,Rep Jimmy Blacklock,Rep
COLL,233,PCT 233,2089,1443,0,522,836,0,85,Rep Jimmy Blacklock,Rep
COLL,234,PCT 234,3351,2585,0,1271,1187,0,127,Dem DaSean Jones,Dem
COLL,235,PCT 235,1916,1332,3,636,632,0,64,Dem DaSean Jones,Dem
COLL,236,PCT 236,3015,2217,1,749,1357,0,111,Rep Jimmy Blacklock,Rep
COLL,237,PCT 237,2345,1522,3,639,775,0,108,Rep Jimmy Blacklock,Rep
COLL,238,PCT 238,4043,2583,0,1279,1157,0,147,Dem DaSean Jones,Dem
COLL,239,PCT 239,4293,3051,0,811,2114,0,126,Rep Jimmy Blacklock,Rep
COLL,240,PCT 240,4358,3212,0,843,2221,0,148,Rep Jimmy Blacklock,Rep
COLL,241,PCT 241,1549,1115,0,454,581,0,80,Rep Jimmy Blacklock,Rep
COLL,242,PCT 242,3578,2604,0,1051,1419,0,134,Rep Jimmy Blacklock,Rep
COLL,243,PCT 243,1684,1272,0,340,877,0,55,Rep Jimmy Blacklock,Rep
COLL,244,PCT 244,3235,2337,0,923,1291,0,123,Rep Jimmy Blacklock,Rep
COLL,245,PCT 245,2764,1651,0,695,858,0,98,Rep Jimmy Blacklock,Rep
COLL,246,PCT 246,2859,2137,1,900,1132,0,105,Rep Jimmy Blacklock,Rep
COLL,247,PCT 247,2436,1876,0,486,1318,0,72,Rep Jimmy Blacklock,Rep
COLL,248,PCT 248,2328,1645,0,688,863,0,94,Rep Jimmy Blacklock,Rep
COLL,249,PCT 249,4743,3053,0,1029,1878,0,146,Rep Jimmy Blacklock,Rep
COLL,250,PCT 250,3886,3025,0,1381,1441,0,203,Rep Jimmy Blacklock,Rep
COLL,251,PCT 251,2568,1852,0,564,1202,0,86,Rep Jimmy Blacklock,Rep
COLL,252,PCT 252,3149,2338,0,634,1587,0,117,Rep Jimmy Blacklock,Rep
COLL,253,PCT 253,3111,2203,1,1023,1053,0,127,Rep Jimmy Blacklock,Rep
COLL,254,PCT 254,1286,806,0,353,405,0,48,Rep Jimmy Blacklock,Rep
COLL,255,PCT 255,3292,2440,1,754,1586,0,101,Rep Jimmy Blacklock,Rep
COLL,256,PCT 256,767,540,0,126,385,0,29,Rep Jimmy Blacklock,Rep
COLL,257,PCT 257,1342,890,1,346,495,0,48,Rep Jimmy Blacklock,Rep
COLL,258,PCT 258,3045,2073,1,1039,863,0,171,Dem DaSean Jones,Dem
COLL,259,PCT 259,3698,2420,0,981,1300,0,139,Rep Jimmy Blacklock,Rep
COLL,260,PCT 260,438,319,0,60,244,0,15,Rep Jimmy Blacklock,Rep
COLL,261,PCT 261,3221,2306,0,745,1438,0,123,Rep Jimmy Blacklock,Rep
COLL,262,PCT 262,3038,2081,0,1049,912,0,120,Dem DaSean Jones,Dem
COLL,263,PCT 263,2055,1544,1,467,1010,0,68,Rep Jimmy Blacklock,Rep
COLL,264,PCT 264,3994,2746,0,1048,1563,0,135,Rep Jimmy Blacklock,Rep
COLL,265,PCT 265,0,0,0,0,0,0,0,Dem DaSean Jones,Dem
COLL,266,PCT 266,62,42,0,22,19,0,2,Dem DaSean Jones,Dem
COLL,267,PCT 267,19,13,0,7,5,0,1,Dem DaSean Jones,Dem
COLL,268,PCT 268,0,0,0,0,0,0,0,Dem DaSean Jones,Dem
COLL,269,PCT 269,0,0,0,0,0,0,0,Dem DaSean Jones,Dem
COLL,270,PCT 270,2,1,0,0,1,0,0,Rep Jimmy Blacklock,Rep
COLL,271,PCT 271,1035,750,0,276,439,0,35,Rep Jimmy Blacklock,Rep
COLL,272,PCT 272,1,1,0,0,0,0,0,Dem DaSean Jones,Dem
COLL,273,PCT 273,260,202,0,55,142,0,5,Rep Jimmy Blacklock,Rep
