COUNTY NUMBER,PRECINCT CODE,PRECINCT NAME,REGISTERED VOTERS TOTAL,BALLOTS CAST TOTAL,BALLOTS CAST BLANK,Hayden Padgett,Vidal Quintanilla,OVER VOTES,UNDER VOTES,Winning Candidate,Winning Party
COLLI,91,PCT 091,2264,339,0,138,180,0,21,Vidal Quintanilla,Vidal
COLLI,92,PCT 092,4470,343,0,0,0,0,0,Hayden Padgett,Hayden
COLLI,93,PCT 093,288,19,0,0,0,0,0,Hayden Padgett,Hayden
COLLI,94,PCT 094,4147,720,0,0,0,0,0,Hayden Padgett,Hayden
COLLI,95,PCT 095,3031,137,0,0,0,0,0,Hayden Padgett,Hayden
COLLI,96,PCT 096,1390,100,0,0,0,0,0,Hayden Padgett,Hayden
COLLI,97,PCT 097,1301,484,0,0,0,0,0,Hayden Padgett,Hayden
COLLI,98,PCT 098,1569,154,0,0,0,0,0,Hayden Padgett,Hayden
COLLI,99,PCT 099,454,42,0,0,0,0,0,Hayden Padgett,Hayden
COLLI,100,PCT 100,1732,11,0,0,0,0,0,Hayden Padgett,Hayden
COLLI,101,PCT 101,4122,431,0,0,0,0,0,Hayden Padgett,Hayden
COLLI,102,PCT 102,2457,715,0,0,0,0,0,Hayden Padgett,Hayden
COLLI,103,PCT 103,1365,98,0,33,58,0,7,Vidal Quintanilla,Vidal
COLLI,104,PCT 104,2138,100,0,0,0,0,0,Hayden Padgett,Hayden
COLLI,105,PCT 105,0,0,0,0,0,0,0,Hayden Padgett,Hayden
COLLI,106,PCT 106,1805,72,0,0,0,0,0,Hayden Padgett,Hayden
COLLI,107,PCT 107,3260,554,0,225,287,0,42,Vidal Quintanilla,Vidal
COLLI,108,PCT 108,2927,309,0,117,165,0,27,Vidal Quintanilla,Vidal
COLLI,109,PCT 109,4630,546,0,296,216,0,34,Hayden Padgett,Hayden
COLLI,110,PCT 110,2732,484,0,0,0,0,0,Hayden Padgett,Hayden
COLLI,111,PCT 111,2994,370,0,0,0,0,0,Hayden Padgett,Hayden
COLLI,112,PCT 112,3081,414,0,164,212,0,38,Vidal Quintanilla,Vidal
COLLI,113,PCT 113,3212,102,0,0,0,0,0,Hayden Padgett,Hayden
COLLI,114,PCT 114,4571,35,0,0,0,0,0,Hayden Padgett,Hayden
COLLI,115,PCT 115,2892,392,0,0,0,0,0,Hayden Padgett,Hayden
COLLI,116,PCT 116,4943,638,0,258,309,0,71,Vidal Quintanilla,Vidal
COLLI,117,PCT 117,4154,452,0,0,0,0,0,Hayden Padgett,Hayden
COLLI,118,PCT 118,4124,581,0,0,0,0,0,Hayden Padgett,Hayden
COLLI,119,PCT 119,2297,331,0,149,151,0,31,Vidal Quintanilla,Vidal
COLLI,120,PCT 120,3488,194,0,0,0,0,0,Hayden Padgett,Hayden
COLLI,121,PCT 121,2792,307,0,135,152,0,20,Vidal Quintanilla,Vidal
COLLI,122,PCT 122,4786,1042,0,0,0,0,0,Hayden Padgett,Hayden
COLLI,123,PCT 123,2000,214,0,104,89,0,21,Hayden Padgett,Hayden
COLLI,124,PCT 124,3092,301,0,111,162,0,28,Vidal Quintanilla,Vidal
COLLI,125,PCT 125,2178,319,0,0,0,0,0,Hayden Padgett,Hayden
COLLI,126,PCT 126,4824,717,0,0,0,0,0,Hayden Padgett,Hayden
COLLI,127,PCT 127,3831,455,0,0,0,0,0,Hayden Padgett,Hayden
COLLI,128,PCT 128,3073,868,0,0,0,0,0,Hayden Padgett,Hayden
COLLI,129,PCT 129,4378,667,0,0,0,0,0,Hayden Padgett,Hayden
COLLI,130,PCT 130,3851,225,0,0,0,0,0,Hayden Padgett,Hayden
COLLI,131,PCT 131,2976,601,0,0,0,0,0,Hayden Padgett,Hayden
COLLI,132,PCT 132,2725,322,0,0,0,0,0,Hayden Padgett,Hayden
COLLI,133,PCT 133,2867,140,0,0,0,0,0,Hayden Padgett,Hayden
COLLI,134,PCT 134,4030,439,0,0,0,0,0,Hayden Padgett,Hayden
COLLI,135,PCT 135,4083,390,0,148,199,0,43,Vidal Quintanilla,Vidal
COLLI,136,PCT 136,1901,304,0,0,0,0,0,Hayden Padgett,Hayden
COLLI,137,PCT 137,1951,225,0,128,75,0,22,Hayden Padgett,Hayden
COLLI,138,PCT 138,2381,275,0,95,160,0,20,Vidal Quintanilla,Vidal
COLLI,139,PCT 139,3814,383,0,150,202,0,31,Vidal Quintanilla,Vidal
COLLI,140,PCT 140,4611,938,0,0,0,0,0,Hayden Padgett,Hayden
COLLI,141,PCT 141,3441,508,0,212,259,0,37,Vidal Quintanilla,Vidal
COLLI,142,PCT 142,2675,444,0,0,0,0,0,Hayden Padgett,Hayden
COLLI,143,PCT 143,2043,203,0,92,93,0,15,Vidal Quintanilla,Vidal
COLLI,144,PCT 144,2846,499,0,0,0,0,0,Hayden Padgett,Hayden
COLLI,145,PCT 145,1706,75,0,0,0,0,0,Hayden Padgett,Hayden
COLLI,146,PCT 146,4694,521,0,0,0,0,0,Hayden Padgett,Hayden
COLLI,147,PCT 147,2102,56,0,0,0,0,0,Hayden Padgett,Hayden
COLLI,148,PCT 148,1208,256,0,0,0,0,0,Hayden Padgett,Hayden
COLLI,149,PCT 149,4479,919,0,0,0,0,0,Hayden Padgett,Hayden
COLLI,150,PCT 150,2276,135,0,0,0,0,0,Hayden Padgett,Hayden
COLLI,151,PCT 151,1825,66,0,0,0,0,0,Hayden Padgett,Hayden
COLLI,152,PCT 152,270,23,0,4,19,0,0,Vidal Quintanilla,Vidal
COLLI,153,PCT 153,1206,160,0,0,0,0,0,Hayden Padgett,Hayden
COLLI,154,PCT 154,2925,421,0,0,0,0,0,Hayden Padgett,Hayden
COLLI,155,PCT 155,2904,455,0,0,0,0,0,Hayden Padgett,Hayden
COLLI,156,PCT 156,3665,535,0,0,0,0,0,Hayden Padgett,Hayden
COLLI,157,PCT 157,4265,181,0,0,0,0,0,Hayden Padgett,Hayden
COLLI,158,PCT 158,2808,246,0,88,135,0,23,Vidal Quintanilla,Vidal
COLLI,159,PCT 159,3280,242,0,0,0,0,0,Hayden Padgett,Hayden
COLLI,160,PCT 160,546,53,0,0,0,0,0,Hayden Padgett,Hayden
COLLI,161,PCT 161,277,14,0,0,0,0,0,Hayden Padgett,Hayden
COLLI,162,PCT 162,904,43,0,0,0,0,0,Hayden Padgett,Hayden
COLLI,163,PCT 163,2103,205,0,0,0,0,0,Hayden Padgett,Hayden
COLLI,164,PCT 164,2290,328,0,0,0,0,0,Hayden Padgett,Hayden
COLLI,165,PCT 165,944,208,0,0,0,0,0,Hayden Padgett,Hayden
COLLI,166,PCT 166,4282,810,0,0,0,0,0,Hayden Padgett,Hayden
COLLI,167,PCT 167,2105,208,0,91,94,0,23,Vidal Quintanilla,Vidal
COLLI,168,PCT 168,1909,444,0,0,0,0,0,Hayden Padgett,Hayden
COLLI,169,PCT 169,3407,478,0,0,0,0,0,Hayden Padgett,Hayden
COLLI,170,PCT 170,1852,215,0,0,0,0,0,Hayden Padgett,Hayden
