COUNTY NUMBER,PRECINCT CODE,PRECINCT NAME,REGISTERED VOTERS TOTAL,BALLOTS CAST TOTAL,BALLOTS CAST BLANK,DEM Jeffrey Williams,REP Duncan Webb,OVER VOTES,UNDER VOTES,Winning Candidate,Winning Party
COLL,27,PCT 027,2741,1317,0,0,0,0,0,DEM Jeffrey Williams,DEM
COLL,28,PCT 028,3618,2032,0,929,1009,0,94,REP Duncan Webb,REP
COLL,29,PCT 029,2462,1383,0,0,0,0,0,DEM Jeffrey Williams,DEM
COLL,30,PCT 030,1002,530,0,0,0,0,0,DEM Jeffrey Williams,DEM
COLL,31,PCT 031,2058,1365,0,554,771,0,40,REP Duncan Webb,REP
COLL,32,PCT 032,2493,1546,0,615,863,0,68,REP Duncan Webb,REP
COLL,33,PCT 033,2508,1376,0,0,0,0,0,DEM Jeffrey Williams,DEM
COLL,34,PCT 034,4438,2448,0,0,0,0,0,DEM Jeffrey Williams,DEM
COLL,35,PCT 035,1733,887,0,0,0,0,0,DEM Jeffrey Williams,DEM
COLL,36,PCT 036,1985,1296,4,447,799,0,50,REP Duncan Webb,REP
COLL,37,PCT 037,2571,1392,1,0,0,0,0,DEM Jeffrey Williams,DEM
COLL,38,PCT 038,3167,1369,0,0,0,0,0,DEM Jeffrey Williams,DEM
COLL,39,PCT 039,3081,1510,0,814,640,0,56,DEM Jeffrey Williams,DEM
COLL,40,PCT 040,3635,2040,1,694,1265,0,81,REP Duncan Webb,REP
COLL,41,PCT 041,1570,922,0,0,0,0,0,DEM Jeffrey Williams,DEM
COLL,42,PCT 042,1914,979,0,0,0,0,0,DEM Jeffrey Williams,DEM
COLL,43,PCT 043,3484,1467,0,0,0,0,0,DEM Jeffrey Williams,DEM
COLL,44,PCT 044,1722,664,0,0,0,0,0,DEM Jeffrey Williams,DEM
COLL,45,PCT 045,3462,1910,0,0,0,0,0,DEM Jeffrey Williams,DEM
COLL,46,PCT 046,3160,1253,1,0,0,0,0,DEM Jeffrey Williams,DEM
COLL,47,PCT 047,2594,1391,0,0,0,0,0,DEM Jeffrey Williams,DEM
COLL,48,PCT 048,3780,2160,0,0,0,0,0,DEM Jeffrey Williams,DEM
COLL,49,PCT 049,2367,1482,0,593,826,0,63,REP Duncan Webb,REP
COLL,50,PCT 050,3099,1174,0,0,0,0,0,DEM Jeffrey Williams,DEM
COLL,51,PCT 051,1727,645,0,0,0,0,0,DEM Jeffrey Williams,DEM
COLL,52,PCT 052,4417,1789,0,0,0,0,0,DEM Jeffrey Williams,DEM
COLL,53,PCT 053,2230,1413,0,594,754,0,65,REP Duncan Webb,REP
COLL,54,PCT 054,3547,1585,1,903,623,0,59,DEM Jeffrey Williams,DEM
COLL,55,PCT 055,4130,2101,0,0,0,0,0,DEM Jeffrey Williams,DEM
COLL,56,PCT 056,3326,1711,0,0,0,0,0,DEM Jeffrey Williams,DEM
COLL,57,PCT 057,1514,746,0,0,0,0,0,DEM Jeffrey Williams,DEM
COLL,58,PCT 058,3704,1844,3,935,836,0,73,DEM Jeffrey Williams,DEM
COLL,59,PCT 059,4025,2078,0,0,0,0,0,DEM Jeffrey Williams,DEM
COLL,60,PCT 060,2967,1792,0,0,0,0,0,DEM Jeffrey Williams,DEM
COLL,61,PCT 061,1662,994,0,0,0,0,0,DEM Jeffrey Williams,DEM
COLL,62,PCT 062,2543,1385,1,708,617,0,61,DEM Jeffrey Williams,DEM
COLL,63,PCT 063,2039,1365,1,549,761,0,55,REP Duncan Webb,REP
COLL,64,PCT 064,2711,1446,0,701,683,0,62,DEM Jeffrey Williams,DEM
COLL,65,PCT 065,1265,721,0,335,362,0,24,REP Duncan Webb,REP
COLL,66,PCT 066,2193,1197,0,549,596,0,52,REP Duncan Webb,REP
COLL,67,PCT 067,2878,1486,0,688,736,0,62,REP Duncan Webb,REP
COLL,68,PCT 068,2014,930,1,0,0,0,0,DEM Jeffrey Williams,DEM
COLL,69,PCT 069,3793,2297,0,965,1238,0,94,REP Duncan Webb,REP
COLL,70,PCT 070,1916,1156,0,466,652,0,38,REP Duncan Webb,REP
COLL,71,PCT 071,1815,1111,0,499,561,0,51,REP Duncan Webb,REP
COLL,72,PCT 072,1562,919,0,368,514,0,37,REP Duncan Webb,REP
COLL,73,PCT 073,1999,906,3,540,324,0,42,DEM Jeffrey Williams,DEM
COLL,74,PCT 074,1930,1069,3,492,538,0,39,REP Duncan Webb,REP
COLL,75,PCT 075,2308,1334,0,480,797,0,57,REP Duncan Webb,REP
COLL,76,PCT 076,3323,1952,1,764,1100,0,88,REP Duncan Webb,REP
COLL,77,PCT 077,3696,1842,0,974,809,0,58,DEM Jeffrey Williams,DEM
COLL,78,PCT 078,4724,2246,1,0,0,0,0,DEM Jeffrey Williams,DEM
COLL,79,PCT 079,2787,1325,9,590,677,0,58,REP Duncan Webb,REP
COLL,80,PCT 080,3640,1854,0,0,0,0,0,DEM Jeffrey Williams,DEM
COLL,81,PCT 081,2865,1535,1,757,704,0,74,DEM Jeffrey Williams,DEM
COLL,82,PCT 082,2983,1390,0,0,0,0,0,DEM Jeffrey Williams,DEM
COLL,83,PCT 083,4036,2063,0,0,0,0,0,DEM Jeffrey Williams,DEM
COLL,84,PCT 084,2439,1317,9,560,710,0,47,REP Duncan Webb,REP
COLL,85,PCT 085,3209,1679,0,910,703,0,66,DEM Jeffrey Williams,DEM
COLL,86,PCT 086,2972,1728,0,744,929,0,55,REP Duncan Webb,REP
COLL,87,PCT 087,3017,1462,0,0,0,0,0,DEM Jeffrey Williams,DEM
COLL,88,PCT 088,2051,697,7,482,188,0,27,DEM Jeffrey Williams,DEM
COLL,89,PCT 089,3232,1783,0,0,0,0,0,DEM Jeffrey Williams,DEM
COLL,90,PCT 090,3267,1934,0,619,1244,0,71,REP Duncan Webb,REP
COLL,91,PCT 091,2319,1384,0,670,665,0,49,DEM Jeffrey Williams,DEM
COLL,92,PCT 092,4113,1733,0,0,0,0,0,DEM Jeffrey Williams,DEM
COLL,93,PCT 093,287,157,0,0,0,0,0,DEM Jeffrey Williams,DEM
COLL,94,PCT 094,4227,2445,0,0,0,0,0,DEM Jeffrey Williams,DEM
COLL,95,PCT 095,3101,1614,2,0,0,0,0,DEM Jeffrey Williams,DEM
COLL,96,PCT 096,1450,525,0,0,0,0,0,DEM Jeffrey Williams,DEM
COLL,97,PCT 097,1332,927,0,0,0,0,0,DEM Jeffrey Williams,DEM
COLL,98,PCT 098,1482,711,0,0,0,0,0,DEM Jeffrey Williams,DEM
COLL,99,PCT 099,291,126,0,0,0,0,0,DEM Jeffrey Williams,DEM
COLL,100,PCT 100,897,412,0,0,0,0,0,DEM Jeffrey Williams,DEM
COLL,101,PCT 101,4006,2022,0,0,0,0,0,DEM Jeffrey Williams,DEM
COLL,102,PCT 102,2552,1654,1,0,0,0,0,DEM Jeffrey Williams,DEM
COLL,103,PCT 103,1401,570,0,0,0,0,0,DEM Jeffrey Williams,DEM
COLL,104,PCT 104,2569,847,4,534,285,0,28,DEM Jeffrey Williams,DEM
COLL,105,PCT 105,33,4,0,2,2,0,0,DEM Jeffrey Williams,DEM
COLL,106,PCT 106,1937,1003,0,0,0,0,0,DEM Jeffrey Williams,DEM
COLL,107,PCT 107,3385,1951,0,937,940,0,74,REP Duncan Webb,REP
COLL,108,PCT 108,2970,1563,1,0,0,0,0,DEM Jeffrey Williams,DEM
COLL,109,PCT 109,4577,2453,0,963,1384,0,106,REP Duncan Webb,REP
COLL,110,PCT 110,2844,1563,1,0,0,0,0,DEM Jeffrey Williams,DEM
COLL,111,PCT 111,3027,1631,0,0,0,0,0,DEM Jeffrey Williams,DEM
COLL,112,PCT 112,3135,1872,0,809,997,0,66,REP Duncan Webb,REP
COLL,113,PCT 113,3416,1506,0,0,0,0,0,DEM Jeffrey Williams,DEM
COLL,114,PCT 114,2533,1396,0,0,0,0,0,DEM Jeffrey Williams,DEM
COLL,115,PCT 115,3012,1729,10,841,794,0,94,DEM Jeffrey Williams,DEM
COLL,116,PCT 116,4920,2748,0,1076,1557,0,115,REP Duncan Webb,REP
COLL,117,PCT 117,4367,2120,1,0,0,0,0,DEM Jeffrey Williams,DEM
COLL,118,PCT 118,4315,2281,1,0,0,0,0,DEM Jeffrey Williams,DEM
COLL,119,PCT 119,2374,1411,0,638,721,0,52,REP Duncan Webb,REP
COLL,120,PCT 120,3666,2126,0,795,1257,0,74,REP Duncan Webb,REP
COLL,121,PCT 121,2837,1545,0,0,0,0,0,DEM Jeffrey Williams,DEM
COLL,122,PCT 122,5090,3024,0,0,0,0,0,DEM Jeffrey Williams,DEM
COLL,123,PCT 123,2023,1141,0,429,664,0,48,REP Duncan Webb,REP
COLL,124,PCT 124,3253,1634,0,0,0,0,0,DEM Jeffrey Williams,DEM
COLL,125,PCT 125,2207,1136,0,0,0,0,0,DEM Jeffrey Williams,DEM
COLL,126,PCT 126,4804,2521,0,0,0,0,0,DEM Jeffrey Williams,DEM
COLL,127,PCT 127,3882,1912,0,0,0,0,0,DEM Jeffrey Williams,DEM
COLL,128,PCT 128,3071,1999,0,0,0,0,0,DEM Jeffrey Williams,DEM
COLL,129,PCT 129,4501,2319,0,0,0,0,0,DEM Jeffrey Williams,DEM
COLL,130,PCT 130,3867,2138,0,995,1048,0,95,REP Duncan Webb,REP
COLL,131,PCT 131,3119,1647,0,0,0,0,0,DEM Jeffrey Williams,DEM
COLL,132,PCT 132,2834,1605,8,832,710,0,63,DEM Jeffrey Williams,DEM
COLL,133,PCT 133,2855,1177,0,0,0,0,0,DEM Jeffrey Williams,DEM
COLL,134,PCT 134,4014,1906,0,0,0,0,0,DEM Jeffrey Williams,DEM
COLL,135,PCT 135,4223,2152,2,0,0,0,0,DEM Jeffrey Williams,DEM
COLL,136,PCT 136,2003,1232,1,514,673,0,45,REP Duncan Webb,REP
COLL,137,PCT 137,2003,1099,0,401,653,0,45,REP Duncan Webb,REP
COLL,138,PCT 138,2101,1361,1,578,733,0,50,REP Duncan Webb,REP
COLL,139,PCT 139,4196,2067,0,1096,905,0,66,DEM Jeffrey Williams,DEM
COLL,140,PCT 140,4861,2744,0,0,0,0,0,DEM Jeffrey Williams,DEM
COLL,141,PCT 141,3457,2026,0,0,0,0,0,DEM Jeffrey Williams,DEM
COLL,142,PCT 142,2873,1741,15,861,793,0,87,DEM Jeffrey Williams,DEM
COLL,143,PCT 143,2158,1288,0,503,734,0,51,REP Duncan Webb,REP
COLL,144,PCT 144,2874,1594,4,0,0,0,0,DEM Jeffrey Williams,DEM
COLL,145,PCT 145,1731,896,1,0,0,0,0,DEM Jeffrey Williams,DEM
COLL,146,PCT 146,4877,2371,1,0,0,0,0,DEM Jeffrey Williams,DEM
COLL,147,PCT 147,2253,980,0,447,505,0,28,REP Duncan Webb,REP
COLL,148,PCT 148,661,405,1,0,0,0,0,DEM Jeffrey Williams,DEM
COLL,149,PCT 149,4476,2460,0,0,0,0,0,DEM Jeffrey Williams,DEM
COLL,150,PCT 150,1145,781,0,0,0,0,0,DEM Jeffrey Williams,DEM
COLL,151,PCT 151,1772,893,0,0,0,0,0,DEM Jeffrey Williams,DEM
COLL,152,PCT 152,187,92,0,0,0,0,0,DEM Jeffrey Williams,DEM
COLL,153,PCT 153,1135,575,1,0,0,0,0,DEM Jeffrey Williams,DEM
COLL,154,PCT 154,1938,1157,0,0,0,0,0,DEM Jeffrey Williams,DEM
COLL,155,PCT 155,2911,1553,0,0,0,0,0,DEM Jeffrey Williams,DEM
COLL,156,PCT 156,3726,1870,0,0,0,0,0,DEM Jeffrey Williams,DEM
COLL,157,PCT 157,4029,2164,0,994,1092,0,78,REP Duncan Webb,REP
COLL,158,PCT 158,2781,1427,0,0,0,0,0,DEM Jeffrey Williams,DEM
COLL,159,PCT 159,3284,1445,1,0,0,0,0,DEM Jeffrey Williams,DEM
COLL,160,PCT 160,434,283,0,0,0,0,0,DEM Jeffrey Williams,DEM
COLL,161,PCT 161,292,152,0,0,0,0,0,DEM Jeffrey Williams,DEM
COLL,162,PCT 162,328,229,0,0,0,0,0,DEM Jeffrey Williams,DEM
COLL,163,PCT 163,2180,1028,0,0,0,0,0,DEM Jeffrey Williams,DEM
COLL,164,PCT 164,2052,1392,100,561,722,0,109,REP Duncan Webb,REP
COLL,165,PCT 165,934,557,0,0,0,0,0,DEM Jeffrey Williams,DEM
COLL,166,PCT 166,4174,2127,5,0,0,0,0,DEM Jeffrey Williams,DEM
COLL,167,PCT 167,2117,1112,0,0,0,0,0,DEM Jeffrey Williams,DEM
COLL,168,PCT 168,1923,1113,1,0,0,0,0,DEM Jeffrey Williams,DEM
COLL,169,PCT 169,3342,1772,0,0,0,0,0,DEM Jeffrey Williams,DEM
COLL,170,PCT 170,1882,1007,3,0,0,0,0,DEM Jeffrey Williams,DEM
COLL,171,PCT 171,2490,1222,1,549,616,0,57,REP Duncan Webb,REP
COLL,172,PCT 172,6178,2987,0,0,0,0,0,DEM Jeffrey Williams,DEM
COLL,173,PCT 173,650,389,0,0,0,0,0,DEM Jeffrey Williams,DEM
COLL,174,PCT 174,4497,2129,1,0,0,0,0,DEM Jeffrey Williams,DEM
COLL,175,PCT 175,1978,1116,0,0,0,0,0,DEM Jeffrey Williams,DEM
COLL,176,PCT 176,4032,1467,0,802,621,0,44,DEM Jeffrey Williams,DEM
COLL,177,PCT 177,3203,1500,0,0,0,0,0,DEM Jeffrey Williams,DEM
COLL,178,PCT 178,3002,1556,0,0,0,0,0,DEM Jeffrey Williams,DEM
COLL,179,PCT 179,4634,3237,0,0,0,0,0,DEM Jeffrey Williams,DEM
COLL,180,PCT 180,3313,1580,0,0,0,0,0,DEM Jeffrey Williams,DEM
COLL,181,PCT 181,2563,1147,0,0,0,0,0,DEM Jeffrey Williams,DEM
COLL,182,PCT 182,3909,2004,0,846,1076,0,82,REP Duncan Webb,REP
COLL,183,PCT 183,163,68,0,0,0,0,0,DEM Jeffrey Williams,DEM
COLL,184,PCT 184,3232,1307,1,0,0,0,0,DEM Jeffrey Williams,DEM
COLL,185,PCT 185,2645,1408,1,0,0,0,0,DEM Jeffrey Williams,DEM
COLL,186,PCT 186,719,405,0,0,0,0,0,DEM Jeffrey Williams,DEM
COLL,187,PCT 187,830,409,0,0,0,0,0,DEM Jeffrey Williams,DEM
COLL,188,PCT 188,581,286,0,0,0,0,0,DEM Jeffrey Williams,DEM
COLL,189,PCT 189,1074,554,1,0,0,0,0,DEM Jeffrey Williams,DEM
COLL,190,PCT 190,954,586,0,0,0,0,0,DEM Jeffrey Williams,DEM
COLL,191,PCT 191,603,227,0,0,0,0,0,DEM Jeffrey Williams,DEM
COLL,192,PCT 192,2869,1552,1,0,0,0,0,DEM Jeffrey Williams,DEM
COLL,193,PCT 193,1224,621,0,0,0,0,0,DEM Jeffrey Williams,DEM
COLL,194,PCT 194,2493,1367,0,0,0,0,0,DEM Jeffrey Williams,DEM
COLL,195,PCT 195,916,541,0,0,0,0,0,DEM Jeffrey Williams,DEM
COLL,196,PCT 196,1904,994,0,0,0,0,0,DEM Jeffrey Williams,DEM
COLL,197,PCT 197,1283,681,0,0,0,0,0,DEM Jeffrey Williams,DEM
COLL,198,PCT 198,1643,1121,0,0,0,0,0,DEM Jeffrey Williams,DEM
COLL,199,PCT 199,3269,1928,0,0,0,0,0,DEM Jeffrey Williams,DEM
COLL,200,PCT 200,1943,991,1,0,0,0,0,DEM Jeffrey Williams,DEM
COLL,201,PCT 201,0,0,0,0,0,0,0,DEM Jeffrey Williams,DEM
COLL,202,PCT 202,2,2,0,0,0,0,0,DEM Jeffrey Williams,DEM
COLL,203,PCT 203,3150,1853,0,0,0,0,0,DEM Jeffrey Williams,DEM
COLL,204,PCT 204,349,230,0,0,0,0,0,DEM Jeffrey Williams,DEM
COLL,205,PCT 205,3804,1928,5,0,0,0,0,DEM Jeffrey Williams,DEM
COLL,206,PCT 206,1781,996,0,0,0,0,0,DEM Jeffrey Williams,DEM
COLL,207,PCT 207,3993,2125,1,0,0,0,0,DEM Jeffrey Williams,DEM
COLL,208,PCT 208,3375,2140,0,0,0,0,0,DEM Jeffrey Williams,DEM
COLL,209,PCT 209,169,87,0,0,0,0,0,DEM Jeffrey Williams,DEM
COLL,210,PCT 210,1661,914,1,0,0,0,0,DEM Jeffrey Williams,DEM
COLL,211,PCT 211,3302,1758,1,0,0,0,0,DEM Jeffrey Williams,DEM
COLL,212,PCT 212,5564,2799,1,0,0,0,0,DEM Jeffrey Williams,DEM
COLL,213,PCT 213,3612,1848,0,0,0,0,0,DEM Jeffrey Williams,DEM
COLL,214,PCT 214,3473,2130,0,0,0,0,0,DEM Jeffrey Williams,DEM
COLL,215,PCT 215,2543,1056,0,0,0,0,0,DEM Jeffrey Williams,DEM
COLL,216,PCT 216,6210,3332,0,0,0,0,0,DEM Jeffrey Williams,DEM
COLL,217,PCT 217,2919,1550,0,0,0,0,0,DEM Jeffrey Williams,DEM
COLL,218,PCT 218,4110,2281,1,1059,1144,0,78,REP Duncan Webb,REP
COLL,219,PCT 219,4072,2234,0,1033,1125,0,76,REP Duncan Webb,REP
COLL,220,PCT 220,2051,981,0,0,0,0,0,DEM Jeffrey Williams,DEM
COLL,221,PCT 221,2000,1119,0,0,0,0,0,DEM Jeffrey Williams,DEM
COLL,222,PCT 222,3575,1933,0,895,972,0,66,REP Duncan Webb,REP
COLL,223,PCT 223,2154,1196,0,0,0,0,0,DEM Jeffrey Williams,DEM
COLL,224,PCT 224,3036,1808,0,0,0,0,0,DEM Jeffrey Williams,DEM
COLL,225,PCT 225,3815,1819,0,0,0,0,0,DEM Jeffrey Williams,DEM
COLL,226,PCT 226,4365,2250,0,0,0,0,0,DEM Jeffrey Williams,DEM
COLL,227,PCT 227,4310,2285,1,0,0,0,0,DEM Jeffrey Williams,DEM
COLL,228,PCT 228,4161,1703,0,0,0,0,0,DEM Jeffrey Williams,DEM
COLL,229,PCT 229,1738,866,0,0,0,0,0,DEM Jeffrey Williams,DEM
COLL,230,PCT 230,4826,2039,0,0,0,0,0,DEM Jeffrey Williams,DEM
COLL,231,PCT 231,3247,1754,0,0,0,0,0,DEM Jeffrey Williams,DEM
COLL,232,PCT 232,3600,1991,0,0,0,0,0,DEM Jeffrey Williams,DEM
COLL,233,PCT 233,1922,968,0,0,0,0,0,DEM Jeffrey Williams,DEM
COLL,234,PCT 234,2546,1484,0,0,0,0,0,DEM Jeffrey Williams,DEM
COLL,235,PCT 235,1874,966,0,0,0,0,0,DEM Jeffrey Williams,DEM
COLL,236,PCT 236,2889,1678,0,0,0,0,0,DEM Jeffrey Williams,DEM
COLL,237,PCT 237,2253,1011,0,0,0,0,0,DEM Jeffrey Williams,DEM
COLL,238,PCT 238,3923,1715,0,0,0,0,0,DEM Jeffrey Williams,DEM
COLL,239,PCT 239,4257,2284,0,0,0,0,0,DEM Jeffrey Williams,DEM
COLL,240,PCT 240,6041,3348,0,0,0,0,0,DEM Jeffrey Williams,DEM
COLL,241,PCT 241,1507,870,3,0,0,0,0,DEM Jeffrey Williams,DEM
COLL,242,PCT 242,3356,1912,0,0,0,0,0,DEM Jeffrey Williams,DEM
COLL,243,PCT 243,1517,915,0,0,0,0,0,DEM Jeffrey Williams,DEM
COLL,244,PCT 244,3107,1762,0,0,0,0,0,DEM Jeffrey Williams,DEM
COLL,245,PCT 245,2774,1151,0,0,0,0,0,DEM Jeffrey Williams,DEM
COLL,246,PCT 246,2832,1691,0,718,930,0,43,REP Duncan Webb,REP
COLL,247,PCT 247,2148,1364,0,0,0,0,0,DEM Jeffrey Williams,DEM
COLL,248,PCT 248,2116,1087,0,0,0,0,0,DEM Jeffrey Williams,DEM
COLL,249,PCT LB 96,0,380,0,0,0,0,0,DEM Jeffrey Williams,DEM
COLL,250,PCT LB 97,0,188,0,0,0,0,0,DEM Jeffrey Williams,DEM
COLL,251,PCT LB 98,0,9,0,0,0,0,0,DEM Jeffrey Williams,DEM
COLL,252,PCT LB 99,0,0,0,0,0,0,0,DEM Jeffrey Williams,DEM
COLL,253,PCT 253,2590,1238,0,0,0,0,0,DEM Jeffrey Williams,DEM
COLL,254,PCT 254,1104,452,0,0,0,0,0,DEM Jeffrey Williams,DEM
COLL,255,PCT 255,2764,1623,0,0,0,0,0,DEM Jeffrey Williams,DEM
COLL,256,PCT 256,535,289,0,0,0,0,0,DEM Jeffrey Williams,DEM
COLL,257,PCT 257,924,441,0,0,0,0,0,DEM Jeffrey Williams,DEM
COLL,258,PCT 258,2989,1538,1,0,0,0,0,DEM Jeffrey Williams,DEM
COLL,259,PCT 259,3539,1743,0,0,0,0,0,DEM Jeffrey Williams,DEM
COLL,260,PCT 260,386,211,0,0,0,0,0,DEM Jeffrey Williams,DEM
COLL,261,PCT 261,3138,1755,0,0,0,0,0,DEM Jeffrey Williams,DEM
COLL,262,PCT 262,2934,1541,0,0,0,0,0,DEM Jeffrey Williams,DEM
COLL,263,PCT 263,1519,853,0,0,0,0,0,DEM Jeffrey Williams,DEM
COLL,264,PCT 264,3907,2067,0,0,0,0,0,DEM Jeffrey Williams,DEM
COLL,265,PCT 265,0,0,0,0,0,0,0,DEM Jeffrey Williams,DEM
COLL,266,PCT 266,62,34,0,17,15,0,1,DEM Jeffrey Williams,DEM
COLL,267,PCT 267,18,9,0,5,4,0,0,DEM Jeffrey Williams,DEM
COLL,268,PCT 268,0,0,0,0,0,0,0,DEM Jeffrey Williams,DEM
COLL,269,PCT 269,0,0,0,0,0,0,0,DEM Jeffrey Williams,DEM
COLL,270,PCT 270,1,1,0,0,0,0,0,DEM Jeffrey Williams,DEM
COLL,271,PCT 271,1017,526,0,0,0,0,0,DEM Jeffrey Williams,DEM
COLL,272,PCT 272,1,1,0,0,0,0,0,DEM Jeffrey Williams,DEM
COLL,273,PCT 273,176,109,0,0,0,0,0,DEM Jeffrey Williams,DEM
