COUNTY NUMBER,PRECINCT CODE,PRECINCT NAME,REGISTERED VOTERS TOTAL,BALLOTS CAST TOTAL,BALLOTS CAST BLANK,Dem Robbie Partida-Kipness,Rep Jessica Lewis,OVER VOTES,UNDER VOTES,Winning Candidate,Winning Party
COLL,109,PCT 109,4859,3312,0,1238,1833,0,241,Rep Jessica Lewis,Rep
COLL,110,PCT 110,2816,1947,1,826,987,0,134,Rep Jessica Lewis,Rep
COLL,111,PCT 111,3096,2183,0,624,1414,0,145,Rep Jessica Lewis,Rep
COLL,112,PCT 112,3166,2322,0,977,1172,0,173,Rep Jessica Lewis,Rep
COLL,113,PCT 113,3351,2087,0,931,994,0,162,Rep Jessica Lewis,Rep
COLL,114,PCT 114,4252,3062,0,1091,1744,0,227,Rep Jessica Lewis,Rep
COLL,115,PCT 115,2995,2123,15,979,979,0,165,Dem Robbie Partida-Kipness,Dem
COLL,116,PCT 116,5006,3553,1,1413,1891,0,249,Rep Jessica Lewis,Rep
COLL,117,PCT 117,4426,2934,2,1233,1458,0,243,Rep Jessica Lewis,Rep
COLL,118,PCT 118,4297,2996,0,1097,1646,0,253,Rep Jessica Lewis,Rep
COLL,119,PCT 119,2398,1696,2,726,857,0,113,Rep Jessica Lewis,Rep
COLL,120,PCT 120,3653,2693,0,948,1553,0,192,Rep Jessica Lewis,Rep
COLL,121,PCT 121,2892,1952,1,981,842,0,129,Dem Robbie Partida-Kipness,Dem
COLL,122,PCT 122,4972,3708,1,1070,2371,0,267,Rep Jessica Lewis,Rep
COLL,123,PCT 123,2078,1458,0,570,806,0,82,Rep Jessica Lewis,Rep
COLL,124,PCT 124,3288,2171,1,975,1024,0,172,Rep Jessica Lewis,Rep
COLL,125,PCT 125,2250,1532,0,741,642,0,149,Dem Robbie Partida-Kipness,Dem
COLL,126,PCT 126,4969,3443,0,1432,1763,0,248,Rep Jessica Lewis,Rep
COLL,127,PCT 127,3929,2671,1,1131,1287,0,253,Rep Jessica Lewis,Rep
COLL,128,PCT 128,3137,2395,0,509,1737,0,149,Rep Jessica Lewis,Rep
COLL,129,PCT 129,4643,3072,0,1207,1642,0,223,Rep Jessica Lewis,Rep
COLL,130,PCT 130,3972,2813,1,1231,1360,0,222,Rep Jessica Lewis,Rep
COLL,131,PCT 131,3151,2136,0,686,1285,0,165,Rep Jessica Lewis,Rep
COLL,132,PCT 132,2874,2016,6,1015,866,0,135,Dem Robbie Partida-Kipness,Dem
COLL,133,PCT 133,2939,1791,0,703,944,0,144,Rep Jessica Lewis,Rep
COLL,134,PCT 134,4149,2771,0,1239,1299,0,233,Rep Jessica Lewis,Rep
COLL,135,PCT 135,4286,2900,0,1345,1304,0,251,Dem Robbie Partida-Kipness,Dem
COLL,136,PCT 136,1978,1427,10,602,742,0,83,Rep Jessica Lewis,Rep
COLL,137,PCT 137,2004,1418,0,525,815,0,78,Rep Jessica Lewis,Rep
COLL,138,PCT 138,2349,1774,0,803,837,0,134,Rep Jessica Lewis,Rep
COLL,139,PCT 139,4130,2721,0,1297,1198,0,226,Dem Robbie Partida-Kipness,Dem
COLL,140,PCT 140,4848,3591,0,1102,2249,0,240,Rep Jessica Lewis,Rep
COLL,141,PCT 141,3514,2511,0,1128,1219,0,164,Rep Jessica Lewis,Rep
COLL,142,PCT 142,2797,2040,17,928,964,0,148,Rep Jessica Lewis,Rep
COLL,143,PCT 143,2165,1543,0,592,859,0,92,Rep Jessica Lewis,Rep
COLL,144,PCT 144,2956,2072,1,773,1115,0,184,Rep Jessica Lewis,Rep
COLL,145,PCT 145,1780,1237,1,556,577,0,104,Rep Jessica Lewis,Rep
COLL,146,PCT 146,4860,3233,0,1362,1617,0,254,Rep Jessica Lewis,Rep
COLL,147,PCT 147,2281,1409,0,623,669,0,117,Rep Jessica Lewis,Rep
COLL,148,PCT 148,1133,851,0,294,430,0,127,Rep Jessica Lewis,Rep
COLL,149,PCT 149,4656,3337,0,1192,1905,0,240,Rep Jessica Lewis,Rep
COLL,150,PCT 150,2024,1621,0,540,985,0,96,Rep Jessica Lewis,Rep
COLL,151,PCT 151,1856,1296,0,596,596,0,104,Dem Robbie Partida-Kipness,Dem
COLL,152,PCT 152,231,119,0,71,42,0,6,Dem Robbie Partida-Kipness,Dem
COLL,153,PCT 153,1225,860,0,327,460,0,73,Rep Jessica Lewis,Rep
COLL,154,PCT 154,2771,2102,0,404,1577,0,121,Rep Jessica Lewis,Rep
COLL,155,PCT 155,3016,2129,1,758,1232,0,139,Rep Jessica Lewis,Rep
COLL,156,PCT 156,3797,2569,0,1015,1340,0,214,Rep Jessica Lewis,Rep
COLL,157,PCT 157,4358,3111,1,1332,1548,0,231,Rep Jessica Lewis,Rep
COLL,158,PCT 158,2851,1955,0,902,878,0,175,Dem Robbie Partida-Kipness,Dem
COLL,159,PCT 159,3385,2049,1,857,986,0,206,Rep Jessica Lewis,Rep
COLL,160,PCT 160,530,430,0,59,354,0,17,Rep Jessica Lewis,Rep
COLL,161,PCT 161,298,192,0,49,131,0,12,Rep Jessica Lewis,Rep
COLL,162,PCT 162,687,558,0,151,381,0,26,Rep Jessica Lewis,Rep
COLL,163,PCT 163,2188,1474,0,537,805,0,132,Rep Jessica Lewis,Rep
COLL,164,PCT 164,2330,1845,80,693,968,0,184,Rep Jessica Lewis,Rep
COLL,165,PCT 165,972,736,0,213,466,0,57,Rep Jessica Lewis,Rep
COLL,166,PCT 166,4384,3051,0,1191,1567,0,293,Rep Jessica Lewis,Rep
COLL,167,PCT 167,2192,1501,0,740,648,0,113,Dem Robbie Partida-Kipness,Dem
COLL,168,PCT 168,1966,1418,0,368,953,0,97,Rep Jessica Lewis,Rep
COLL,169,PCT 169,3534,2485,2,1079,1205,0,201,Rep Jessica Lewis,Rep
COLL,170,PCT 170,1921,1364,0,456,807,0,101,Rep Jessica Lewis,Rep
COLL,171,PCT 171,2980,1965,0,843,925,0,197,Rep Jessica Lewis,Rep
COLL,172,PCT 172,2941,2202,0,633,1441,0,128,Rep Jessica Lewis,Rep
COLL,173,PCT 173,645,492,0,126,334,0,32,Rep Jessica Lewis,Rep
COLL,174,PCT 174,4648,2951,2,1098,1642,0,211,Rep Jessica Lewis,Rep
COLL,175,PCT 175,2083,1492,1,486,898,0,108,Rep Jessica Lewis,Rep
COLL,176,PCT 176,4064,2194,0,1093,931,0,170,Dem Robbie Partida-Kipness,Dem
COLL,177,PCT 177,3532,2228,0,778,1301,0,149,Rep Jessica Lewis,Rep
COLL,178,PCT 178,3375,2404,1,579,1677,0,148,Rep Jessica Lewis,Rep
COLL,179,PCT 179,4704,3766,0,909,2607,0,250,Rep Jessica Lewis,Rep
COLL,180,PCT 180,3492,2359,1,925,1225,0,209,Rep Jessica Lewis,Rep
COLL,181,PCT 181,3166,2049,0,672,1240,0,137,Rep Jessica Lewis,Rep
COLL,182,PCT 182,4037,2765,1,1123,1416,0,226,Rep Jessica Lewis,Rep
COLL,183,PCT 183,171,120,0,22,82,0,16,Rep Jessica Lewis,Rep
COLL,184,PCT 184,3360,1910,0,867,890,0,153,Rep Jessica Lewis,Rep
COLL,185,PCT 185,3352,2450,1,741,1549,0,160,Rep Jessica Lewis,Rep
COLL,186,PCT 186,764,536,0,57,442,0,37,Rep Jessica Lewis,Rep
COLL,187,PCT 187,1044,697,0,231,419,0,47,Rep Jessica Lewis,Rep
COLL,188,PCT 188,731,488,0,162,293,0,33,Rep Jessica Lewis,Rep
COLL,189,PCT 189,1473,1016,0,172,773,0,72,Rep Jessica Lewis,Rep
COLL,190,PCT 190,1038,802,0,164,593,0,45,Rep Jessica Lewis,Rep
COLL,191,PCT 191,967,582,1,187,347,0,48,Rep Jessica Lewis,Rep
COLL,192,PCT 192,4114,2896,0,625,2062,0,210,Rep Jessica Lewis,Rep
COLL,193,PCT 193,1341,896,0,179,659,0,58,Rep Jessica Lewis,Rep
COLL,194,PCT 194,3375,2400,0,696,1530,0,174,Rep Jessica Lewis,Rep
COLL,195,PCT 195,935,674,0,134,495,0,45,Rep Jessica Lewis,Rep
COLL,196,PCT 196,2001,1352,0,503,744,0,105,Rep Jessica Lewis,Rep
COLL,197,PCT 197,1270,858,0,410,376,0,72,Dem Robbie Partida-Kipness,Dem
COLL,198,PCT 198,2904,2327,0,774,1414,0,139,Rep Jessica Lewis,Rep
COLL,199,PCT 199,4135,3196,0,789,2208,0,199,Rep Jessica Lewis,Rep
COLL,200,PCT 200,2726,1894,0,498,1250,0,146,Rep Jessica Lewis,Rep
COLL,201,PCT 201,0,0,0,0,0,0,0,Dem Robbie Partida-Kipness,Dem
COLL,202,PCT 202,2,2,0,2,0,0,0,Dem Robbie Partida-Kipness,Dem
COLL,203,PCT 203,3182,2344,0,716,1450,0,178,Rep Jessica Lewis,Rep
COLL,204,PCT 204,354,282,0,93,175,0,14,Rep Jessica Lewis,Rep
COLL,205,PCT 205,4103,2879,2,1095,1540,0,244,Rep Jessica Lewis,Rep
COLL,206,PCT 206,2002,1431,0,469,871,0,91,Rep Jessica Lewis,Rep
COLL,207,PCT 207,4081,2925,1,1006,1711,0,208,Rep Jessica Lewis,Rep
COLL,208,PCT 208,4359,3323,0,1041,2033,0,249,Rep Jessica Lewis,Rep
COLL,209,PCT 209,172,125,0,43,73,0,9,Rep Jessica Lewis,Rep
COLL,210,PCT 210,1746,1290,0,607,560,0,123,Dem Robbie Partida-Kipness,Dem
COLL,211,PCT 211,3433,2455,0,887,1339,0,229,Rep Jessica Lewis,Rep
COLL,212,PCT 212,2600,1945,0,814,966,0,165,Rep Jessica Lewis,Rep
COLL,213,PCT 213,3697,2611,0,1080,1310,0,221,Rep Jessica Lewis,Rep
COLL,214,PCT 214,3776,2920,0,599,2159,0,162,Rep Jessica Lewis,Rep
COLL,215,PCT 215,3503,2092,1,683,1229,0,180,Rep Jessica Lewis,Rep
COLL,216,PCT 216,4771,3565,0,933,2408,0,224,Rep Jessica Lewis,Rep
COLL,217,PCT 217,3140,2190,1,754,1279,0,157,Rep Jessica Lewis,Rep
COLL,218,PCT 218,4297,3093,1,1295,1578,0,220,Rep Jessica Lewis,Rep
COLL,219,PCT 219,4559,3137,1,1400,1519,0,218,Rep Jessica Lewis,Rep
COLL,220,PCT 220,2465,1745,0,771,827,0,148,Rep Jessica Lewis,Rep
COLL,221,PCT 221,2053,1470,0,464,892,0,114,Rep Jessica Lewis,Rep
COLL,222,PCT 222,3965,2870,1,1224,1438,0,208,Rep Jessica Lewis,Rep
COLL,223,PCT 223,2501,1839,0,780,943,0,116,Rep Jessica Lewis,Rep
COLL,224,PCT 224,3351,2568,1,571,1854,0,143,Rep Jessica Lewis,Rep
COLL,225,PCT 225,3945,2807,2,1258,1315,0,234,Rep Jessica Lewis,Rep
COLL,226,PCT 226,4404,2945,0,1300,1403,0,242,Rep Jessica Lewis,Rep
COLL,227,PCT 227,4468,3160,0,1229,1689,0,242,Rep Jessica Lewis,Rep
COLL,228,PCT 228,4845,3037,1,1261,1501,0,274,Rep Jessica Lewis,Rep
COLL,229,PCT 229,2259,1494,0,659,715,0,120,Rep Jessica Lewis,Rep
COLL,230,PCT 230,4953,3021,0,1355,1424,0,242,Rep Jessica Lewis,Rep
COLL,231,PCT 231,3938,2850,0,1108,1552,0,190,Rep Jessica Lewis,Rep
COLL,232,PCT 232,3850,2755,0,997,1567,0,191,Rep Jessica Lewis,Rep
COLL,233,PCT 233,2089,1443,0,494,835,0,114,Rep Jessica Lewis,Rep
COLL,234,PCT 234,3351,2585,0,1212,1185,0,188,Dem Robbie Partida-Kipness,Dem
COLL,235,PCT 235,1916,1332,3,617,610,0,105,Dem Robbie Partida-Kipness,Dem
COLL,236,PCT 236,3015,2217,1,708,1338,0,171,Rep Jessica Lewis,Rep
COLL,237,PCT 237,2345,1522,3,629,756,1,136,Rep Jessica Lewis,Rep
COLL,238,PCT 238,4043,2583,0,1213,1161,0,209,Dem Robbie Partida-Kipness,Dem
COLL,239,PCT 239,4293,3051,0,752,2113,0,186,Rep Jessica Lewis,Rep
COLL,240,PCT 240,4358,3212,0,778,2224,0,210,Rep Jessica Lewis,Rep
COLL,241,PCT 241,1549,1115,0,440,559,0,116,Rep Jessica Lewis,Rep
COLL,242,PCT 242,3578,2604,0,1026,1382,0,196,Rep Jessica Lewis,Rep
COLL,243,PCT 243,1684,1272,0,333,868,0,71,Rep Jessica Lewis,Rep
COLL,244,PCT 244,3235,2337,0,870,1289,0,178,Rep Jessica Lewis,Rep
COLL,245,PCT 245,2764,1651,0,661,854,0,136,Rep Jessica Lewis,Rep
COLL,246,PCT 246,2859,2137,1,856,1128,0,153,Rep Jessica Lewis,Rep
COLL,247,PCT 247,2436,1876,0,475,1296,0,105,Rep Jessica Lewis,Rep
COLL,248,PCT 248,2328,1645,0,644,863,0,138,Rep Jessica Lewis,Rep
COLL,249,PCT 249,4743,3053,0,983,1856,0,214,Rep Jessica Lewis,Rep
COLL,250,PCT 250,3886,3025,0,1329,1419,0,277,Rep Jessica Lewis,Rep
COLL,251,PCT 251,2568,1852,0,529,1206,0,117,Rep Jessica Lewis,Rep
COLL,252,PCT 252,3149,2338,0,589,1599,0,150,Rep Jessica Lewis,Rep
COLL,253,PCT 253,3111,2203,1,973,1043,0,186,Rep Jessica Lewis,Rep
COLL,254,PCT 254,1286,806,0,335,399,0,73,Rep Jessica Lewis,Rep
COLL,255,PCT 255,3292,2440,1,726,1570,0,145,Rep Jessica Lewis,Rep
COLL,256,PCT 256,767,540,0,116,384,0,39,Rep Jessica Lewis,Rep
COLL,257,PCT 257,1342,890,1,325,497,0,68,Rep Jessica Lewis,Rep
COLL,258,PCT 258,3045,2073,1,1004,868,0,201,Dem Robbie Partida-Kipness,Dem
COLL,259,PCT 259,3698,2420,0,925,1303,0,192,Rep Jessica Lewis,Rep
COLL,260,PCT 260,438,319,0,57,240,0,22,Rep Jessica Lewis,Rep
COLL,261,PCT 261,3221,2306,0,727,1399,0,180,Rep Jessica Lewis,Rep
COLL,262,PCT 262,3038,2081,0,1025,899,0,157,Dem Robbie Partida-Kipness,Dem
COLL,263,PCT 263,2055,1544,1,429,1011,0,104,Rep Jessica Lewis,Rep
COLL,264,PCT 264,3994,2746,0,1001,1568,0,177,Rep Jessica Lewis,Rep
COLL,265,PCT 265,0,0,0,0,0,0,0,Dem Robbie Partida-Kipness,Dem
COLL,266,PCT 266,62,42,0,21,19,0,3,Dem Robbie Partida-Kipness,Dem
COLL,267,PCT 267,19,13,0,7,5,0,1,Dem Robbie Partida-Kipness,Dem
COLL,268,PCT 268,0,0,0,0,0,0,0,Dem Robbie Partida-Kipness,Dem
COLL,269,PCT 269,0,0,0,0,0,0,0,Dem Robbie Partida-Kipness,Dem
COLL,270,PCT 270,2,1,0,0,1,0,0,Rep Jessica Lewis,Rep
COLL,271,PCT 271,1035,750,0,258,439,0,53,Rep Jessica Lewis,Rep
COLL,272,PCT 272,1,1,0,0,0,0,0,Dem Robbie Partida-Kipness,Dem
COLL,273,PCT 273,260,202,0,52,141,0,9,Rep Jessica Lewis,Rep
