COUNTY NUMBER,PRECINCT CODE,PRECINCT NAME,REGISTERED VOTERS TOTAL,BALLOTS CAST TOTAL,BALLOTS CAST BLANK,Rep Angela Tucker,OVER VOTES,UNDER VOTES,Winning Candidate,Winning Party
COLL,46,PCT 046,3182,1797,1,874,0,923,Rep Angela Tucker,Rep
COLL,47,PCT 047,2634,1822,1,951,0,871,Rep Angela Tucker,Rep
COLL,48,PCT 048,3837,2712,0,1438,0,1274,Rep Angela Tucker,Rep
COLL,49,PCT 049,2425,1806,0,1052,0,754,Rep Angela Tucker,Rep
COLL,50,PCT 050,3289,1773,1,820,0,953,Rep Angela Tucker,Rep
COLL,51,PCT 051,1854,1006,0,494,0,512,Rep Angela Tucker,Rep
COLL,52,PCT 052,4768,2909,2,1361,0,1548,Rep Angela Tucker,Rep
COLL,53,PCT 053,2224,1662,0,952,0,710,Rep Angela Tucker,Rep
COLL,54,PCT 054,3726,2254,1,1118,0,1136,Rep Angela Tucker,Rep
COLL,55,PCT 055,4272,2791,0,1241,0,1550,Rep Angela Tucker,Rep
COLL,56,PCT 056,3558,2429,2,1550,0,879,Rep Angela Tucker,Rep
COLL,57,PCT 057,1581,1035,0,631,0,403,Rep Angela Tucker,Rep
COLL,58,PCT 058,3671,2397,3,1240,0,1157,Rep Angela Tucker,Rep
COLL,59,PCT 059,4034,2725,0,1643,0,1082,Rep Angela Tucker,Rep
COLL,60,PCT 060,3282,2489,0,1667,0,822,Rep Angela Tucker,Rep
COLL,61,PCT 061,1688,1214,0,741,0,473,Rep Angela Tucker,Rep
COLL,62,PCT 062,2524,1721,1,882,0,838,Rep Angela Tucker,Rep
COLL,63,PCT 063,2074,1604,0,987,0,617,Rep Angela Tucker,Rep
COLL,64,PCT 064,2695,1840,0,1002,0,838,Rep Angela Tucker,Rep
COLL,65,PCT 065,1249,847,1,458,0,389,Rep Angela Tucker,Rep
COLL,66,PCT 066,2197,1497,0,849,0,648,Rep Angela Tucker,Rep
COLL,67,PCT 067,3003,1995,1,1095,0,900,Rep Angela Tucker,Rep
COLL,68,PCT 068,2042,1285,1,657,0,628,Rep Angela Tucker,Rep
COLL,69,PCT 069,3878,2831,0,1623,0,1208,Rep Angela Tucker,Rep
COLL,70,PCT 070,1912,1416,0,852,0,564,Rep Angela Tucker,Rep
COLL,71,PCT 071,1812,1314,0,744,0,570,Rep Angela Tucker,Rep
COLL,72,PCT 072,1732,1249,2,749,0,500,Rep Angela Tucker,Rep
COLL,73,PCT 073,1936,1122,6,545,0,577,Rep Angela Tucker,Rep
COLL,74,PCT 074,1988,1373,9,800,0,573,Rep Angela Tucker,Rep
COLL,75,PCT 075,2381,1701,0,1032,0,669,Rep Angela Tucker,Rep
COLL,76,PCT 076,3331,2363,4,1407,0,956,Rep Angela Tucker,Rep
COLL,77,PCT 077,3677,2432,0,1254,0,1178,Rep Angela Tucker,Rep
COLL,78,PCT 078,4899,3053,2,1515,0,1538,Rep Angela Tucker,Rep
COLL,79,PCT 079,2773,1660,17,942,0,718,Rep Angela Tucker,Rep
COLL,80,PCT 080,3657,2509,0,1434,0,1075,Rep Angela Tucker,Rep
COLL,81,PCT 081,2973,2031,1,1079,0,952,Rep Angela Tucker,Rep
COLL,82,PCT 082,3005,1870,0,1027,0,843,Rep Angela Tucker,Rep
COLL,83,PCT 083,4265,2914,1,1962,0,952,Rep Angela Tucker,Rep
COLL,84,PCT 084,2541,1705,11,990,0,715,Rep Angela Tucker,Rep
COLL,85,PCT 085,3423,2301,1,1149,0,1153,Rep Angela Tucker,Rep
COLL,86,PCT 086,3050,2194,0,1265,0,929,Rep Angela Tucker,Rep
COLL,87,PCT 087,3486,2531,0,1453,0,1078,Rep Angela Tucker,Rep
COLL,88,PCT 088,1661,726,7,329,0,397,Rep Angela Tucker,Rep
COLL,89,PCT 089,3267,2264,0,1268,0,996,Rep Angela Tucker,Rep
COLL,90,PCT 090,3268,2400,0,1581,0,819,Rep Angela Tucker,Rep
COLL,91,PCT 091,2325,1659,1,889,0,770,Rep Angela Tucker,Rep
COLL,92,PCT 092,4619,2877,0,1592,0,1285,Rep Angela Tucker,Rep
COLL,93,PCT 093,297,222,1,187,0,35,Rep Angela Tucker,Rep
COLL,94,PCT 094,4318,3088,0,1647,0,1441,Rep Angela Tucker,Rep
COLL,95,PCT 095,3171,2237,0,1262,0,975,Rep Angela Tucker,Rep
COLL,96,PCT 096,1509,782,0,469,0,313,Rep Angela Tucker,Rep
COLL,97,PCT 097,1344,1070,0,766,0,304,Rep Angela Tucker,Rep
COLL,98,PCT 098,1618,1019,0,623,0,396,Rep Angela Tucker,Rep
COLL,99,PCT 099,403,257,0,127,0,130,Rep Angela Tucker,Rep
COLL,100,PCT 100,1545,1024,0,676,0,348,Rep Angela Tucker,Rep
COLL,101,PCT 101,4300,2865,0,1725,0,1140,Rep Angela Tucker,Rep
COLL,102,PCT 102,2555,1957,0,1353,0,604,Rep Angela Tucker,Rep
COLL,103,PCT 103,1419,810,0,410,0,400,Rep Angela Tucker,Rep
COLL,104,PCT 104,2426,1167,4,525,0,642,Rep Angela Tucker,Rep
COLL,105,PCT 105,173,115,0,55,0,60,Rep Angela Tucker,Rep
COLL,106,PCT 106,1869,1255,1,719,0,536,Rep Angela Tucker,Rep
COLL,107,PCT 107,3373,2417,0,1317,0,1100,Rep Angela Tucker,Rep
COLL,108,PCT 108,2997,2047,1,1073,0,974,Rep Angela Tucker,Rep
COLL,109,PCT 109,4859,3312,0,2065,0,1247,Rep Angela Tucker,Rep
COLL,110,PCT 110,2816,1947,1,1110,0,837,Rep Angela Tucker,Rep
COLL,111,PCT 111,3096,2183,0,1530,0,653,Rep Angela Tucker,Rep
COLL,112,PCT 112,3166,2322,0,1345,0,977,Rep Angela Tucker,Rep
COLL,113,PCT 113,3351,2087,0,1199,0,888,Rep Angela Tucker,Rep
COLL,114,PCT 114,4252,3062,0,1975,0,1087,Rep Angela Tucker,Rep
COLL,115,PCT 115,2995,2123,15,1139,0,984,Rep Angela Tucker,Rep
COLL,116,PCT 116,5006,3553,1,2188,0,1365,Rep Angela Tucker,Rep
COLL,117,PCT 117,4426,2934,2,1681,0,1253,Rep Angela Tucker,Rep
COLL,118,PCT 118,4297,2996,0,1820,0,1176,Rep Angela Tucker,Rep
COLL,119,PCT 119,2398,1696,2,990,0,706,Rep Angela Tucker,Rep
COLL,120,PCT 120,3653,2693,0,1710,0,983,Rep Angela Tucker,Rep
COLL,121,PCT 121,2892,1952,1,1019,0,933,Rep Angela Tucker,Rep
COLL,122,PCT 122,4972,3708,1,2527,0,1181,Rep Angela Tucker,Rep
COLL,123,PCT 123,2078,1458,0,875,0,583,Rep Angela Tucker,Rep
COLL,124,PCT 124,3288,2171,1,1181,0,990,Rep Angela Tucker,Rep
COLL,125,PCT 125,2250,1532,0,770,0,762,Rep Angela Tucker,Rep
COLL,126,PCT 126,4969,3443,0,2051,0,1392,Rep Angela Tucker,Rep
COLL,127,PCT 127,3929,2671,1,1498,0,1173,Rep Angela Tucker,Rep
COLL,128,PCT 128,3137,2395,0,1810,0,585,Rep Angela Tucker,Rep
COLL,129,PCT 129,4643,3072,0,1845,0,1227,Rep Angela Tucker,Rep
COLL,130,PCT 130,3972,2813,1,1557,0,1256,Rep Angela Tucker,Rep
COLL,131,PCT 131,3151,2136,0,1402,0,734,Rep Angela Tucker,Rep
COLL,132,PCT 132,2874,2016,6,1017,0,999,Rep Angela Tucker,Rep
COLL,133,PCT 133,2939,1791,0,1079,0,712,Rep Angela Tucker,Rep
COLL,134,PCT 134,4149,2771,0,1587,0,1184,Rep Angela Tucker,Rep
COLL,135,PCT 135,4286,2900,0,1570,0,1330,Rep Angela Tucker,Rep
COLL,136,PCT 136,1978,1427,10,851,0,576,Rep Angela Tucker,Rep
COLL,137,PCT 137,2004,1418,0,923,0,495,Rep Angela Tucker,Rep
COLL,138,PCT 138,2349,1774,0,981,0,793,Rep Angela Tucker,Rep
COLL,139,PCT 139,4130,2721,0,1453,0,1268,Rep Angela Tucker,Rep
COLL,140,PCT 140,4848,3591,0,2476,0,1115,Rep Angela Tucker,Rep
COLL,141,PCT 141,3514,2511,0,1441,0,1070,Rep Angela Tucker,Rep
COLL,142,PCT 142,2797,2040,17,1110,0,930,Rep Angela Tucker,Rep
COLL,143,PCT 143,2165,1543,0,953,0,590,Rep Angela Tucker,Rep
COLL,144,PCT 144,2956,2072,1,1225,0,847,Rep Angela Tucker,Rep
COLL,145,PCT 145,1780,1237,1,692,0,545,Rep Angela Tucker,Rep
COLL,146,PCT 146,4860,3233,0,1832,0,1401,Rep Angela Tucker,Rep
COLL,147,PCT 147,2281,1409,0,798,0,611,Rep Angela Tucker,Rep
COLL,148,PCT 148,1133,851,0,486,0,365,Rep Angela Tucker,Rep
COLL,149,PCT 149,4656,3337,0,2121,0,1216,Rep Angela Tucker,Rep
COLL,150,PCT 150,2024,1621,0,1089,0,532,Rep Angela Tucker,Rep
COLL,151,PCT 151,1856,1296,0,730,0,566,Rep Angela Tucker,Rep
COLL,152,PCT 152,231,119,0,58,0,61,Rep Angela Tucker,Rep
COLL,153,PCT 153,1225,860,0,516,0,343,Rep Angela Tucker,Rep
COLL,154,PCT 154,2771,2102,0,1651,0,451,Rep Angela Tucker,Rep
COLL,155,PCT 155,3016,2129,1,1391,0,738,Rep Angela Tucker,Rep
COLL,156,PCT 156,3797,2569,0,1514,0,1055,Rep Angela Tucker,Rep
COLL,157,PCT 157,4358,3111,1,1814,0,1297,Rep Angela Tucker,Rep
COLL,158,PCT 158,2851,1955,0,1070,0,885,Rep Angela Tucker,Rep
COLL,159,PCT 159,3385,2049,1,1137,0,912,Rep Angela Tucker,Rep
COLL,160,PCT 160,530,430,0,367,0,63,Rep Angela Tucker,Rep
COLL,161,PCT 161,298,192,0,131,0,61,Rep Angela Tucker,Rep
COLL,162,PCT 162,687,558,0,415,0,143,Rep Angela Tucker,Rep
COLL,163,PCT 163,2188,1474,0,943,0,531,Rep Angela Tucker,Rep
COLL,164,PCT 164,2330,1845,80,1072,0,773,Rep Angela Tucker,Rep
COLL,165,PCT 165,972,736,0,504,0,232,Rep Angela Tucker,Rep
COLL,166,PCT 166,4384,3051,0,1783,0,1268,Rep Angela Tucker,Rep
COLL,167,PCT 167,2192,1501,0,781,0,720,Rep Angela Tucker,Rep
COLL,168,PCT 168,1966,1418,0,1002,0,416,Rep Angela Tucker,Rep
COLL,169,PCT 169,3534,2485,2,1408,0,1077,Rep Angela Tucker,Rep
COLL,170,PCT 170,1921,1364,0,889,0,475,Rep Angela Tucker,Rep
COLL,171,PCT 171,2980,1965,0,1109,0,856,Rep Angela Tucker,Rep
COLL,172,PCT 172,2941,2202,0,1573,0,629,Rep Angela Tucker,Rep
COLL,173,PCT 173,645,492,0,348,0,144,Rep Angela Tucker,Rep
COLL,174,PCT 174,4648,2951,2,1864,0,1087,Rep Angela Tucker,Rep
COLL,175,PCT 175,2083,1492,1,972,0,520,Rep Angela Tucker,Rep
COLL,176,PCT 176,4064,2194,0,1149,0,1045,Rep Angela Tucker,Rep
COLL,177,PCT 177,3532,2228,0,1475,0,753,Rep Angela Tucker,Rep
COLL,178,PCT 178,3375,2404,1,1781,0,623,Rep Angela Tucker,Rep
COLL,179,PCT 179,4704,3766,0,2739,0,1027,Rep Angela Tucker,Rep
COLL,180,PCT 180,3492,2359,1,1433,0,926,Rep Angela Tucker,Rep
COLL,181,PCT 181,3166,2049,0,1386,0,663,Rep Angela Tucker,Rep
COLL,182,PCT 182,4037,2765,1,1622,0,1143,Rep Angela Tucker,Rep
COLL,183,PCT 183,171,120,0,83,0,37,Rep Angela Tucker,Rep
COLL,184,PCT 184,3360,1910,0,1076,0,834,Rep Angela Tucker,Rep
COLL,185,PCT 185,3352,2450,1,1694,0,757,Rep Angela Tucker,Rep
COLL,186,PCT 186,764,536,0,451,0,85,Rep Angela Tucker,Rep
COLL,187,PCT 187,1044,697,0,469,0,228,Rep Angela Tucker,Rep
COLL,188,PCT 188,731,488,0,328,0,160,Rep Angela Tucker,Rep
COLL,189,PCT 189,1473,1016,0,805,0,211,Rep Angela Tucker,Rep
COLL,190,PCT 190,1038,802,0,622,0,180,Rep Angela Tucker,Rep
COLL,191,PCT 191,967,582,1,385,0,197,Rep Angela Tucker,Rep
COLL,192,PCT 192,4114,2896,0,2201,0,695,Rep Angela Tucker,Rep
COLL,193,PCT 193,1341,896,0,683,0,213,Rep Angela Tucker,Rep
COLL,194,PCT 194,3375,2400,0,1673,0,726,Rep Angela Tucker,Rep
COLL,195,PCT 195,935,674,0,514,0,160,Rep Angela Tucker,Rep
COLL,196,PCT 196,2001,1352,0,842,0,510,Rep Angela Tucker,Rep
COLL,197,PCT 197,1270,858,0,465,0,393,Rep Angela Tucker,Rep
COLL,198,PCT 198,2904,2327,0,1564,0,763,Rep Angela Tucker,Rep
COLL,199,PCT 199,4135,3196,0,2384,0,812,Rep Angela Tucker,Rep
COLL,200,PCT 200,2726,1894,0,1366,0,528,Rep Angela Tucker,Rep
COLL,201,PCT 201,0,0,0,0,0,0,Rep Angela Tucker,Rep
COLL,202,PCT 202,2,2,0,0,0,2,Rep Angela Tucker,Rep
COLL,203,PCT 203,3182,2344,0,1559,0,785,Rep Angela Tucker,Rep
COLL,204,PCT 204,354,282,0,199,0,83,Rep Angela Tucker,Rep
COLL,205,PCT 205,4103,2879,2,1730,0,1150,Rep Angela Tucker,Rep
COLL,206,PCT 206,2002,1431,0,947,0,484,Rep Angela Tucker,Rep
COLL,207,PCT 207,4081,2925,1,1930,0,995,Rep Angela Tucker,Rep
COLL,208,PCT 208,4359,3323,0,2252,0,1071,Rep Angela Tucker,Rep
COLL,209,PCT 209,172,125,0,83,0,42,Rep Angela Tucker,Rep
COLL,210,PCT 210,1746,1290,0,686,0,604,Rep Angela Tucker,Rep
COLL,211,PCT 211,3433,2455,0,1524,0,931,Rep Angela Tucker,Rep
COLL,212,PCT 212,2600,1945,0,1170,0,775,Rep Angela Tucker,Rep
COLL,213,PCT 213,3697,2611,0,1562,0,1049,Rep Angela Tucker,Rep
COLL,214,PCT 214,3776,2920,0,2263,0,657,Rep Angela Tucker,Rep
COLL,215,PCT 215,3503,2092,1,1377,0,715,Rep Angela Tucker,Rep
COLL,216,PCT 216,4771,3565,0,2609,0,956,Rep Angela Tucker,Rep
COLL,217,PCT 217,3140,2190,1,1442,0,748,Rep Angela Tucker,Rep
COLL,218,PCT 218,4297,3093,1,1845,0,1248,Rep Angela Tucker,Rep
COLL,219,PCT 219,4559,3137,1,1807,0,1330,Rep Angela Tucker,Rep
COLL,220,PCT 220,2465,1745,0,1028,0,717,Rep Angela Tucker,Rep
COLL,221,PCT 221,2053,1470,0,985,0,485,Rep Angela Tucker,Rep
COLL,222,PCT 222,3965,2870,1,1654,0,1216,Rep Angela Tucker,Rep
COLL,223,PCT 223,2501,1839,0,1115,0,724,Rep Angela Tucker,Rep
COLL,224,PCT 224,3351,2568,1,1967,0,601,Rep Angela Tucker,Rep
COLL,225,PCT 225,3945,2807,2,1618,0,1189,Rep Angela Tucker,Rep
COLL,226,PCT 226,4404,2945,0,1648,0,1297,Rep Angela Tucker,Rep
COLL,227,PCT 227,4468,3160,0,1915,0,1245,Rep Angela Tucker,Rep
COLL,228,PCT 228,4845,3037,1,1804,0,1233,Rep Angela Tucker,Rep
COLL,229,PCT 229,2259,1494,0,848,0,646,Rep Angela Tucker,Rep
COLL,230,PCT 230,4953,3021,0,1671,0,1350,Rep Angela Tucker,Rep
COLL,231,PCT 231,3938,2850,0,1799,0,1051,Rep Angela Tucker,Rep
COLL,232,PCT 232,3850,2755,0,1750,0,1005,Rep Angela Tucker,Rep
COLL,233,PCT 233,2089,1443,0,932,0,511,Rep Angela Tucker,Rep
COLL,234,PCT 234,3351,2585,0,1498,0,1087,Rep Angela Tucker,Rep
COLL,235,PCT 235,1916,1332,3,728,0,604,Rep Angela Tucker,Rep
COLL,236,PCT 236,3015,2217,1,1460,0,757,Rep Angela Tucker,Rep
COLL,237,PCT 237,2345,1522,3,876,0,646,Rep Angela Tucker,Rep
COLL,238,PCT 238,4043,2583,0,1435,0,1148,Rep Angela Tucker,Rep
COLL,239,PCT 239,4293,3051,0,2259,0,792,Rep Angela Tucker,Rep
COLL,240,PCT 240,4358,3212,0,2387,0,825,Rep Angela Tucker,Rep
COLL,241,PCT 241,1549,1115,0,645,0,470,Rep Angela Tucker,Rep
COLL,242,PCT 242,3578,2604,0,1586,0,1018,Rep Angela Tucker,Rep
COLL,243,PCT 243,1684,1272,0,941,0,331,Rep Angela Tucker,Rep
COLL,244,PCT 244,3235,2337,0,1436,0,901,Rep Angela Tucker,Rep
COLL,245,PCT 245,2764,1651,0,978,0,673,Rep Angela Tucker,Rep
COLL,246,PCT 246,2859,2137,1,1269,0,868,Rep Angela Tucker,Rep
COLL,247,PCT 247,2436,1876,0,1374,0,502,Rep Angela Tucker,Rep
COLL,248,PCT 248,2328,1645,0,1014,0,631,Rep Angela Tucker,Rep
COLL,249,PCT 249,4743,3053,0,2061,0,992,Rep Angela Tucker,Rep
COLL,250,PCT 250,3886,3025,0,1821,0,1204,Rep Angela Tucker,Rep
COLL,251,PCT 251,2568,1852,0,1311,0,541,Rep Angela Tucker,Rep
COLL,252,PCT 252,3149,2338,0,1716,0,622,Rep Angela Tucker,Rep
COLL,253,PCT 253,3111,2203,1,1297,0,906,Rep Angela Tucker,Rep
COLL,254,PCT 254,1286,806,0,479,0,327,Rep Angela Tucker,Rep
COLL,255,PCT 255,3292,2440,1,1728,0,712,Rep Angela Tucker,Rep
COLL,256,PCT 256,767,540,0,410,0,130,Rep Angela Tucker,Rep
COLL,257,PCT 257,1342,890,1,568,0,322,Rep Angela Tucker,Rep
COLL,258,PCT 258,3045,2073,1,1042,0,1031,Rep Angela Tucker,Rep
COLL,259,PCT 259,3698,2420,0,1477,0,944,Rep Angela Tucker,Rep
COLL,260,PCT 260,438,319,0,248,0,70,Rep Angela Tucker,Rep
COLL,261,PCT 261,3221,2306,0,1545,0,761,Rep Angela Tucker,Rep
COLL,262,PCT 262,3038,2081,0,1083,0,998,Rep Angela Tucker,Rep
COLL,263,PCT 263,2055,1544,1,1106,0,438,Rep Angela Tucker,Rep
COLL,264,PCT 264,3994,2746,0,1722,0,1024,Rep Angela Tucker,Rep
COLL,265,PCT 265,0,0,0,0,0,0,Rep Angela Tucker,Rep
COLL,266,PCT 266,62,42,0,22,0,21,Rep Angela Tucker,Rep
COLL,267,PCT 267,19,13,0,6,0,6,Rep Angela Tucker,Rep
COLL,268,PCT 268,0,0,0,0,0,0,Rep Angela Tucker,Rep
COLL,269,PCT 269,0,0,0,0,0,0,Rep Angela Tucker,Rep
COLL,270,PCT 270,2,1,0,1,0,0,Rep Angela Tucker,Rep
COLL,271,PCT 271,1035,750,0,498,0,253,Rep Angela Tucker,Rep
COLL,272,PCT 272,1,1,0,1,0,0,Rep Angela Tucker,Rep
COLL,273,PCT 273,260,202,0,151,0,51,Rep Angela Tucker,Rep
