COUNTY NUMBER,PRECINCT CODE,PRECINCT NAME,REGISTERED VOTERS TOTAL,BALLOTS CAST TOTAL,BALLOTS CAST BLANK,Rep Andrea Stroh Thompson,OVER VOTES,UNDER VOTES,Winning Candidate,Winning Party
COLL,97,PCT 097,1344,1070,0,749,0,321,Rep Andrea Stroh Thompson,Rep
COLL,98,PCT 098,1618,1019,0,592,0,427,Rep Andrea Stroh Thompson,Rep
COLL,99,PCT 099,403,257,0,125,0,132,Rep Andrea Stroh Thompson,Rep
COLL,100,PCT 100,1545,1024,0,660,0,364,Rep Andrea Stroh Thompson,Rep
COLL,101,PCT 101,4300,2865,0,1675,0,1190,Rep Andrea Stroh Thompson,Rep
COLL,102,PCT 102,2555,1957,0,1319,0,638,Rep Andrea Stroh Thompson,Rep
COLL,103,PCT 103,1419,810,0,406,0,404,Rep Andrea Stroh Thompson,Rep
COLL,104,PCT 104,2426,1167,4,504,0,663,Rep Andrea Stroh Thompson,Rep
COLL,105,PCT 105,173,115,0,53,0,62,Rep Andrea Stroh Thompson,Rep
COLL,106,PCT 106,1869,1255,1,698,0,557,Rep Andrea Stroh Thompson,Rep
COLL,107,PCT 107,3373,2417,0,1275,0,1142,Rep Andrea Stroh Thompson,Rep
COLL,108,PCT 108,2997,2047,1,1041,0,1006,Rep Andrea Stroh Thompson,Rep
COLL,109,PCT 109,4859,3312,0,2032,0,1280,Rep Andrea Stroh Thompson,Rep
COLL,110,PCT 110,2816,1947,1,1099,0,848,Rep Andrea Stroh Thompson,Rep
COLL,111,PCT 111,3096,2183,0,1501,0,682,Rep Andrea Stroh Thompson,Rep
COLL,112,PCT 112,3166,2322,0,1316,0,1006,Rep Andrea Stroh Thompson,Rep
COLL,113,PCT 113,3351,2087,0,1169,0,918,Rep Andrea Stroh Thompson,Rep
COLL,114,PCT 114,4252,3062,0,1923,0,1139,Rep Andrea Stroh Thompson,Rep
COLL,115,PCT 115,2995,2123,15,1118,0,1005,Rep Andrea Stroh Thompson,Rep
COLL,116,PCT 116,5006,3553,1,2130,0,1423,Rep Andrea Stroh Thompson,Rep
COLL,117,PCT 117,4426,2934,2,1648,0,1286,Rep Andrea Stroh Thompson,Rep
COLL,118,PCT 118,4297,2996,0,1771,0,1225,Rep Andrea Stroh Thompson,Rep
COLL,119,PCT 119,2398,1696,2,961,0,735,Rep Andrea Stroh Thompson,Rep
COLL,120,PCT 120,3653,2693,0,1665,0,1028,Rep Andrea Stroh Thompson,Rep
COLL,121,PCT 121,2892,1952,1,995,0,957,Rep Andrea Stroh Thompson,Rep
COLL,122,PCT 122,4972,3708,1,2471,0,1237,Rep Andrea Stroh Thompson,Rep
COLL,123,PCT 123,2078,1458,0,859,0,599,Rep Andrea Stroh Thompson,Rep
COLL,124,PCT 124,3288,2171,1,1133,0,1038,Rep Andrea Stroh Thompson,Rep
COLL,125,PCT 125,2250,1532,0,760,0,772,Rep Andrea Stroh Thompson,Rep
COLL,126,PCT 126,4969,3443,0,1991,0,1452,Rep Andrea Stroh Thompson,Rep
COLL,127,PCT 127,3929,2671,1,1468,0,1203,Rep Andrea Stroh Thompson,Rep
COLL,128,PCT 128,3137,2395,0,1783,0,612,Rep Andrea Stroh Thompson,Rep
COLL,129,PCT 129,4643,3072,0,1791,0,1281,Rep Andrea Stroh Thompson,Rep
COLL,130,PCT 130,3972,2813,1,1509,0,1304,Rep Andrea Stroh Thompson,Rep
COLL,131,PCT 131,3151,2136,0,1359,0,777,Rep Andrea Stroh Thompson,Rep
COLL,132,PCT 132,2874,2016,6,999,0,1017,Rep Andrea Stroh Thompson,Rep
COLL,133,PCT 133,2939,1791,0,1053,0,738,Rep Andrea Stroh Thompson,Rep
COLL,134,PCT 134,4149,2771,0,1522,0,1249,Rep Andrea Stroh Thompson,Rep
COLL,135,PCT 135,4286,2900,0,1528,0,1372,Rep Andrea Stroh Thompson,Rep
COLL,136,PCT 136,1978,1427,10,821,0,606,Rep Andrea Stroh Thompson,Rep
COLL,137,PCT 137,2004,1418,0,903,0,515,Rep Andrea Stroh Thompson,Rep
COLL,138,PCT 138,2349,1774,0,957,0,817,Rep Andrea Stroh Thompson,Rep
COLL,139,PCT 139,4130,2721,0,1412,0,1309,Rep Andrea Stroh Thompson,Rep
COLL,140,PCT 140,4848,3591,0,2401,0,1190,Rep Andrea Stroh Thompson,Rep
COLL,141,PCT 141,3514,2511,0,1398,0,1113,Rep Andrea Stroh Thompson,Rep
COLL,142,PCT 142,2797,2040,17,1101,0,939,Rep Andrea Stroh Thompson,Rep
COLL,143,PCT 143,2165,1543,0,933,0,610,Rep Andrea Stroh Thompson,Rep
COLL,144,PCT 144,2956,2072,1,1197,0,875,Rep Andrea Stroh Thompson,Rep
COLL,145,PCT 145,1780,1237,1,671,0,566,Rep Andrea Stroh Thompson,Rep
COLL,146,PCT 146,4860,3233,0,1788,0,1445,Rep Andrea Stroh Thompson,Rep
COLL,147,PCT 147,2281,1409,0,775,0,634,Rep Andrea Stroh Thompson,Rep
COLL,148,PCT 148,1133,851,0,477,0,374,Rep Andrea Stroh Thompson,Rep
COLL,149,PCT 149,4656,3337,0,2071,0,1266,Rep Andrea Stroh Thompson,Rep
COLL,150,PCT 150,2024,1621,0,1070,0,551,Rep Andrea Stroh Thompson,Rep
COLL,151,PCT 151,1856,1296,0,718,0,578,Rep Andrea Stroh Thompson,Rep
COLL,152,PCT 152,231,119,0,55,0,64,Rep Andrea Stroh Thompson,Rep
COLL,153,PCT 153,1225,860,0,505,0,355,Rep Andrea Stroh Thompson,Rep
COLL,154,PCT 154,2771,2102,0,1617,0,485,Rep Andrea Stroh Thompson,Rep
COLL,155,PCT 155,3016,2129,1,1365,0,764,Rep Andrea Stroh Thompson,Rep
COLL,156,PCT 156,3797,2569,0,1489,0,1080,Rep Andrea Stroh Thompson,Rep
COLL,157,PCT 157,4358,3111,1,1756,0,1355,Rep Andrea Stroh Thompson,Rep
COLL,158,PCT 158,2851,1955,0,1043,0,912,Rep Andrea Stroh Thompson,Rep
COLL,159,PCT 159,3385,2049,1,1106,0,943,Rep Andrea Stroh Thompson,Rep
COLL,160,PCT 160,530,430,0,364,0,66,Rep Andrea Stroh Thompson,Rep
COLL,161,PCT 161,298,192,0,129,0,63,Rep Andrea Stroh Thompson,Rep
COLL,162,PCT 162,687,558,0,405,0,153,Rep Andrea Stroh Thompson,Rep
COLL,163,PCT 163,2188,1474,0,916,0,558,Rep Andrea Stroh Thompson,Rep
COLL,164,PCT 164,2330,1845,80,1026,0,819,Rep Andrea Stroh Thompson,Rep
COLL,165,PCT 165,972,736,0,494,0,242,Rep Andrea Stroh Thompson,Rep
COLL,166,PCT 166,4384,3051,0,1745,0,1306,Rep Andrea Stroh Thompson,Rep
COLL,167,PCT 167,2192,1501,0,762,0,740,Rep Andrea Stroh Thompson,Rep
COLL,168,PCT 168,1966,1418,0,991,0,427,Rep Andrea Stroh Thompson,Rep
COLL,169,PCT 169,3534,2485,2,1374,0,1111,Rep Andrea Stroh Thompson,Rep
COLL,170,PCT 170,1921,1364,0,880,0,484,Rep Andrea Stroh Thompson,Rep
COLL,171,PCT 171,2980,1965,0,1073,0,892,Rep Andrea Stroh Thompson,Rep
COLL,172,PCT 172,2941,2202,0,1552,0,650,Rep Andrea Stroh Thompson,Rep
COLL,173,PCT 173,645,492,0,340,0,152,Rep Andrea Stroh Thompson,Rep
COLL,174,PCT 174,4648,2951,2,1815,0,1136,Rep Andrea Stroh Thompson,Rep
COLL,175,PCT 175,2083,1492,1,948,0,544,Rep Andrea Stroh Thompson,Rep
COLL,176,PCT 176,4064,2194,0,1114,0,1080,Rep Andrea Stroh Thompson,Rep
COLL,177,PCT 177,3532,2228,0,1435,0,793,Rep Andrea Stroh Thompson,Rep
COLL,178,PCT 178,3375,2404,1,1760,0,644,Rep Andrea Stroh Thompson,Rep
COLL,179,PCT 179,4704,3766,0,2696,0,1070,Rep Andrea Stroh Thompson,Rep
COLL,180,PCT 180,3492,2359,1,1392,0,967,Rep Andrea Stroh Thompson,Rep
COLL,181,PCT 181,3166,2049,0,1352,0,697,Rep Andrea Stroh Thompson,Rep
COLL,182,PCT 182,4037,2765,1,1566,0,1199,Rep Andrea Stroh Thompson,Rep
COLL,183,PCT 183,171,120,0,82,0,38,Rep Andrea Stroh Thompson,Rep
COLL,184,PCT 184,3360,1910,0,1041,0,869,Rep Andrea Stroh Thompson,Rep
COLL,185,PCT 185,3352,2450,1,1664,0,786,Rep Andrea Stroh Thompson,Rep
COLL,186,PCT 186,764,536,0,441,0,95,Rep Andrea Stroh Thompson,Rep
COLL,187,PCT 187,1044,697,0,459,0,238,Rep Andrea Stroh Thompson,Rep
COLL,188,PCT 188,731,488,0,322,0,166,Rep Andrea Stroh Thompson,Rep
COLL,189,PCT 189,1473,1016,0,790,0,227,Rep Andrea Stroh Thompson,Rep
COLL,190,PCT 190,1038,802,0,612,0,190,Rep Andrea Stroh Thompson,Rep
COLL,191,PCT 191,967,582,1,379,0,203,Rep Andrea Stroh Thompson,Rep
COLL,192,PCT 192,4114,2896,0,2163,0,733,Rep Andrea Stroh Thompson,Rep
COLL,193,PCT 193,1341,896,0,672,0,224,Rep Andrea Stroh Thompson,Rep
COLL,194,PCT 194,3375,2400,0,1642,0,758,Rep Andrea Stroh Thompson,Rep
COLL,195,PCT 195,935,674,0,507,0,167,Rep Andrea Stroh Thompson,Rep
COLL,196,PCT 196,2001,1352,0,833,0,519,Rep Andrea Stroh Thompson,Rep
COLL,197,PCT 197,1270,858,0,450,0,408,Rep Andrea Stroh Thompson,Rep
COLL,198,PCT 198,2904,2327,0,1536,0,791,Rep Andrea Stroh Thompson,Rep
COLL,199,PCT 199,4135,3196,0,2336,0,860,Rep Andrea Stroh Thompson,Rep
COLL,200,PCT 200,2726,1894,0,1340,0,554,Rep Andrea Stroh Thompson,Rep
COLL,201,PCT 201,0,0,0,0,0,0,Rep Andrea Stroh Thompson,Rep
COLL,202,PCT 202,2,2,0,0,0,2,Rep Andrea Stroh Thompson,Rep
COLL,203,PCT 203,3182,2344,0,1502,0,842,Rep Andrea Stroh Thompson,Rep
COLL,204,PCT 204,354,282,0,196,0,86,Rep Andrea Stroh Thompson,Rep
COLL,205,PCT 205,4103,2879,2,1691,0,1188,Rep Andrea Stroh Thompson,Rep
COLL,206,PCT 206,2002,1431,0,930,0,501,Rep Andrea Stroh Thompson,Rep
COLL,207,PCT 207,4081,2925,1,1868,0,1057,Rep Andrea Stroh Thompson,Rep
COLL,208,PCT 208,4359,3323,0,2201,0,1122,Rep Andrea Stroh Thompson,Rep
COLL,209,PCT 209,172,125,0,81,0,44,Rep Andrea Stroh Thompson,Rep
COLL,210,PCT 210,1746,1290,0,653,0,637,Rep Andrea Stroh Thompson,Rep
COLL,211,PCT 211,3433,2455,0,1490,0,965,Rep Andrea Stroh Thompson,Rep
COLL,212,PCT 212,2600,1945,0,1139,0,806,Rep Andrea Stroh Thompson,Rep
COLL,213,PCT 213,3697,2611,0,1526,0,1085,Rep Andrea Stroh Thompson,Rep
COLL,214,PCT 214,3776,2920,0,2229,0,691,Rep Andrea Stroh Thompson,Rep
COLL,215,PCT 215,3503,2092,1,1325,0,767,Rep Andrea Stroh Thompson,Rep
COLL,216,PCT 216,4771,3565,0,2558,0,1007,Rep Andrea Stroh Thompson,Rep
COLL,217,PCT 217,3140,2190,1,1413,0,777,Rep Andrea Stroh Thompson,Rep
COLL,218,PCT 218,4297,3093,1,1805,0,1288,Rep Andrea Stroh Thompson,Rep
COLL,219,PCT 219,4559,3137,1,1757,0,1380,Rep Andrea Stroh Thompson,Rep
COLL,220,PCT 220,2465,1745,0,996,0,749,Rep Andrea Stroh Thompson,Rep
COLL,221,PCT 221,2053,1470,0,963,0,507,Rep Andrea Stroh Thompson,Rep
COLL,222,PCT 222,3965,2870,1,1613,0,1257,Rep Andrea Stroh Thompson,Rep
COLL,223,PCT 223,2501,1839,0,1079,0,760,Rep Andrea Stroh Thompson,Rep
COLL,224,PCT 224,3351,2568,1,1945,0,623,Rep Andrea Stroh Thompson,Rep
COLL,225,PCT 225,3945,2807,2,1582,0,1225,Rep Andrea Stroh Thompson,Rep
COLL,226,PCT 226,4404,2945,0,1602,0,1343,Rep Andrea Stroh Thompson,Rep
COLL,227,PCT 227,4468,3160,0,1868,0,1292,Rep Andrea Stroh Thompson,Rep
COLL,228,PCT 228,4845,3037,1,1746,0,1291,Rep Andrea Stroh Thompson,Rep
COLL,229,PCT 229,2259,1494,0,830,0,664,Rep Andrea Stroh Thompson,Rep
COLL,230,PCT 230,4953,3021,0,1626,0,1395,Rep Andrea Stroh Thompson,Rep
COLL,231,PCT 231,3938,2850,0,1744,0,1106,Rep Andrea Stroh Thompson,Rep
COLL,232,PCT 232,3850,2755,0,1714,0,1041,Rep Andrea Stroh Thompson,Rep
COLL,233,PCT 233,2089,1443,0,910,0,533,Rep Andrea Stroh Thompson,Rep
COLL,234,PCT 234,3351,2585,0,1461,0,1124,Rep Andrea Stroh Thompson,Rep
COLL,235,PCT 235,1916,1332,3,711,0,621,Rep Andrea Stroh Thompson,Rep
COLL,236,PCT 236,3015,2217,1,1425,0,792,Rep Andrea Stroh Thompson,Rep
COLL,237,PCT 237,2345,1522,3,862,0,660,Rep Andrea Stroh Thompson,Rep
COLL,238,PCT 238,4043,2583,0,1378,0,1205,Rep Andrea Stroh Thompson,Rep
COLL,239,PCT 239,4293,3051,0,2216,0,835,Rep Andrea Stroh Thompson,Rep
COLL,240,PCT 240,4358,3212,0,2343,0,869,Rep Andrea Stroh Thompson,Rep
COLL,241,PCT 241,1549,1115,0,634,0,481,Rep Andrea Stroh Thompson,Rep
COLL,242,PCT 242,3578,2604,0,1537,0,1067,Rep Andrea Stroh Thompson,Rep
COLL,243,PCT 243,1684,1272,0,923,0,349,Rep Andrea Stroh Thompson,Rep
COLL,244,PCT 244,3235,2337,0,1417,0,920,Rep Andrea Stroh Thompson,Rep
COLL,245,PCT 245,2764,1651,0,952,0,699,Rep Andrea Stroh Thompson,Rep
COLL,246,PCT 246,2859,2137,1,1250,0,887,Rep Andrea Stroh Thompson,Rep
COLL,247,PCT 247,2436,1876,0,1351,0,525,Rep Andrea Stroh Thompson,Rep
COLL,248,PCT 248,2328,1645,0,985,0,660,Rep Andrea Stroh Thompson,Rep
COLL,249,PCT 249,4743,3053,0,2027,0,1026,Rep Andrea Stroh Thompson,Rep
COLL,250,PCT 250,3886,3025,0,1751,0,1274,Rep Andrea Stroh Thompson,Rep
COLL,251,PCT 251,2568,1852,0,1291,0,561,Rep Andrea Stroh Thompson,Rep
COLL,252,PCT 252,3149,2338,0,1697,0,641,Rep Andrea Stroh Thompson,Rep
COLL,253,PCT 253,3111,2203,1,1258,0,945,Rep Andrea Stroh Thompson,Rep
COLL,254,PCT 254,1286,806,0,463,0,343,Rep Andrea Stroh Thompson,Rep
COLL,255,PCT 255,3292,2440,1,1686,0,754,Rep Andrea Stroh Thompson,Rep
COLL,256,PCT 256,767,540,0,403,0,137,Rep Andrea Stroh Thompson,Rep
COLL,257,PCT 257,1342,890,1,555,0,335,Rep Andrea Stroh Thompson,Rep
COLL,258,PCT 258,3045,2073,1,1029,0,1044,Rep Andrea Stroh Thompson,Rep
COLL,259,PCT 259,3698,2420,0,1434,0,986,Rep Andrea Stroh Thompson,Rep
COLL,260,PCT 260,438,319,0,244,0,74,Rep Andrea Stroh Thompson,Rep
COLL,261,PCT 261,3221,2306,0,1510,0,796,Rep Andrea Stroh Thompson,Rep
COLL,262,PCT 262,3038,2081,0,1055,0,1025,Rep Andrea Stroh Thompson,Rep
COLL,263,PCT 263,2055,1544,1,1096,0,448,Rep Andrea Stroh Thompson,Rep
COLL,264,PCT 264,3994,2746,0,1691,0,1055,Rep Andrea Stroh Thompson,Rep
COLL,265,PCT 265,0,0,0,0,0,0,Rep Andrea Stroh Thompson,Rep
COLL,266,PCT 266,62,42,0,21,0,21,Rep Andrea Stroh Thompson,Rep
COLL,267,PCT 267,19,13,0,6,0,7,Rep Andrea Stroh Thompson,Rep
COLL,268,PCT 268,0,0,0,0,0,0,Rep Andrea Stroh Thompson,Rep
COLL,269,PCT 269,0,0,0,0,0,0,Rep Andrea Stroh Thompson,Rep
COLL,270,PCT 270,2,1,0,1,0,0,Rep Andrea Stroh Thompson,Rep
COLL,271,PCT 271,1035,750,0,487,0,263,Rep Andrea Stroh Thompson,Rep
COLL,272,PCT 272,1,1,0,1,0,0,Rep Andrea Stroh Thompson,Rep
COLL,273,PCT 273,260,202,0,149,0,53,Rep Andrea Stroh Thompson,Rep
