COUNTY NUMBER,PRECINCT CODE,PRECINCT NAME,REGISTERED VOTERS TOTAL,BALLOTS CAST TOTAL,BALLOTS CAST BLANK,Write-in,Dem Colin Allred,Lib Ted Brown,Rep Ted Cruz,OVER VOTES,UNDER VOTES,Winning Candidate,Winning Party,pct_int
COLL,131,PCT 131,3151,2136,0,0,869,37,1204,0,26,Rep Ted Cruz,Rep,131
COLL,132,PCT 132,2874,2016,6,1,1167,47,776,0,25,Dem Colin Allred,Dem,132
COLL,133,PCT 133,2939,1791,0,0,824,45,883,0,39,Rep Ted Cruz,Rep,133
COLL,134,PCT 134,4149,2771,0,4,1453,59,1199,0,56,Dem Colin Allred,Dem,134
COLL,135,PCT 135,4286,2900,0,2,1570,69,1200,0,59,Dem Colin Allred,Dem,135
COLL,136,PCT 136,1978,1427,10,0,704,10,702,0,11,Dem Colin Allred,Dem,136
COLL,137,PCT 137,2004,1418,0,0,650,17,739,0,12,Rep Ted Cruz,Rep,137
COLL,138,PCT 138,2349,1774,0,2,946,36,769,0,21,Dem Colin Allred,Dem,138
COLL,139,PCT 139,4130,2721,0,3,1500,62,1100,0,56,Dem Colin Allred,Dem,139
COLL,140,PCT 140,4848,3591,0,2,1367,51,2134,0,37,Rep Ted Cruz,Rep,140
COLL,141,PCT 141,3514,2511,0,5,1308,55,1111,0,32,Dem Colin Allred,Dem,141
COLL,142,PCT 142,2797,2040,17,1,1104,36,873,0,26,Dem Colin Allred,Dem,142
COLL,143,PCT 143,2165,1543,0,2,727,26,772,0,16,Rep Ted Cruz,Rep,143
COLL,144,PCT 144,2956,2072,1,1,943,57,1044,0,27,Rep Ted Cruz,Rep,144
COLL,145,PCT 145,1780,1237,1,1,638,27,534,0,37,Dem Colin Allred,Dem,145
COLL,146,PCT 146,4860,3233,0,4,1605,56,1507,0,61,Dem Colin Allred,Dem,146
COLL,147,PCT 147,2281,1409,0,0,714,56,611,0,28,Dem Colin Allred,Dem,147
COLL,148,PCT 148,1133,851,0,1,393,51,383,0,23,Dem Colin Allred,Dem,148
COLL,149,PCT 149,4656,3337,0,0,1395,68,1812,0,62,Rep Ted Cruz,Rep,354
COLL,150,PCT 150,2024,1621,0,1,645,32,929,0,14,Rep Ted Cruz,Rep,62
COLL,151,PCT 151,1856,1296,0,1,682,29,551,0,33,Dem Colin Allred,Dem,151
COLL,152,PCT 152,231,119,0,0,84,3,29,0,3,pct_int,pct_int,152
COLL,153,PCT 153,1225,860,0,1,396,29,418,0,17,Rep Ted Cruz,Rep,35
COLL,154,PCT 154,2771,2102,0,3,496,28,1543,0,32,Rep Ted Cruz,Rep,154
COLL,155,PCT 155,3016,2129,1,2,901,31,1155,0,40,Rep Ted Cruz,Rep,155
COLL,156,PCT 156,3797,2569,0,5,1201,65,1250,0,48,Rep Ted Cruz,Rep,156
COLL,157,PCT 157,4358,3111,1,3,1603,65,1391,0,49,Dem Colin Allred,Dem,157
COLL,158,PCT 158,2851,1955,0,1,1042,60,791,0,61,Dem Colin Allred,Dem,158
COLL,159,PCT 159,3385,2049,1,1,1032,54,899,0,63,Dem Colin Allred,Dem,159
COLL,160,PCT 160,530,430,0,0,83,4,340,0,3,Rep Ted Cruz,Rep,160
COLL,161,PCT 161,298,192,0,0,60,4,126,0,2,pct_int,pct_int,161
COLL,162,PCT 162,687,558,0,0,180,10,362,0,6,Rep Ted Cruz,Rep,162
COLL,163,PCT 163,2188,1474,0,1,643,41,758,0,31,Rep Ted Cruz,Rep,163
