COUNTY NUMBER,PRECINCT CODE,PRECINCT NAME,REGISTERED VOTERS TOTAL,BALLOTS CAST TOTAL,BALLOTS CAST BLANK,Dem Chika Anyiam,Rep Lee Finley,OVER VOTES,UNDER VOTES,Winning Candidate,Winning Party
COLL,31,PCT 031,2067,1577,0,635,873,0,69,Rep Lee Finley,Rep
COLL,32,PCT 032,2504,1865,0,754,1000,0,111,Rep Lee Finley,Rep
COLL,33,PCT 033,3396,2414,1,710,1558,0,146,Rep Lee Finley,Rep
COLL,34,PCT 034,4401,3041,2,1519,1346,0,176,Dem Chika Anyiam,Dem
COLL,35,PCT 035,1861,1293,0,204,1013,0,76,Rep Lee Finley,Rep
COLL,36,PCT 036,1966,1503,14,484,938,0,81,Rep Lee Finley,Rep
COLL,37,PCT 037,2779,1966,0,275,1593,0,98,Rep Lee Finley,Rep
COLL,38,PCT 038,3899,2387,0,1100,1124,0,163,Rep Lee Finley,Rep
COLL,39,PCT 039,3035,1905,1,960,817,0,128,Dem Chika Anyiam,Dem
COLL,40,PCT 040,3639,2556,0,847,1561,0,148,Rep Lee Finley,Rep
COLL,41,PCT 041,1869,1386,0,414,907,0,66,Rep Lee Finley,Rep
COLL,42,PCT 042,2302,1548,0,350,1111,0,87,Rep Lee Finley,Rep
COLL,43,PCT 043,3543,2121,0,971,1006,0,144,Rep Lee Finley,Rep
COLL,44,PCT 044,1697,924,1,407,438,0,79,Rep Lee Finley,Rep
COLL,45,PCT 045,3501,2475,0,845,1490,0,140,Rep Lee Finley,Rep
COLL,46,PCT 046,3182,1797,1,928,727,0,142,Dem Chika Anyiam,Dem
COLL,47,PCT 047,2634,1822,1,890,836,0,96,Dem Chika Anyiam,Dem
COLL,48,PCT 048,3837,2712,0,1343,1239,0,130,Dem Chika Anyiam,Dem
COLL,49,PCT 049,2425,1806,0,722,960,0,124,Rep Lee Finley,Rep
COLL,50,PCT 050,3289,1773,1,963,656,0,154,Dem Chika Anyiam,Dem
COLL,51,PCT 051,1854,1006,0,521,398,0,87,Dem Chika Anyiam,Dem
COLL,52,PCT 052,4768,2909,2,1430,1117,0,362,Dem Chika Anyiam,Dem
COLL,53,PCT 053,2224,1662,0,742,841,0,79,Rep Lee Finley,Rep
COLL,54,PCT 054,3726,2254,1,1209,910,0,135,Dem Chika Anyiam,Dem
COLL,55,PCT 055,4272,2791,0,1611,928,0,252,Dem Chika Anyiam,Dem
COLL,56,PCT 056,3558,2429,2,836,1424,0,169,Rep Lee Finley,Rep
COLL,57,PCT 057,1581,1035,0,406,558,0,71,Rep Lee Finley,Rep
COLL,58,PCT 058,3671,2397,3,1165,1076,0,156,Dem Chika Anyiam,Dem
COLL,59,PCT 059,4034,2725,0,1000,1528,0,197,Rep Lee Finley,Rep
COLL,60,PCT 060,3282,2489,0,793,1543,0,153,Rep Lee Finley,Rep
COLL,61,PCT 061,1688,1214,0,498,655,0,61,Rep Lee Finley,Rep
COLL,62,PCT 062,2524,1721,1,853,757,0,110,Dem Chika Anyiam,Dem
COLL,63,PCT 063,2074,1604,0,623,901,0,80,Rep Lee Finley,Rep
COLL,64,PCT 064,2695,1840,0,818,897,0,125,Rep Lee Finley,Rep
COLL,65,PCT 065,1249,847,1,381,426,0,40,Rep Lee Finley,Rep
COLL,66,PCT 066,2197,1497,0,680,735,0,82,Rep Lee Finley,Rep
COLL,67,PCT 067,3003,1995,1,906,945,0,144,Rep Lee Finley,Rep
COLL,68,PCT 068,2042,1285,1,594,600,0,91,Rep Lee Finley,Rep
COLL,69,PCT 069,3878,2831,0,1223,1464,0,144,Rep Lee Finley,Rep
COLL,70,PCT 070,1912,1416,0,571,773,0,72,Rep Lee Finley,Rep
COLL,71,PCT 071,1812,1314,0,581,670,0,63,Rep Lee Finley,Rep
COLL,72,PCT 072,1732,1249,2,513,672,0,64,Rep Lee Finley,Rep
COLL,73,PCT 073,1936,1122,6,603,446,0,73,Dem Chika Anyiam,Dem
COLL,74,PCT 074,1988,1373,9,546,741,0,86,Rep Lee Finley,Rep
COLL,75,PCT 075,2381,1701,0,666,927,0,108,Rep Lee Finley,Rep
COLL,76,PCT 076,3331,2363,4,935,1279,0,149,Rep Lee Finley,Rep
COLL,77,PCT 077,3677,2432,0,1237,1046,0,148,Dem Chika Anyiam,Dem
COLL,78,PCT 078,4899,3053,2,1657,1205,0,191,Dem Chika Anyiam,Dem
COLL,79,PCT 079,2773,1660,17,672,858,0,130,Rep Lee Finley,Rep
COLL,80,PCT 080,3657,2509,0,1045,1290,0,174,Rep Lee Finley,Rep
COLL,81,PCT 081,2973,2031,1,967,932,0,132,Dem Chika Anyiam,Dem
COLL,82,PCT 082,3005,1870,0,864,892,0,114,Rep Lee Finley,Rep
COLL,83,PCT 083,4265,2914,1,894,1876,0,144,Rep Lee Finley,Rep
COLL,84,PCT 084,2541,1705,11,737,877,0,91,Rep Lee Finley,Rep
COLL,85,PCT 085,3423,2301,1,1199,954,0,148,Dem Chika Anyiam,Dem
COLL,86,PCT 086,3050,2194,0,935,1136,0,123,Rep Lee Finley,Rep
COLL,87,PCT 087,3486,2531,0,1228,1115,0,188,Dem Chika Anyiam,Dem
COLL,88,PCT 088,1661,726,7,449,236,0,41,Dem Chika Anyiam,Dem
COLL,89,PCT 089,3267,2264,0,1011,1101,0,152,Rep Lee Finley,Rep
COLL,90,PCT 090,3268,2400,0,803,1451,0,146,Rep Lee Finley,Rep
COLL,91,PCT 091,2325,1659,1,774,801,0,84,Rep Lee Finley,Rep
COLL,92,PCT 092,4619,2877,0,1299,1390,0,188,Rep Lee Finley,Rep
COLL,93,PCT 093,297,222,1,23,189,0,10,Rep Lee Finley,Rep
COLL,94,PCT 094,4318,3088,0,1463,1423,0,202,Dem Chika Anyiam,Dem
COLL,95,PCT 095,3171,2237,0,953,1118,0,166,Rep Lee Finley,Rep
COLL,96,PCT 096,1509,782,0,307,423,0,52,Rep Lee Finley,Rep
COLL,97,PCT 097,1344,1070,0,266,740,0,64,Rep Lee Finley,Rep
COLL,98,PCT 098,1618,1019,0,391,559,0,69,Rep Lee Finley,Rep
COLL,99,PCT 099,403,257,0,135,100,0,22,Dem Chika Anyiam,Dem
COLL,100,PCT 100,1545,1024,0,323,633,0,68,Rep Lee Finley,Rep
COLL,101,PCT 101,4300,2865,0,1198,1511,0,156,Rep Lee Finley,Rep
COLL,102,PCT 102,2555,1957,0,595,1264,0,98,Rep Lee Finley,Rep
COLL,103,PCT 103,1419,810,0,399,347,0,64,Dem Chika Anyiam,Dem
COLL,104,PCT 104,2426,1167,4,715,389,0,63,Dem Chika Anyiam,Dem
COLL,105,PCT 105,173,115,0,68,40,0,7,Dem Chika Anyiam,Dem
COLL,106,PCT 106,1869,1255,1,570,621,0,64,Rep Lee Finley,Rep
COLL,107,PCT 107,3373,2417,0,1135,1131,0,151,Dem Chika Anyiam,Dem
COLL,108,PCT 108,2997,2047,1,988,927,0,132,Dem Chika Anyiam,Dem
COLL,109,PCT 109,4859,3312,0,1245,1860,0,207,Rep Lee Finley,Rep
COLL,110,PCT 110,2816,1947,1,846,980,0,121,Rep Lee Finley,Rep
COLL,111,PCT 111,3096,2183,0,630,1432,0,121,Rep Lee Finley,Rep
COLL,112,PCT 112,3166,2322,0,983,1180,0,159,Rep Lee Finley,Rep
COLL,113,PCT 113,3351,2087,0,935,1023,0,129,Rep Lee Finley,Rep
COLL,114,PCT 114,4252,3062,0,1115,1749,0,198,Rep Lee Finley,Rep
COLL,115,PCT 115,2995,2123,15,993,995,0,135,Rep Lee Finley,Rep
COLL,116,PCT 116,5006,3553,1,1446,1892,0,215,Rep Lee Finley,Rep
COLL,117,PCT 117,4426,2934,2,1245,1476,0,213,Rep Lee Finley,Rep
COLL,118,PCT 118,4297,2996,0,1101,1679,0,216,Rep Lee Finley,Rep
COLL,119,PCT 119,2398,1696,2,728,873,0,95,Rep Lee Finley,Rep
COLL,120,PCT 120,3653,2693,0,969,1566,0,158,Rep Lee Finley,Rep
COLL,121,PCT 121,2892,1952,1,1010,829,0,113,Dem Chika Anyiam,Dem
COLL,122,PCT 122,4972,3708,1,1088,2406,0,214,Rep Lee Finley,Rep
COLL,123,PCT 123,2078,1458,0,579,817,0,62,Rep Lee Finley,Rep
COLL,124,PCT 124,3288,2171,1,983,1053,0,135,Rep Lee Finley,Rep
COLL,125,PCT 125,2250,1532,0,757,647,0,127,Dem Chika Anyiam,Dem
COLL,126,PCT 126,4969,3443,0,1440,1779,0,224,Rep Lee Finley,Rep
COLL,127,PCT 127,3929,2671,1,1154,1316,0,201,Rep Lee Finley,Rep
COLL,128,PCT 128,3137,2395,0,513,1757,0,125,Rep Lee Finley,Rep
COLL,129,PCT 129,4643,3072,0,1226,1652,0,194,Rep Lee Finley,Rep
COLL,130,PCT 130,3972,2813,1,1243,1374,0,196,Rep Lee Finley,Rep
COLL,131,PCT 131,3151,2136,0,706,1284,0,146,Rep Lee Finley,Rep
COLL,132,PCT 132,2874,2016,6,1041,878,0,97,Dem Chika Anyiam,Dem
COLL,133,PCT 133,2939,1791,0,697,969,0,125,Rep Lee Finley,Rep
COLL,134,PCT 134,4149,2771,0,1266,1312,0,193,Rep Lee Finley,Rep
COLL,135,PCT 135,4286,2900,0,1380,1325,0,195,Dem Chika Anyiam,Dem
COLL,136,PCT 136,1978,1427,10,617,748,0,62,Rep Lee Finley,Rep
COLL,137,PCT 137,2004,1418,0,530,824,0,64,Rep Lee Finley,Rep
COLL,138,PCT 138,2349,1774,0,820,849,0,105,Rep Lee Finley,Rep
COLL,139,PCT 139,4130,2721,0,1319,1218,0,184,Dem Chika Anyiam,Dem
COLL,140,PCT 140,4848,3591,0,1109,2296,0,186,Rep Lee Finley,Rep
COLL,141,PCT 141,3514,2511,0,1145,1225,0,141,Rep Lee Finley,Rep
COLL,142,PCT 142,2797,2040,17,932,969,0,139,Rep Lee Finley,Rep
COLL,143,PCT 143,2165,1543,0,603,863,0,77,Rep Lee Finley,Rep
COLL,144,PCT 144,2956,2072,1,795,1125,0,152,Rep Lee Finley,Rep
COLL,145,PCT 145,1780,1237,1,561,589,0,87,Rep Lee Finley,Rep
COLL,146,PCT 146,4860,3233,0,1390,1613,0,230,Rep Lee Finley,Rep
COLL,147,PCT 147,2281,1409,0,635,682,0,92,Rep Lee Finley,Rep
COLL,148,PCT 148,1133,851,0,304,444,0,103,Rep Lee Finley,Rep
COLL,149,PCT 149,4656,3337,0,1210,1945,0,182,Rep Lee Finley,Rep
COLL,150,PCT 150,2024,1621,0,550,995,0,76,Rep Lee Finley,Rep
COLL,151,PCT 151,1856,1296,0,596,613,0,87,Rep Lee Finley,Rep
COLL,152,PCT 152,231,119,0,73,40,0,6,Dem Chika Anyiam,Dem
COLL,153,PCT 153,1225,860,0,330,467,0,63,Rep Lee Finley,Rep
COLL,154,PCT 154,2771,2102,0,409,1594,0,99,Rep Lee Finley,Rep
COLL,155,PCT 155,3016,2129,1,772,1244,0,113,Rep Lee Finley,Rep
COLL,156,PCT 156,3797,2569,0,1014,1371,0,184,Rep Lee Finley,Rep
COLL,157,PCT 157,4358,3111,1,1361,1572,0,178,Rep Lee Finley,Rep
COLL,158,PCT 158,2851,1955,0,928,880,0,147,Dem Chika Anyiam,Dem
COLL,159,PCT 159,3385,2049,1,886,999,0,164,Rep Lee Finley,Rep
COLL,160,PCT 160,530,430,0,60,358,0,12,Rep Lee Finley,Rep
COLL,161,PCT 161,298,192,0,52,129,0,11,Rep Lee Finley,Rep
COLL,162,PCT 162,687,558,0,152,383,0,23,Rep Lee Finley,Rep
COLL,163,PCT 163,2188,1474,0,559,812,0,103,Rep Lee Finley,Rep
COLL,164,PCT 164,2330,1845,80,714,962,0,169,Rep Lee Finley,Rep
COLL,165,PCT 165,972,736,0,215,474,0,47,Rep Lee Finley,Rep
COLL,166,PCT 166,4384,3051,0,1230,1571,0,250,Rep Lee Finley,Rep
COLL,167,PCT 167,2192,1501,0,748,659,0,94,Dem Chika Anyiam,Dem
COLL,168,PCT 168,1966,1418,0,367,967,0,84,Rep Lee Finley,Rep
COLL,169,PCT 169,3534,2485,2,1099,1228,0,158,Rep Lee Finley,Rep
COLL,170,PCT 170,1921,1364,0,452,821,0,91,Rep Lee Finley,Rep
COLL,171,PCT 171,2980,1965,0,841,953,0,171,Rep Lee Finley,Rep
COLL,172,PCT 172,2941,2202,0,636,1472,0,94,Rep Lee Finley,Rep
COLL,173,PCT 173,645,492,0,131,330,0,31,Rep Lee Finley,Rep
COLL,174,PCT 174,4648,2951,2,1096,1668,0,187,Rep Lee Finley,Rep
COLL,175,PCT 175,2083,1492,1,495,901,0,96,Rep Lee Finley,Rep
COLL,176,PCT 176,4064,2194,0,1090,966,0,138,Dem Chika Anyiam,Dem
COLL,177,PCT 177,3532,2228,0,782,1318,0,128,Rep Lee Finley,Rep
COLL,178,PCT 178,3375,2404,1,595,1701,0,108,Rep Lee Finley,Rep
COLL,179,PCT 179,4704,3766,0,924,2634,0,208,Rep Lee Finley,Rep
COLL,180,PCT 180,3492,2359,1,947,1254,0,158,Rep Lee Finley,Rep
COLL,181,PCT 181,3166,2049,0,687,1243,0,119,Rep Lee Finley,Rep
COLL,182,PCT 182,4037,2765,1,1140,1433,0,192,Rep Lee Finley,Rep
COLL,183,PCT 183,171,120,0,25,86,0,9,Rep Lee Finley,Rep
COLL,184,PCT 184,3360,1910,0,910,882,0,118,Dem Chika Anyiam,Dem
COLL,185,PCT 185,3352,2450,1,752,1570,0,128,Rep Lee Finley,Rep
COLL,186,PCT 186,764,536,0,54,450,0,32,Rep Lee Finley,Rep
COLL,187,PCT 187,1044,697,0,236,425,0,37,Rep Lee Finley,Rep
COLL,188,PCT 188,731,488,0,165,297,0,26,Rep Lee Finley,Rep
COLL,189,PCT 189,1473,1016,0,178,784,0,54,Rep Lee Finley,Rep
COLL,190,PCT 190,1038,802,0,168,599,0,35,Rep Lee Finley,Rep
COLL,191,PCT 191,967,582,1,186,354,0,42,Rep Lee Finley,Rep
COLL,192,PCT 192,4114,2896,0,639,2079,1,177,Rep Lee Finley,Rep
COLL,193,PCT 193,1341,896,0,177,664,0,55,Rep Lee Finley,Rep
COLL,194,PCT 194,3375,2400,0,706,1549,0,145,Rep Lee Finley,Rep
COLL,195,PCT 195,935,674,0,135,495,0,44,Rep Lee Finley,Rep
COLL,196,PCT 196,2001,1352,0,514,748,0,90,Rep Lee Finley,Rep
COLL,197,PCT 197,1270,858,0,417,383,0,58,Dem Chika Anyiam,Dem
COLL,198,PCT 198,2904,2327,0,790,1429,0,108,Rep Lee Finley,Rep
COLL,199,PCT 199,4135,3196,0,807,2237,0,152,Rep Lee Finley,Rep
COLL,200,PCT 200,2726,1894,0,522,1268,0,104,Rep Lee Finley,Rep
COLL,201,PCT 201,0,0,0,0,0,0,0,Dem Chika Anyiam,Dem
COLL,202,PCT 202,2,2,0,2,0,0,0,Dem Chika Anyiam,Dem
COLL,203,PCT 203,3182,2344,0,722,1484,0,138,Rep Lee Finley,Rep
COLL,204,PCT 204,354,282,0,94,173,0,15,Rep Lee Finley,Rep
COLL,205,PCT 205,4103,2879,2,1105,1565,0,209,Rep Lee Finley,Rep
COLL,206,PCT 206,2002,1431,0,482,880,0,69,Rep Lee Finley,Rep
COLL,207,PCT 207,4081,2925,1,1016,1747,0,162,Rep Lee Finley,Rep
COLL,208,PCT 208,4359,3323,0,1067,2054,0,202,Rep Lee Finley,Rep
COLL,209,PCT 209,172,125,0,45,73,0,7,Rep Lee Finley,Rep
COLL,210,PCT 210,1746,1290,0,606,571,0,113,Dem Chika Anyiam,Dem
COLL,211,PCT 211,3433,2455,0,891,1388,0,176,Rep Lee Finley,Rep
COLL,212,PCT 212,2600,1945,0,808,994,0,143,Rep Lee Finley,Rep
COLL,213,PCT 213,3697,2611,0,1103,1331,0,177,Rep Lee Finley,Rep
COLL,214,PCT 214,3776,2920,0,612,2181,0,127,Rep Lee Finley,Rep
COLL,215,PCT 215,3503,2092,1,690,1245,0,157,Rep Lee Finley,Rep
COLL,216,PCT 216,4771,3565,0,942,2434,0,189,Rep Lee Finley,Rep
COLL,217,PCT 217,3140,2190,1,757,1307,0,126,Rep Lee Finley,Rep
COLL,218,PCT 218,4297,3093,1,1318,1602,0,173,Rep Lee Finley,Rep
COLL,219,PCT 219,4559,3137,1,1413,1531,0,193,Rep Lee Finley,Rep
COLL,220,PCT 220,2465,1745,0,801,828,0,116,Rep Lee Finley,Rep
COLL,221,PCT 221,2053,1470,0,460,916,0,93,Rep Lee Finley,Rep
COLL,222,PCT 222,3965,2870,1,1266,1442,0,162,Rep Lee Finley,Rep
COLL,223,PCT 223,2501,1839,0,789,961,0,89,Rep Lee Finley,Rep
COLL,224,PCT 224,3351,2568,1,571,1889,0,108,Rep Lee Finley,Rep
COLL,225,PCT 225,3945,2807,2,1293,1315,0,199,Rep Lee Finley,Rep
COLL,226,PCT 226,4404,2945,0,1318,1445,0,182,Rep Lee Finley,Rep
COLL,227,PCT 227,4468,3160,0,1245,1703,0,212,Rep Lee Finley,Rep
COLL,228,PCT 228,4845,3037,1,1286,1539,0,213,Rep Lee Finley,Rep
COLL,229,PCT 229,2259,1494,0,680,730,0,84,Rep Lee Finley,Rep
COLL,230,PCT 230,4953,3021,0,1377,1434,0,210,Rep Lee Finley,Rep
COLL,231,PCT 231,3938,2850,0,1125,1567,0,158,Rep Lee Finley,Rep
COLL,232,PCT 232,3850,2755,0,1006,1589,0,160,Rep Lee Finley,Rep
COLL,233,PCT 233,2089,1443,0,500,848,0,95,Rep Lee Finley,Rep
COLL,234,PCT 234,3351,2585,0,1239,1204,0,142,Dem Chika Anyiam,Dem
COLL,235,PCT 235,1916,1332,3,640,614,0,78,Dem Chika Anyiam,Dem
COLL,236,PCT 236,3015,2217,1,725,1368,0,124,Rep Lee Finley,Rep
COLL,237,PCT 237,2345,1522,3,627,773,0,122,Rep Lee Finley,Rep
COLL,238,PCT 238,4043,2583,0,1243,1178,0,162,Dem Chika Anyiam,Dem
COLL,239,PCT 239,4293,3051,0,770,2123,0,158,Rep Lee Finley,Rep
COLL,240,PCT 240,4358,3212,0,801,2237,0,174,Rep Lee Finley,Rep
COLL,241,PCT 241,1549,1115,0,446,579,0,90,Rep Lee Finley,Rep
COLL,242,PCT 242,3578,2604,0,1045,1402,0,157,Rep Lee Finley,Rep
COLL,243,PCT 243,1684,1272,0,335,874,0,63,Rep Lee Finley,Rep
COLL,244,PCT 244,3235,2337,0,890,1299,0,148,Rep Lee Finley,Rep
COLL,245,PCT 245,2764,1651,0,677,860,0,114,Rep Lee Finley,Rep
COLL,246,PCT 246,2859,2137,1,859,1155,0,123,Rep Lee Finley,Rep
COLL,247,PCT 247,2436,1876,0,482,1306,0,88,Rep Lee Finley,Rep
COLL,248,PCT 248,2328,1645,0,666,867,0,112,Rep Lee Finley,Rep
COLL,249,PCT 249,4743,3053,0,1005,1881,0,167,Rep Lee Finley,Rep
COLL,250,PCT 250,3886,3025,0,1391,1417,0,217,Rep Lee Finley,Rep
COLL,251,PCT 251,2568,1852,0,547,1213,0,92,Rep Lee Finley,Rep
COLL,252,PCT 252,3149,2338,0,595,1613,0,130,Rep Lee Finley,Rep
COLL,253,PCT 253,3111,2203,1,1011,1045,0,147,Rep Lee Finley,Rep
COLL,254,PCT 254,1286,806,0,341,408,0,56,Rep Lee Finley,Rep
COLL,255,PCT 255,3292,2440,1,728,1596,0,115,Rep Lee Finley,Rep
COLL,256,PCT 256,767,540,0,119,388,0,33,Rep Lee Finley,Rep
COLL,257,PCT 257,1342,890,1,334,501,0,56,Rep Lee Finley,Rep
COLL,258,PCT 258,3045,2073,1,1025,877,0,172,Dem Chika Anyiam,Dem
COLL,259,PCT 259,3698,2420,0,949,1306,0,165,Rep Lee Finley,Rep
COLL,260,PCT 260,438,319,0,56,245,0,17,Rep Lee Finley,Rep
COLL,261,PCT 261,3221,2306,0,722,1438,0,147,Rep Lee Finley,Rep
COLL,262,PCT 262,3038,2081,0,1037,914,0,130,Dem Chika Anyiam,Dem
COLL,263,PCT 263,2055,1544,1,434,1028,0,82,Rep Lee Finley,Rep
COLL,264,PCT 264,3994,2746,0,1016,1574,0,155,Rep Lee Finley,Rep
COLL,265,PCT 265,0,0,0,0,0,0,0,Dem Chika Anyiam,Dem
COLL,266,PCT 266,62,42,0,21,19,0,3,Dem Chika Anyiam,Dem
COLL,267,PCT 267,19,13,0,7,5,0,1,Dem Chika Anyiam,Dem
COLL,268,PCT 268,0,0,0,0,0,0,0,Dem Chika Anyiam,Dem
COLL,269,PCT 269,0,0,0,0,0,0,0,Dem Chika Anyiam,Dem
COLL,270,PCT 270,2,1,0,0,1,0,0,Rep Lee Finley,Rep
COLL,271,PCT 271,1035,750,0,271,439,0,40,Rep Lee Finley,Rep
COLL,272,PCT 272,1,1,0,0,0,0,0,Dem Chika Anyiam,Dem
COLL,273,PCT 273,260,202,0,53,142,0,7,Rep Lee Finley,Rep
