COUNTY NUMBER,PRECINCT CODE,PRECINCT NAME,REGISTERED VOTERS TOTAL,BALLOTS CAST TOTAL,BALLOTS CAST BLANK,Rep Andrea Bouressa,OVER VOTES,UNDER VOTES,Winning Candidate,Winning Party
COLL,29,PCT 029,3332,2504,1,1770,0,734,Rep Andrea Bouressa,Rep
COLL,30,PCT 030,1024,704,0,433,0,271,Rep Andrea Bouressa,Rep
COLL,31,PCT 031,2067,1577,0,937,0,640,Rep Andrea Bouressa,Rep
COLL,32,PCT 032,2504,1865,0,1082,0,783,Rep Andrea Bouressa,Rep
COLL,33,PCT 033,3396,2414,1,1653,0,762,Rep Andrea Bouressa,Rep
COLL,34,PCT 034,4401,3041,2,1543,0,1498,Rep Andrea Bouressa,Rep
COLL,35,PCT 035,1861,1293,0,1013,0,280,Rep Andrea Bouressa,Rep
COLL,36,PCT 036,1966,1503,14,973,0,530,Rep Andrea Bouressa,Rep
COLL,37,PCT 037,2779,1966,0,1601,0,365,Rep Andrea Bouressa,Rep
COLL,38,PCT 038,3899,2387,0,1287,0,1100,Rep Andrea Bouressa,Rep
COLL,39,PCT 039,3035,1905,1,918,0,987,Rep Andrea Bouressa,Rep
COLL,40,PCT 040,3639,2556,0,1663,0,893,Rep Andrea Bouressa,Rep
COLL,41,PCT 041,1869,1386,0,959,0,426,Rep Andrea Bouressa,Rep
COLL,42,PCT 042,2302,1548,0,1151,0,397,Rep Andrea Bouressa,Rep
COLL,43,PCT 043,3543,2121,0,1148,0,973,Rep Andrea Bouressa,Rep
COLL,44,PCT 044,1697,924,1,498,0,426,Rep Andrea Bouressa,Rep
COLL,45,PCT 045,3501,2475,0,1601,0,874,Rep Andrea Bouressa,Rep
COLL,46,PCT 046,3182,1797,1,850,0,947,Rep Andrea Bouressa,Rep
COLL,47,PCT 047,2634,1822,1,926,0,896,Rep Andrea Bouressa,Rep
COLL,48,PCT 048,3837,2712,0,1430,0,1282,Rep Andrea Bouressa,Rep
COLL,49,PCT 049,2425,1806,0,1020,0,786,Rep Andrea Bouressa,Rep
COLL,50,PCT 050,3289,1773,1,785,0,988,Rep Andrea Bouressa,Rep
COLL,51,PCT 051,1854,1006,0,483,0,523,Rep Andrea Bouressa,Rep
COLL,52,PCT 052,4768,2909,2,1329,0,1580,Rep Andrea Bouressa,Rep
COLL,53,PCT 053,2224,1662,0,931,0,731,Rep Andrea Bouressa,Rep
COLL,54,PCT 054,3726,2254,1,1097,0,1157,Rep Andrea Bouressa,Rep
COLL,55,PCT 055,4272,2791,0,1210,0,1581,Rep Andrea Bouressa,Rep
COLL,56,PCT 056,3558,2429,2,1520,0,909,Rep Andrea Bouressa,Rep
COLL,57,PCT 057,1581,1035,0,613,0,422,Rep Andrea Bouressa,Rep
COLL,58,PCT 058,3671,2397,3,1202,0,1195,Rep Andrea Bouressa,Rep
COLL,59,PCT 059,4034,2725,0,1616,0,1109,Rep Andrea Bouressa,Rep
COLL,60,PCT 060,3282,2489,0,1628,0,861,Rep Andrea Bouressa,Rep
COLL,61,PCT 061,1688,1214,0,730,0,484,Rep Andrea Bouressa,Rep
COLL,62,PCT 062,2524,1721,1,853,0,868,Rep Andrea Bouressa,Rep
COLL,63,PCT 063,2074,1604,0,959,0,645,Rep Andrea Bouressa,Rep
COLL,64,PCT 064,2695,1840,0,982,0,858,Rep Andrea Bouressa,Rep
COLL,65,PCT 065,1249,847,1,451,0,396,Rep Andrea Bouressa,Rep
COLL,66,PCT 066,2197,1497,0,831,0,666,Rep Andrea Bouressa,Rep
COLL,67,PCT 067,3003,1995,1,1068,0,927,Rep Andrea Bouressa,Rep
COLL,68,PCT 068,2042,1285,1,644,0,641,Rep Andrea Bouressa,Rep
COLL,69,PCT 069,3878,2831,0,1596,0,1235,Rep Andrea Bouressa,Rep
COLL,70,PCT 070,1912,1416,0,842,0,574,Rep Andrea Bouressa,Rep
COLL,71,PCT 071,1812,1314,0,737,0,577,Rep Andrea Bouressa,Rep
COLL,72,PCT 072,1732,1249,2,736,0,513,Rep Andrea Bouressa,Rep
COLL,73,PCT 073,1936,1122,6,531,0,591,Rep Andrea Bouressa,Rep
COLL,74,PCT 074,1988,1373,9,778,0,595,Rep Andrea Bouressa,Rep
COLL,75,PCT 075,2381,1701,0,1013,0,688,Rep Andrea Bouressa,Rep
COLL,76,PCT 076,3331,2363,4,1371,0,992,Rep Andrea Bouressa,Rep
COLL,77,PCT 077,3677,2432,0,1224,0,1208,Rep Andrea Bouressa,Rep
COLL,78,PCT 078,4899,3053,2,1477,0,1576,Rep Andrea Bouressa,Rep
COLL,79,PCT 079,2773,1660,17,909,0,751,Rep Andrea Bouressa,Rep
COLL,80,PCT 080,3657,2509,0,1389,0,1120,Rep Andrea Bouressa,Rep
COLL,81,PCT 081,2973,2031,1,1048,0,983,Rep Andrea Bouressa,Rep
COLL,82,PCT 082,3005,1870,0,1006,0,864,Rep Andrea Bouressa,Rep
COLL,83,PCT 083,4265,2914,1,1923,0,991,Rep Andrea Bouressa,Rep
COLL,84,PCT 084,2541,1705,11,971,0,734,Rep Andrea Bouressa,Rep
COLL,85,PCT 085,3423,2301,1,1119,0,1182,Rep Andrea Bouressa,Rep
COLL,86,PCT 086,3050,2194,0,1243,0,951,Rep Andrea Bouressa,Rep
COLL,87,PCT 087,3486,2531,0,1418,0,1113,Rep Andrea Bouressa,Rep
COLL,88,PCT 088,1661,726,7,319,0,407,Rep Andrea Bouressa,Rep
COLL,89,PCT 089,3267,2264,0,1231,0,1033,Rep Andrea Bouressa,Rep
COLL,90,PCT 090,3268,2400,0,1555,0,845,Rep Andrea Bouressa,Rep
COLL,91,PCT 091,2325,1659,1,861,0,798,Rep Andrea Bouressa,Rep
COLL,92,PCT 092,4619,2877,0,1557,0,1320,Rep Andrea Bouressa,Rep
COLL,93,PCT 093,297,222,1,188,0,34,Rep Andrea Bouressa,Rep
COLL,94,PCT 094,4318,3088,0,1615,0,1473,Rep Andrea Bouressa,Rep
COLL,95,PCT 095,3171,2237,0,1225,0,1012,Rep Andrea Bouressa,Rep
COLL,96,PCT 096,1509,782,0,453,0,329,Rep Andrea Bouressa,Rep
COLL,97,PCT 097,1344,1070,0,753,0,317,Rep Andrea Bouressa,Rep
COLL,98,PCT 098,1618,1019,0,593,0,426,Rep Andrea Bouressa,Rep
COLL,99,PCT 099,403,257,0,127,0,130,Rep Andrea Bouressa,Rep
COLL,100,PCT 100,1545,1024,0,666,0,358,Rep Andrea Bouressa,Rep
COLL,101,PCT 101,4300,2865,0,1674,0,1191,Rep Andrea Bouressa,Rep
COLL,102,PCT 102,2555,1957,0,1322,0,635,Rep Andrea Bouressa,Rep
COLL,103,PCT 103,1419,810,0,407,0,403,Rep Andrea Bouressa,Rep
COLL,104,PCT 104,2426,1167,4,498,0,669,Rep Andrea Bouressa,Rep
COLL,105,PCT 105,173,115,0,53,0,62,Rep Andrea Bouressa,Rep
COLL,106,PCT 106,1869,1255,1,701,0,554,Rep Andrea Bouressa,Rep
COLL,107,PCT 107,3373,2417,0,1275,0,1142,Rep Andrea Bouressa,Rep
COLL,108,PCT 108,2997,2047,1,1040,0,1007,Rep Andrea Bouressa,Rep
COLL,109,PCT 109,4859,3312,0,2028,0,1284,Rep Andrea Bouressa,Rep
COLL,110,PCT 110,2816,1947,1,1099,0,848,Rep Andrea Bouressa,Rep
COLL,111,PCT 111,3096,2183,0,1508,0,675,Rep Andrea Bouressa,Rep
COLL,112,PCT 112,3166,2322,0,1310,0,1012,Rep Andrea Bouressa,Rep
COLL,113,PCT 113,3351,2087,0,1179,0,908,Rep Andrea Bouressa,Rep
COLL,114,PCT 114,4252,3062,0,1934,0,1128,Rep Andrea Bouressa,Rep
COLL,115,PCT 115,2995,2123,15,1110,0,1013,Rep Andrea Bouressa,Rep
COLL,116,PCT 116,5006,3553,1,2130,0,1423,Rep Andrea Bouressa,Rep
COLL,117,PCT 117,4426,2934,2,1645,0,1289,Rep Andrea Bouressa,Rep
COLL,118,PCT 118,4297,2996,0,1773,0,1223,Rep Andrea Bouressa,Rep
COLL,119,PCT 119,2398,1696,2,957,0,739,Rep Andrea Bouressa,Rep
COLL,120,PCT 120,3653,2693,0,1667,0,1026,Rep Andrea Bouressa,Rep
COLL,121,PCT 121,2892,1952,1,986,0,966,Rep Andrea Bouressa,Rep
COLL,122,PCT 122,4972,3708,1,2471,0,1237,Rep Andrea Bouressa,Rep
COLL,123,PCT 123,2078,1458,0,858,0,600,Rep Andrea Bouressa,Rep
COLL,124,PCT 124,3288,2171,1,1143,0,1028,Rep Andrea Bouressa,Rep
COLL,125,PCT 125,2250,1532,0,753,0,778,Rep Andrea Bouressa,Rep
COLL,126,PCT 126,4969,3443,0,2003,0,1440,Rep Andrea Bouressa,Rep
COLL,127,PCT 127,3929,2671,1,1463,0,1208,Rep Andrea Bouressa,Rep
COLL,128,PCT 128,3137,2395,0,1785,0,610,Rep Andrea Bouressa,Rep
COLL,129,PCT 129,4643,3072,0,1799,0,1273,Rep Andrea Bouressa,Rep
COLL,130,PCT 130,3972,2813,1,1510,0,1303,Rep Andrea Bouressa,Rep
COLL,131,PCT 131,3151,2136,0,1356,0,780,Rep Andrea Bouressa,Rep
COLL,132,PCT 132,2874,2016,6,1000,0,1016,Rep Andrea Bouressa,Rep
COLL,133,PCT 133,2939,1791,0,1056,0,735,Rep Andrea Bouressa,Rep
COLL,134,PCT 134,4149,2771,0,1523,0,1248,Rep Andrea Bouressa,Rep
COLL,135,PCT 135,4286,2900,0,1527,0,1373,Rep Andrea Bouressa,Rep
COLL,136,PCT 136,1978,1427,10,818,0,609,Rep Andrea Bouressa,Rep
COLL,137,PCT 137,2004,1418,0,897,0,521,Rep Andrea Bouressa,Rep
COLL,138,PCT 138,2349,1774,0,956,0,818,Rep Andrea Bouressa,Rep
COLL,139,PCT 139,4130,2721,0,1416,0,1305,Rep Andrea Bouressa,Rep
COLL,140,PCT 140,4848,3591,0,2402,0,1189,Rep Andrea Bouressa,Rep
COLL,141,PCT 141,3514,2511,0,1393,0,1118,Rep Andrea Bouressa,Rep
COLL,142,PCT 142,2797,2040,17,1094,0,946,Rep Andrea Bouressa,Rep
COLL,143,PCT 143,2165,1543,0,928,0,615,Rep Andrea Bouressa,Rep
COLL,144,PCT 144,2956,2072,1,1193,0,879,Rep Andrea Bouressa,Rep
COLL,145,PCT 145,1780,1237,1,666,0,571,Rep Andrea Bouressa,Rep
COLL,146,PCT 146,4860,3233,0,1793,0,1440,Rep Andrea Bouressa,Rep
COLL,147,PCT 147,2281,1409,0,773,0,636,Rep Andrea Bouressa,Rep
COLL,148,PCT 148,1133,851,0,470,0,381,Rep Andrea Bouressa,Rep
COLL,149,PCT 149,4656,3337,0,2070,0,1267,Rep Andrea Bouressa,Rep
COLL,150,PCT 150,2024,1621,0,1073,0,548,Rep Andrea Bouressa,Rep
COLL,151,PCT 151,1856,1296,0,717,0,579,Rep Andrea Bouressa,Rep
COLL,152,PCT 152,231,119,0,56,0,63,Rep Andrea Bouressa,Rep
COLL,153,PCT 153,1225,860,0,505,0,354,Rep Andrea Bouressa,Rep
COLL,154,PCT 154,2771,2102,0,1626,0,476,Rep Andrea Bouressa,Rep
COLL,155,PCT 155,3016,2129,1,1359,0,770,Rep Andrea Bouressa,Rep
COLL,156,PCT 156,3797,2569,0,1478,0,1091,Rep Andrea Bouressa,Rep
COLL,157,PCT 157,4358,3111,1,1761,0,1350,Rep Andrea Bouressa,Rep
COLL,158,PCT 158,2851,1955,0,1040,0,915,Rep Andrea Bouressa,Rep
COLL,159,PCT 159,3385,2049,1,1098,0,951,Rep Andrea Bouressa,Rep
COLL,160,PCT 160,530,430,0,362,0,68,Rep Andrea Bouressa,Rep
COLL,161,PCT 161,298,192,0,129,0,63,Rep Andrea Bouressa,Rep
COLL,162,PCT 162,687,558,0,404,0,154,Rep Andrea Bouressa,Rep
COLL,163,PCT 163,2188,1474,0,918,0,556,Rep Andrea Bouressa,Rep
COLL,164,PCT 164,2330,1845,80,1027,0,818,Rep Andrea Bouressa,Rep
COLL,165,PCT 165,972,736,0,495,0,241,Rep Andrea Bouressa,Rep
COLL,166,PCT 166,4384,3051,0,1745,0,1306,Rep Andrea Bouressa,Rep
COLL,167,PCT 167,2192,1501,0,764,0,737,Rep Andrea Bouressa,Rep
COLL,168,PCT 168,1966,1418,0,988,0,430,Rep Andrea Bouressa,Rep
COLL,169,PCT 169,3534,2485,2,1377,0,1108,Rep Andrea Bouressa,Rep
COLL,170,PCT 170,1921,1364,0,882,0,482,Rep Andrea Bouressa,Rep
COLL,171,PCT 171,2980,1965,0,1077,0,888,Rep Andrea Bouressa,Rep
COLL,172,PCT 172,2941,2202,0,1559,0,643,Rep Andrea Bouressa,Rep
COLL,173,PCT 173,645,492,0,339,0,153,Rep Andrea Bouressa,Rep
COLL,174,PCT 174,4648,2951,2,1816,0,1135,Rep Andrea Bouressa,Rep
COLL,175,PCT 175,2083,1492,1,951,0,541,Rep Andrea Bouressa,Rep
COLL,176,PCT 176,4064,2194,0,1126,0,1068,Rep Andrea Bouressa,Rep
COLL,177,PCT 177,3532,2228,0,1453,0,775,Rep Andrea Bouressa,Rep
COLL,178,PCT 178,3375,2404,1,1756,0,648,Rep Andrea Bouressa,Rep
COLL,179,PCT 179,4704,3766,0,2698,0,1068,Rep Andrea Bouressa,Rep
COLL,180,PCT 180,3492,2359,1,1388,0,971,Rep Andrea Bouressa,Rep
COLL,181,PCT 181,3166,2049,0,1358,0,691,Rep Andrea Bouressa,Rep
COLL,182,PCT 182,4037,2765,1,1572,0,1193,Rep Andrea Bouressa,Rep
COLL,183,PCT 183,171,120,0,83,0,37,Rep Andrea Bouressa,Rep
COLL,184,PCT 184,3360,1910,0,1054,0,856,Rep Andrea Bouressa,Rep
COLL,185,PCT 185,3352,2450,1,1662,0,789,Rep Andrea Bouressa,Rep
COLL,186,PCT 186,764,536,0,442,0,94,Rep Andrea Bouressa,Rep
COLL,187,PCT 187,1044,697,0,460,0,236,Rep Andrea Bouressa,Rep
COLL,188,PCT 188,731,488,0,323,0,165,Rep Andrea Bouressa,Rep
COLL,189,PCT 189,1473,1016,0,795,0,222,Rep Andrea Bouressa,Rep
COLL,190,PCT 190,1038,802,0,612,0,190,Rep Andrea Bouressa,Rep
COLL,191,PCT 191,967,582,1,382,0,200,Rep Andrea Bouressa,Rep
COLL,192,PCT 192,4114,2896,0,2161,0,735,Rep Andrea Bouressa,Rep
COLL,193,PCT 193,1341,896,0,670,0,226,Rep Andrea Bouressa,Rep
COLL,194,PCT 194,3375,2400,0,1642,0,757,Rep Andrea Bouressa,Rep
COLL,195,PCT 195,935,674,0,509,0,165,Rep Andrea Bouressa,Rep
COLL,196,PCT 196,2001,1352,0,833,0,519,Rep Andrea Bouressa,Rep
COLL,197,PCT 197,1270,858,0,455,0,403,Rep Andrea Bouressa,Rep
COLL,198,PCT 198,2904,2327,0,1540,0,787,Rep Andrea Bouressa,Rep
COLL,199,PCT 199,4135,3196,0,2341,0,855,Rep Andrea Bouressa,Rep
COLL,200,PCT 200,2726,1894,0,1333,0,561,Rep Andrea Bouressa,Rep
COLL,201,PCT 201,0,0,0,0,0,0,Rep Andrea Bouressa,Rep
COLL,202,PCT 202,2,2,0,0,0,2,Rep Andrea Bouressa,Rep
COLL,203,PCT 203,3182,2344,0,1504,0,840,Rep Andrea Bouressa,Rep
COLL,204,PCT 204,354,282,0,194,0,88,Rep Andrea Bouressa,Rep
COLL,205,PCT 205,4103,2879,2,1693,0,1187,Rep Andrea Bouressa,Rep
COLL,206,PCT 206,2002,1431,0,933,0,498,Rep Andrea Bouressa,Rep
COLL,207,PCT 207,4081,2925,1,1877,0,1048,Rep Andrea Bouressa,Rep
COLL,208,PCT 208,4359,3323,0,2200,0,1123,Rep Andrea Bouressa,Rep
COLL,209,PCT 209,172,125,0,81,0,43,Rep Andrea Bouressa,Rep
COLL,210,PCT 210,1746,1290,0,653,0,637,Rep Andrea Bouressa,Rep
COLL,211,PCT 211,3433,2455,0,1496,0,959,Rep Andrea Bouressa,Rep
COLL,212,PCT 212,2600,1945,0,1132,0,813,Rep Andrea Bouressa,Rep
COLL,213,PCT 213,3697,2611,0,1538,0,1073,Rep Andrea Bouressa,Rep
COLL,214,PCT 214,3776,2920,0,2229,0,691,Rep Andrea Bouressa,Rep
COLL,215,PCT 215,3503,2092,1,1352,0,740,Rep Andrea Bouressa,Rep
COLL,216,PCT 216,4771,3565,0,2561,0,1004,Rep Andrea Bouressa,Rep
COLL,217,PCT 217,3140,2190,1,1417,0,773,Rep Andrea Bouressa,Rep
COLL,218,PCT 218,4297,3093,1,1807,0,1286,Rep Andrea Bouressa,Rep
COLL,219,PCT 219,4559,3137,1,1754,0,1383,Rep Andrea Bouressa,Rep
COLL,220,PCT 220,2465,1745,0,997,0,748,Rep Andrea Bouressa,Rep
COLL,221,PCT 221,2053,1470,0,963,0,507,Rep Andrea Bouressa,Rep
COLL,222,PCT 222,3965,2870,1,1620,0,1250,Rep Andrea Bouressa,Rep
COLL,223,PCT 223,2501,1839,0,1080,0,759,Rep Andrea Bouressa,Rep
COLL,224,PCT 224,3351,2568,1,1940,0,628,Rep Andrea Bouressa,Rep
COLL,225,PCT 225,3945,2807,2,1579,0,1228,Rep Andrea Bouressa,Rep
COLL,226,PCT 226,4404,2945,0,1597,0,1348,Rep Andrea Bouressa,Rep
COLL,227,PCT 227,4468,3160,0,1867,0,1293,Rep Andrea Bouressa,Rep
COLL,228,PCT 228,4845,3037,1,1744,0,1293,Rep Andrea Bouressa,Rep
COLL,229,PCT 229,2259,1494,0,829,0,665,Rep Andrea Bouressa,Rep
COLL,230,PCT 230,4953,3021,0,1627,0,1394,Rep Andrea Bouressa,Rep
COLL,231,PCT 231,3938,2850,0,1747,0,1103,Rep Andrea Bouressa,Rep
COLL,232,PCT 232,3850,2755,0,1717,0,1038,Rep Andrea Bouressa,Rep
COLL,233,PCT 233,2089,1443,0,912,0,531,Rep Andrea Bouressa,Rep
COLL,234,PCT 234,3351,2585,0,1458,0,1127,Rep Andrea Bouressa,Rep
COLL,235,PCT 235,1916,1332,3,710,0,622,Rep Andrea Bouressa,Rep
COLL,236,PCT 236,3015,2217,1,1424,0,793,Rep Andrea Bouressa,Rep
COLL,237,PCT 237,2345,1522,3,858,0,664,Rep Andrea Bouressa,Rep
COLL,238,PCT 238,4043,2583,0,1381,0,1202,Rep Andrea Bouressa,Rep
COLL,239,PCT 239,4293,3051,0,2223,0,828,Rep Andrea Bouressa,Rep
COLL,240,PCT 240,4358,3212,0,2351,0,861,Rep Andrea Bouressa,Rep
COLL,241,PCT 241,1549,1115,0,635,0,480,Rep Andrea Bouressa,Rep
COLL,242,PCT 242,3578,2604,0,1534,0,1070,Rep Andrea Bouressa,Rep
COLL,243,PCT 243,1684,1272,0,916,0,356,Rep Andrea Bouressa,Rep
COLL,244,PCT 244,3235,2337,0,1409,0,928,Rep Andrea Bouressa,Rep
COLL,245,PCT 245,2764,1651,0,954,0,697,Rep Andrea Bouressa,Rep
COLL,246,PCT 246,2859,2137,1,1240,0,897,Rep Andrea Bouressa,Rep
COLL,247,PCT 247,2436,1876,0,1350,0,526,Rep Andrea Bouressa,Rep
COLL,248,PCT 248,2328,1645,0,983,0,662,Rep Andrea Bouressa,Rep
COLL,249,PCT 249,4743,3053,0,2031,0,1022,Rep Andrea Bouressa,Rep
COLL,250,PCT 250,3886,3025,0,1757,0,1268,Rep Andrea Bouressa,Rep
COLL,251,PCT 251,2568,1852,0,1291,0,561,Rep Andrea Bouressa,Rep
COLL,252,PCT 252,3149,2338,0,1700,0,638,Rep Andrea Bouressa,Rep
COLL,253,PCT 253,3111,2203,1,1259,0,944,Rep Andrea Bouressa,Rep
COLL,254,PCT 254,1286,806,0,463,0,343,Rep Andrea Bouressa,Rep
COLL,255,PCT 255,3292,2440,1,1690,0,751,Rep Andrea Bouressa,Rep
COLL,256,PCT 256,767,540,0,403,0,137,Rep Andrea Bouressa,Rep
COLL,257,PCT 257,1342,890,1,552,0,338,Rep Andrea Bouressa,Rep
COLL,258,PCT 258,3045,2073,1,1020,0,1054,Rep Andrea Bouressa,Rep
COLL,259,PCT 259,3698,2420,0,1433,0,987,Rep Andrea Bouressa,Rep
COLL,260,PCT 260,438,319,0,245,0,74,Rep Andrea Bouressa,Rep
COLL,261,PCT 261,3221,2306,0,1511,0,795,Rep Andrea Bouressa,Rep
COLL,262,PCT 262,3038,2081,0,1060,0,1021,Rep Andrea Bouressa,Rep
COLL,263,PCT 263,2055,1544,1,1092,0,452,Rep Andrea Bouressa,Rep
COLL,264,PCT 264,3994,2746,0,1691,0,1055,Rep Andrea Bouressa,Rep
COLL,265,PCT 265,0,0,0,0,0,0,Rep Andrea Bouressa,Rep
COLL,266,PCT 266,62,42,0,21,0,21,Rep Andrea Bouressa,Rep
COLL,267,PCT 267,19,13,0,6,0,7,Rep Andrea Bouressa,Rep
COLL,268,PCT 268,0,0,0,0,0,0,Rep Andrea Bouressa,Rep
COLL,269,PCT 269,0,0,0,0,0,0,Rep Andrea Bouressa,Rep
COLL,270,PCT 270,2,1,0,1,0,0,Rep Andrea Bouressa,Rep
COLL,271,PCT 271,1035,750,0,489,0,261,Rep Andrea Bouressa,Rep
COLL,272,PCT 272,1,1,0,1,0,0,Rep Andrea Bouressa,Rep
COLL,273,PCT 273,260,202,0,149,0,54,Rep Andrea Bouressa,Rep
