COUNTY NUMBER,PRECINCT CODE,PRECINCT NAME,REGISTERED VOTERS TOTAL,BALLOTS CAST TOTAL,BALLOTS CAST BLANK,Dem Tonya Parker,Rep Emily A. Miskel,OVER VOTES,UNDER VOTES,Winning Candidate,Winning Party
COLL,105,PCT 105,173,115,0,65,42,0,8,Dem Tonya Parker,Dem
COLL,106,PCT 106,1869,1255,1,566,605,0,84,Rep Emily A. Miskel,Rep
COLL,107,PCT 107,3373,2417,0,1121,1112,0,184,Dem Tonya Parker,Dem
COLL,108,PCT 108,2997,2047,1,966,894,0,187,Dem Tonya Parker,Dem
COLL,109,PCT 109,4859,3312,0,1254,1807,0,251,Rep Emily A. Miskel,Rep
COLL,110,PCT 110,2816,1947,1,835,972,0,140,Rep Emily A. Miskel,Rep
COLL,111,PCT 111,3096,2183,0,636,1398,0,149,Rep Emily A. Miskel,Rep
COLL,112,PCT 112,3166,2322,0,978,1155,0,189,Rep Emily A. Miskel,Rep
COLL,113,PCT 113,3351,2087,0,942,970,0,175,Rep Emily A. Miskel,Rep
COLL,114,PCT 114,4252,3062,0,1101,1717,0,244,Rep Emily A. Miskel,Rep
COLL,115,PCT 115,2995,2123,15,997,955,0,171,Dem Tonya Parker,Dem
COLL,116,PCT 116,5006,3553,1,1443,1859,0,251,Rep Emily A. Miskel,Rep
COLL,117,PCT 117,4426,2934,2,1256,1424,0,254,Rep Emily A. Miskel,Rep
COLL,118,PCT 118,4297,2996,0,1104,1626,0,266,Rep Emily A. Miskel,Rep
COLL,119,PCT 119,2398,1696,2,728,846,0,122,Rep Emily A. Miskel,Rep
COLL,120,PCT 120,3653,2693,0,984,1516,0,193,Rep Emily A. Miskel,Rep
COLL,121,PCT 121,2892,1952,1,1001,817,0,134,Dem Tonya Parker,Dem
COLL,122,PCT 122,4972,3708,1,1105,2318,0,285,Rep Emily A. Miskel,Rep
COLL,123,PCT 123,2078,1458,0,596,770,0,92,Rep Emily A. Miskel,Rep
COLL,124,PCT 124,3288,2171,1,982,1011,0,178,Rep Emily A. Miskel,Rep
COLL,125,PCT 125,2250,1532,0,749,614,0,168,Dem Tonya Parker,Dem
COLL,126,PCT 126,4969,3443,0,1440,1727,0,276,Rep Emily A. Miskel,Rep
COLL,127,PCT 127,3929,2671,1,1149,1267,0,255,Rep Emily A. Miskel,Rep
COLL,128,PCT 128,3137,2395,0,520,1708,0,167,Rep Emily A. Miskel,Rep
COLL,129,PCT 129,4643,3072,0,1232,1602,0,238,Rep Emily A. Miskel,Rep
COLL,130,PCT 130,3972,2813,1,1258,1323,0,232,Rep Emily A. Miskel,Rep
COLL,131,PCT 131,3151,2136,0,688,1264,0,184,Rep Emily A. Miskel,Rep
COLL,132,PCT 132,2874,2016,6,1028,851,0,137,Dem Tonya Parker,Dem
COLL,133,PCT 133,2939,1791,0,710,927,0,154,Rep Emily A. Miskel,Rep
COLL,134,PCT 134,4149,2771,0,1263,1256,0,252,Dem Tonya Parker,Dem
COLL,135,PCT 135,4286,2900,0,1363,1269,0,268,Dem Tonya Parker,Dem
COLL,136,PCT 136,1978,1427,10,607,731,0,89,Rep Emily A. Miskel,Rep
COLL,137,PCT 137,2004,1418,0,542,793,0,83,Rep Emily A. Miskel,Rep
COLL,138,PCT 138,2349,1774,0,810,825,0,139,Rep Emily A. Miskel,Rep
COLL,139,PCT 139,4130,2721,0,1304,1171,0,246,Dem Tonya Parker,Dem
COLL,140,PCT 140,4848,3591,0,1119,2229,0,243,Rep Emily A. Miskel,Rep
COLL,141,PCT 141,3514,2511,0,1140,1199,0,172,Rep Emily A. Miskel,Rep
COLL,142,PCT 142,2797,2040,17,947,931,0,162,Dem Tonya Parker,Dem
COLL,143,PCT 143,2165,1543,0,613,835,0,95,Rep Emily A. Miskel,Rep
COLL,144,PCT 144,2956,2072,1,781,1094,0,197,Rep Emily A. Miskel,Rep
COLL,145,PCT 145,1780,1237,1,568,563,0,106,Dem Tonya Parker,Dem
COLL,146,PCT 146,4860,3233,0,1393,1578,0,262,Rep Emily A. Miskel,Rep
COLL,147,PCT 147,2281,1409,0,628,656,0,125,Rep Emily A. Miskel,Rep
COLL,148,PCT 148,1133,851,0,306,419,0,126,Rep Emily A. Miskel,Rep
COLL,149,PCT 149,4656,3337,0,1186,1902,0,249,Rep Emily A. Miskel,Rep
COLL,150,PCT 150,2024,1621,0,552,968,0,101,Rep Emily A. Miskel,Rep
COLL,151,PCT 151,1856,1296,0,609,573,0,114,Dem Tonya Parker,Dem
COLL,152,PCT 152,231,119,0,73,40,0,6,Dem Tonya Parker,Dem
COLL,153,PCT 153,1225,860,0,329,452,0,78,Rep Emily A. Miskel,Rep
COLL,154,PCT 154,2771,2102,0,417,1558,0,127,Rep Emily A. Miskel,Rep
COLL,155,PCT 155,3016,2129,1,780,1196,0,153,Rep Emily A. Miskel,Rep
COLL,156,PCT 156,3797,2569,0,1035,1310,0,224,Rep Emily A. Miskel,Rep
COLL,157,PCT 157,4358,3111,1,1372,1500,0,239,Rep Emily A. Miskel,Rep
COLL,158,PCT 158,2851,1955,0,913,865,0,177,Dem Tonya Parker,Dem
COLL,159,PCT 159,3385,2049,1,876,943,0,230,Rep Emily A. Miskel,Rep
COLL,160,PCT 160,530,430,0,63,349,0,18,Rep Emily A. Miskel,Rep
COLL,161,PCT 161,298,192,0,53,127,0,12,Rep Emily A. Miskel,Rep
COLL,162,PCT 162,687,558,0,154,377,0,27,Rep Emily A. Miskel,Rep
COLL,163,PCT 163,2188,1474,0,556,773,0,145,Rep Emily A. Miskel,Rep
COLL,164,PCT 164,2330,1845,80,707,940,0,198,Rep Emily A. Miskel,Rep
COLL,165,PCT 165,972,736,0,222,454,0,60,Rep Emily A. Miskel,Rep
COLL,166,PCT 166,4384,3051,0,1221,1527,0,303,Rep Emily A. Miskel,Rep
COLL,167,PCT 167,2192,1501,0,747,632,0,122,Dem Tonya Parker,Dem
COLL,168,PCT 168,1966,1418,0,383,933,0,102,Rep Emily A. Miskel,Rep
COLL,169,PCT 169,3534,2485,2,1102,1164,0,219,Rep Emily A. Miskel,Rep
COLL,170,PCT 170,1921,1364,0,463,796,0,105,Rep Emily A. Miskel,Rep
COLL,171,PCT 171,2980,1965,0,849,912,0,204,Rep Emily A. Miskel,Rep
COLL,172,PCT 172,2941,2202,0,645,1429,0,128,Rep Emily A. Miskel,Rep
COLL,173,PCT 173,645,492,0,127,328,0,37,Rep Emily A. Miskel,Rep
COLL,174,PCT 174,4648,2951,2,1119,1612,0,220,Rep Emily A. Miskel,Rep
COLL,175,PCT 175,2083,1492,1,513,867,0,112,Rep Emily A. Miskel,Rep
COLL,176,PCT 176,4064,2194,0,1097,913,0,184,Dem Tonya Parker,Dem
COLL,177,PCT 177,3532,2228,0,792,1277,0,159,Rep Emily A. Miskel,Rep
COLL,178,PCT 178,3375,2404,1,599,1650,0,155,Rep Emily A. Miskel,Rep
COLL,179,PCT 179,4704,3766,0,944,2563,0,259,Rep Emily A. Miskel,Rep
COLL,180,PCT 180,3492,2359,1,955,1185,0,219,Rep Emily A. Miskel,Rep
COLL,181,PCT 181,3166,2049,0,685,1222,0,142,Rep Emily A. Miskel,Rep
COLL,182,PCT 182,4037,2765,1,1157,1370,0,238,Rep Emily A. Miskel,Rep
COLL,183,PCT 183,171,120,0,26,79,0,15,Rep Emily A. Miskel,Rep
COLL,184,PCT 184,3360,1910,0,892,861,0,157,Dem Tonya Parker,Dem
COLL,185,PCT 185,3352,2450,1,757,1520,0,173,Rep Emily A. Miskel,Rep
COLL,186,PCT 186,764,536,0,61,440,0,35,Rep Emily A. Miskel,Rep
COLL,187,PCT 187,1044,697,0,240,409,0,48,Rep Emily A. Miskel,Rep
COLL,188,PCT 188,731,488,0,168,287,0,34,Rep Emily A. Miskel,Rep
COLL,189,PCT 189,1473,1016,0,182,759,0,75,Rep Emily A. Miskel,Rep
COLL,190,PCT 190,1038,802,0,173,582,0,47,Rep Emily A. Miskel,Rep
COLL,191,PCT 191,967,582,1,191,339,0,52,Rep Emily A. Miskel,Rep
COLL,192,PCT 192,4114,2896,0,660,2009,0,227,Rep Emily A. Miskel,Rep
COLL,193,PCT 193,1341,896,0,182,650,0,64,Rep Emily A. Miskel,Rep
COLL,194,PCT 194,3375,2400,0,716,1497,0,186,Rep Emily A. Miskel,Rep
COLL,195,PCT 195,935,674,0,146,484,0,44,Rep Emily A. Miskel,Rep
COLL,196,PCT 196,2001,1352,0,512,729,0,111,Rep Emily A. Miskel,Rep
COLL,197,PCT 197,1270,858,0,415,373,0,70,Dem Tonya Parker,Dem
COLL,198,PCT 198,2904,2327,0,793,1390,0,144,Rep Emily A. Miskel,Rep
COLL,199,PCT 199,4135,3196,0,817,2164,0,215,Rep Emily A. Miskel,Rep
COLL,200,PCT 200,2726,1894,0,515,1231,0,148,Rep Emily A. Miskel,Rep
COLL,201,PCT 201,0,0,0,0,0,0,0,Dem Tonya Parker,Dem
COLL,202,PCT 202,2,2,0,2,0,0,0,Dem Tonya Parker,Dem
COLL,203,PCT 203,3182,2344,0,723,1431,0,190,Rep Emily A. Miskel,Rep
COLL,204,PCT 204,354,282,0,96,170,0,16,Rep Emily A. Miskel,Rep
COLL,205,PCT 205,4103,2879,2,1103,1515,0,262,Rep Emily A. Miskel,Rep
COLL,206,PCT 206,2002,1431,0,485,844,0,102,Rep Emily A. Miskel,Rep
COLL,207,PCT 207,4081,2925,1,1017,1688,0,220,Rep Emily A. Miskel,Rep
COLL,208,PCT 208,4359,3323,0,1076,1989,0,258,Rep Emily A. Miskel,Rep
COLL,209,PCT 209,172,125,0,45,71,0,9,Rep Emily A. Miskel,Rep
COLL,210,PCT 210,1746,1290,0,609,548,0,133,Dem Tonya Parker,Dem
COLL,211,PCT 211,3433,2455,0,906,1319,0,230,Rep Emily A. Miskel,Rep
COLL,212,PCT 212,2600,1945,0,829,942,0,174,Rep Emily A. Miskel,Rep
COLL,213,PCT 213,3697,2611,0,1109,1269,0,233,Rep Emily A. Miskel,Rep
COLL,214,PCT 214,3776,2920,0,631,2117,0,172,Rep Emily A. Miskel,Rep
COLL,215,PCT 215,3503,2092,1,708,1193,0,191,Rep Emily A. Miskel,Rep
COLL,216,PCT 216,4771,3565,0,965,2365,0,235,Rep Emily A. Miskel,Rep
COLL,217,PCT 217,3140,2190,1,771,1253,0,166,Rep Emily A. Miskel,Rep
COLL,218,PCT 218,4297,3093,1,1326,1532,0,235,Rep Emily A. Miskel,Rep
COLL,219,PCT 219,4559,3137,1,1410,1498,0,229,Rep Emily A. Miskel,Rep
COLL,220,PCT 220,2465,1745,0,786,803,0,156,Rep Emily A. Miskel,Rep
COLL,221,PCT 221,2053,1470,0,469,883,0,118,Rep Emily A. Miskel,Rep
COLL,222,PCT 222,3965,2870,1,1252,1403,0,215,Rep Emily A. Miskel,Rep
COLL,223,PCT 223,2501,1839,0,787,926,0,126,Rep Emily A. Miskel,Rep
COLL,224,PCT 224,3351,2568,1,597,1815,0,156,Rep Emily A. Miskel,Rep
COLL,225,PCT 225,3945,2807,2,1288,1273,0,246,Dem Tonya Parker,Dem
COLL,226,PCT 226,4404,2945,0,1325,1378,0,242,Rep Emily A. Miskel,Rep
COLL,227,PCT 227,4468,3160,0,1255,1631,0,274,Rep Emily A. Miskel,Rep
COLL,228,PCT 228,4845,3037,1,1287,1467,0,284,Rep Emily A. Miskel,Rep
COLL,229,PCT 229,2259,1494,0,678,688,0,128,Rep Emily A. Miskel,Rep
COLL,230,PCT 230,4953,3021,0,1386,1379,0,256,Dem Tonya Parker,Dem
COLL,231,PCT 231,3938,2850,0,1141,1515,0,194,Rep Emily A. Miskel,Rep
COLL,232,PCT 232,3850,2755,0,1025,1529,0,201,Rep Emily A. Miskel,Rep
COLL,233,PCT 233,2089,1443,0,513,822,0,108,Rep Emily A. Miskel,Rep
COLL,234,PCT 234,3351,2585,0,1216,1171,0,198,Dem Tonya Parker,Dem
COLL,235,PCT 235,1916,1332,3,617,602,0,113,Dem Tonya Parker,Dem
COLL,236,PCT 236,3015,2217,1,723,1316,0,178,Rep Emily A. Miskel,Rep
COLL,237,PCT 237,2345,1522,3,638,738,0,146,Rep Emily A. Miskel,Rep
COLL,238,PCT 238,4043,2583,0,1246,1112,0,225,Dem Tonya Parker,Dem
COLL,239,PCT 239,4293,3051,0,788,2069,0,194,Rep Emily A. Miskel,Rep
COLL,240,PCT 240,4358,3212,0,811,2173,0,228,Rep Emily A. Miskel,Rep
COLL,241,PCT 241,1549,1115,0,460,541,0,114,Rep Emily A. Miskel,Rep
COLL,242,PCT 242,3578,2604,0,1037,1353,0,214,Rep Emily A. Miskel,Rep
COLL,243,PCT 243,1684,1272,0,345,855,0,72,Rep Emily A. Miskel,Rep
COLL,244,PCT 244,3235,2337,0,891,1261,0,185,Rep Emily A. Miskel,Rep
COLL,245,PCT 245,2764,1651,0,670,836,0,145,Rep Emily A. Miskel,Rep
COLL,246,PCT 246,2859,2137,1,872,1105,0,160,Rep Emily A. Miskel,Rep
COLL,247,PCT 247,2436,1876,0,482,1275,0,119,Rep Emily A. Miskel,Rep
COLL,248,PCT 248,2328,1645,0,662,839,0,144,Rep Emily A. Miskel,Rep
COLL,249,PCT 249,4743,3053,0,1001,1822,0,230,Rep Emily A. Miskel,Rep
COLL,250,PCT 250,3886,3025,0,1357,1370,0,298,Rep Emily A. Miskel,Rep
COLL,251,PCT 251,2568,1852,0,565,1170,0,117,Rep Emily A. Miskel,Rep
COLL,252,PCT 252,3149,2338,0,606,1568,0,164,Rep Emily A. Miskel,Rep
COLL,253,PCT 253,3111,2203,1,993,1014,0,196,Rep Emily A. Miskel,Rep
COLL,254,PCT 254,1286,806,0,341,389,0,75,Rep Emily A. Miskel,Rep
COLL,255,PCT 255,3292,2440,1,746,1539,0,156,Rep Emily A. Miskel,Rep
COLL,256,PCT 256,767,540,0,123,375,0,42,Rep Emily A. Miskel,Rep
COLL,257,PCT 257,1342,890,1,340,481,0,69,Rep Emily A. Miskel,Rep
COLL,258,PCT 258,3045,2073,1,1015,832,0,227,Dem Tonya Parker,Dem
COLL,259,PCT 259,3698,2420,0,952,1272,0,196,Rep Emily A. Miskel,Rep
COLL,260,PCT 260,438,319,0,58,237,0,23,Rep Emily A. Miskel,Rep
COLL,261,PCT 261,3221,2306,0,737,1384,0,185,Rep Emily A. Miskel,Rep
COLL,262,PCT 262,3038,2081,0,1035,877,0,169,Dem Tonya Parker,Dem
COLL,263,PCT 263,2055,1544,1,438,995,0,111,Rep Emily A. Miskel,Rep
COLL,264,PCT 264,3994,2746,0,1023,1528,0,195,Rep Emily A. Miskel,Rep
COLL,265,PCT 265,0,0,0,0,0,0,0,Dem Tonya Parker,Dem
COLL,266,PCT 266,62,42,0,21,18,0,3,Dem Tonya Parker,Dem
COLL,267,PCT 267,19,13,0,7,5,0,1,Dem Tonya Parker,Dem
COLL,268,PCT 268,0,0,0,0,0,0,0,Dem Tonya Parker,Dem
COLL,269,PCT 269,0,0,0,0,0,0,0,Dem Tonya Parker,Dem
COLL,270,PCT 270,2,1,0,0,1,0,0,Rep Emily A. Miskel,Rep
COLL,271,PCT 271,1035,750,0,270,426,0,55,Rep Emily A. Miskel,Rep
COLL,272,PCT 272,1,1,0,0,0,0,0,Dem Tonya Parker,Dem
COLL,273,PCT 273,260,202,0,53,139,0,10,Rep Emily A. Miskel,Rep
