COUNTY NUMBER,PRECINCT CODE,PRECINCT NAME,REGISTERED VOTERS TOTAL,BALLOTS CAST TOTAL,BALLOTS CAST BLANK,Dem Sandeep Srivastava,Rep Keith Self,OVER VOTES,UNDER VOTES,Winning Candidate,Winning Party,pct_int
COLL,162,PCT 162,687,558,0,154,390,0,14,Rep Keith Self,Rep,162
COLL,163,PCT 163,2188,1474,0,0,0,0,0,pct_int,pct_int,163
COLL,164,PCT 164,2330,1845,80,0,0,0,0,pct_int,pct_int,164
COLL,165,PCT 165,972,736,0,238,474,0,24,Rep Keith Self,Rep,165
COLL,166,PCT 166,4384,3051,0,1328,1550,0,173,Rep Keith Self,Rep,166
COLL,167,PCT 167,2192,1501,0,0,0,0,0,pct_int,pct_int,70
COLL,168,PCT 168,1966,1418,0,401,957,0,60,Rep Keith Self,Rep,168
COLL,169,PCT 169,3534,2485,2,1158,1215,0,112,Rep Keith Self,Rep,169
COLL,170,PCT 170,1921,1364,0,471,827,0,66,Rep Keith Self,Rep,170
COLL,171,PCT 171,2980,1965,0,876,965,0,124,Rep Keith Self,Rep,171
COLL,172,PCT 172,2941,2202,0,642,1486,0,74,Rep Keith Self,Rep,172
COLL,173,PCT 173,645,492,0,126,348,0,18,Rep Keith Self,Rep,173
COLL,174,PCT 174,4648,2951,2,1135,1675,0,141,Rep Keith Self,Rep,174
COLL,175,PCT 175,2083,1492,1,532,893,0,67,Rep Keith Self,Rep,175
COLL,176,PCT 176,4064,2194,0,0,0,0,0,pct_int,pct_int,176
COLL,177,PCT 177,3532,2228,0,0,0,0,0,pct_int,pct_int,177
COLL,178,PCT 178,3375,2404,1,585,1724,0,95,Rep Keith Self,Rep,178
COLL,179,PCT 179,4704,3766,0,959,2677,0,130,Rep Keith Self,Rep,179
COLL,180,PCT 180,3492,2359,1,0,0,0,0,pct_int,pct_int,180
COLL,181,PCT 181,3166,2049,0,693,1264,0,92,Rep Keith Self,Rep,181
COLL,182,PCT 182,4037,2765,1,1187,1448,0,130,Rep Keith Self,Rep,182
COLL,183,PCT 183,171,120,0,25,85,0,10,pct_int,pct_int,368
COLL,184,PCT 184,3360,1910,0,0,0,0,0,pct_int,pct_int,184
COLL,185,PCT 185,3352,2450,1,765,1583,0,102,Rep Keith Self,Rep,9
COLL,186,PCT 186,764,536,0,62,454,0,20,Rep Keith Self,Rep,373
COLL,187,PCT 187,1044,697,0,242,424,0,31,Rep Keith Self,Rep,3
COLL,188,PCT 188,731,488,0,169,297,0,22,Rep Keith Self,Rep,2
COLL,189,PCT 189,1473,1016,0,181,791,0,44,Rep Keith Self,Rep,379
COLL,190,PCT 190,1038,802,0,176,600,0,27,Rep Keith Self,Rep,46
COLL,191,PCT 191,967,582,1,187,358,0,37,Rep Keith Self,Rep,191
COLL,192,PCT 192,4114,2896,0,662,2104,0,131,Rep Keith Self,Rep,162
COLL,193,PCT 193,1341,896,0,185,670,0,41,Rep Keith Self,Rep,387
COLL,194,PCT 194,3375,2400,0,723,1573,0,103,Rep Keith Self,Rep,16
COLL,195,PCT 195,935,674,0,148,498,0,28,Rep Keith Self,Rep,195
COLL,196,PCT 196,2001,1352,0,530,764,0,58,Rep Keith Self,Rep,196
COLL,197,PCT 197,1270,858,0,442,377,0,39,Dem Sandeep Srivastava,Dem,197
COLL,198,PCT 198,2904,2327,0,812,1436,0,79,Rep Keith Self,Rep,88
COLL,199,PCT 199,4135,3196,0,0,0,0,0,pct_int,pct_int,199
COLL,200,PCT 200,2726,1894,0,528,1284,0,82,Rep Keith Self,Rep,200
COLL,201,PCT 201,0,0,0,0,0,0,0,pct_int,pct_int,201
COLL,202,PCT 202,2,2,0,2,0,0,0,pct_int,pct_int,202
COLL,203,PCT 203,3182,2344,0,745,1503,0,96,Rep Keith Self,Rep,203
COLL,204,PCT 204,354,282,0,93,177,0,12,pct_int,pct_int,204
COLL,205,PCT 205,4103,2879,2,1172,1560,0,147,Rep Keith Self,Rep,118
COLL,206,PCT 206,2002,1431,0,484,883,0,64,Rep Keith Self,Rep,206
COLL,207,PCT 207,4081,2925,1,1049,1765,0,111,Rep Keith Self,Rep,207
COLL,208,PCT 208,4359,3323,0,1127,2062,0,134,Rep Keith Self,Rep,208
COLL,209,PCT 209,172,125,0,0,0,0,0,pct_int,pct_int,30
COLL,210,PCT 210,1746,1290,0,646,562,0,82,Dem Sandeep Srivastava,Dem,210
COLL,211,PCT 211,3433,2455,0,926,1403,0,126,Rep Keith Self,Rep,211
COLL,212,PCT 212,2600,1945,0,0,0,0,0,pct_int,pct_int,212
COLL,213,PCT 213,3697,2611,0,0,0,0,0,pct_int,pct_int,213
COLL,214,PCT 214,3776,2920,0,640,2182,0,97,Rep Keith Self,Rep,168
COLL,215,PCT 215,3503,2092,1,713,1252,0,127,Rep Keith Self,Rep,215
COLL,216,PCT 216,4771,3565,0,986,2452,0,127,Rep Keith Self,Rep,216
COLL,217,PCT 217,3140,2190,1,785,1307,0,98,Rep Keith Self,Rep,217
COLL,218,PCT 218,4297,3093,1,1397,1585,0,111,Rep Keith Self,Rep,218
COLL,219,PCT 219,4559,3137,1,1456,1547,0,134,Rep Keith Self,Rep,219
COLL,220,PCT 220,2465,1745,0,0,0,0,0,pct_int,pct_int,97
COLL,221,PCT 221,2053,1470,0,478,933,0,58,Rep Keith Self,Rep,86
COLL,222,PCT 222,3965,2870,1,1317,1436,0,117,Rep Keith Self,Rep,222
COLL,223,PCT 223,2501,1839,0,812,969,0,58,Rep Keith Self,Rep,223
COLL,224,PCT 224,3351,2568,1,589,1910,0,69,Rep Keith Self,Rep,224
COLL,225,PCT 225,3945,2807,2,0,0,0,0,pct_int,pct_int,225
COLL,226,PCT 226,4404,2945,0,0,0,0,0,pct_int,pct_int,226
COLL,227,PCT 227,4468,3160,0,1279,1731,0,150,Rep Keith Self,Rep,227
COLL,228,PCT 228,4845,3037,1,1309,1561,0,168,Rep Keith Self,Rep,180
COLL,229,PCT 229,2259,1494,0,0,0,0,0,pct_int,pct_int,229
COLL,230,PCT 230,4953,3021,0,1418,1454,0,149,Rep Keith Self,Rep,230
COLL,231,PCT 231,3938,2850,0,1155,1588,0,107,Rep Keith Self,Rep,231
COLL,232,PCT 232,3850,2755,0,1037,1587,0,131,Rep Keith Self,Rep,232
COLL,233,PCT 233,2089,1443,0,517,850,0,76,Rep Keith Self,Rep,233
COLL,234,PCT 234,3351,2585,0,1341,1145,0,99,Dem Sandeep Srivastava,Dem,234
COLL,235,PCT 235,1916,1332,3,0,0,0,0,pct_int,pct_int,235
COLL,236,PCT 236,3015,2217,1,738,1396,0,83,Rep Keith Self,Rep,236
COLL,237,PCT 237,2345,1522,3,660,770,0,92,Rep Keith Self,Rep,237
COLL,238,PCT 238,4043,2583,0,1269,1185,0,129,Dem Sandeep Srivastava,Dem,238
COLL,239,PCT 239,4293,3051,0,803,2150,0,98,Rep Keith Self,Rep,239
COLL,240,PCT 240,4358,3212,0,827,2242,0,143,Rep Keith Self,Rep,240
COLL,241,PCT 241,1549,1115,0,489,578,0,48,Rep Keith Self,Rep,241
COLL,242,PCT 242,3578,2604,0,1100,1405,0,99,Rep Keith Self,Rep,242
COLL,243,PCT 243,1684,1272,0,360,870,0,42,Rep Keith Self,Rep,243
COLL,244,PCT 244,3235,2337,0,917,1326,0,94,Rep Keith Self,Rep,244
COLL,245,PCT 245,2764,1651,0,0,0,0,0,pct_int,pct_int,245
COLL,246,PCT 246,2859,2137,1,919,1134,0,84,Rep Keith Self,Rep,246
COLL,247,PCT 247,2436,1876,0,492,1321,0,63,Rep Keith Self,Rep,247
COLL,248,PCT 248,2328,1645,0,0,0,0,0,pct_int,pct_int,248
COLL,249,PCT 249,4743,3053,0,1020,1904,0,129,Rep Keith Self,Rep,249
COLL,250,PCT 250,3886,3025,0,0,0,0,0,pct_int,pct_int,250
COLL,251,PCT 251,2568,1852,0,567,1214,0,71,Rep Keith Self,Rep,251
COLL,252,PCT 252,3149,2338,0,605,1640,0,93,Rep Keith Self,Rep,252
COLL,253,PCT 253,3111,2203,1,0,0,0,0,pct_int,pct_int,123
COLL,254,PCT 254,1286,806,0,347,414,0,44,Rep Keith Self,Rep,48
COLL,255,PCT 255,3292,2440,1,784,1580,0,77,Rep Keith Self,Rep,26
COLL,256,PCT 256,767,540,0,123,392,0,24,Rep Keith Self,Rep,30
COLL,257,PCT 257,1342,890,1,337,513,0,40,Rep Keith Self,Rep,2
