COUNTY NUMBER,PRECINCT CODE,PRECINCT NAME,REGISTERED VOTERS TOTAL,BALLOTS CAST TOTAL,BALLOTS CAST BLANK,Gopal Ponangi,Jared Elad,OVER VOTES,UNDER VOTES,Winning Candidate,Winning Party
COLLI,145,PCT 145,0,0,0,0,0,0,0,Gopal Ponangi,Gopal
COLLI,146,PCT 146,0,0,0,0,0,0,0,Gopal Ponangi,Gopal
COLLI,147,PCT 147,0,0,0,0,0,0,0,Gopal Ponangi,Gopal
COLLI,148,PCT 148,0,0,0,0,0,0,0,Gopal Ponangi,Gopal
COLLI,149,PCT 149,0,0,0,0,0,0,0,Gopal Ponangi,Gopal
COLLI,150,PCT 150,0,0,0,0,0,0,0,Gopal Ponangi,Gopal
COLLI,151,PCT 151,0,0,0,0,0,0,0,Gopal Ponangi,Gopal
COLLI,152,PCT 152,0,0,0,0,0,0,0,Gopal Ponangi,Gopal
COLLI,153,PCT 153,0,0,0,0,0,0,0,Gopal Ponangi,Gopal
COLLI,154,PCT 154,0,0,0,0,0,0,0,Gopal Ponangi,Gopal
COLLI,155,PCT 155,0,0,0,0,0,0,0,Gopal Ponangi,Gopal
COLLI,156,PCT 156,0,0,0,0,0,0,0,Gopal Ponangi,Gopal
COLLI,157,PCT 157,0,0,0,0,0,0,0,Gopal Ponangi,Gopal
COLLI,158,PCT 158,0,0,0,0,0,0,0,Gopal Ponangi,Gopal
COLLI,159,PCT 159,0,0,0,0,0,0,0,Gopal Ponangi,Gopal
COLLI,160,PCT 160,0,0,0,0,0,0,0,Gopal Ponangi,Gopal
COLLI,161,PCT 161,0,0,0,0,0,0,0,Gopal Ponangi,Gopal
COLLI,162,PCT 162,0,0,0,0,0,0,0,Gopal Ponangi,Gopal
COLLI,163,PCT 163,0,0,0,0,0,0,0,Gopal Ponangi,Gopal
COLLI,164,PCT 164,0,0,0,0,0,0,0,Gopal Ponangi,Gopal
COLLI,165,PCT 165,0,0,0,0,0,0,0,Gopal Ponangi,Gopal
COLLI,166,PCT 166,0,0,0,0,0,0,0,Gopal Ponangi,Gopal
COLLI,167,PCT 167,0,0,0,0,0,0,0,Gopal Ponangi,Gopal
COLLI,168,PCT 168,0,0,0,0,0,0,0,Gopal Ponangi,Gopal
