COUNTY NUMBER,PRECINCT CODE,PRECINCT NAME,REGISTERED VOTERS TOTAL,BALLOTS CAST TOTAL,BALLOTS CAST BLANK,Dem Dale Frey,Rep Brent Hagenbuch,OVER VOTES,UNDER VOTES,Winning Candidate,Winning Party
COLL,122,PCT 122,4972,3708,1,0,0,0,0,Dem Dale Frey,Dem
COLL,123,PCT 123,2078,1458,0,0,0,0,0,Dem Dale Frey,Dem
COLL,124,PCT 124,3288,2171,1,0,0,0,0,Dem Dale Frey,Dem
COLL,125,PCT 125,2250,1532,0,0,0,0,0,Dem Dale Frey,Dem
COLL,126,PCT 126,4969,3443,0,0,0,0,0,Dem Dale Frey,Dem
COLL,127,PCT 127,3929,2671,1,1200,1281,0,190,Rep Brent Hagenbuch,Rep
COLL,128,PCT 128,3137,2395,0,0,0,0,0,Dem Dale Frey,Dem
COLL,129,PCT 129,4643,3072,0,0,0,0,0,Dem Dale Frey,Dem
COLL,130,PCT 130,3972,2813,1,0,0,0,0,Dem Dale Frey,Dem
COLL,131,PCT 131,3151,2136,0,0,0,0,0,Dem Dale Frey,Dem
COLL,132,PCT 132,2874,2016,6,0,0,0,0,Dem Dale Frey,Dem
COLL,133,PCT 133,2939,1791,0,0,0,0,0,Dem Dale Frey,Dem
COLL,134,PCT 134,4149,2771,0,1275,1313,0,183,Rep Brent Hagenbuch,Rep
COLL,135,PCT 135,4286,2900,0,0,0,0,0,Dem Dale Frey,Dem
COLL,136,PCT 136,1978,1427,10,0,0,0,0,Dem Dale Frey,Dem
COLL,137,PCT 137,2004,1418,0,0,0,0,0,Dem Dale Frey,Dem
COLL,138,PCT 138,2349,1774,0,0,0,0,0,Dem Dale Frey,Dem
COLL,139,PCT 139,4130,2721,0,0,0,0,0,Dem Dale Frey,Dem
COLL,140,PCT 140,4848,3591,0,0,0,0,0,Dem Dale Frey,Dem
COLL,141,PCT 141,3514,2511,0,0,0,0,0,Dem Dale Frey,Dem
COLL,142,PCT 142,2797,2040,17,0,0,0,0,Dem Dale Frey,Dem
COLL,143,PCT 143,2165,1543,0,0,0,0,0,Dem Dale Frey,Dem
COLL,144,PCT 144,2956,2072,1,0,0,0,0,Dem Dale Frey,Dem
COLL,145,PCT 145,1780,1237,1,0,0,0,0,Dem Dale Frey,Dem
COLL,146,PCT 146,4860,3233,0,1411,1602,0,220,Rep Brent Hagenbuch,Rep
COLL,147,PCT 147,2281,1409,0,0,0,0,0,Dem Dale Frey,Dem
COLL,148,PCT 148,1133,851,0,0,0,0,0,Dem Dale Frey,Dem
COLL,149,PCT 149,4656,3337,0,0,0,0,0,Dem Dale Frey,Dem
COLL,150,PCT 150,2024,1621,0,0,0,0,0,Dem Dale Frey,Dem
COLL,151,PCT 151,1856,1296,0,0,0,0,0,Dem Dale Frey,Dem
COLL,152,PCT 152,231,119,0,0,0,0,0,Dem Dale Frey,Dem
COLL,153,PCT 153,1225,860,0,0,0,0,0,Dem Dale Frey,Dem
COLL,154,PCT 154,2771,2102,0,0,0,0,0,Dem Dale Frey,Dem
COLL,155,PCT 155,3016,2129,1,0,0,0,0,Dem Dale Frey,Dem
COLL,156,PCT 156,3797,2569,0,0,0,0,0,Dem Dale Frey,Dem
COLL,157,PCT 157,4358,3111,1,0,0,0,0,Dem Dale Frey,Dem
COLL,158,PCT 158,2851,1955,0,0,0,0,0,Dem Dale Frey,Dem
COLL,159,PCT 159,3385,2049,1,0,0,0,0,Dem Dale Frey,Dem
COLL,160,PCT 160,530,430,0,0,0,0,0,Dem Dale Frey,Dem
COLL,161,PCT 161,298,192,0,0,0,0,0,Dem Dale Frey,Dem
COLL,162,PCT 162,687,558,0,0,0,0,0,Dem Dale Frey,Dem
COLL,163,PCT 163,2188,1474,0,0,0,0,0,Dem Dale Frey,Dem
COLL,164,PCT 164,2330,1845,80,0,0,0,0,Dem Dale Frey,Dem
COLL,165,PCT 165,972,736,0,0,0,0,0,Dem Dale Frey,Dem
COLL,166,PCT 166,4384,3051,0,0,0,0,0,Dem Dale Frey,Dem
COLL,167,PCT 167,2192,1501,0,0,0,0,0,Dem Dale Frey,Dem
COLL,168,PCT 168,1966,1418,0,0,0,0,0,Dem Dale Frey,Dem
COLL,169,PCT 169,3534,2485,2,0,0,0,0,Dem Dale Frey,Dem
COLL,170,PCT 170,1921,1364,0,0,0,0,0,Dem Dale Frey,Dem
COLL,171,PCT 171,2980,1965,0,0,0,0,0,Dem Dale Frey,Dem
COLL,172,PCT 172,2941,2202,0,0,0,0,0,Dem Dale Frey,Dem
COLL,173,PCT 173,645,492,0,0,0,0,0,Dem Dale Frey,Dem
COLL,174,PCT 174,4648,2951,2,0,0,0,0,Dem Dale Frey,Dem
COLL,175,PCT 175,2083,1492,1,0,0,0,0,Dem Dale Frey,Dem
COLL,176,PCT 176,4064,2194,0,0,0,0,0,Dem Dale Frey,Dem
COLL,177,PCT 177,3532,2228,0,790,1314,0,124,Rep Brent Hagenbuch,Rep
COLL,178,PCT 178,3375,2404,1,0,0,0,0,Dem Dale Frey,Dem
COLL,179,PCT 179,4704,3766,0,0,0,0,0,Dem Dale Frey,Dem
COLL,180,PCT 180,3492,2359,1,0,0,0,0,Dem Dale Frey,Dem
COLL,181,PCT 181,3166,2049,0,0,0,0,0,Dem Dale Frey,Dem
COLL,182,PCT 182,4037,2765,1,0,0,0,0,Dem Dale Frey,Dem
COLL,183,PCT 183,171,120,0,0,0,0,0,Dem Dale Frey,Dem
COLL,184,PCT 184,3360,1910,0,918,875,0,117,Dem Dale Frey,Dem
COLL,185,PCT 185,3352,2450,1,0,0,0,0,Dem Dale Frey,Dem
COLL,186,PCT 186,764,536,0,0,0,0,0,Dem Dale Frey,Dem
COLL,187,PCT 187,1044,697,0,0,0,0,0,Dem Dale Frey,Dem
COLL,188,PCT 188,731,488,0,0,0,0,0,Dem Dale Frey,Dem
COLL,189,PCT 189,1473,1016,0,0,0,0,0,Dem Dale Frey,Dem
COLL,190,PCT 190,1038,802,0,0,0,0,0,Dem Dale Frey,Dem
COLL,191,PCT 191,967,582,1,0,0,0,0,Dem Dale Frey,Dem
COLL,192,PCT 192,4114,2896,0,0,0,0,0,Dem Dale Frey,Dem
COLL,193,PCT 193,1341,896,0,0,0,0,0,Dem Dale Frey,Dem
COLL,194,PCT 194,3375,2400,0,0,0,0,0,Dem Dale Frey,Dem
COLL,195,PCT 195,935,674,0,0,0,0,0,Dem Dale Frey,Dem
COLL,196,PCT 196,2001,1352,0,0,0,0,0,Dem Dale Frey,Dem
COLL,197,PCT 197,1270,858,0,0,0,0,0,Dem Dale Frey,Dem
COLL,198,PCT 198,2904,2327,0,0,0,0,0,Dem Dale Frey,Dem
COLL,199,PCT 199,4135,3196,0,0,0,0,0,Dem Dale Frey,Dem
COLL,200,PCT 200,2726,1894,0,0,0,0,0,Dem Dale Frey,Dem
COLL,201,PCT 201,0,0,0,0,0,0,0,Dem Dale Frey,Dem
COLL,202,PCT 202,2,2,0,0,0,0,0,Dem Dale Frey,Dem
COLL,203,PCT 203,3182,2344,0,0,0,0,0,Dem Dale Frey,Dem
COLL,204,PCT 204,354,282,0,0,0,0,0,Dem Dale Frey,Dem
COLL,205,PCT 205,4103,2879,2,0,0,0,0,Dem Dale Frey,Dem
COLL,206,PCT 206,2002,1431,0,0,0,0,0,Dem Dale Frey,Dem
COLL,207,PCT 207,4081,2925,1,0,0,0,0,Dem Dale Frey,Dem
COLL,208,PCT 208,4359,3323,0,0,0,0,0,Dem Dale Frey,Dem
COLL,209,PCT 209,172,125,0,45,72,0,7,Rep Brent Hagenbuch,Rep
COLL,210,PCT 210,1746,1290,0,0,0,0,0,Dem Dale Frey,Dem
COLL,211,PCT 211,3433,2455,0,0,0,0,0,Dem Dale Frey,Dem
COLL,212,PCT 212,2600,1945,0,839,960,0,146,Rep Brent Hagenbuch,Rep
COLL,213,PCT 213,3697,2611,0,0,0,0,0,Dem Dale Frey,Dem
COLL,214,PCT 214,3776,2920,0,0,0,0,0,Dem Dale Frey,Dem
COLL,215,PCT 215,3503,2092,1,0,0,0,0,Dem Dale Frey,Dem
COLL,216,PCT 216,4771,3565,0,0,0,0,0,Dem Dale Frey,Dem
COLL,217,PCT 217,3140,2190,1,0,0,0,0,Dem Dale Frey,Dem
COLL,218,PCT 218,4297,3093,1,0,0,0,0,Dem Dale Frey,Dem
COLL,219,PCT 219,4559,3137,1,0,0,0,0,Dem Dale Frey,Dem
COLL,220,PCT 220,2465,1745,0,810,822,0,113,Rep Brent Hagenbuch,Rep
COLL,221,PCT 221,2053,1470,0,0,0,0,0,Dem Dale Frey,Dem
COLL,222,PCT 222,3965,2870,1,0,0,0,0,Dem Dale Frey,Dem
COLL,223,PCT 223,2501,1839,0,0,0,0,0,Dem Dale Frey,Dem
COLL,224,PCT 224,3351,2568,1,0,0,0,0,Dem Dale Frey,Dem
COLL,225,PCT 225,3945,2807,2,1296,1307,0,204,Rep Brent Hagenbuch,Rep
COLL,226,PCT 226,4404,2945,0,0,0,0,0,Dem Dale Frey,Dem
COLL,227,PCT 227,4468,3160,0,0,0,0,0,Dem Dale Frey,Dem
COLL,228,PCT 228,4845,3037,1,0,0,0,0,Dem Dale Frey,Dem
COLL,229,PCT 229,2259,1494,0,696,715,0,83,Rep Brent Hagenbuch,Rep
COLL,230,PCT 230,4953,3021,0,0,0,0,0,Dem Dale Frey,Dem
COLL,231,PCT 231,3938,2850,0,0,0,0,0,Dem Dale Frey,Dem
COLL,232,PCT 232,3850,2755,0,0,0,0,0,Dem Dale Frey,Dem
COLL,233,PCT 233,2089,1443,0,0,0,0,0,Dem Dale Frey,Dem
COLL,234,PCT 234,3351,2585,0,1272,1180,0,133,Dem Dale Frey,Dem
COLL,235,PCT 235,1916,1332,3,0,0,0,0,Dem Dale Frey,Dem
COLL,236,PCT 236,3015,2217,1,0,0,0,0,Dem Dale Frey,Dem
COLL,237,PCT 237,2345,1522,3,0,0,0,0,Dem Dale Frey,Dem
COLL,238,PCT 238,4043,2583,0,0,0,0,0,Dem Dale Frey,Dem
COLL,239,PCT 239,4293,3051,0,0,0,0,0,Dem Dale Frey,Dem
COLL,240,PCT 240,4358,3212,0,0,0,0,0,Dem Dale Frey,Dem
COLL,241,PCT 241,1549,1115,0,0,0,0,0,Dem Dale Frey,Dem
COLL,242,PCT 242,3578,2604,0,0,0,0,0,Dem Dale Frey,Dem
COLL,243,PCT 243,1684,1272,0,0,0,0,0,Dem Dale Frey,Dem
COLL,244,PCT 244,3235,2337,0,922,1275,0,140,Rep Brent Hagenbuch,Rep
COLL,245,PCT 245,2764,1651,0,698,841,0,112,Rep Brent Hagenbuch,Rep
COLL,246,PCT 246,2859,2137,1,0,0,0,0,Dem Dale Frey,Dem
COLL,247,PCT 247,2436,1876,0,0,0,0,0,Dem Dale Frey,Dem
COLL,248,PCT 248,2328,1645,0,677,863,0,105,Rep Brent Hagenbuch,Rep
COLL,249,PCT 249,4743,3053,0,0,0,0,0,Dem Dale Frey,Dem
COLL,250,PCT 250,3886,3025,0,1377,1418,0,230,Rep Brent Hagenbuch,Rep
COLL,251,PCT 251,2568,1852,0,0,0,0,0,Dem Dale Frey,Dem
COLL,252,PCT 252,3149,2338,0,0,0,0,0,Dem Dale Frey,Dem
COLL,253,PCT 253,3111,2203,1,1023,1037,0,143,Rep Brent Hagenbuch,Rep
COLL,254,PCT 254,1286,806,0,0,0,0,0,Dem Dale Frey,Dem
COLL,255,PCT 255,3292,2440,1,0,0,0,0,Dem Dale Frey,Dem
COLL,256,PCT 256,767,540,0,0,0,0,0,Dem Dale Frey,Dem
COLL,257,PCT 257,1342,890,1,0,0,0,0,Dem Dale Frey,Dem
COLL,258,PCT 258,3045,2073,1,0,0,0,0,Dem Dale Frey,Dem
COLL,259,PCT 259,3698,2420,0,0,0,0,0,Dem Dale Frey,Dem
COLL,260,PCT 260,438,319,0,0,0,0,0,Dem Dale Frey,Dem
COLL,261,PCT 261,3221,2306,0,0,0,0,0,Dem Dale Frey,Dem
COLL,262,PCT 262,3038,2081,0,0,0,0,0,Dem Dale Frey,Dem
COLL,263,PCT 263,2055,1544,1,0,0,0,0,Dem Dale Frey,Dem
COLL,264,PCT 264,3994,2746,0,1055,1543,0,147,Rep Brent Hagenbuch,Rep
COLL,265,PCT 265,0,0,0,0,0,0,0,Dem Dale Frey,Dem
COLL,266,PCT 266,62,42,0,0,0,0,0,Dem Dale Frey,Dem
COLL,267,PCT 267,19,13,0,0,0,0,0,Dem Dale Frey,Dem
COLL,268,PCT 268,0,0,0,0,0,0,0,Dem Dale Frey,Dem
COLL,269,PCT 269,0,0,0,0,0,0,0,Dem Dale Frey,Dem
COLL,270,PCT 270,2,1,0,0,0,0,0,Dem Dale Frey,Dem
COLL,271,PCT 271,1035,750,0,272,434,0,45,Rep Brent Hagenbuch,Rep
COLL,272,PCT 272,1,1,0,0,0,0,0,Dem Dale Frey,Dem
COLL,273,PCT 273,260,202,0,0,0,0,0,Dem Dale Frey,Dem
