COUNTY NUMBER,PRECINCT CODE,PRECINCT NAME,REGISTERED VOTERS TOTAL,BALLOTS CAST TOTAL,BALLOTS CAST BLANK,Write-in,DEM Alex Cornwallis,LIB Christy Mowrey,REP Pam Little,OVER VOTES,UNDER VOTES,Winning Candidate,Winning Party,pct_int
COLL,24,PCT 024,2375,927,5,1,539,38,318,0,31,DEM Alex Cornwallis,DEM,24
COLL,25,PCT 025,3943,2150,8,2,972,77,1031,0,68,REP Pam Little,REP,25
COLL,26,PCT 026,1314,568,0,0,250,25,273,0,20,REP Pam Little,REP,26
COLL,27,PCT 027,2741,1317,0,1,501,45,720,0,50,REP Pam Little,REP,27
COLL,28,PCT 028,3618,2032,0,1,909,65,989,0,68,REP Pam Little,REP,28
COLL,29,PCT 029,2462,1383,0,0,381,39,933,0,30,REP Pam Little,REP,18
COLL,30,PCT 030,1002,530,0,0,191,22,303,0,14,REP Pam Little,REP,6
COLL,31,PCT 031,2058,1365,0,0,547,39,744,0,35,REP Pam Little,REP,31
COLL,32,PCT 032,2493,1546,0,0,624,50,817,0,55,REP Pam Little,REP,32
COLL,33,PCT 033,2508,1376,0,2,357,38,935,0,45,REP Pam Little,REP,17
COLL,34,PCT 034,4438,2448,0,0,1252,59,1049,0,88,DEM Alex Cornwallis,DEM,34
COLL,35,PCT 035,1733,887,0,0,124,30,703,0,30,REP Pam Little,REP,35
COLL,36,PCT 036,1985,1296,4,0,446,18,787,0,45,REP Pam Little,REP,36
COLL,37,PCT 037,2571,1392,1,0,180,32,1138,0,42,REP Pam Little,REP,37
COLL,38,PCT 038,3167,1369,0,2,675,49,605,0,38,DEM Alex Cornwallis,DEM,38
COLL,39,PCT 039,3081,1510,0,3,771,62,617,0,57,DEM Alex Cornwallis,DEM,39
COLL,40,PCT 040,3635,2040,1,2,689,72,1215,0,62,REP Pam Little,REP,40
COLL,41,PCT 041,1570,922,0,1,283,20,596,0,22,REP Pam Little,REP,15
COLL,42,PCT 042,1914,979,0,0,192,30,730,0,27,REP Pam Little,REP,42
COLL,43,PCT 043,3484,1467,0,2,706,57,657,0,45,DEM Alex Cornwallis,DEM,43
COLL,44,PCT 044,1722,664,0,0,285,23,324,0,32,REP Pam Little,REP,44
COLL,45,PCT 045,3462,1910,0,2,639,44,1179,0,46,REP Pam Little,REP,45
COLL,46,PCT 046,3160,1253,1,1,656,48,494,0,54,DEM Alex Cornwallis,DEM,46
COLL,47,PCT 047,2594,1391,0,0,663,53,635,0,40,DEM Alex Cornwallis,DEM,47
COLL,48,PCT 048,3780,2160,0,0,1063,67,968,0,62,DEM Alex Cornwallis,DEM,48
COLL,49,PCT 049,2367,1482,0,0,594,44,784,0,60,REP Pam Little,REP,49
COLL,50,PCT 050,3099,1174,0,2,655,45,431,0,41,DEM Alex Cornwallis,DEM,50
COLL,51,PCT 051,1727,645,0,0,358,20,249,0,18,DEM Alex Cornwallis,DEM,51
COLL,52,PCT 052,4417,1789,0,2,1004,64,660,0,59,DEM Alex Cornwallis,DEM,52
COLL,53,PCT 053,2230,1413,0,0,602,46,705,0,60,REP Pam Little,REP,53
COLL,54,PCT 054,3547,1585,1,1,876,51,601,0,56,DEM Alex Cornwallis,DEM,54
COLL,55,PCT 055,4130,2101,0,0,1227,69,699,0,106,DEM Alex Cornwallis,DEM,55
COLL,56,PCT 056,3326,1711,0,1,592,42,1007,0,69,REP Pam Little,REP,56
COLL,57,PCT 057,1514,746,0,1,297,22,403,0,24,REP Pam Little,REP,17
COLL,58,PCT 058,3704,1844,3,1,916,53,807,0,67,DEM Alex Cornwallis,DEM,58
COLL,59,PCT 059,4025,2078,0,0,789,65,1165,0,59,REP Pam Little,REP,59
COLL,60,PCT 060,2967,1792,0,0,554,48,1125,0,65,REP Pam Little,REP,60
COLL,61,PCT 061,1662,994,0,1,384,26,551,0,32,REP Pam Little,REP,61
COLL,62,PCT 062,2543,1385,1,1,690,56,584,0,55,DEM Alex Cornwallis,DEM,61
COLL,63,PCT 063,2039,1365,1,1,549,30,735,0,50,REP Pam Little,REP,63
COLL,64,PCT 064,2711,1446,0,0,690,52,656,0,48,DEM Alex Cornwallis,DEM,64
COLL,65,PCT 065,1265,721,0,0,317,28,353,0,23,REP Pam Little,REP,65
COLL,66,PCT 066,2193,1197,0,0,533,46,572,0,46,REP Pam Little,REP,66
COLL,67,PCT 067,2878,1486,0,0,681,41,719,0,45,REP Pam Little,REP,67
COLL,68,PCT 068,2014,930,1,0,425,43,426,0,36,REP Pam Little,REP,68
COLL,69,PCT 069,3793,2297,0,1,969,55,1184,0,88,REP Pam Little,REP,69
COLL,70,PCT 070,1916,1156,0,0,465,38,617,0,36,REP Pam Little,REP,70
COLL,71,PCT 071,1815,1111,0,1,516,21,523,0,50,REP Pam Little,REP,71
COLL,72,PCT 072,1562,919,0,0,370,27,494,0,28,REP Pam Little,REP,72
COLL,73,PCT 073,1999,906,3,0,522,31,319,0,34,DEM Alex Cornwallis,DEM,73
COLL,74,PCT 074,1930,1069,3,0,480,31,522,0,36,REP Pam Little,REP,74
COLL,75,PCT 075,2308,1334,0,0,481,35,769,0,49,REP Pam Little,REP,75
COLL,76,PCT 076,3323,1952,1,1,754,53,1064,0,80,REP Pam Little,REP,76
COLL,77,PCT 077,3696,1842,0,2,960,43,780,0,56,DEM Alex Cornwallis,DEM,76
COLL,78,PCT 078,4724,2246,1,3,1197,86,883,0,77,DEM Alex Cornwallis,DEM,78
COLL,79,PCT 079,2787,1325,9,2,581,35,664,0,43,REP Pam Little,REP,79
COLL,80,PCT 080,3640,1854,0,0,820,64,924,0,46,REP Pam Little,REP,80
COLL,81,PCT 081,2865,1535,1,0,745,55,672,0,63,DEM Alex Cornwallis,DEM,81
COLL,82,PCT 082,2983,1390,0,1,657,49,648,1,34,DEM Alex Cornwallis,DEM,82
COLL,83,PCT 083,4036,2063,0,1,611,56,1324,0,71,REP Pam Little,REP,83
COLL,84,PCT 084,2439,1317,9,1,553,23,693,0,47,REP Pam Little,REP,84
COLL,85,PCT 085,3209,1679,0,1,902,46,672,0,57,DEM Alex Cornwallis,DEM,85
COLL,86,PCT 086,2972,1728,0,1,729,47,893,0,58,REP Pam Little,REP,86
COLL,87,PCT 087,3017,1462,0,0,879,26,521,0,36,DEM Alex Cornwallis,DEM,87
COLL,88,PCT 088,2051,697,7,1,463,25,183,0,25,DEM Alex Cornwallis,DEM,88
COLL,89,PCT 089,3232,1783,0,1,800,45,888,0,49,REP Pam Little,REP,89
COLL,90,PCT 090,3267,1934,0,2,633,49,1186,0,64,REP Pam Little,REP,90
COLL,91,PCT 091,2319,1384,0,0,658,34,647,0,45,DEM Alex Cornwallis,DEM,91
COLL,92,PCT 092,4113,1733,0,0,824,59,801,0,49,DEM Alex Cornwallis,DEM,92
COLL,93,PCT 093,287,157,0,0,20,2,124,0,11,REP Pam Little,REP,93
COLL,94,PCT 094,4227,2445,0,2,1231,54,1088,0,70,DEM Alex Cornwallis,DEM,94
COLL,95,PCT 095,3101,1614,2,0,720,53,785,0,56,REP Pam Little,REP,95
COLL,96,PCT 096,1450,525,0,0,212,16,283,0,14,REP Pam Little,REP,96
COLL,97,PCT 097,1332,927,0,1,240,20,632,0,34,REP Pam Little,REP,97
COLL,98,PCT 098,1482,711,0,1,247,16,407,0,40,REP Pam Little,REP,98
COLL,99,PCT 099,291,126,0,0,73,6,45,0,2,pct_int,pct_int,99
COLL,100,PCT 100,897,412,0,0,109,12,274,0,17,REP Pam Little,REP,2
COLL,101,PCT 101,4006,2022,0,0,882,71,1024,0,45,REP Pam Little,REP,101
COLL,102,PCT 102,2552,1654,1,1,484,38,1081,0,50,REP Pam Little,REP,102
COLL,103,PCT 103,1401,570,0,0,288,18,243,0,21,DEM Alex Cornwallis,DEM,103
COLL,104,PCT 104,2569,847,4,0,524,28,267,0,28,DEM Alex Cornwallis,DEM,104
COLL,105,PCT 105,33,4,0,0,2,0,2,0,0,pct_int,pct_int,105
COLL,106,PCT 106,1937,1003,0,0,464,41,468,0,30,REP Pam Little,REP,106
COLL,107,PCT 107,3385,1951,0,1,916,65,913,0,56,DEM Alex Cornwallis,DEM,107
COLL,108,PCT 108,2970,1563,1,0,793,35,676,0,59,DEM Alex Cornwallis,DEM,108
COLL,109,PCT 109,4577,2453,0,2,964,60,1331,0,96,REP Pam Little,REP,109
COLL,110,PCT 110,2844,1563,1,0,670,49,795,0,49,REP Pam Little,REP,110
COLL,111,PCT 111,3027,1631,0,1,454,36,1104,0,36,REP Pam Little,REP,111
COLL,112,PCT 112,3135,1872,0,1,819,33,963,0,56,REP Pam Little,REP,112
COLL,113,PCT 113,3416,1506,0,3,663,71,710,0,59,REP Pam Little,REP,113
COLL,114,PCT 114,2533,1396,0,1,457,49,850,0,39,REP Pam Little,REP,114
COLL,115,PCT 115,3012,1729,10,1,833,44,775,0,76,DEM Alex Cornwallis,DEM,115
COLL,116,PCT 116,4920,2748,0,1,1090,53,1505,0,99,REP Pam Little,REP,116
COLL,117,PCT 117,4367,2120,1,1,960,56,1038,0,65,REP Pam Little,REP,117
COLL,118,PCT 118,4315,2281,1,2,882,58,1269,0,70,REP Pam Little,REP,118
COLL,119,PCT 119,2374,1411,0,2,630,33,699,0,47,REP Pam Little,REP,119
COLL,120,PCT 120,3666,2126,0,2,794,49,1220,0,61,REP Pam Little,REP,120
COLL,121,PCT 121,2837,1545,0,0,886,25,587,0,47,DEM Alex Cornwallis,DEM,121
COLL,122,PCT 122,5090,3024,0,0,878,74,1969,0,103,REP Pam Little,REP,122
COLL,123,PCT 123,2023,1141,0,0,430,27,645,0,39,REP Pam Little,REP,123
COLL,124,PCT 124,3253,1634,0,3,758,45,770,0,58,REP Pam Little,REP,124
COLL,125,PCT 125,2207,1136,0,1,576,38,486,0,35,DEM Alex Cornwallis,DEM,53
COLL,126,PCT 126,4804,2521,0,2,1115,80,1268,0,56,REP Pam Little,REP,126
COLL,127,PCT 127,3882,1912,0,1,869,47,932,0,63,REP Pam Little,REP,127
COLL,128,PCT 128,3071,1999,0,1,460,53,1422,0,63,REP Pam Little,REP,128
COLL,129,PCT 129,4501,2319,0,2,947,72,1240,0,58,REP Pam Little,REP,129
COLL,130,PCT 130,3867,2138,0,0,993,55,1018,0,72,REP Pam Little,REP,130
COLL,131,PCT 131,3119,1647,0,0,524,41,1027,0,55,REP Pam Little,REP,131
COLL,132,PCT 132,2834,1605,8,0,805,53,697,0,50,DEM Alex Cornwallis,DEM,132
COLL,133,PCT 133,2855,1177,0,1,456,53,623,0,44,REP Pam Little,REP,133
COLL,134,PCT 134,4014,1906,0,1,946,59,852,0,48,DEM Alex Cornwallis,DEM,134
COLL,135,PCT 135,4223,2152,2,1,1068,54,954,0,75,DEM Alex Cornwallis,DEM,135
COLL,136,PCT 136,2003,1232,1,1,501,31,662,0,37,REP Pam Little,REP,136
COLL,137,PCT 137,2003,1099,0,0,400,24,633,0,42,REP Pam Little,REP,137
COLL,138,PCT 138,2101,1361,1,1,567,44,692,0,57,REP Pam Little,REP,138
COLL,139,PCT 139,4196,2067,0,0,1065,56,895,0,51,DEM Alex Cornwallis,DEM,139
COLL,140,PCT 140,4861,2744,0,3,829,59,1770,0,83,REP Pam Little,REP,140
COLL,141,PCT 141,3457,2026,0,1,948,49,962,0,66,REP Pam Little,REP,141
COLL,142,PCT 142,2873,1741,15,0,855,43,783,0,60,DEM Alex Cornwallis,DEM,142
COLL,143,PCT 143,2158,1288,0,0,514,33,694,0,47,REP Pam Little,REP,143
COLL,144,PCT 144,2874,1594,4,0,615,41,878,0,60,REP Pam Little,REP,144
COLL,145,PCT 145,1731,896,1,0,442,28,400,0,26,DEM Alex Cornwallis,DEM,145
COLL,146,PCT 146,4877,2371,1,2,1073,73,1148,1,74,REP Pam Little,REP,146
COLL,147,PCT 147,2253,980,0,0,432,34,485,0,29,REP Pam Little,REP,147
COLL,148,PCT 148,661,405,1,0,142,11,229,0,23,REP Pam Little,REP,148
COLL,149,PCT 149,4476,2460,0,1,918,58,1413,0,70,REP Pam Little,REP,354
COLL,150,PCT 150,1145,781,0,0,237,23,500,0,22,REP Pam Little,REP,62
COLL,151,PCT 151,1772,893,0,0,429,24,418,0,22,DEM Alex Cornwallis,DEM,151
COLL,152,PCT 152,187,92,0,0,62,5,25,0,0,pct_int,pct_int,152
COLL,153,PCT 153,1135,575,1,0,222,14,317,0,23,REP Pam Little,REP,35
COLL,154,PCT 154,1938,1157,0,0,212,32,891,0,22,REP Pam Little,REP,154
COLL,155,PCT 155,2911,1553,0,0,599,39,876,0,39,REP Pam Little,REP,155
COLL,156,PCT 156,3726,1870,0,0,774,67,970,0,59,REP Pam Little,REP,156
COLL,157,PCT 157,4029,2164,0,1,981,51,1065,0,66,REP Pam Little,REP,157
COLL,158,PCT 158,2781,1427,0,1,734,41,608,0,43,DEM Alex Cornwallis,DEM,158
COLL,159,PCT 159,3284,1445,1,0,655,47,687,0,56,REP Pam Little,REP,159
COLL,160,PCT 160,434,283,0,0,24,4,245,0,10,REP Pam Little,REP,160
COLL,161,PCT 161,292,152,0,0,41,8,99,0,4,pct_int,pct_int,161
COLL,162,PCT 162,328,229,0,0,39,2,182,0,6,REP Pam Little,REP,162
COLL,163,PCT 163,2180,1028,0,0,395,29,582,0,22,REP Pam Little,REP,163
COLL,164,PCT 164,2052,1392,100,0,550,19,744,0,79,REP Pam Little,REP,164
COLL,165,PCT 165,934,557,0,0,174,17,351,0,15,REP Pam Little,REP,165
COLL,166,PCT 166,4174,2127,5,0,881,55,1115,0,76,REP Pam Little,REP,166
COLL,167,PCT 167,2117,1112,0,1,585,28,461,0,37,DEM Alex Cornwallis,DEM,70
COLL,168,PCT 168,1923,1113,1,1,293,43,727,0,49,REP Pam Little,REP,168
COLL,169,PCT 169,3342,1772,0,1,847,45,833,0,46,DEM Alex Cornwallis,DEM,169
COLL,170,PCT 170,1882,1007,3,0,343,27,590,0,47,REP Pam Little,REP,170
COLL,171,PCT 171,2490,1222,1,2,541,31,609,0,39,REP Pam Little,REP,171
COLL,172,PCT 172,6178,2987,0,3,919,125,1858,0,82,REP Pam Little,REP,172
COLL,173,PCT 173,650,389,0,0,109,4,269,0,7,REP Pam Little,REP,173
COLL,174,PCT 174,4497,2129,1,2,807,71,1171,0,78,REP Pam Little,REP,174
COLL,175,PCT 175,1978,1116,0,0,400,27,642,0,47,REP Pam Little,REP,175
COLL,176,PCT 176,4032,1467,0,0,781,65,589,0,32,DEM Alex Cornwallis,DEM,176
COLL,177,PCT 177,3203,1500,0,4,512,21,926,0,37,REP Pam Little,REP,177
COLL,178,PCT 178,3002,1556,0,0,349,54,1111,0,42,REP Pam Little,REP,178
COLL,179,PCT 179,4634,3237,0,3,745,59,2310,0,120,REP Pam Little,REP,179
COLL,180,PCT 180,3313,1580,0,0,706,56,770,0,48,REP Pam Little,REP,180
COLL,181,PCT 181,2563,1147,0,0,373,41,696,0,37,REP Pam Little,REP,181
COLL,182,PCT 182,3909,2004,0,1,845,59,1036,0,63,REP Pam Little,REP,182
COLL,183,PCT 183,163,68,0,0,19,1,47,0,1,pct_int,pct_int,368
COLL,184,PCT 184,3232,1307,1,1,638,53,580,0,35,DEM Alex Cornwallis,DEM,184
COLL,185,PCT 185,2645,1408,1,1,410,43,922,0,32,REP Pam Little,REP,9
COLL,186,PCT 186,719,405,0,0,40,8,348,0,9,pct_int,pct_int,373
COLL,187,PCT 187,830,409,0,1,142,14,241,0,12,REP Pam Little,REP,3
COLL,188,PCT 188,581,286,0,0,99,10,169,0,8,REP Pam Little,REP,2
COLL,189,PCT 189,1074,554,1,0,74,13,450,0,17,REP Pam Little,REP,379
COLL,190,PCT 190,954,586,0,0,116,13,441,0,16,REP Pam Little,REP,46
COLL,191,PCT 191,603,227,0,0,46,6,170,0,5,pct_int,pct_int,191
COLL,192,PCT 192,2869,1552,1,3,329,47,1129,0,45,REP Pam Little,REP,162
COLL,193,PCT 193,1224,621,0,1,118,21,461,0,20,REP Pam Little,REP,387
COLL,194,PCT 194,2493,1367,0,1,354,38,929,0,44,REP Pam Little,REP,16
COLL,195,PCT 195,916,541,0,0,113,23,387,0,18,REP Pam Little,REP,195
COLL,196,PCT 196,1904,994,0,1,374,42,550,0,27,REP Pam Little,REP,196
COLL,197,PCT 197,1283,681,0,0,356,14,283,0,28,DEM Alex Cornwallis,DEM,197
COLL,198,PCT 198,1643,1121,0,0,340,32,717,0,31,REP Pam Little,REP,88
COLL,199,PCT 199,3269,1928,0,0,475,57,1359,0,37,REP Pam Little,REP,199
COLL,200,PCT 200,1943,991,1,0,247,41,672,0,31,REP Pam Little,REP,200
COLL,201,PCT 201,0,0,0,0,0,0,0,0,0,pct_int,pct_int,201
COLL,202,PCT 202,2,2,0,0,2,0,0,0,0,pct_int,pct_int,202
COLL,203,PCT 203,3150,1853,0,1,584,56,1143,0,69,REP Pam Little,REP,203
COLL,204,PCT 204,349,230,0,0,63,5,152,0,10,pct_int,pct_int,204
COLL,205,PCT 205,3804,1928,5,0,745,45,1061,0,76,REP Pam Little,REP,118
COLL,206,PCT 206,1781,996,0,1,370,21,559,0,45,REP Pam Little,REP,206
COLL,207,PCT 207,3993,2125,1,0,729,63,1266,0,67,REP Pam Little,REP,207
COLL,208,PCT 208,3375,2140,0,1,680,57,1342,0,60,REP Pam Little,REP,208
COLL,209,PCT 209,169,87,0,0,33,3,51,0,1,REP Pam Little,REP,30
COLL,210,PCT 210,1661,914,1,0,462,22,396,0,34,DEM Alex Cornwallis,DEM,210
COLL,211,PCT 211,3302,1758,1,1,673,46,988,0,50,REP Pam Little,REP,211
COLL,212,PCT 212,5564,2799,1,1,1427,60,1224,0,87,DEM Alex Cornwallis,DEM,212
COLL,213,PCT 213,3612,1848,0,1,870,40,880,0,57,REP Pam Little,REP,213
COLL,214,PCT 214,3473,2130,0,0,420,49,1605,0,56,REP Pam Little,REP,168
COLL,215,PCT 215,2543,1056,0,0,296,32,686,0,42,REP Pam Little,REP,215
COLL,216,PCT 216,6210,3332,0,2,974,100,2172,0,84,REP Pam Little,REP,216
COLL,217,PCT 217,2919,1550,0,2,546,60,900,0,42,REP Pam Little,REP,217
COLL,218,PCT 218,4110,2281,1,0,1024,53,1135,0,69,REP Pam Little,REP,218
COLL,219,PCT 219,4072,2234,0,1,1007,67,1100,0,59,REP Pam Little,REP,219
COLL,220,PCT 220,2051,981,0,0,504,25,426,0,25,DEM Alex Cornwallis,DEM,97
COLL,221,PCT 221,2000,1119,0,0,349,30,705,0,35,REP Pam Little,REP,86
COLL,222,PCT 222,3575,1933,0,1,879,33,973,0,47,REP Pam Little,REP,222
COLL,223,PCT 223,2154,1196,0,0,505,24,636,0,31,REP Pam Little,REP,223
COLL,224,PCT 224,3036,1808,0,2,400,39,1318,0,49,REP Pam Little,REP,224
COLL,225,PCT 225,3815,1819,0,1,893,37,848,0,40,DEM Alex Cornwallis,DEM,225
COLL,226,PCT 226,4365,2250,0,2,1044,72,1051,0,81,REP Pam Little,REP,226
COLL,227,PCT 227,4310,2285,1,0,985,79,1150,0,71,REP Pam Little,REP,227
COLL,228,PCT 228,4161,1703,0,1,786,66,804,0,45,REP Pam Little,REP,180
COLL,229,PCT 229,1738,866,0,1,390,20,429,0,26,REP Pam Little,REP,229
COLL,230,PCT 230,4826,2039,0,1,986,69,931,0,52,DEM Alex Cornwallis,DEM,230
COLL,231,PCT 231,3247,1754,0,1,684,67,960,0,42,REP Pam Little,REP,231
COLL,232,PCT 232,3600,1991,0,0,722,60,1123,0,86,REP Pam Little,REP,232
COLL,233,PCT 233,1922,968,0,1,361,33,551,0,22,REP Pam Little,REP,233
COLL,234,PCT 234,2546,1484,0,0,726,26,703,0,29,DEM Alex Cornwallis,DEM,234
COLL,235,PCT 235,1874,966,0,0,461,14,449,0,42,DEM Alex Cornwallis,DEM,235
COLL,236,PCT 236,2889,1678,0,0,535,45,1051,0,47,REP Pam Little,REP,236
COLL,237,PCT 237,2253,1011,0,2,459,20,486,0,44,REP Pam Little,REP,237
COLL,238,PCT 238,3923,1715,0,0,871,56,739,0,49,DEM Alex Cornwallis,DEM,238
COLL,239,PCT 239,4257,2284,0,1,599,56,1581,0,47,REP Pam Little,REP,239
COLL,240,PCT 240,6041,3348,0,4,812,95,2360,0,77,REP Pam Little,REP,240
COLL,241,PCT 241,1507,870,3,1,363,28,442,0,36,REP Pam Little,REP,241
COLL,242,PCT 242,3356,1912,0,0,753,47,1061,0,51,REP Pam Little,REP,242
COLL,243,PCT 243,1517,915,0,0,248,29,614,0,24,REP Pam Little,REP,243
COLL,244,PCT 244,3107,1762,0,1,725,54,918,0,64,REP Pam Little,REP,244
COLL,245,PCT 245,2774,1151,0,0,495,31,588,0,37,REP Pam Little,REP,245
COLL,246,PCT 246,2832,1691,0,1,720,41,892,0,37,REP Pam Little,REP,246
COLL,247,PCT 247,2148,1364,0,1,342,35,952,0,34,REP Pam Little,REP,247
COLL,248,PCT 248,2116,1087,0,0,449,34,572,0,32,REP Pam Little,REP,248
COLL,249,PCT LB 96,0,380,0,0,0,0,0,0,0,pct_int,pct_int,249
COLL,250,PCT LB 97,0,188,0,0,0,0,0,0,0,pct_int,pct_int,250
COLL,251,PCT LB 98,0,9,0,0,0,0,0,0,0,pct_int,pct_int,251
COLL,252,PCT LB 99,0,0,0,0,0,0,0,0,0,pct_int,pct_int,252
COLL,253,PCT 253,2590,1238,0,1,637,31,538,0,32,DEM Alex Cornwallis,DEM,123
COLL,254,PCT 254,1104,452,0,0,209,18,214,0,12,REP Pam Little,REP,48
COLL,255,PCT 255,2764,1623,0,1,498,36,1049,0,39,REP Pam Little,REP,26
COLL,256,PCT 256,535,289,0,0,61,9,210,0,8,REP Pam Little,REP,30
COLL,257,PCT 257,924,441,0,0,158,20,249,0,13,REP Pam Little,REP,2
COLL,258,PCT 258,2989,1538,1,1,779,51,659,0,48,DEM Alex Cornwallis,DEM,72
COLL,259,PCT 259,3539,1743,0,2,693,51,941,0,55,REP Pam Little,REP,40
COLL,260,PCT 260,386,211,0,0,36,5,165,0,5,REP Pam Little,REP,2
COLL,261,PCT 261,3138,1755,0,0,547,48,1105,0,55,REP Pam Little,REP,135
COLL,262,PCT 262,2934,1541,0,1,811,38,640,0,51,DEM Alex Cornwallis,DEM,97
COLL,263,PCT 263,1519,853,0,0,235,24,576,0,18,REP Pam Little,REP,11
COLL,264,PCT 264,3907,2067,0,0,743,86,1183,0,55,REP Pam Little,REP,24
COLL,265,PCT 265,0,0,0,0,0,0,0,0,0,DEM Alex Cornwallis,DEM,0
COLL,266,PCT 266,62,34,0,0,17,1,14,0,1,DEM Alex Cornwallis,DEM,1
COLL,267,PCT 267,18,9,0,0,5,0,4,0,0,DEM Alex Cornwallis,DEM,0
COLL,268,PCT 268,0,0,0,0,0,0,0,0,0,DEM Alex Cornwallis,DEM,0
COLL,269,PCT 269,0,0,0,0,0,0,0,0,0,DEM Alex Cornwallis,DEM,0
COLL,270,PCT 270,1,1,0,0,0,0,1,0,0,REP Pam Little,REP,0
COLL,271,PCT 271,1017,526,0,0,197,16,308,0,4,REP Pam Little,REP,179
COLL,272,PCT 272,1,1,0,0,0,0,0,0,0,DEM Alex Cornwallis,DEM,0
COLL,273,PCT 273,176,109,0,0,27,2,79,0,1,REP Pam Little,REP,1
