COUNTY NUMBER,PRECINCT CODE,PRECINCT NAME,REGISTERED VOTERS TOTAL,BALLOTS CAST TOTAL,BALLOTS CAST BLANK,Andrew Rettke,Dash Weerasinghe,Elisa Klein,OVER VOTES,UNDER VOTES,Winning Candidate,Winning Party
COLLI,140,PCT 140,4611,938,0,0,0,0,0,0,Andrew Rettke,Andrew
COLLI,141,PCT 141,3441,508,0,40,156,263,0,49,Elisa Klein,Elisa
COLLI,142,PCT 142,2675,444,0,51,70,202,0,121,Elisa Klein,Elisa
COLLI,143,PCT 143,2043,203,0,22,69,89,0,23,Elisa Klein,Elisa
COLLI,144,PCT 144,2846,499,0,46,128,111,0,41,Dash Weerasinghe,Dash
COLLI,145,PCT 145,1706,75,0,0,0,0,0,0,Andrew Rettke,Andrew
COLLI,146,PCT 146,4694,521,0,0,0,0,0,0,Andrew Rettke,Andrew
COLLI,147,PCT 147,2102,56,0,0,0,0,0,0,Andrew Rettke,Andrew
COLLI,148,PCT 148,1208,256,0,0,0,0,0,0,Andrew Rettke,Andrew
COLLI,149,PCT 149,4479,919,0,0,0,0,0,0,Andrew Rettke,Andrew
COLLI,150,PCT 150,2276,135,0,0,0,0,0,0,Andrew Rettke,Andrew
COLLI,151,PCT 151,1825,66,0,0,0,0,0,0,Andrew Rettke,Andrew
COLLI,152,PCT 152,270,23,0,2,3,18,0,0,Elisa Klein,Elisa
COLLI,153,PCT 153,1206,160,0,0,0,0,0,0,Andrew Rettke,Andrew
COLLI,154,PCT 154,2925,421,0,0,0,0,0,0,Andrew Rettke,Andrew
COLLI,155,PCT 155,2904,455,0,0,0,0,0,0,Andrew Rettke,Andrew
COLLI,156,PCT 156,3665,535,0,0,0,0,0,0,Andrew Rettke,Andrew
COLLI,157,PCT 157,4265,181,0,0,0,0,0,0,Andrew Rettke,Andrew
COLLI,158,PCT 158,2808,246,0,23,61,130,0,32,Elisa Klein,Elisa
COLLI,159,PCT 159,3280,242,0,0,0,0,0,0,Andrew Rettke,Andrew
COLLI,160,PCT 160,546,53,0,0,0,0,0,0,Andrew Rettke,Andrew
COLLI,161,PCT 161,277,14,0,0,0,0,0,0,Andrew Rettke,Andrew
COLLI,162,PCT 162,904,43,0,0,0,0,0,0,Andrew Rettke,Andrew
COLLI,163,PCT 163,2103,205,0,0,0,0,0,0,Andrew Rettke,Andrew
COLLI,164,PCT 164,2290,328,0,26,85,135,0,82,Elisa Klein,Elisa
COLLI,165,PCT 165,944,208,0,32,31,71,0,74,Elisa Klein,Elisa
COLLI,166,PCT 166,4282,810,0,0,0,0,0,0,Andrew Rettke,Andrew
COLLI,167,PCT 167,2105,208,0,10,25,65,0,18,Elisa Klein,Elisa
COLLI,168,PCT 168,1909,444,0,0,0,0,0,0,Andrew Rettke,Andrew
COLLI,169,PCT 169,3407,478,0,0,0,0,0,0,Andrew Rettke,Andrew
COLLI,170,PCT 170,1852,215,0,0,0,0,0,0,Andrew Rettke,Andrew
COLLI,171,PCT 171,2912,85,0,0,0,0,0,0,Andrew Rettke,Andrew
COLLI,172,PCT 172,3152,171,0,0,0,0,0,0,Andrew Rettke,Andrew
COLLI,173,PCT 173,613,197,0,0,0,0,0,0,Andrew Rettke,Andrew
COLLI,174,PCT 174,4506,259,0,0,0,0,0,0,Andrew Rettke,Andrew
COLLI,175,PCT 175,2045,246,0,13,15,40,0,46,Elisa Klein,Elisa
COLLI,176,PCT 176,3706,122,0,6,20,46,0,17,Elisa Klein,Elisa
COLLI,177,PCT 177,3447,229,0,0,0,0,0,0,Andrew Rettke,Andrew
COLLI,178,PCT 178,3314,294,0,0,0,0,0,0,Andrew Rettke,Andrew
COLLI,179,PCT 179,4574,1059,0,0,0,0,0,0,Andrew Rettke,Andrew
COLLI,180,PCT 180,3435,336,0,0,0,0,0,0,Andrew Rettke,Andrew
COLLI,181,PCT 181,3214,152,0,0,0,0,0,0,Andrew Rettke,Andrew
COLLI,182,PCT 182,3888,157,0,0,0,0,0,0,Andrew Rettke,Andrew
COLLI,183,PCT 183,0,0,0,0,0,0,0,0,Andrew Rettke,Andrew
COLLI,184,PCT 184,3132,123,0,0,0,0,0,0,Andrew Rettke,Andrew
COLLI,185,PCT 185,3395,365,0,0,0,0,0,0,Andrew Rettke,Andrew
COLLI,186,PCT 186,753,104,0,0,0,0,0,0,Andrew Rettke,Andrew
COLLI,187,PCT 187,1075,65,0,0,0,0,0,0,Andrew Rettke,Andrew
COLLI,188,PCT 188,753,46,0,0,0,0,0,0,Andrew Rettke,Andrew
COLLI,189,PCT 189,1592,21,0,0,0,0,0,0,Andrew Rettke,Andrew
COLLI,190,PCT 190,1023,102,0,0,0,0,0,0,Andrew Rettke,Andrew
COLLI,191,PCT 191,0,0,0,0,0,0,0,0,Andrew Rettke,Andrew
COLLI,192,PCT 192,4396,78,0,0,0,0,0,0,Andrew Rettke,Andrew
COLLI,193,PCT 193,1311,44,0,0,0,0,0,0,Andrew Rettke,Andrew
COLLI,194,PCT 194,3631,165,0,0,0,0,0,0,Andrew Rettke,Andrew
COLLI,195,PCT 195,887,106,0,0,0,0,0,0,Andrew Rettke,Andrew
COLLI,196,PCT 196,1945,160,0,1,2,1,0,2,Dash Weerasinghe,Dash
COLLI,197,PCT 197,1239,117,0,11,22,65,0,19,Elisa Klein,Elisa
COLLI,198,PCT 198,3266,194,0,0,0,0,0,0,Andrew Rettke,Andrew
COLLI,199,PCT 199,4140,397,0,0,0,0,0,0,Andrew Rettke,Andrew
COLLI,200,PCT 200,2919,352,0,0,0,0,0,0,Andrew Rettke,Andrew
COLLI,201,PCT 201,0,0,0,0,0,0,0,0,Andrew Rettke,Andrew
COLLI,202,PCT 202,0,0,0,0,0,0,0,0,Andrew Rettke,Andrew
COLLI,203,PCT 203,3026,680,0,0,0,0,0,0,Andrew Rettke,Andrew
COLLI,204,PCT 204,344,95,0,0,0,0,0,0,Andrew Rettke,Andrew
COLLI,205,PCT 205,4039,537,0,1,0,0,0,0,Andrew Rettke,Andrew
COLLI,206,PCT 206,1921,314,0,0,0,0,0,0,Andrew Rettke,Andrew
COLLI,207,PCT 207,3918,535,0,0,0,0,0,0,Andrew Rettke,Andrew
COLLI,208,PCT 208,4399,523,0,0,0,0,0,0,Andrew Rettke,Andrew
COLLI,209,PCT 209,164,18,0,0,0,0,0,0,Andrew Rettke,Andrew
COLLI,210,PCT 210,1722,485,0,79,59,196,0,151,Elisa Klein,Elisa
COLLI,211,PCT 211,3321,492,0,0,0,0,0,0,Andrew Rettke,Andrew
COLLI,212,PCT 212,2580,492,0,0,0,0,0,0,Andrew Rettke,Andrew
COLLI,213,PCT 213,3574,420,0,0,0,0,0,0,Andrew Rettke,Andrew
COLLI,214,PCT 214,3720,369,0,0,0,0,0,0,Andrew Rettke,Andrew
COLLI,215,PCT 215,3591,22,0,0,0,0,0,0,Andrew Rettke,Andrew
COLLI,216,PCT 216,4794,794,0,0,0,0,0,0,Andrew Rettke,Andrew
COLLI,217,PCT 217,3075,197,0,0,0,0,0,0,Andrew Rettke,Andrew
COLLI,218,PCT 218,4195,142,0,0,0,0,0,0,Andrew Rettke,Andrew
COLLI,219,PCT 219,4482,193,0,0,0,0,0,0,Andrew Rettke,Andrew
COLLI,220,PCT 220,2490,382,0,0,0,0,0,0,Andrew Rettke,Andrew
COLLI,221,PCT 221,1976,374,0,0,0,0,0,0,Andrew Rettke,Andrew
COLLI,222,PCT 222,3875,209,0,0,0,0,0,0,Andrew Rettke,Andrew
COLLI,223,PCT 223,2490,121,0,0,0,0,0,0,Andrew Rettke,Andrew
COLLI,224,PCT 224,3284,289,0,0,0,0,0,0,Andrew Rettke,Andrew
COLLI,225,PCT 225,3829,651,0,0,0,0,0,0,Andrew Rettke,Andrew
COLLI,226,PCT 226,4259,482,0,0,0,0,0,0,Andrew Rettke,Andrew
