COUNTY NUMBER,PRECINCT CODE,PRECINCT NAME,REGISTERED VOTERS TOTAL,BALLOTS CAST TOTAL,BALLOTS CAST BLANK,REP Pat Fallon,DEM Iro Omere,LIB John Simmons,OVER VOTES,UNDER VOTES,Winning Candidate,Winning Party
COLL,79,PCT 079,2787,1325,9,666,596,30,0,33,REP Pat Fallon,REP
COLL,80,PCT 080,3640,1854,0,0,0,0,0,0,REP Pat Fallon,REP
COLL,81,PCT 081,2865,1535,1,0,0,0,0,0,REP Pat Fallon,REP
COLL,82,PCT 082,2983,1390,0,0,0,0,0,0,REP Pat Fallon,REP
COLL,83,PCT 083,4036,2063,0,0,0,0,0,0,REP Pat Fallon,REP
COLL,84,PCT 084,2439,1317,9,703,566,15,0,33,REP Pat Fallon,REP
COLL,85,PCT 085,3209,1679,0,690,901,42,0,45,DEM Iro Omere,DEM
COLL,86,PCT 086,2972,1728,0,0,0,0,0,0,REP Pat Fallon,REP
COLL,87,PCT 087,3017,1462,0,0,0,0,0,0,REP Pat Fallon,REP
COLL,88,PCT 088,2051,697,7,185,477,22,0,13,DEM Iro Omere,DEM
COLL,89,PCT 089,3232,1783,0,903,814,40,0,26,REP Pat Fallon,REP
COLL,90,PCT 090,3267,1934,0,0,0,0,0,0,REP Pat Fallon,REP
COLL,91,PCT 091,2319,1384,0,0,0,0,0,0,REP Pat Fallon,REP
COLL,92,PCT 092,4113,1733,0,818,835,49,0,31,DEM Iro Omere,DEM
COLL,93,PCT 093,287,157,0,0,0,0,0,0,REP Pat Fallon,REP
COLL,94,PCT 094,4227,2445,0,0,0,0,0,0,REP Pat Fallon,REP
COLL,95,PCT 095,3101,1614,2,0,0,0,0,0,REP Pat Fallon,REP
COLL,96,PCT 096,1450,525,0,0,0,0,0,0,REP Pat Fallon,REP
COLL,97,PCT 097,1332,927,0,0,0,0,0,0,REP Pat Fallon,REP
COLL,98,PCT 098,1482,711,0,0,0,0,0,0,REP Pat Fallon,REP
COLL,99,PCT 099,291,126,0,0,0,0,0,0,REP Pat Fallon,REP
COLL,100,PCT 100,897,412,0,0,0,0,0,0,REP Pat Fallon,REP
COLL,101,PCT 101,4006,2022,0,0,0,0,0,0,REP Pat Fallon,REP
COLL,102,PCT 102,2552,1654,1,0,0,0,0,0,REP Pat Fallon,REP
COLL,103,PCT 103,1401,570,0,0,0,0,0,0,REP Pat Fallon,REP
COLL,104,PCT 104,2569,847,4,274,537,26,0,10,DEM Iro Omere,DEM
COLL,105,PCT 105,33,4,0,2,2,0,0,0,REP Pat Fallon,REP
COLL,106,PCT 106,1937,1003,0,0,0,0,0,0,REP Pat Fallon,REP
COLL,107,PCT 107,3385,1951,0,0,0,0,0,0,REP Pat Fallon,REP
COLL,108,PCT 108,2970,1563,1,687,795,37,0,44,DEM Iro Omere,DEM
COLL,109,PCT 109,4577,2453,0,1371,982,52,0,48,REP Pat Fallon,REP
COLL,110,PCT 110,2844,1563,1,0,0,0,0,0,REP Pat Fallon,REP
COLL,111,PCT 111,3027,1631,0,1105,474,29,0,23,REP Pat Fallon,REP
COLL,112,PCT 112,3135,1872,0,0,0,0,0,0,REP Pat Fallon,REP
COLL,113,PCT 113,3416,1506,0,0,0,0,0,0,REP Pat Fallon,REP
COLL,114,PCT 114,2533,1396,0,0,0,0,0,0,REP Pat Fallon,REP
COLL,115,PCT 115,3012,1729,10,784,850,31,0,64,DEM Iro Omere,DEM
COLL,116,PCT 116,4920,2748,0,0,0,0,0,0,REP Pat Fallon,REP
COLL,117,PCT 117,4367,2120,1,0,0,0,0,0,REP Pat Fallon,REP
COLL,118,PCT 118,4315,2281,1,0,0,0,0,0,REP Pat Fallon,REP
COLL,119,PCT 119,2374,1411,0,0,0,0,0,0,REP Pat Fallon,REP
COLL,120,PCT 120,3666,2126,0,0,0,0,0,0,REP Pat Fallon,REP
COLL,121,PCT 121,2837,1545,0,0,0,0,0,0,REP Pat Fallon,REP
COLL,122,PCT 122,5090,3024,0,0,0,0,0,0,REP Pat Fallon,REP
COLL,123,PCT 123,2023,1141,0,647,441,28,0,25,REP Pat Fallon,REP
COLL,124,PCT 124,3253,1634,0,785,770,38,0,41,REP Pat Fallon,REP
COLL,125,PCT 125,2207,1136,0,0,0,0,0,0,REP Pat Fallon,REP
COLL,126,PCT 126,4804,2521,0,0,0,0,0,0,REP Pat Fallon,REP
COLL,127,PCT 127,3882,1912,0,0,0,0,0,0,REP Pat Fallon,REP
COLL,128,PCT 128,3071,1999,0,0,0,0,0,0,REP Pat Fallon,REP
COLL,129,PCT 129,4501,2319,0,0,0,0,0,0,REP Pat Fallon,REP
COLL,130,PCT 130,3867,2138,0,0,0,0,0,0,REP Pat Fallon,REP
COLL,131,PCT 131,3119,1647,0,0,0,0,0,0,REP Pat Fallon,REP
COLL,132,PCT 132,2834,1605,8,695,847,38,0,25,DEM Iro Omere,DEM
COLL,133,PCT 133,2855,1177,0,0,0,0,0,0,REP Pat Fallon,REP
COLL,134,PCT 134,4014,1906,0,869,960,44,0,33,DEM Iro Omere,DEM
COLL,135,PCT 135,4223,2152,2,965,1096,47,0,44,DEM Iro Omere,DEM
COLL,136,PCT 136,2003,1232,1,653,513,29,0,37,REP Pat Fallon,REP
COLL,137,PCT 137,2003,1099,0,0,0,0,0,0,REP Pat Fallon,REP
COLL,138,PCT 138,2101,1361,1,697,588,35,0,41,REP Pat Fallon,REP
COLL,139,PCT 139,4196,2067,0,894,1091,51,0,31,DEM Iro Omere,DEM
COLL,140,PCT 140,4861,2744,0,0,0,0,0,0,REP Pat Fallon,REP
COLL,141,PCT 141,3457,2026,0,0,0,0,0,0,REP Pat Fallon,REP
COLL,142,PCT 142,2873,1741,15,791,860,46,0,44,DEM Iro Omere,DEM
COLL,143,PCT 143,2158,1288,0,705,530,26,0,27,REP Pat Fallon,REP
COLL,144,PCT 144,2874,1594,4,0,0,0,0,0,REP Pat Fallon,REP
COLL,145,PCT 145,1731,896,1,0,0,0,0,0,REP Pat Fallon,REP
COLL,146,PCT 146,4877,2371,1,0,0,0,0,0,REP Pat Fallon,REP
COLL,147,PCT 147,2253,980,0,0,0,0,0,0,REP Pat Fallon,REP
COLL,148,PCT 148,661,405,1,0,0,0,0,0,REP Pat Fallon,REP
COLL,149,PCT 149,4476,2460,0,0,0,0,0,0,REP Pat Fallon,REP
COLL,150,PCT 150,1145,781,0,0,0,0,0,0,REP Pat Fallon,REP
COLL,151,PCT 151,1772,893,0,0,0,0,0,0,REP Pat Fallon,REP
COLL,152,PCT 152,187,92,0,0,0,0,0,0,REP Pat Fallon,REP
COLL,153,PCT 153,1135,575,1,0,0,0,0,0,REP Pat Fallon,REP
COLL,154,PCT 154,1938,1157,0,908,208,27,0,14,REP Pat Fallon,REP
COLL,155,PCT 155,2911,1553,0,0,0,0,0,0,REP Pat Fallon,REP
COLL,156,PCT 156,3726,1870,0,0,0,0,0,0,REP Pat Fallon,REP
COLL,157,PCT 157,4029,2164,0,0,0,0,0,0,REP Pat Fallon,REP
COLL,158,PCT 158,2781,1427,0,619,739,37,0,32,DEM Iro Omere,DEM
COLL,159,PCT 159,3284,1445,1,0,0,0,0,0,REP Pat Fallon,REP
COLL,160,PCT 160,434,283,0,0,0,0,0,0,REP Pat Fallon,REP
COLL,161,PCT 161,292,152,0,0,0,0,0,0,REP Pat Fallon,REP
COLL,162,PCT 162,328,229,0,0,0,0,0,0,REP Pat Fallon,REP
COLL,163,PCT 163,2180,1028,0,589,398,23,0,18,REP Pat Fallon,REP
COLL,164,PCT 164,2052,1392,100,719,583,30,0,60,REP Pat Fallon,REP
COLL,165,PCT 165,934,557,0,0,0,0,0,0,REP Pat Fallon,REP
COLL,166,PCT 166,4174,2127,5,0,0,0,0,0,REP Pat Fallon,REP
COLL,167,PCT 167,2117,1112,0,466,598,26,0,22,DEM Iro Omere,DEM
COLL,168,PCT 168,1923,1113,1,0,0,0,0,0,REP Pat Fallon,REP
COLL,169,PCT 169,3342,1772,0,0,0,0,0,0,REP Pat Fallon,REP
COLL,170,PCT 170,1882,1007,3,0,0,0,0,0,REP Pat Fallon,REP
COLL,171,PCT 171,2490,1222,1,0,0,0,0,0,REP Pat Fallon,REP
COLL,172,PCT 172,6178,2987,0,0,0,0,0,0,REP Pat Fallon,REP
COLL,173,PCT 173,650,389,0,0,0,0,0,0,REP Pat Fallon,REP
COLL,174,PCT 174,4497,2129,1,0,0,0,0,0,REP Pat Fallon,REP
COLL,175,PCT 175,1978,1116,0,0,0,0,0,0,REP Pat Fallon,REP
COLL,176,PCT 176,4032,1467,0,595,805,52,0,15,DEM Iro Omere,DEM
COLL,177,PCT 177,3203,1500,0,937,515,29,0,19,REP Pat Fallon,REP
COLL,178,PCT 178,3002,1556,0,0,0,0,0,0,REP Pat Fallon,REP
COLL,179,PCT 179,4634,3237,0,0,0,0,0,0,REP Pat Fallon,REP
COLL,180,PCT 180,3313,1580,0,787,715,41,0,37,REP Pat Fallon,REP
COLL,181,PCT 181,2563,1147,0,0,0,0,0,0,REP Pat Fallon,REP
COLL,182,PCT 182,3909,2004,0,0,0,0,0,0,REP Pat Fallon,REP
COLL,183,PCT 183,163,68,0,0,0,0,0,0,REP Pat Fallon,REP
COLL,184,PCT 184,3232,1307,1,587,666,38,0,16,DEM Iro Omere,DEM
COLL,185,PCT 185,2645,1408,1,0,0,0,0,0,REP Pat Fallon,REP
COLL,186,PCT 186,719,405,0,0,0,0,0,0,REP Pat Fallon,REP
COLL,187,PCT 187,830,409,0,0,0,0,0,0,REP Pat Fallon,REP
COLL,188,PCT 188,581,286,0,0,0,0,0,0,REP Pat Fallon,REP
COLL,189,PCT 189,1074,554,1,0,0,0,0,0,REP Pat Fallon,REP
COLL,190,PCT 190,954,586,0,0,0,0,0,0,REP Pat Fallon,REP
COLL,191,PCT 191,603,227,0,0,0,0,0,0,REP Pat Fallon,REP
COLL,192,PCT 192,2869,1552,1,0,0,0,0,0,REP Pat Fallon,REP
COLL,193,PCT 193,1224,621,0,0,0,0,0,0,REP Pat Fallon,REP
COLL,194,PCT 194,2493,1367,0,0,0,0,0,0,REP Pat Fallon,REP
COLL,195,PCT 195,916,541,0,0,0,0,0,0,REP Pat Fallon,REP
COLL,196,PCT 196,1904,994,0,0,0,0,0,0,REP Pat Fallon,REP
COLL,197,PCT 197,1283,681,0,0,0,0,0,0,REP Pat Fallon,REP
COLL,198,PCT 198,1643,1121,0,0,0,0,0,0,REP Pat Fallon,REP
COLL,199,PCT 199,3269,1928,0,1386,487,40,0,15,REP Pat Fallon,REP
COLL,200,PCT 200,1943,991,1,0,0,0,0,0,REP Pat Fallon,REP
COLL,201,PCT 201,0,0,0,0,0,0,0,0,REP Pat Fallon,REP
COLL,202,PCT 202,2,2,0,0,0,0,0,0,REP Pat Fallon,REP
COLL,203,PCT 203,3150,1853,0,0,0,0,0,0,REP Pat Fallon,REP
COLL,204,PCT 204,349,230,0,0,0,0,0,0,REP Pat Fallon,REP
COLL,205,PCT 205,3804,1928,5,0,0,0,0,0,REP Pat Fallon,REP
COLL,206,PCT 206,1781,996,0,0,0,0,0,0,REP Pat Fallon,REP
COLL,207,PCT 207,3993,2125,1,0,0,0,0,0,REP Pat Fallon,REP
COLL,208,PCT 208,3375,2140,0,0,0,0,0,0,REP Pat Fallon,REP
COLL,209,PCT 209,169,87,0,52,32,3,0,1,REP Pat Fallon,REP
COLL,210,PCT 210,1661,914,1,0,0,0,0,0,REP Pat Fallon,REP
COLL,211,PCT 211,3302,1758,1,0,0,0,0,0,REP Pat Fallon,REP
COLL,212,PCT 212,5564,2799,1,1248,1440,65,0,46,DEM Iro Omere,DEM
COLL,213,PCT 213,3612,1848,0,898,863,53,0,34,REP Pat Fallon,REP
COLL,214,PCT 214,3473,2130,0,0,0,0,0,0,REP Pat Fallon,REP
COLL,215,PCT 215,2543,1056,0,0,0,0,0,0,REP Pat Fallon,REP
COLL,216,PCT 216,6210,3332,0,0,0,0,0,0,REP Pat Fallon,REP
COLL,217,PCT 217,2919,1550,0,0,0,0,0,0,REP Pat Fallon,REP
COLL,218,PCT 218,4110,2281,1,0,0,0,0,0,REP Pat Fallon,REP
COLL,219,PCT 219,4072,2234,0,0,0,0,0,0,REP Pat Fallon,REP
COLL,220,PCT 220,2051,981,0,443,505,19,0,14,DEM Iro Omere,DEM
COLL,221,PCT 221,2000,1119,0,0,0,0,0,0,REP Pat Fallon,REP
COLL,222,PCT 222,3575,1933,0,0,0,0,0,0,REP Pat Fallon,REP
COLL,223,PCT 223,2154,1196,0,0,0,0,0,0,REP Pat Fallon,REP
COLL,224,PCT 224,3036,1808,0,0,0,0,0,0,REP Pat Fallon,REP
COLL,225,PCT 225,3815,1819,0,853,912,27,1,26,DEM Iro Omere,DEM
COLL,226,PCT 226,4365,2250,0,1070,1075,60,0,45,DEM Iro Omere,DEM
COLL,227,PCT 227,4310,2285,1,0,0,0,0,0,REP Pat Fallon,REP
COLL,228,PCT 228,4161,1703,0,0,0,0,0,0,REP Pat Fallon,REP
COLL,229,PCT 229,1738,866,0,439,395,14,0,18,REP Pat Fallon,REP
COLL,230,PCT 230,4826,2039,0,0,0,0,0,0,REP Pat Fallon,REP
COLL,231,PCT 231,3247,1754,0,0,0,0,0,0,REP Pat Fallon,REP
COLL,232,PCT 232,3600,1991,0,0,0,0,0,0,REP Pat Fallon,REP
COLL,233,PCT 233,1922,968,0,0,0,0,0,0,REP Pat Fallon,REP
COLL,234,PCT 234,2546,1484,0,0,0,0,0,0,REP Pat Fallon,REP
COLL,235,PCT 235,1874,966,0,452,474,17,0,23,DEM Iro Omere,DEM
COLL,236,PCT 236,2889,1678,0,0,0,0,0,0,REP Pat Fallon,REP
COLL,237,PCT 237,2253,1011,0,0,0,0,0,0,REP Pat Fallon,REP
COLL,238,PCT 238,3923,1715,0,0,0,0,0,0,REP Pat Fallon,REP
COLL,239,PCT 239,4257,2284,0,0,0,0,0,0,REP Pat Fallon,REP
COLL,240,PCT 240,6041,3348,0,0,0,0,0,0,REP Pat Fallon,REP
COLL,241,PCT 241,1507,870,3,0,0,0,0,0,REP Pat Fallon,REP
COLL,242,PCT 242,3356,1912,0,0,0,0,0,0,REP Pat Fallon,REP
COLL,243,PCT 243,1517,915,0,0,0,0,0,0,REP Pat Fallon,REP
COLL,244,PCT 244,3107,1762,0,0,0,0,0,0,REP Pat Fallon,REP
COLL,245,PCT 245,2774,1151,0,592,509,26,0,24,REP Pat Fallon,REP
COLL,246,PCT 246,2832,1691,0,0,0,0,0,0,REP Pat Fallon,REP
COLL,247,PCT 247,2148,1364,0,0,0,0,0,0,REP Pat Fallon,REP
COLL,248,PCT 248,2116,1087,0,590,450,27,0,20,REP Pat Fallon,REP
COLL,249,PCT LB 96,0,380,0,0,0,0,0,0,REP Pat Fallon,REP
COLL,250,PCT LB 97,0,188,0,0,0,0,0,0,REP Pat Fallon,REP
COLL,251,PCT LB 98,0,9,0,0,0,0,0,0,REP Pat Fallon,REP
COLL,252,PCT LB 99,0,0,0,0,0,0,0,0,REP Pat Fallon,REP
COLL,253,PCT 253,2590,1238,0,559,637,24,0,18,DEM Iro Omere,DEM
COLL,254,PCT 254,1104,452,0,0,0,0,0,0,REP Pat Fallon,REP
COLL,255,PCT 255,2764,1623,0,0,0,0,0,0,REP Pat Fallon,REP
COLL,256,PCT 256,535,289,0,0,0,0,0,0,REP Pat Fallon,REP
COLL,257,PCT 257,924,441,0,0,0,0,0,0,REP Pat Fallon,REP
COLL,258,PCT 258,2989,1538,1,0,0,0,0,0,REP Pat Fallon,REP
COLL,259,PCT 259,3539,1743,0,0,0,0,0,0,REP Pat Fallon,REP
COLL,260,PCT 260,386,211,0,168,36,5,0,2,REP Pat Fallon,REP
COLL,261,PCT 261,3138,1755,0,0,0,0,0,0,REP Pat Fallon,REP
COLL,262,PCT 262,2934,1541,0,646,829,35,0,31,DEM Iro Omere,DEM
COLL,263,PCT 263,1519,853,0,593,234,18,0,8,REP Pat Fallon,REP
COLL,264,PCT 264,3907,2067,0,1193,761,77,0,36,REP Pat Fallon,REP
COLL,265,PCT 265,0,0,0,0,0,0,0,0,REP Pat Fallon,REP
COLL,266,PCT 266,62,34,0,15,18,1,0,1,DEM Iro Omere,DEM
COLL,267,PCT 267,18,9,0,4,5,0,0,0,DEM Iro Omere,DEM
COLL,268,PCT 268,0,0,0,0,0,0,0,0,REP Pat Fallon,REP
COLL,269,PCT 269,0,0,0,0,0,0,0,0,REP Pat Fallon,REP
COLL,270,PCT 270,1,1,0,1,0,0,0,0,REP Pat Fallon,REP
COLL,271,PCT 271,1017,526,0,311,194,17,0,3,REP Pat Fallon,REP
COLL,272,PCT 272,1,1,0,0,0,0,0,0,REP Pat Fallon,REP
COLL,273,PCT 273,176,109,0,0,0,0,0,0,REP Pat Fallon,REP
