COUNTY NUMBER,PRECINCT CODE,PRECINCT NAME,REGISTERED VOTERS TOTAL,BALLOTS CAST TOTAL,BALLOTS CAST BLANK,Dem Bonnie Lee Goldstein,Lib J. David Roberson,Rep Jane Bland,OVER VOTES,UNDER VOTES,Winning Candidate,Winning Party
COLL,67,PCT 067,3003,1995,1,895,47,920,0,133,Rep Jane Bland,Rep
COLL,68,PCT 068,2042,1285,1,599,49,562,0,75,Dem Bonnie Lee Goldstein,Dem
COLL,69,PCT 069,3878,2831,0,1204,63,1435,0,129,Rep Jane Bland,Rep
COLL,70,PCT 070,1912,1416,0,560,47,754,0,55,Rep Jane Bland,Rep
COLL,71,PCT 071,1812,1314,0,586,37,638,0,53,Rep Jane Bland,Rep
COLL,72,PCT 072,1732,1249,2,516,38,643,0,52,Rep Jane Bland,Rep
COLL,73,PCT 073,1936,1122,6,605,35,427,0,55,Dem Bonnie Lee Goldstein,Dem
COLL,74,PCT 074,1988,1373,9,546,34,717,0,76,Rep Jane Bland,Rep
COLL,75,PCT 075,2381,1701,0,643,45,924,0,89,Rep Jane Bland,Rep
COLL,76,PCT 076,3331,2363,4,924,73,1244,0,122,Rep Jane Bland,Rep
COLL,77,PCT 077,3677,2432,0,1192,82,1016,0,142,Dem Bonnie Lee Goldstein,Dem
COLL,78,PCT 078,4899,3053,2,1601,87,1196,0,169,Dem Bonnie Lee Goldstein,Dem
COLL,79,PCT 079,2773,1660,17,664,51,836,0,109,Rep Jane Bland,Rep
COLL,80,PCT 080,3657,2509,0,1039,75,1236,0,159,Rep Jane Bland,Rep
COLL,81,PCT 081,2973,2031,1,946,93,874,0,118,Dem Bonnie Lee Goldstein,Dem
COLL,82,PCT 082,3005,1870,0,849,79,845,0,97,Dem Bonnie Lee Goldstein,Dem
COLL,83,PCT 083,4265,2914,1,887,88,1805,0,134,Rep Jane Bland,Rep
COLL,84,PCT 084,2541,1705,11,727,40,855,0,83,Rep Jane Bland,Rep
COLL,85,PCT 085,3423,2301,1,1185,69,919,0,129,Dem Bonnie Lee Goldstein,Dem
COLL,86,PCT 086,3050,2194,0,934,61,1099,0,100,Rep Jane Bland,Rep
COLL,87,PCT 087,3486,2531,0,1194,72,1083,0,182,Dem Bonnie Lee Goldstein,Dem
COLL,88,PCT 088,1661,726,7,431,23,230,0,42,Dem Bonnie Lee Goldstein,Dem
COLL,89,PCT 089,3267,2264,0,1018,52,1070,0,124,Rep Jane Bland,Rep
COLL,90,PCT 090,3268,2400,0,791,55,1431,0,123,Rep Jane Bland,Rep
COLL,91,PCT 091,2325,1659,1,763,50,774,0,72,Rep Jane Bland,Rep
COLL,92,PCT 092,4619,2877,0,1281,105,1320,0,171,Rep Jane Bland,Rep
COLL,93,PCT 093,297,222,1,26,3,183,0,10,Rep Jane Bland,Rep
COLL,94,PCT 094,4318,3088,0,1450,78,1392,0,168,Dem Bonnie Lee Goldstein,Dem
COLL,95,PCT 095,3171,2237,0,943,83,1062,0,149,Rep Jane Bland,Rep
COLL,96,PCT 096,1509,782,0,312,29,398,0,43,Rep Jane Bland,Rep
COLL,97,PCT 097,1344,1070,0,275,18,721,0,56,Rep Jane Bland,Rep
COLL,98,PCT 098,1618,1019,0,401,24,538,0,56,Rep Jane Bland,Rep
COLL,99,PCT 099,403,257,0,130,10,99,0,18,Dem Bonnie Lee Goldstein,Dem
COLL,100,PCT 100,1545,1024,0,323,40,598,0,62,Rep Jane Bland,Rep
COLL,101,PCT 101,4300,2865,0,1196,82,1443,0,144,Rep Jane Bland,Rep
COLL,102,PCT 102,2555,1957,0,588,49,1236,0,84,Rep Jane Bland,Rep
COLL,103,PCT 103,1419,810,0,385,28,334,0,63,Dem Bonnie Lee Goldstein,Dem
COLL,104,PCT 104,2426,1167,4,693,57,362,0,55,Dem Bonnie Lee Goldstein,Dem
COLL,105,PCT 105,173,115,0,65,4,40,0,6,Dem Bonnie Lee Goldstein,Dem
COLL,106,PCT 106,1869,1255,1,533,44,615,0,63,Rep Jane Bland,Rep
COLL,107,PCT 107,3373,2417,0,1119,51,1121,0,126,Rep Jane Bland,Rep
COLL,108,PCT 108,2997,2047,1,956,75,886,0,130,Dem Bonnie Lee Goldstein,Dem
COLL,109,PCT 109,4859,3312,0,1253,78,1822,0,159,Rep Jane Bland,Rep
COLL,110,PCT 110,2816,1947,1,823,76,954,0,94,Rep Jane Bland,Rep
COLL,111,PCT 111,3096,2183,0,634,53,1394,0,102,Rep Jane Bland,Rep
COLL,112,PCT 112,3166,2322,0,975,48,1167,0,132,Rep Jane Bland,Rep
COLL,113,PCT 113,3351,2087,0,900,91,975,0,121,Rep Jane Bland,Rep
COLL,114,PCT 114,4252,3062,0,1100,90,1702,0,170,Rep Jane Bland,Rep
COLL,115,PCT 115,2995,2123,15,986,45,970,0,122,Dem Bonnie Lee Goldstein,Dem
COLL,116,PCT 116,5006,3553,1,1409,99,1867,0,178,Rep Jane Bland,Rep
COLL,117,PCT 117,4426,2934,2,1221,100,1426,0,187,Rep Jane Bland,Rep
COLL,118,PCT 118,4297,2996,0,1112,67,1639,0,178,Rep Jane Bland,Rep
COLL,119,PCT 119,2398,1696,2,724,52,844,0,76,Rep Jane Bland,Rep
COLL,120,PCT 120,3653,2693,0,951,80,1524,0,138,Rep Jane Bland,Rep
COLL,121,PCT 121,2892,1952,1,1001,54,786,0,111,Dem Bonnie Lee Goldstein,Dem
COLL,122,PCT 122,4972,3708,1,1075,73,2360,0,200,Rep Jane Bland,Rep
COLL,123,PCT 123,2078,1458,0,584,38,778,0,58,Rep Jane Bland,Rep
COLL,124,PCT 124,3288,2171,1,987,54,1011,0,119,Rep Jane Bland,Rep
COLL,125,PCT 125,2250,1532,0,729,66,614,0,123,Dem Bonnie Lee Goldstein,Dem
COLL,126,PCT 126,4969,3443,0,1439,120,1697,0,187,Rep Jane Bland,Rep
COLL,127,PCT 127,3929,2671,1,1153,73,1267,1,177,Rep Jane Bland,Rep
COLL,128,PCT 128,3137,2395,0,503,68,1714,0,110,Rep Jane Bland,Rep
COLL,129,PCT 129,4643,3072,0,1224,83,1586,0,179,Rep Jane Bland,Rep
COLL,130,PCT 130,3972,2813,1,1239,83,1322,0,169,Rep Jane Bland,Rep
COLL,131,PCT 131,3151,2136,0,695,71,1247,0,123,Rep Jane Bland,Rep
COLL,132,PCT 132,2874,2016,6,1005,58,870,0,83,Dem Bonnie Lee Goldstein,Dem
COLL,133,PCT 133,2939,1791,0,682,75,930,0,104,Rep Jane Bland,Rep
COLL,134,PCT 134,4149,2771,0,1237,87,1274,0,173,Rep Jane Bland,Rep
COLL,135,PCT 135,4286,2900,0,1348,93,1259,0,200,Dem Bonnie Lee Goldstein,Dem
COLL,136,PCT 136,1978,1427,10,591,35,737,0,64,Rep Jane Bland,Rep
COLL,137,PCT 137,2004,1418,0,539,30,792,0,57,Rep Jane Bland,Rep
COLL,138,PCT 138,2349,1774,0,805,49,831,0,89,Rep Jane Bland,Rep
COLL,139,PCT 139,4130,2721,0,1298,65,1189,0,169,Dem Bonnie Lee Goldstein,Dem
COLL,140,PCT 140,4848,3591,0,1097,96,2239,0,159,Rep Jane Bland,Rep
COLL,141,PCT 141,3514,2511,0,1102,103,1183,0,123,Rep Jane Bland,Rep
COLL,142,PCT 142,2797,2040,17,942,52,929,0,117,Dem Bonnie Lee Goldstein,Dem
COLL,143,PCT 143,2165,1543,0,601,46,838,0,58,Rep Jane Bland,Rep
COLL,144,PCT 144,2956,2072,1,778,64,1101,0,129,Rep Jane Bland,Rep
COLL,145,PCT 145,1780,1237,1,554,34,573,0,76,Rep Jane Bland,Rep
COLL,146,PCT 146,4860,3233,0,1369,106,1553,0,205,Rep Jane Bland,Rep
COLL,147,PCT 147,2281,1409,0,624,53,645,0,87,Rep Jane Bland,Rep
COLL,148,PCT 148,1133,851,0,284,48,421,0,98,Rep Jane Bland,Rep
COLL,149,PCT 149,4656,3337,0,1167,104,1901,0,165,Rep Jane Bland,Rep
COLL,150,PCT 150,2024,1621,0,551,41,961,0,69,Rep Jane Bland,Rep
COLL,151,PCT 151,1856,1296,0,585,42,586,0,83,Rep Jane Bland,Rep
COLL,152,PCT 152,231,119,0,75,2,36,0,6,Dem Bonnie Lee Goldstein,Dem
COLL,153,PCT 153,1225,860,0,320,36,450,0,54,Rep Jane Bland,Rep
COLL,154,PCT 154,2771,2102,0,401,41,1570,0,90,Rep Jane Bland,Rep
COLL,155,PCT 155,3016,2129,1,772,40,1209,0,108,Rep Jane Bland,Rep
COLL,156,PCT 156,3797,2569,0,1003,99,1304,0,163,Rep Jane Bland,Rep
COLL,157,PCT 157,4358,3111,1,1350,84,1512,0,165,Rep Jane Bland,Rep
COLL,158,PCT 158,2851,1955,0,890,66,856,0,143,Dem Bonnie Lee Goldstein,Dem
COLL,159,PCT 159,3385,2049,1,876,78,940,0,155,Rep Jane Bland,Rep
COLL,160,PCT 160,530,430,0,55,7,356,0,12,Rep Jane Bland,Rep
COLL,161,PCT 161,298,192,0,51,4,129,0,8,Rep Jane Bland,Rep
COLL,162,PCT 162,687,558,0,157,16,364,0,21,Rep Jane Bland,Rep
COLL,163,PCT 163,2188,1474,0,551,40,781,0,102,Rep Jane Bland,Rep
COLL,164,PCT 164,2330,1845,80,672,27,1010,0,136,Rep Jane Bland,Rep
COLL,165,PCT 165,972,736,0,207,29,455,0,45,Rep Jane Bland,Rep
COLL,166,PCT 166,4384,3051,0,1171,134,1517,0,229,Rep Jane Bland,Rep
COLL,167,PCT 167,2192,1501,0,734,41,640,0,85,Dem Bonnie Lee Goldstein,Dem
COLL,168,PCT 168,1966,1418,0,366,51,937,0,64,Rep Jane Bland,Rep
COLL,169,PCT 169,3534,2485,2,1074,85,1182,0,144,Rep Jane Bland,Rep
COLL,170,PCT 170,1921,1364,0,458,41,789,0,76,Rep Jane Bland,Rep
COLL,171,PCT 171,2980,1965,0,815,68,922,0,160,Rep Jane Bland,Rep
COLL,172,PCT 172,2941,2202,0,627,79,1412,0,84,Rep Jane Bland,Rep
COLL,173,PCT 173,645,492,0,129,10,326,0,27,Rep Jane Bland,Rep
COLL,174,PCT 174,4648,2951,2,1077,111,1594,0,169,Rep Jane Bland,Rep
COLL,175,PCT 175,2083,1492,1,485,52,876,0,79,Rep Jane Bland,Rep
COLL,176,PCT 176,4064,2194,0,1091,74,908,0,121,Dem Bonnie Lee Goldstein,Dem
COLL,177,PCT 177,3532,2228,0,787,57,1278,0,106,Rep Jane Bland,Rep
COLL,178,PCT 178,3375,2404,1,588,67,1653,0,96,Rep Jane Bland,Rep
COLL,179,PCT 179,4704,3766,0,927,68,2616,0,155,Rep Jane Bland,Rep
COLL,180,PCT 180,3492,2359,1,935,83,1196,0,145,Rep Jane Bland,Rep
COLL,181,PCT 181,3166,2049,0,666,95,1178,0,110,Rep Jane Bland,Rep
COLL,182,PCT 182,4037,2765,1,1139,88,1372,0,166,Rep Jane Bland,Rep
COLL,183,PCT 183,171,120,0,24,6,80,0,10,Rep Jane Bland,Rep
COLL,184,PCT 184,3360,1910,0,884,75,851,0,100,Dem Bonnie Lee Goldstein,Dem
COLL,185,PCT 185,3352,2450,1,736,84,1512,0,119,Rep Jane Bland,Rep
COLL,186,PCT 186,764,536,0,55,10,443,0,28,Rep Jane Bland,Rep
COLL,187,PCT 187,1044,697,0,235,23,403,0,35,Rep Jane Bland,Rep
COLL,188,PCT 188,731,488,0,165,16,283,0,25,Rep Jane Bland,Rep
COLL,189,PCT 189,1473,1016,0,176,37,757,0,46,Rep Jane Bland,Rep
COLL,190,PCT 190,1038,802,0,169,16,588,0,30,Rep Jane Bland,Rep
COLL,191,PCT 191,967,582,1,191,12,341,0,38,Rep Jane Bland,Rep
COLL,192,PCT 192,4114,2896,0,650,80,2006,0,160,Rep Jane Bland,Rep
COLL,193,PCT 193,1341,896,0,183,26,643,0,44,Rep Jane Bland,Rep
COLL,194,PCT 194,3375,2400,0,694,70,1501,0,135,Rep Jane Bland,Rep
COLL,195,PCT 195,935,674,0,140,26,476,0,32,Rep Jane Bland,Rep
COLL,196,PCT 196,2001,1352,0,498,44,734,0,76,Rep Jane Bland,Rep
COLL,197,PCT 197,1270,858,0,411,26,369,0,52,Dem Bonnie Lee Goldstein,Dem
COLL,198,PCT 198,2904,2327,0,791,58,1379,0,98,Rep Jane Bland,Rep
COLL,199,PCT 199,4135,3196,0,816,76,2179,0,125,Rep Jane Bland,Rep
COLL,200,PCT 200,2726,1894,0,521,51,1216,0,106,Rep Jane Bland,Rep
COLL,201,PCT 201,0,0,0,0,0,0,0,0,Dem Bonnie Lee Goldstein,Dem
COLL,202,PCT 202,2,2,0,2,0,0,0,0,Dem Bonnie Lee Goldstein,Dem
COLL,203,PCT 203,3182,2344,0,731,54,1441,0,118,Rep Jane Bland,Rep
COLL,204,PCT 204,354,282,0,93,3,172,0,14,Rep Jane Bland,Rep
COLL,205,PCT 205,4103,2879,2,1070,121,1508,0,180,Rep Jane Bland,Rep
COLL,206,PCT 206,2002,1431,0,478,40,849,0,64,Rep Jane Bland,Rep
COLL,207,PCT 207,4081,2925,1,1006,92,1684,0,143,Rep Jane Bland,Rep
COLL,208,PCT 208,4359,3323,0,1055,96,1995,0,177,Rep Jane Bland,Rep
COLL,209,PCT 209,172,125,0,45,3,71,0,6,Rep Jane Bland,Rep
COLL,210,PCT 210,1746,1290,0,568,54,558,0,110,Dem Bonnie Lee Goldstein,Dem
COLL,211,PCT 211,3433,2455,0,897,68,1339,0,151,Rep Jane Bland,Rep
COLL,212,PCT 212,2600,1945,0,814,59,947,0,125,Rep Jane Bland,Rep
COLL,213,PCT 213,3697,2611,0,1099,75,1268,0,169,Rep Jane Bland,Rep
COLL,214,PCT 214,3776,2920,0,613,58,2138,0,110,Rep Jane Bland,Rep
COLL,215,PCT 215,3503,2092,1,699,58,1195,0,140,Rep Jane Bland,Rep
COLL,216,PCT 216,4771,3565,0,937,116,2352,0,160,Rep Jane Bland,Rep
COLL,217,PCT 217,3140,2190,1,779,67,1233,0,111,Rep Jane Bland,Rep
COLL,218,PCT 218,4297,3093,1,1280,96,1551,0,166,Rep Jane Bland,Rep
COLL,219,PCT 219,4559,3137,1,1373,81,1500,0,183,Rep Jane Bland,Rep
COLL,220,PCT 220,2465,1745,0,784,58,797,0,106,Rep Jane Bland,Rep
COLL,221,PCT 221,2053,1470,0,460,36,895,0,79,Rep Jane Bland,Rep
COLL,222,PCT 222,3965,2870,1,1219,65,1422,0,164,Rep Jane Bland,Rep
COLL,223,PCT 223,2501,1839,0,779,52,933,0,75,Rep Jane Bland,Rep
COLL,224,PCT 224,3351,2568,1,586,42,1837,0,103,Rep Jane Bland,Rep
COLL,225,PCT 225,3945,2807,2,1274,74,1273,0,186,Dem Bonnie Lee Goldstein,Dem
COLL,226,PCT 226,4404,2945,0,1301,86,1392,0,166,Rep Jane Bland,Rep
COLL,227,PCT 227,4468,3160,0,1217,109,1650,0,184,Rep Jane Bland,Rep
COLL,228,PCT 228,4845,3037,1,1260,115,1471,0,191,Rep Jane Bland,Rep
COLL,229,PCT 229,2259,1494,0,656,53,707,0,78,Rep Jane Bland,Rep
COLL,230,PCT 230,4953,3021,0,1368,101,1362,0,190,Dem Bonnie Lee Goldstein,Dem
COLL,231,PCT 231,3938,2850,0,1119,93,1504,0,134,Rep Jane Bland,Rep
COLL,232,PCT 232,3850,2755,0,991,94,1520,0,150,Rep Jane Bland,Rep
COLL,233,PCT 233,2089,1443,0,493,52,813,0,85,Rep Jane Bland,Rep
COLL,234,PCT 234,3351,2585,0,1215,68,1168,0,134,Dem Bonnie Lee Goldstein,Dem
COLL,235,PCT 235,1916,1332,3,633,34,598,0,67,Dem Bonnie Lee Goldstein,Dem
COLL,236,PCT 236,3015,2217,1,723,62,1312,0,120,Rep Jane Bland,Rep
COLL,237,PCT 237,2345,1522,3,615,42,755,0,110,Rep Jane Bland,Rep
COLL,238,PCT 238,4043,2583,0,1203,96,1127,0,157,Dem Bonnie Lee Goldstein,Dem
COLL,239,PCT 239,4293,3051,0,782,87,2057,0,125,Rep Jane Bland,Rep
COLL,240,PCT 240,4358,3212,0,796,90,2163,0,163,Rep Jane Bland,Rep
COLL,241,PCT 241,1549,1115,0,426,49,566,0,74,Rep Jane Bland,Rep
COLL,242,PCT 242,3578,2604,0,1010,68,1376,0,150,Rep Jane Bland,Rep
COLL,243,PCT 243,1684,1272,0,327,39,852,0,54,Rep Jane Bland,Rep
COLL,244,PCT 244,3235,2337,0,882,74,1254,0,127,Rep Jane Bland,Rep
COLL,245,PCT 245,2764,1651,0,655,53,847,0,96,Rep Jane Bland,Rep
COLL,246,PCT 246,2859,2137,1,854,79,1100,0,104,Rep Jane Bland,Rep
COLL,247,PCT 247,2436,1876,0,477,45,1274,0,80,Rep Jane Bland,Rep
COLL,248,PCT 248,2328,1645,0,661,53,831,0,100,Rep Jane Bland,Rep
COLL,249,PCT 249,4743,3053,0,1008,106,1789,0,150,Rep Jane Bland,Rep
COLL,250,PCT 250,3886,3025,0,1317,106,1410,0,192,Rep Jane Bland,Rep
COLL,251,PCT 251,2568,1852,0,537,62,1167,0,86,Rep Jane Bland,Rep
COLL,252,PCT 252,3149,2338,0,614,58,1551,0,115,Rep Jane Bland,Rep
COLL,253,PCT 253,3111,2203,1,990,73,1007,0,133,Rep Jane Bland,Rep
COLL,254,PCT 254,1286,806,0,335,30,390,0,51,Rep Jane Bland,Rep
COLL,255,PCT 255,3292,2440,1,733,78,1532,0,97,Rep Jane Bland,Rep
COLL,256,PCT 256,767,540,0,121,15,374,0,30,Rep Jane Bland,Rep
COLL,257,PCT 257,1342,890,1,330,37,473,0,50,Rep Jane Bland,Rep
COLL,258,PCT 258,3045,2073,1,987,89,831,0,166,Dem Bonnie Lee Goldstein,Dem
COLL,259,PCT 259,3698,2420,0,934,92,1256,0,138,Rep Jane Bland,Rep
COLL,260,PCT 260,438,319,0,58,7,239,0,15,Rep Jane Bland,Rep
COLL,261,PCT 261,3221,2306,0,721,57,1403,0,125,Rep Jane Bland,Rep
COLL,262,PCT 262,3038,2081,0,1018,57,888,0,119,Dem Bonnie Lee Goldstein,Dem
COLL,263,PCT 263,2055,1544,1,438,48,987,0,71,Rep Jane Bland,Rep
COLL,264,PCT 264,3994,2746,0,1002,90,1521,0,133,Rep Jane Bland,Rep
COLL,265,PCT 265,0,0,0,0,0,0,0,0,Dem Bonnie Lee Goldstein,Dem
COLL,266,PCT 266,62,42,0,21,1,18,0,2,Dem Bonnie Lee Goldstein,Dem
COLL,267,PCT 267,19,13,0,7,0,5,0,1,Dem Bonnie Lee Goldstein,Dem
COLL,268,PCT 268,0,0,0,0,0,0,0,0,Dem Bonnie Lee Goldstein,Dem
COLL,269,PCT 269,0,0,0,0,0,0,0,0,Dem Bonnie Lee Goldstein,Dem
COLL,270,PCT 270,2,1,0,0,0,1,0,0,Rep Jane Bland,Rep
COLL,271,PCT 271,1035,750,0,268,21,424,0,38,Rep Jane Bland,Rep
COLL,272,PCT 272,1,1,0,0,0,0,0,0,Dem Bonnie Lee Goldstein,Dem
COLL,273,PCT 273,260,202,0,51,4,140,0,7,Rep Jane Bland,Rep
