COUNTY NUMBER,PRECINCT CODE,PRECINCT NAME,REGISTERED VOTERS TOTAL,BALLOTS CAST TOTAL,BALLOTS CAST BLANK,DEM Maricela Moore,REP Emily A. Miskel,OVER VOTES,UNDER VOTES,Winning Candidate,Winning Party
COLL,222,PCT 222,3575,1933,0,893,978,0,62,REP Emily A. Miskel,REP
COLL,223,PCT 223,2154,1196,0,508,653,0,35,REP Emily A. Miskel,REP
COLL,224,PCT 224,3036,1808,0,416,1342,0,50,REP Emily A. Miskel,REP
COLL,225,PCT 225,3815,1819,0,918,854,0,47,DEM Maricela Moore,DEM
COLL,226,PCT 226,4365,2250,0,1076,1084,0,90,REP Emily A. Miskel,REP
COLL,227,PCT 227,4310,2285,1,1019,1176,0,90,REP Emily A. Miskel,REP
COLL,228,PCT 228,4161,1703,0,815,834,0,54,REP Emily A. Miskel,REP
COLL,229,PCT 229,1738,866,0,408,426,0,32,REP Emily A. Miskel,REP
COLL,230,PCT 230,4826,2039,0,1012,959,0,68,DEM Maricela Moore,DEM
COLL,231,PCT 231,3247,1754,0,705,991,0,58,REP Emily A. Miskel,REP
COLL,232,PCT 232,3600,1991,0,741,1161,0,89,REP Emily A. Miskel,REP
COLL,233,PCT 233,1922,968,0,374,565,0,29,REP Emily A. Miskel,REP
COLL,234,PCT 234,2546,1484,0,729,717,0,38,DEM Maricela Moore,DEM
COLL,235,PCT 235,1874,966,0,476,454,0,36,DEM Maricela Moore,DEM
COLL,236,PCT 236,2889,1678,0,535,1074,0,69,REP Emily A. Miskel,REP
COLL,237,PCT 237,2253,1011,0,473,489,0,49,REP Emily A. Miskel,REP
COLL,238,PCT 238,3923,1715,0,885,768,0,62,DEM Maricela Moore,DEM
COLL,239,PCT 239,4257,2284,0,613,1608,0,63,REP Emily A. Miskel,REP
COLL,240,PCT 240,6041,3348,0,844,2404,0,100,REP Emily A. Miskel,REP
COLL,241,PCT 241,1507,870,3,368,458,0,44,REP Emily A. Miskel,REP
COLL,242,PCT 242,3356,1912,0,782,1065,0,65,REP Emily A. Miskel,REP
COLL,243,PCT 243,1517,915,0,247,635,0,33,REP Emily A. Miskel,REP
COLL,244,PCT 244,3107,1762,0,720,961,0,81,REP Emily A. Miskel,REP
COLL,245,PCT 245,2774,1151,0,512,590,0,49,REP Emily A. Miskel,REP
COLL,246,PCT 246,2832,1691,0,731,909,0,51,REP Emily A. Miskel,REP
COLL,247,PCT 247,2148,1364,0,338,979,0,47,REP Emily A. Miskel,REP
COLL,248,PCT 248,2116,1087,0,454,593,0,40,REP Emily A. Miskel,REP
COLL,249,PCT LB 96,0,380,0,0,0,0,0,DEM Maricela Moore,DEM
COLL,250,PCT LB 97,0,188,0,110,73,0,5,DEM Maricela Moore,DEM
COLL,251,PCT LB 98,0,9,0,0,0,0,0,DEM Maricela Moore,DEM
COLL,252,PCT LB 99,0,0,0,0,0,0,0,DEM Maricela Moore,DEM
COLL,253,PCT 253,2590,1238,0,647,547,0,44,DEM Maricela Moore,DEM
COLL,254,PCT 254,1104,452,0,216,222,0,14,REP Emily A. Miskel,REP
COLL,255,PCT 255,2764,1623,0,504,1073,0,47,REP Emily A. Miskel,REP
COLL,256,PCT 256,535,289,0,64,214,0,11,REP Emily A. Miskel,REP
COLL,257,PCT 257,924,441,0,169,259,0,14,REP Emily A. Miskel,REP
COLL,258,PCT 258,2989,1538,1,798,686,0,54,DEM Maricela Moore,DEM
COLL,259,PCT 259,3539,1743,0,713,967,0,64,REP Emily A. Miskel,REP
COLL,260,PCT 260,386,211,0,37,168,0,6,REP Emily A. Miskel,REP
COLL,261,PCT 261,3138,1755,0,561,1137,1,57,REP Emily A. Miskel,REP
COLL,262,PCT 262,2934,1541,0,828,649,0,64,DEM Maricela Moore,DEM
COLL,263,PCT 263,1519,853,0,233,594,0,26,REP Emily A. Miskel,REP
COLL,264,PCT 264,3907,2067,0,774,1216,0,77,REP Emily A. Miskel,REP
COLL,265,PCT 265,0,0,0,0,0,0,0,DEM Maricela Moore,DEM
COLL,266,PCT 266,62,34,0,18,15,0,2,DEM Maricela Moore,DEM
COLL,267,PCT 267,18,9,0,5,4,0,0,DEM Maricela Moore,DEM
COLL,268,PCT 268,0,0,0,0,0,0,0,DEM Maricela Moore,DEM
COLL,269,PCT 269,0,0,0,0,0,0,0,DEM Maricela Moore,DEM
COLL,270,PCT 270,1,1,0,0,1,0,0,REP Emily A. Miskel,REP
COLL,271,PCT 271,1017,526,0,197,321,0,8,REP Emily A. Miskel,REP
COLL,272,PCT 272,1,1,0,0,0,0,0,DEM Maricela Moore,DEM
COLL,273,PCT 273,176,109,0,27,81,0,2,REP Emily A. Miskel,REP
