COUNTY NUMBER,PRECINCT CODE,PRECINCT NAME,REGISTERED VOTERS TOTAL,BALLOTS CAST TOTAL,BALLOTS CAST BLANK,Dem Darrel Evans,Rep Candy Noble,OVER VOTES,UNDER VOTES,Winning Candidate,Winning Party
COLL,164,PCT 164,2330,1845,80,0,0,0,0,Dem Darrel Evans,Dem
COLL,165,PCT 165,972,736,0,225,471,0,40,Rep Candy Noble,Rep
COLL,166,PCT 166,4384,3051,0,1254,1592,0,205,Rep Candy Noble,Rep
COLL,167,PCT 167,2192,1501,0,0,0,0,0,Dem Darrel Evans,Dem
COLL,168,PCT 168,1966,1418,0,447,895,0,76,Rep Candy Noble,Rep
COLL,169,PCT 169,3534,2485,2,0,0,0,0,Dem Darrel Evans,Dem
COLL,170,PCT 170,1921,1364,0,0,0,0,0,Dem Darrel Evans,Dem
COLL,171,PCT 171,2980,1965,0,0,0,0,0,Dem Darrel Evans,Dem
COLL,172,PCT 172,2941,2202,0,0,0,0,0,Dem Darrel Evans,Dem
COLL,173,PCT 173,645,492,0,0,0,0,0,Dem Darrel Evans,Dem
COLL,174,PCT 174,4648,2951,2,1137,1653,0,161,Rep Candy Noble,Rep
COLL,175,PCT 175,2083,1492,1,503,899,0,90,Rep Candy Noble,Rep
COLL,176,PCT 176,4064,2194,0,0,0,0,0,Dem Darrel Evans,Dem
COLL,177,PCT 177,3532,2228,0,0,0,0,0,Dem Darrel Evans,Dem
COLL,178,PCT 178,3375,2404,1,0,0,0,0,Dem Darrel Evans,Dem
COLL,179,PCT 179,4704,3766,0,974,2585,0,207,Rep Candy Noble,Rep
COLL,180,PCT 180,3492,2359,1,0,0,0,0,Dem Darrel Evans,Dem
COLL,181,PCT 181,3166,2049,0,0,0,0,0,Dem Darrel Evans,Dem
COLL,182,PCT 182,4037,2765,1,0,0,0,0,Dem Darrel Evans,Dem
COLL,183,PCT 183,171,120,0,0,0,0,0,Dem Darrel Evans,Dem
COLL,184,PCT 184,3360,1910,0,0,0,0,0,Dem Darrel Evans,Dem
COLL,185,PCT 185,3352,2450,1,0,0,0,0,Dem Darrel Evans,Dem
COLL,186,PCT 186,764,536,0,0,0,0,0,Dem Darrel Evans,Dem
COLL,187,PCT 187,1044,697,0,0,0,0,0,Dem Darrel Evans,Dem
COLL,188,PCT 188,731,488,0,0,0,0,0,Dem Darrel Evans,Dem
COLL,189,PCT 189,1473,1016,0,0,0,0,0,Dem Darrel Evans,Dem
COLL,190,PCT 190,1038,802,0,0,0,0,0,Dem Darrel Evans,Dem
COLL,191,PCT 191,967,582,1,191,343,0,48,Rep Candy Noble,Rep
COLL,192,PCT 192,4114,2896,0,650,2066,0,180,Rep Candy Noble,Rep
COLL,193,PCT 193,1341,896,0,178,666,0,52,Rep Candy Noble,Rep
COLL,194,PCT 194,3375,2400,0,698,1557,0,145,Rep Candy Noble,Rep
COLL,195,PCT 195,935,674,0,140,500,0,34,Rep Candy Noble,Rep
COLL,196,PCT 196,2001,1352,0,523,754,0,75,Rep Candy Noble,Rep
COLL,197,PCT 197,1270,858,0,0,0,0,0,Dem Darrel Evans,Dem
COLL,198,PCT 198,2904,2327,0,0,0,0,0,Dem Darrel Evans,Dem
COLL,199,PCT 199,4135,3196,0,0,0,0,0,Dem Darrel Evans,Dem
COLL,200,PCT 200,2726,1894,0,0,0,0,0,Dem Darrel Evans,Dem
COLL,201,PCT 201,0,0,0,0,0,0,0,Dem Darrel Evans,Dem
COLL,202,PCT 202,2,2,0,0,0,0,0,Dem Darrel Evans,Dem
COLL,203,PCT 203,3182,2344,0,0,0,0,0,Dem Darrel Evans,Dem
COLL,204,PCT 204,354,282,0,0,0,0,0,Dem Darrel Evans,Dem
COLL,205,PCT 205,4103,2879,2,0,0,0,0,Dem Darrel Evans,Dem
COLL,206,PCT 206,2002,1431,0,0,0,0,0,Dem Darrel Evans,Dem
COLL,207,PCT 207,4081,2925,1,0,0,0,0,Dem Darrel Evans,Dem
COLL,208,PCT 208,4359,3323,0,0,0,0,0,Dem Darrel Evans,Dem
