COUNTY NUMBER,PRECINCT CODE,PRECINCT NAME,REGISTERED VOTERS TOTAL,BALLOTS CAST TOTAL,BALLOTS CAST BLANK,DEM Janet T. Dudding,LIB V. Alonzo Echevarria-Garza,REP Glenn Hegar,OVER VOTES,UNDER VOTES,Winning Candidate,Winning Party
COLL,147,PCT 147,2253,980,0,437,18,502,0,23,REP Glenn Hegar,REP
COLL,148,PCT 148,661,405,1,150,4,244,0,7,REP Glenn Hegar,REP
COLL,149,PCT 149,4476,2460,0,905,56,1440,0,59,REP Glenn Hegar,REP
COLL,150,PCT 150,1145,781,0,235,14,518,0,14,REP Glenn Hegar,REP
COLL,151,PCT 151,1772,893,0,424,22,428,0,19,REP Glenn Hegar,REP
COLL,152,PCT 152,187,92,0,63,3,26,0,0,DEM Janet T. Dudding,DEM
COLL,153,PCT 153,1135,575,1,223,10,327,0,16,REP Glenn Hegar,REP
COLL,154,PCT 154,1938,1157,0,198,20,917,0,22,REP Glenn Hegar,REP
COLL,155,PCT 155,2911,1553,0,589,29,905,0,30,REP Glenn Hegar,REP
COLL,156,PCT 156,3726,1870,0,789,45,999,0,37,REP Glenn Hegar,REP
COLL,157,PCT 157,4029,2164,0,977,34,1109,0,44,REP Glenn Hegar,REP
COLL,158,PCT 158,2781,1427,0,731,20,640,0,36,DEM Janet T. Dudding,DEM
COLL,159,PCT 159,3284,1445,1,641,39,718,0,47,REP Glenn Hegar,REP
COLL,160,PCT 160,434,283,0,26,3,251,0,3,REP Glenn Hegar,REP
COLL,161,PCT 161,292,152,0,40,4,106,0,2,REP Glenn Hegar,REP
COLL,162,PCT 162,328,229,0,36,2,185,0,6,REP Glenn Hegar,REP
COLL,163,PCT 163,2180,1028,0,394,22,600,0,12,REP Glenn Hegar,REP
COLL,164,PCT 164,2052,1392,100,556,16,780,0,40,REP Glenn Hegar,REP
COLL,165,PCT 165,934,557,0,174,13,364,0,6,REP Glenn Hegar,REP
COLL,166,PCT 166,4174,2127,5,873,37,1153,0,64,REP Glenn Hegar,REP
COLL,167,PCT 167,2117,1112,0,578,19,485,0,30,DEM Janet T. Dudding,DEM
COLL,168,PCT 168,1923,1113,1,282,31,756,0,44,REP Glenn Hegar,REP
COLL,169,PCT 169,3342,1772,0,832,29,867,0,44,REP Glenn Hegar,REP
COLL,170,PCT 170,1882,1007,3,347,19,612,0,29,REP Glenn Hegar,REP
COLL,171,PCT 171,2490,1222,1,544,23,622,0,33,REP Glenn Hegar,REP
COLL,172,PCT 172,6178,2987,0,933,89,1887,0,78,REP Glenn Hegar,REP
COLL,173,PCT 173,650,389,0,101,3,276,0,9,REP Glenn Hegar,REP
COLL,174,PCT 174,4497,2129,1,811,51,1219,0,48,REP Glenn Hegar,REP
COLL,175,PCT 175,1978,1116,0,400,23,663,0,30,REP Glenn Hegar,REP
COLL,176,PCT 176,4032,1467,0,783,46,612,0,26,DEM Janet T. Dudding,DEM
COLL,177,PCT 177,3203,1500,0,521,17,943,0,19,REP Glenn Hegar,REP
COLL,178,PCT 178,3002,1556,0,341,24,1150,0,41,REP Glenn Hegar,REP
COLL,179,PCT 179,4634,3237,0,743,34,2380,0,80,REP Glenn Hegar,REP
COLL,180,PCT 180,3313,1580,0,691,50,795,0,44,REP Glenn Hegar,REP
COLL,181,PCT 181,2563,1147,0,378,35,708,0,26,REP Glenn Hegar,REP
COLL,182,PCT 182,3909,2004,0,834,45,1086,0,39,REP Glenn Hegar,REP
COLL,183,PCT 183,163,68,0,16,1,51,0,0,REP Glenn Hegar,REP
COLL,184,PCT 184,3232,1307,1,642,37,606,0,22,DEM Janet T. Dudding,DEM
COLL,185,PCT 185,2645,1408,1,406,32,942,0,28,REP Glenn Hegar,REP
COLL,186,PCT 186,719,405,0,42,2,355,0,6,REP Glenn Hegar,REP
COLL,187,PCT 187,830,409,0,144,11,243,0,11,REP Glenn Hegar,REP
COLL,188,PCT 188,581,286,0,101,8,170,0,8,REP Glenn Hegar,REP
COLL,189,PCT 189,1074,554,1,77,8,457,0,11,REP Glenn Hegar,REP
COLL,190,PCT 190,954,586,0,114,7,455,0,9,REP Glenn Hegar,REP
COLL,191,PCT 191,603,227,0,50,2,171,0,4,REP Glenn Hegar,REP
COLL,192,PCT 192,2869,1552,1,330,35,1147,0,40,REP Glenn Hegar,REP
COLL,193,PCT 193,1224,621,0,119,13,478,0,11,REP Glenn Hegar,REP
COLL,194,PCT 194,2493,1367,0,346,34,953,0,34,REP Glenn Hegar,REP
COLL,195,PCT 195,916,541,0,108,16,406,0,11,REP Glenn Hegar,REP
COLL,196,PCT 196,1904,994,0,381,26,569,0,18,REP Glenn Hegar,REP
COLL,197,PCT 197,1283,681,0,353,14,301,0,13,DEM Janet T. Dudding,DEM
COLL,198,PCT 198,1643,1121,0,337,20,744,0,20,REP Glenn Hegar,REP
COLL,199,PCT 199,3269,1928,0,475,28,1393,0,32,REP Glenn Hegar,REP
COLL,200,PCT 200,1943,991,1,244,29,694,0,24,REP Glenn Hegar,REP
COLL,201,PCT 201,0,0,0,0,0,0,0,0,DEM Janet T. Dudding,DEM
COLL,202,PCT 202,2,2,0,2,0,0,0,0,DEM Janet T. Dudding,DEM
COLL,203,PCT 203,3150,1853,0,589,37,1177,0,50,REP Glenn Hegar,REP
COLL,204,PCT 204,349,230,0,66,2,155,0,7,REP Glenn Hegar,REP
COLL,205,PCT 205,3804,1928,5,745,34,1095,0,53,REP Glenn Hegar,REP
COLL,206,PCT 206,1781,996,0,352,21,586,0,37,REP Glenn Hegar,REP
COLL,207,PCT 207,3993,2125,1,730,43,1298,0,54,REP Glenn Hegar,REP
COLL,208,PCT 208,3375,2140,0,677,42,1371,0,50,REP Glenn Hegar,REP
COLL,209,PCT 209,169,87,0,32,2,53,0,0,REP Glenn Hegar,REP
COLL,210,PCT 210,1661,914,1,447,18,419,0,30,DEM Janet T. Dudding,DEM
COLL,211,PCT 211,3302,1758,1,653,36,1030,0,39,REP Glenn Hegar,REP
COLL,212,PCT 212,5564,2799,1,1382,41,1307,0,69,DEM Janet T. Dudding,DEM
COLL,213,PCT 213,3612,1848,0,866,32,909,0,41,REP Glenn Hegar,REP
COLL,214,PCT 214,3473,2130,0,417,27,1655,0,32,REP Glenn Hegar,REP
COLL,215,PCT 215,2543,1056,0,305,26,693,0,32,REP Glenn Hegar,REP
COLL,216,PCT 216,6210,3332,0,951,72,2236,0,73,REP Glenn Hegar,REP
COLL,217,PCT 217,2919,1550,0,543,43,931,0,33,REP Glenn Hegar,REP
COLL,218,PCT 218,4110,2281,1,1003,31,1210,0,37,REP Glenn Hegar,REP
COLL,219,PCT 219,4072,2234,0,1006,35,1146,0,47,REP Glenn Hegar,REP
COLL,220,PCT 220,2051,981,0,494,14,452,0,21,DEM Janet T. Dudding,DEM
