COUNTY NUMBER,PRECINCT CODE,PRECINCT NAME,REGISTERED VOTERS TOTAL,BALLOTS CAST TOTAL,BALLOTS CAST BLANK,DEM Julia Maldonado,REP Evan Young,OVER VOTES,UNDER VOTES,Winning Candidate,Winning Party,pct_int
COLL,173,PCT 173,650,389,0,110,272,0,7,REP Evan Young,REP,173
COLL,174,PCT 174,4497,2129,1,850,1209,0,70,REP Evan Young,REP,174
COLL,175,PCT 175,1978,1116,0,422,650,0,44,REP Evan Young,REP,175
COLL,176,PCT 176,4032,1467,0,825,610,0,32,DEM Julia Maldonado,DEM,176
COLL,177,PCT 177,3203,1500,0,540,929,0,31,REP Evan Young,REP,177
COLL,178,PCT 178,3002,1556,0,371,1142,0,43,REP Evan Young,REP,178
COLL,179,PCT 179,4634,3237,0,795,2321,0,121,REP Evan Young,REP,179
COLL,180,PCT 180,3313,1580,0,739,781,0,60,REP Evan Young,REP,180
COLL,181,PCT 181,2563,1147,0,400,714,0,33,REP Evan Young,REP,181
COLL,182,PCT 182,3909,2004,0,873,1062,0,69,REP Evan Young,REP,182
COLL,183,PCT 183,163,68,0,19,49,0,0,pct_int,pct_int,368
COLL,184,PCT 184,3232,1307,1,683,588,0,36,DEM Julia Maldonado,DEM,184
COLL,185,PCT 185,2645,1408,1,431,944,0,33,REP Evan Young,REP,9
COLL,186,PCT 186,719,405,0,44,353,0,8,pct_int,pct_int,373
COLL,187,PCT 187,830,409,0,151,247,0,11,REP Evan Young,REP,3
COLL,188,PCT 188,581,286,0,106,173,0,8,REP Evan Young,REP,2
COLL,189,PCT 189,1074,554,1,78,460,0,16,REP Evan Young,REP,379
COLL,190,PCT 190,954,586,0,124,448,0,13,REP Evan Young,REP,46
COLL,191,PCT 191,603,227,0,50,171,0,6,pct_int,pct_int,191
COLL,192,PCT 192,2869,1552,1,355,1152,0,45,REP Evan Young,REP,162
COLL,193,PCT 193,1224,621,0,125,470,0,26,REP Evan Young,REP,387
COLL,194,PCT 194,2493,1367,0,374,950,0,44,REP Evan Young,REP,16
COLL,195,PCT 195,916,541,0,118,406,0,17,REP Evan Young,REP,195
COLL,196,PCT 196,1904,994,0,397,571,0,26,REP Evan Young,REP,196
COLL,197,PCT 197,1283,681,0,373,282,0,26,DEM Julia Maldonado,DEM,197
COLL,198,PCT 198,1643,1121,0,353,738,0,30,REP Evan Young,REP,88
COLL,199,PCT 199,3269,1928,0,515,1376,0,37,REP Evan Young,REP,199
COLL,200,PCT 200,1943,991,1,249,703,0,39,REP Evan Young,REP,200
COLL,201,PCT 201,0,0,0,0,0,0,0,pct_int,pct_int,201
COLL,202,PCT 202,2,2,0,2,0,0,0,pct_int,pct_int,202
COLL,203,PCT 203,3150,1853,0,627,1156,0,70,REP Evan Young,REP,203
COLL,204,PCT 204,349,230,0,68,153,0,9,pct_int,pct_int,204
COLL,205,PCT 205,3804,1928,5,779,1082,0,67,REP Evan Young,REP,118
COLL,206,PCT 206,1781,996,0,369,586,0,41,REP Evan Young,REP,206
COLL,207,PCT 207,3993,2125,1,772,1289,0,64,REP Evan Young,REP,207
COLL,208,PCT 208,3375,2140,0,711,1366,0,63,REP Evan Young,REP,208
COLL,209,PCT 209,169,87,0,32,54,0,1,REP Evan Young,REP,30
COLL,210,PCT 210,1661,914,1,475,410,0,29,DEM Julia Maldonado,DEM,210
COLL,211,PCT 211,3302,1758,1,683,1023,0,52,REP Evan Young,REP,211
COLL,212,PCT 212,5564,2799,1,1501,1206,0,92,DEM Julia Maldonado,DEM,212
COLL,213,PCT 213,3612,1848,0,901,889,0,58,DEM Julia Maldonado,DEM,213
COLL,214,PCT 214,3473,2130,0,453,1632,0,46,REP Evan Young,REP,168
COLL,215,PCT 215,2543,1056,0,324,696,0,36,REP Evan Young,REP,215
COLL,216,PCT 216,6210,3332,0,1004,2243,0,85,REP Evan Young,REP,216
COLL,217,PCT 217,2919,1550,0,574,930,0,46,REP Evan Young,REP,217
COLL,218,PCT 218,4110,2281,1,1079,1139,0,63,REP Evan Young,REP,218
COLL,219,PCT 219,4072,2234,0,1064,1110,0,60,REP Evan Young,REP,219
COLL,220,PCT 220,2051,981,0,519,438,0,23,DEM Julia Maldonado,DEM,97
COLL,221,PCT 221,2000,1119,0,367,718,0,33,REP Evan Young,REP,86
COLL,222,PCT 222,3575,1933,0,908,977,0,48,REP Evan Young,REP,222
COLL,223,PCT 223,2154,1196,0,518,653,0,25,REP Evan Young,REP,223
COLL,224,PCT 224,3036,1808,0,416,1354,0,38,REP Evan Young,REP,224
COLL,225,PCT 225,3815,1819,0,936,843,0,40,DEM Julia Maldonado,DEM,225
COLL,226,PCT 226,4365,2250,0,1090,1086,0,74,DEM Julia Maldonado,DEM,226
COLL,227,PCT 227,4310,2285,1,1037,1180,0,68,REP Evan Young,REP,227
COLL,228,PCT 228,4161,1703,0,827,827,0,49,DEM Julia Maldonado,DEM,180
COLL,229,PCT 229,1738,866,0,409,432,0,25,REP Evan Young,REP,229
COLL,230,PCT 230,4826,2039,0,1025,956,0,58,DEM Julia Maldonado,DEM,230
COLL,231,PCT 231,3247,1754,0,715,993,0,46,REP Evan Young,REP,231
COLL,232,PCT 232,3600,1991,0,762,1158,0,71,REP Evan Young,REP,232
COLL,233,PCT 233,1922,968,0,378,566,0,24,REP Evan Young,REP,233
COLL,234,PCT 234,2546,1484,0,755,700,0,29,DEM Julia Maldonado,DEM,234
COLL,235,PCT 235,1874,966,0,489,447,0,30,DEM Julia Maldonado,DEM,235
COLL,236,PCT 236,2889,1678,0,547,1073,0,58,REP Evan Young,REP,236
COLL,237,PCT 237,2253,1011,0,474,499,0,38,REP Evan Young,REP,237
COLL,238,PCT 238,3923,1715,0,897,763,0,55,DEM Julia Maldonado,DEM,238
COLL,239,PCT 239,4257,2284,0,629,1605,0,50,REP Evan Young,REP,239
COLL,240,PCT 240,6041,3348,0,882,2383,0,83,REP Evan Young,REP,240
COLL,241,PCT 241,1507,870,3,378,454,0,38,REP Evan Young,REP,241
COLL,242,PCT 242,3356,1912,0,777,1079,0,56,REP Evan Young,REP,242
COLL,243,PCT 243,1517,915,0,254,635,0,26,REP Evan Young,REP,243
COLL,244,PCT 244,3107,1762,0,750,955,0,57,REP Evan Young,REP,244
COLL,245,PCT 245,2774,1151,0,516,596,0,39,REP Evan Young,REP,245
COLL,246,PCT 246,2832,1691,0,748,905,0,38,REP Evan Young,REP,246
COLL,247,PCT 247,2148,1364,0,352,974,0,38,REP Evan Young,REP,247
COLL,248,PCT 248,2116,1087,0,468,587,0,32,REP Evan Young,REP,248
COLL,249,PCT LB 96,0,380,0,219,151,0,10,pct_int,pct_int,249
COLL,250,PCT LB 97,0,188,0,112,73,0,3,pct_int,pct_int,250
COLL,251,PCT LB 98,0,9,0,2,6,0,1,pct_int,pct_int,251
COLL,252,PCT LB 99,0,0,0,0,0,0,0,pct_int,pct_int,252
COLL,253,PCT 253,2590,1238,0,656,554,0,29,DEM Julia Maldonado,DEM,123
COLL,254,PCT 254,1104,452,0,220,219,0,13,DEM Julia Maldonado,DEM,48
COLL,255,PCT 255,2764,1623,0,523,1060,0,40,REP Evan Young,REP,26
COLL,256,PCT 256,535,289,0,66,215,0,8,REP Evan Young,REP,30
COLL,257,PCT 257,924,441,0,172,256,0,13,REP Evan Young,REP,2
COLL,258,PCT 258,2989,1538,1,815,681,0,42,DEM Julia Maldonado,DEM,72
COLL,259,PCT 259,3539,1743,0,734,953,0,57,REP Evan Young,REP,40
COLL,260,PCT 260,386,211,0,38,169,0,4,REP Evan Young,REP,2
COLL,261,PCT 261,3138,1755,0,576,1127,0,53,REP Evan Young,REP,135
COLL,262,PCT 262,2934,1541,0,832,651,0,58,DEM Julia Maldonado,DEM,97
COLL,263,PCT 263,1519,853,0,243,591,0,19,REP Evan Young,REP,11
COLL,264,PCT 264,3907,2067,0,787,1217,0,63,REP Evan Young,REP,24
COLL,265,PCT 265,0,0,0,0,0,0,0,DEM Julia Maldonado,DEM,0
COLL,266,PCT 266,62,34,0,18,15,0,1,DEM Julia Maldonado,DEM,1
COLL,267,PCT 267,18,9,0,5,4,0,0,DEM Julia Maldonado,DEM,0
COLL,268,PCT 268,0,0,0,0,0,0,0,DEM Julia Maldonado,DEM,0
COLL,269,PCT 269,0,0,0,0,0,0,0,DEM Julia Maldonado,DEM,0
COLL,270,PCT 270,1,1,0,0,1,0,0,REP Evan Young,REP,0
COLL,271,PCT 271,1017,526,0,195,323,0,8,REP Evan Young,REP,179
COLL,272,PCT 272,1,1,0,0,0,0,0,DEM Julia Maldonado,DEM,0
COLL,273,PCT 273,176,109,0,27,81,0,1,REP Evan Young,REP,1
